Name	shannon	simpson	group
A1	3.821848212	0.953527192	A
A10	3.803019991	0.926938563	A
A11	0.582946352	0.196856698	A
A12	3.952395825	0.945270834	A
A14	4.341987664	0.968275027	A
A15	4.046810449	0.975151493	A
A16	3.607139681	0.941096787	A
A17	4.64470066	0.983387235	A
A19	3.377451919	0.893176982	A
A22	4.103962644	0.969529363	A
A23	2.80792845	0.736550503	A
A24	4.174275748	0.964320707	A
A25	3.91909165	0.936814461	A
A26	4.140119825	0.95113634	A
A28	2.481761587	0.71430642	A
A29	4.019012983	0.959442149	A
A3	4.261498121	0.976697361	A
A30	3.68176895	0.924251377	A
A31	3.327704123	0.906964202	A
A32	3.801843706	0.948830426	A
A33	2.773879882	0.699358461	A
A35	3.858386691	0.945160472	A
A37	2.63258209	0.820170777	A
A4	3.115722558	0.933673469	A
A40	4.257933491	0.969330014	A
A42	2.821945894	0.784427966	A
A43	4.083506757	0.964110747	A
A44	4.192791215	0.980348944	A
A45	3.134061401	0.905234215	A
A46	3.238302991	0.934948097	A
A49	5.353489302	0.989878465	A
A5	3.364035651	0.832035964	A
A52	4.112544873	0.963531821	A
A53	3.24640841	0.935920256	A
A54	4.100293323	0.958517667	A
A55	4.020685316	0.9547298	A
A56	3.319935698	0.904673374	A
A57	3.576197958	0.92554183	A
A61	4.223768993	0.960529337	A
A62	2.779931911	0.860425675	A
A64	3.619169228	0.949543134	A
A65	3.995744531	0.919554869	A
A66	0.50491199	0.157930705	A
A67	2.485682536	0.746399193	A
A68	3.791376165	0.94169546	A
A69	3.918334401	0.942792672	A
A7	4.287506088	0.959370685	A
A72	4.524170436	0.973604467	A
A73	4.708190337	0.986137668	A
A75	4.161632846	0.959150216	A
A76	3.741805456	0.9595741	A
A78	4.055914186	0.971135635	A
A79	4.322601106	0.976928731	A
A8	3.853433739	0.941898876	A
A81	4.312018697	0.97859375	A
A82	4.633333798	0.984487535	A
A83	3.847434503	0.932832699	A
A84	3.241208463	0.923454735	A
A86	3.665628759	0.939480797	A
A9	3.762599978	0.9379936	A
A91	1.260302508	0.519417193	A
A92	2.269098167	0.690293694	A
P11	2.681974977	0.824916796	P
P12	3.451281155	0.927277371	P
P13	3.511833866	0.925217625	P
P14	2.186571104	0.643818009	P
P15	2.461258458	0.842902563	P
P16	3.851347757	0.942083884	P
P2	2.861262052	0.884558675	P
P21	3.428538142	0.921384171	P
P22	2.275989852	0.708506096	P
P23	3.85693305	0.951191	P
P26	3.277733024	0.911971286	P
P27	1.874699378	0.737791247	P
P28	3.522916626	0.929174832	P
P29	2.753975099	0.829596993	P
P3	2.73066128	0.846464992	P
P30	2.466024217	0.760234291	P
P32	2.759403788	0.876603976	P
P33	2.272194914	0.744816235	P
P34	2.071209937	0.729378802	P
P35	2.880675836	0.834956364	P
P36	2.820395657	0.865472414	P
P37	3.406800665	0.885017052	P
P38	0.456293313	0.117398791	P
P39	3.422761087	0.893992334	P
P4	3.431885395	0.940124187	P
P42	2.379496308	0.651337576	P
P43	2.746810935	0.886960823	P
P44	2.099365238	0.800635097	P
P45	2.341700153	0.78785371	P
P46	2.696517208	0.838942432	P
P47	0.503574482	0.1781372	P
P48	3.168803042	0.881572126	P
P5	2.740946311	0.82357214	P
P50	3.362783894	0.927526909	P
P51	2.786922566	0.811372703	P
P52	3.29636066	0.908590814	P
P53	3.054984422	0.891365588	P
P55	3.409622486	0.884155015	P
P57	3.744549086	0.926462728	P
P58	3.42230255	0.899940318	P
P59	4.011368883	0.950041626	P
P6	3.240220933	0.872768485	P
P60	3.702783939	0.938195642	P
P62	2.398831002	0.760009442	P
P63	3.692360818	0.929419428	P
P64	2.656195647	0.8537431	P
P65	3.491481928	0.929893062	P
P66	3.556977576	0.930067835	P
P67	3.989766907	0.952811248	P
P68	1.244998582	0.364266701	P
