Name	shannon	simpson	group
A1	3.821848183	0.953527191	A
A10	3.80301999	0.926938564	A
A11	0.582946363	0.196856701	A
A12	3.952395814	0.945270834	A
A14	4.341987668	0.968275027	A
A15	4.04681045	0.975151494	A
A16	3.607139676	0.941096787	A
A17	4.644700699	0.983387236	A
A19	3.377451975	0.89317699	A
A22	4.103962667	0.969529364	A
A23	2.807928441	0.736550502	A
A24	4.174275744	0.964320706	A
A25	3.919091657	0.936814461	A
A26	4.14011981	0.951136339	A
A28	2.481761677	0.714306447	A
A29	4.019012956	0.959442148	A
A3	4.261498165	0.976697362	A
A30	3.681769071	0.924251389	A
A31	3.327704152	0.906964204	A
A32	3.801843689	0.948830426	A
A33	2.77387986	0.699358459	A
A35	3.858386714	0.945160472	A
A37	2.632582031	0.82017077	A
A4	3.1157225	0.933673464	A
A40	4.257933429	0.969330011	A
A42	2.821945901	0.784427967	A
A43	4.083506791	0.964110748	A
A44	4.192791214	0.980348944	A
A45	3.134061318	0.905234207	A
A46	3.238302995	0.934948097	A
A49	5.353489302	0.989878465	A
A5	3.364035637	0.832035963	A
A52	4.112544837	0.963531819	A
A53	3.246408405	0.935920256	A
A54	4.10029329	0.958517666	A
A55	4.020685275	0.954729798	A
A56	3.319935613	0.904673369	A
A57	3.576198006	0.925541833	A
A61	4.223768964	0.960529336	A
A62	2.779931884	0.860425673	A
A64	3.619169249	0.949543135	A
A65	3.995744614	0.919554874	A
A66	0.504911967	0.157930695	A
A67	2.485682554	0.746399197	A
A68	3.791376141	0.941695459	A
A69	3.918334393	0.942792672	A
A7	4.287506076	0.959370685	A
A72	4.524170446	0.973604467	A
A73	4.708190337	0.986137668	A
A75	4.161632903	0.959150218	A
A76	3.741805439	0.959574099	A
A78	4.055914196	0.971135636	A
A79	4.322601069	0.97692873	A
A8	3.853433734	0.941898875	A
A81	4.312018697	0.97859375	A
A82	4.633333805	0.984487535	A
A83	3.847434519	0.932832703	A
A84	3.241208472	0.923454735	A
A86	3.665628809	0.939480801	A
A9	3.762599974	0.9379936	A
A91	1.260302571	0.519417227	A
A92	2.269098204	0.690293703	A
T10	3.371609235	0.920569619	Early_stage
T11	3.425351927	0.914400975	Early_stage
T12	3.647459499	0.937131705	Early_stage
T13	3.620754087	0.922560634	Advanced_stage
T14	1.718292064	0.534776021	Early_stage
T15	2.453362463	0.810725692	Advanced_stage
T16	2.358458731	0.737785786	Early_stage
T2	2.02681365	0.70800668	Early_stage
T21	3.591187393	0.928938237	Early_stage
T22	2.846036379	0.848730688	Early_stage
T23	3.977987202	0.954208036	Advanced_stage
T26	3.151117275	0.871659864	Early_stage
T27	2.627234354	0.830004598	Early_stage
T28	3.537965005	0.931577472	Early_stage
T29	2.896473615	0.875681539	Early_stage
T3	2.619788362	0.805055293	Advanced_stage
T30	3.989757747	0.955931295	Advanced_stage
T32	3.046220547	0.901428204	Early_stage
T33	2.904871115	0.800481899	Advanced_stage
T34	0.200843723	0.04910402	Early_stage
T35	2.147299761	0.680769429	Early_stage
T36	2.525736014	0.822565714	Advanced_stage
T37	3.943357942	0.951700071	Advanced_stage
T38	4.033439703	0.954363318	Advanced_stage
T39	3.525735024	0.908867812	Advanced_stage
T4	3.392936885	0.93983099	Advanced_stage
T42	2.164560151	0.615021668	Advanced_stage
T43	2.898918783	0.895867862	Early_stage
T44	1.447233942	0.464615217	Advanced_stage
T45	2.893643408	0.865225298	Advanced_stage
T46	2.701649096	0.840510322	Advanced_stage
T47	1.313260663	0.399188982	Early_stage
T48	3.000232264	0.886711573	Advanced_stage
T5	2.050498922	0.696720177	Early_stage
T50	3.07138769	0.887880875	Advanced_stage
T51	3.229608664	0.911958785	Early_stage
T52	3.804893002	0.944864242	Advanced_stage
T53	2.853396666	0.854626592	Advanced_stage
T55	4.133249143	0.960738482	Early_stage
T57	3.716912896	0.935420912	Advanced_stage
T58	2.125392018	0.766922912	Early_stage
T59	3.075502015	0.809957614	Advanced_stage
T6	0.608323716	0.169542175	Early_stage
T60	3.222499277	0.88925648	Early_stage
T62	3.190387923	0.902934022	Advanced_stage
T63	2.279304101	0.678683117	Early_stage
T64	2.539833283	0.785855362	Early_stage
T65	3.03363954	0.842188065	Early_stage
T66	2.841064577	0.832693236	Advanced_stage
T67	4.269812325	0.965824096	Advanced_stage
T68	1.130585366	0.323965072	Advanced_stage
T69	0	1	Early_stage
T7	2.981715389	0.896604012	Early_stage
T70	3.01822334	0.895343413	Advanced_stage
T71	3.065939626	0.851663818	Advanced_stage
T72	3.205494138	0.889873364	Early_stage
T73	3.324194303	0.917681641	Early_stage
T74	3.588440248	0.916237385	Early_stage
T75	4.534556409	0.97364339	Early_stage
T76	4.084385396	0.95113754	Advanced_stage
T8	2.639287895	0.818024289	Early_stage
T9	2.955042463	0.858488832	Advanced_stage
