group	Term	Ratios	Group	freq
Herpesviridae	Roseolovirus	0.692790575	A	20
Herpesviridae	Cytomegalovirus	0.198510649	A	9
Herpesviridae	Lymphocryptovirus	0.030876051	A	5
Retroviridae	Lentivirus	0.039680835	A	10
Myoviridae	Brigitvirus	0.006741858	A	4
Siphoviridae	Pahexavirus	0.003977284	A	2
Guelinviridae	Gregsiragusavirus	0.004390693	A	1
Autographiviridae	Cronosvirus	0.003953896	A	1
Siphoviridae	Lughvirus	0.000799127	A	4
Siphoviridae	Gilsonvirus	0.002949732	A	1
Adenoviridae	Aviadenovirus	0.002598573	A	1
Autographiviridae	Acadevirus	0.002538142	A	1
Autographiviridae	Tuodvirus	0.002538142	A	1
Myoviridae	Eponavirus	0.000789496	A	3
Myoviridae	Taranisvirus	0.000696157	A	4
Siphoviridae	Moineauvirus	0.001457779	A	2
Siphoviridae	Ceetrepovirus	0.001474866	A	1
Myoviridae	Toutatisvirus	0.000711721	A	4
Myoviridae	Jiaodavirus	0	A	0
Podoviridae	Bruynoghevirus	0.000616611	A	1
Others	Others	0.001907813	A	10
Herpesviridae	Roseolovirus	0.786943847	Early	11
Herpesviridae	Cytomegalovirus	0.021523649	Early	3
Herpesviridae	Lymphocryptovirus	0.037319845	Early	9
Retroviridae	Lentivirus	0	Early	0
Myoviridae	Brigitvirus	0.016526256	Early	5
Siphoviridae	Pahexavirus	0	Early	0
Guelinviridae	Gregsiragusavirus	0	Early	0
Autographiviridae	Cronosvirus	0	Early	0
Siphoviridae	Lughvirus	0.037248217	Early	10
Siphoviridae	Gilsonvirus	0	Early	0
Adenoviridae	Aviadenovirus	0	Early	0
Autographiviridae	Acadevirus	0	Early	0
Autographiviridae	Tuodvirus	0	Early	0
Myoviridae	Eponavirus	0.023828591	Early	5
Myoviridae	Taranisvirus	0.012011212	Early	6
Siphoviridae	Moineauvirus	0.00035836	Early	1
Siphoviridae	Ceetrepovirus	0	Early	0
Myoviridae	Toutatisvirus	0.003805994	Early	4
Myoviridae	Jiaodavirus	0.014047972	Early	2
Podoviridae	Bruynoghevirus	0	Early	0
Others	Others	0.046386056	Early	19
Herpesviridae	Roseolovirus	0.032424356	Advanced	11
Herpesviridae	Cytomegalovirus	0.846019567	Advanced	7
Herpesviridae	Lymphocryptovirus	0.085574538	Advanced	9
Retroviridae	Lentivirus	0.000156179	Advanced	1
Myoviridae	Brigitvirus	0.003539154	Advanced	4
Siphoviridae	Pahexavirus	0.004862224	Advanced	2
Guelinviridae	Gregsiragusavirus	0	Advanced	0
Autographiviridae	Cronosvirus	0	Advanced	0
Siphoviridae	Lughvirus	0.010626889	Advanced	7
Siphoviridae	Gilsonvirus	0	Advanced	0
Adenoviridae	Aviadenovirus	0	Advanced	0
Autographiviridae	Acadevirus	0	Advanced	0
Autographiviridae	Tuodvirus	0	Advanced	0
Myoviridae	Eponavirus	0.00055326	Advanced	1
Myoviridae	Taranisvirus	0.003859283	Advanced	5
Siphoviridae	Moineauvirus	5.86E-05	Advanced	1
Siphoviridae	Ceetrepovirus	0	Advanced	0
Myoviridae	Toutatisvirus	0.00293173	Advanced	4
Myoviridae	Jiaodavirus	0	Advanced	0
Podoviridae	Bruynoghevirus	0	Advanced	0
Others	Others	0.009394252	Advanced	17
