node1	node2	cor_value
Acidovorax	Acinetobacter	0.427099096
Acidovorax	Corynebacterium	0.338639224
Acidovorax	Pseudomonas	0.430758478
Acidovorax	Comamonas	0.303996841
Acidovorax	Diaphorobacter	0.415446233
Acidovorax	Hydrogenophilus	0.305059787
Acinetobacter	Paracoccus	0.308945989
Acinetobacter	Pseudomonas	0.420421438
Acinetobacter	Sphingomonas	0.34378672
Acinetobacter	Cutibacterium	0.314333975
Acinetobacter	Comamonas	0.310142766
Acinetobacter	Diaphorobacter	0.317725958
Actinomyces	Bifidobacterium	0.300538594
Actinomyces	Faecalibacterium	0.305243075
Aeromonas	Streptomyces	0.308103125
Amycolatopsis	Streptomyces	0.322498021
Anoxybacillus	Flavonifractor	0.315716409
Anoxybacillus	Erysipelatoclostridium	0.314412065
Bacillus	Campylobacter	0.436864643
Bacillus	Chryseobacterium	0.320040003
Bacillus	Clostridioides	0.523068563
Bacillus	Clostridium	0.479376126
Bacillus	Enterococcus	0.464715524
Bacillus	Flavobacterium	0.327185021
Bacillus	Lactobacillus	0.358671014
Bacillus	Paenibacillus	0.541732435
Bacillus	Streptococcus	0.428863679
Bacillus	Streptomyces	0.392554167
Bacillus	Treponema	0.343005949
Bacillus	Methanomassiliicoccus_A	0.447925906
Bacillus	Methanobrevibacter_A	0.603172137
Bacillus	Methanosphaera	0.325559285
Bacillus	Schaalia	0.356368547
Bacillus	Bifidobacterium	0.471969755
Bacillus	Collinsella	0.429951607
Bacillus	Eggerthella	0.538378263
Bacillus	Gordonibacter	0.41916903
Bacillus	Bacteroides	0.497929452
Bacillus	Phocaeicola	0.445866381
Bacillus	Butyricimonas	0.381413599
Bacillus	Odoribacter	0.351001557
Bacillus	Paraprevotella	0.302268041
Bacillus	Prevotella	0.475598285
Bacillus	Alistipes	0.492442961
Bacillus	Parabacteroides	0.459684834
Bacillus	Christensenella	0.335326182
Bacillus	Hungatella	0.429995444
Bacillus	Eubacterium	0.523678519
Bacillus	Mogibacterium	0.345693222
Bacillus	Anaerobutyricum	0.586846951
Bacillus	Anaerocolumna	0.461525366
Bacillus	Anaerostipes	0.576061078
Bacillus	Blautia	0.583128525
Bacillus	Butyrivibrio	0.414816927
Bacillus	Coprococcus	0.539249543
Bacillus	Dorea	0.524791253
Bacillus	Enterocloster	0.571609254
Bacillus	Faecalicatena	0.554599839
Bacillus	Lachnoanaerobaculum	0.370809464
Bacillus	Lachnoclostridium	0.558152187
Bacillus	Lachnospira	0.448631035
Bacillus	Lacrimispora	0.503916482
Bacillus	Mediterraneibacter	0.537066647
Bacillus	Novisyntrophococcus	0.376232576
Bacillus	Pseudobutyrivibrio	0.376961244
Bacillus	Roseburia	0.531132399
Bacillus	Sellimonas	0.47258493
Bacillus	Acutalibacter	0.327782057
Bacillus	Anaerotruncus	0.443028302
Bacillus	Dysosmobacter	0.47550381
Bacillus	Faecalibacterium	0.487716068
Bacillus	Flavonifractor	0.560460358
Bacillus	Monoglobus	0.358915888
Bacillus	Oscillibacter	0.417118884
Bacillus	Pusillibacter	0.461039608
Bacillus	Ruminococcus	0.408733359
Bacillus	Ruthenibacterium	0.485955001
Bacillus	Vescimonas	0.494451863
Bacillus	Flintibacter	0.399524371
Bacillus	Intestinimonas	0.435628685
Bacillus	Massilistercora	0.444545303
Bacillus	Amedibacterium	0.408528608
Bacillus	Erysipelatoclostridium	0.422167919
Bacillus	Faecalibacillus	0.444039449
Bacillus	Faecalitalea	0.410635196
Bacillus	Longicatena	0.384279215
Bacillus	Phascolarctobacterium	0.441817927
Bacillus	Dialister	0.363291064
Bacillus	Parvimonas	0.380452096
Bacillus	Desulfovibrio	0.390952125
Bacillus	Akkermansia	0.431117639
Bradyrhizobium	Streptomyces	0.357751702
Brevibacillus	Campylobacter	0.30398632
Brevibacillus	Flavonifractor	0.332072357
Campylobacter	Chryseobacterium	0.348597353
Campylobacter	Clostridioides	0.50584797
Campylobacter	Clostridium	0.503742495
Campylobacter	Enterococcus	0.403830738
Campylobacter	Hymenobacter	0.303606156
Campylobacter	Lactobacillus	0.358528249
Campylobacter	Paenibacillus	0.468866291
Campylobacter	Streptococcus	0.336664572
Campylobacter	Treponema	0.38459902
Campylobacter	Vibrio	0.302073989
Campylobacter	Methanomassiliicoccus_A	0.339450575
Campylobacter	Methanobrevibacter_A	0.415123524
Campylobacter	Methanosphaera	0.388301539
Campylobacter	Bifidobacterium	0.339430135
Campylobacter	Eggerthella	0.484320887
Campylobacter	Gordonibacter	0.327857961
Campylobacter	Bacteroides	0.432838391
Campylobacter	Phocaeicola	0.328933041
Campylobacter	Porphyromonas	0.352419393
Campylobacter	Prevotella	0.436470877
Campylobacter	Alistipes	0.393560781
Campylobacter	Parabacteroides	0.331813116
Campylobacter	Tannerella	0.350220726
Campylobacter	Gemella	0.428921606
Campylobacter	Granulicatella	0.311493846
Campylobacter	Hungatella	0.453625
Campylobacter	Eubacterium	0.465013107
Campylobacter	Mogibacterium	0.376462884
Campylobacter	Anaerobutyricum	0.399789798
Campylobacter	Anaerocolumna	0.409510683
Campylobacter	Anaerostipes	0.404881636
Campylobacter	Anaerotignum	0.366511201
Campylobacter	Blautia	0.456398628
Campylobacter	Butyrivibrio	0.365637163
Campylobacter	Coprococcus	0.388484245
Campylobacter	Dorea	0.400278996
Campylobacter	Enterocloster	0.510473259
Campylobacter	Faecalicatena	0.460875499
Campylobacter	Lachnoanaerobaculum	0.360766422
Campylobacter	Lachnoclostridium	0.445772133
Campylobacter	Lachnospira	0.337145347
Campylobacter	Lacrimispora	0.469509561
Campylobacter	Mediterraneibacter	0.353018436
Campylobacter	Novisyntrophococcus	0.381668623
Campylobacter	Pseudobutyrivibrio	0.354623272
Campylobacter	Roseburia	0.382788151
Campylobacter	Sellimonas	0.419169432
Campylobacter	Acutalibacter	0.307265743
Campylobacter	Anaerotruncus	0.445622111
Campylobacter	Dysosmobacter	0.419296705
Campylobacter	Faecalibacterium	0.348797452
Campylobacter	Flavonifractor	0.532621353
Campylobacter	Oscillibacter	0.355184638
Campylobacter	Pusillibacter	0.426958616
Campylobacter	Ruminococcus	0.303289238
Campylobacter	Ruthenibacterium	0.422839707
Campylobacter	Vescimonas	0.341536729
Campylobacter	Filifactor	0.304829301
Campylobacter	Peptacetobacter	0.321342922
Campylobacter	Romboutsia	0.323885433
Campylobacter	Terrisporobacter	0.321974619
Campylobacter	Flintibacter	0.366247898
Campylobacter	Intestinimonas	0.339823853
Campylobacter	Massilistercora	0.37580119
Campylobacter	Amedibacterium	0.387287703
Campylobacter	Erysipelatoclostridium	0.376440112
Campylobacter	Faecalibacillus	0.419252039
Campylobacter	Faecalitalea	0.316798286
Campylobacter	Longicatena	0.335859054
Campylobacter	Phascolarctobacterium	0.334051242
Campylobacter	Dialister	0.411624613
Campylobacter	Parvimonas	0.512483904
Campylobacter	Fusobacterium	0.351072863
Campylobacter	Leptotrichia	0.333956814
Campylobacter	Desulfovibrio	0.300998523
Campylobacter	Akkermansia	0.321336241
Caulobacter	Eggerthella	0.310394896
Caulobacter	Anaerostipes	0.303739858
Chryseobacterium	Clostridioides	0.346860955
Chryseobacterium	Clostridium	0.329023121
Chryseobacterium	Paenibacillus	0.334532505
Chryseobacterium	Methanobrevibacter_A	0.336607838
Chryseobacterium	Bacteroides	0.326681972
Chryseobacterium	Prevotella	0.380650915
Chryseobacterium	Gemella	0.31846253
Chryseobacterium	Eubacterium	0.312780803
Chryseobacterium	Blautia	0.30842608
Chryseobacterium	Dorea	0.300561618
Chryseobacterium	Enterocloster	0.350333954
Chryseobacterium	Faecalicatena	0.312135375
Chryseobacterium	Lacrimispora	0.361984104
Chryseobacterium	Dysosmobacter	0.325594173
Chryseobacterium	Flavonifractor	0.363983618
Chryseobacterium	Oscillibacter	0.310039098
Chryseobacterium	Faecalibacillus	0.314440638
Citrobacter	Proteus	0.33698083
Citrobacter	Escherichia	0.439347848
Citrobacter	Salmonella	0.337588367
Clostridioides	Clostridium	0.598356049
Clostridioides	Enterococcus	0.47989098
Clostridioides	Flavobacterium	0.339029283
Clostridioides	Lactobacillus	0.324999857
Clostridioides	Paenibacillus	0.588671702
Clostridioides	Streptococcus	0.362555723
Clostridioides	Streptomyces	0.341308564
Clostridioides	Treponema	0.389700897
Clostridioides	Vibrio	0.304436012
Clostridioides	Candidatus Methanomethylophilus	0.32220222
Clostridioides	Methanomassiliicoccus_A	0.513132307
Clostridioides	Methanobrevibacter_A	0.6467763
Clostridioides	Methanosphaera	0.333462094
Clostridioides	Schaalia	0.390842336
Clostridioides	Bifidobacterium	0.533511991
Clostridioides	Collinsella	0.465371897
Clostridioides	Eggerthella	0.615449448
Clostridioides	Gordonibacter	0.50123122
Clostridioides	Bacteroides	0.550884802
Clostridioides	Phocaeicola	0.45501734
Clostridioides	Butyricimonas	0.406912194
Clostridioides	Odoribacter	0.46237735
Clostridioides	Porphyromonas	0.337109082
Clostridioides	Prevotella	0.467637142
Clostridioides	Alistipes	0.537265014
Clostridioides	Parabacteroides	0.495597672
Clostridioides	Gemella	0.339460429
Clostridioides	Christensenella	0.366272171
Clostridioides	Hungatella	0.447716609
Clostridioides	Eubacterium	0.615001155
Clostridioides	Mogibacterium	0.360616873
Clostridioides	Anaerobutyricum	0.624867067
Clostridioides	Anaerocolumna	0.512063289
Clostridioides	Anaerostipes	0.639861751
Clostridioides	Anaerotignum	0.378086987
Clostridioides	Blautia	0.671389142
Clostridioides	Butyrivibrio	0.464050196
Clostridioides	Coprococcus	0.583618849
Clostridioides	Dorea	0.574124517
Clostridioides	Enterocloster	0.613739069
Clostridioides	Faecalicatena	0.596116246
Clostridioides	Lachnoanaerobaculum	0.395985866
Clostridioides	Lachnoclostridium	0.642434857
Clostridioides	Lachnospira	0.507356393
Clostridioides	Lacrimispora	0.538282243
Clostridioides	Mediterraneibacter	0.561624335
Clostridioides	Novisyntrophococcus	0.479158639
Clostridioides	Pseudobutyrivibrio	0.428818564
Clostridioides	Roseburia	0.573014093
Clostridioides	Sellimonas	0.502562645
Clostridioides	Acutalibacter	0.367627042
Clostridioides	Anaerotruncus	0.465475918
Clostridioides	Caproicibacterium	0.30440232
Clostridioides	Dysosmobacter	0.563954226
Clostridioides	Faecalibacterium	0.526255444
Clostridioides	Flavonifractor	0.579858361
Clostridioides	Monoglobus	0.346134474
Clostridioides	Oscillibacter	0.468367344
Clostridioides	Pusillibacter	0.453592711
Clostridioides	Ruminococcus	0.456179574
Clostridioides	Ruthenibacterium	0.575081812
Clostridioides	Solibaculum	0.306849408
Clostridioides	Vescimonas	0.494149592
Clostridioides	Flintibacter	0.459110572
Clostridioides	Intestinimonas	0.453815006
Clostridioides	Massilistercora	0.475281239
Clostridioides	Amedibacterium	0.41922448
Clostridioides	Erysipelatoclostridium	0.501954868
Clostridioides	Faecalibacillus	0.528158421
Clostridioides	Faecalitalea	0.415700914
Clostridioides	Longicatena	0.46703994
Clostridioides	Phascolarctobacterium	0.485142547
Clostridioides	Selenomonas	0.354763594
Clostridioides	Dialister	0.402591012
Clostridioides	Parvimonas	0.416840965
Clostridioides	Fusobacterium	0.325952822
Clostridioides	Leptotrichia	0.321306703
Clostridioides	Desulfovibrio	0.488810358
Clostridioides	Akkermansia	0.441296349
Clostridium	Enterococcus	0.418977442
Clostridium	Lactobacillus	0.326115368
Clostridium	Paenibacillus	0.556559394
Clostridium	Streptococcus	0.379874093
Clostridium	Streptomyces	0.31824416
Clostridium	Treponema	0.33319176
Clostridium	Candidatus Methanomethylophilus	0.316655358
Clostridium	Methanomassiliicoccus_A	0.498635894
Clostridium	Methanobrevibacter_A	0.610533219
Clostridium	Methanosphaera	0.334432984
Clostridium	Schaalia	0.390899602
Clostridium	Bifidobacterium	0.594304051
Clostridium	Collinsella	0.455541124
Clostridium	Eggerthella	0.556631863
Clostridium	Gordonibacter	0.432047281
Clostridium	Bacteroides	0.538118545
Clostridium	Phocaeicola	0.410701134
Clostridium	Butyricimonas	0.4419746
Clostridium	Odoribacter	0.464809119
Clostridium	Porphyromonas	0.310181899
Clostridium	Paraprevotella	0.327046442
Clostridium	Prevotella	0.473320207
Clostridium	Alistipes	0.545787642
Clostridium	Parabacteroides	0.513623185
Clostridium	Gemella	0.317303095
Clostridium	Christensenella	0.373615162
Clostridium	Hungatella	0.450417028
Clostridium	Eubacterium	0.651491036
Clostridium	Mogibacterium	0.353600198
Clostridium	Anaerobutyricum	0.637725637
Clostridium	Anaerocolumna	0.526933095
Clostridium	Anaerostipes	0.617934244
Clostridium	Anaerotignum	0.338921799
Clostridium	Blautia	0.667209027
Clostridium	Butyrivibrio	0.433543241
Clostridium	Coprococcus	0.578899805
Clostridium	Dorea	0.610317491
Clostridium	Enterocloster	0.585802998
Clostridium	Faecalicatena	0.623255544
Clostridium	Lachnoanaerobaculum	0.386157491
Clostridium	Lachnoclostridium	0.60080104
Clostridium	Lachnospira	0.517552494
Clostridium	Lacrimispora	0.559909805
Clostridium	Mediterraneibacter	0.479881053
Clostridium	Novisyntrophococcus	0.449306176
Clostridium	Pseudobutyrivibrio	0.378290466
Clostridium	Roseburia	0.556850754
Clostridium	Sellimonas	0.541171849
Clostridium	Acetivibrio	0.301215462
Clostridium	Acutalibacter	0.336736348
Clostridium	Anaerotruncus	0.464394839
Clostridium	Dysosmobacter	0.595181477
Clostridium	Faecalibacterium	0.554296056
Clostridium	Flavonifractor	0.623514244
Clostridium	Monoglobus	0.302086525
Clostridium	Oscillibacter	0.485878468
Clostridium	Pusillibacter	0.458197851
Clostridium	Ruminococcus	0.452792989
Clostridium	Ruthenibacterium	0.548959088
Clostridium	Vescimonas	0.551540041
Clostridium	Romboutsia	0.300497072
Clostridium	Flintibacter	0.459710522
Clostridium	Intestinimonas	0.423909768
Clostridium	Massilistercora	0.433901377
Clostridium	Amedibacterium	0.406419377
Clostridium	Erysipelatoclostridium	0.519851721
Clostridium	Faecalibacillus	0.431121674
Clostridium	Faecalitalea	0.403093041
Clostridium	Longicatena	0.441928988
Clostridium	Phascolarctobacterium	0.513076089
Clostridium	Selenomonas	0.310170334
Clostridium	Dialister	0.378835984
Clostridium	Parvimonas	0.397142354
Clostridium	Desulfovibrio	0.490037456
Clostridium	Akkermansia	0.425317875
Corynebacterium	Paracoccus	0.37880633
Corynebacterium	Pseudomonas	0.470267693
Corynebacterium	Sphingomonas	0.361154912
Corynebacterium	Cutibacterium	0.432352829
Corynebacterium	Eggerthella	0.32030984
Corynebacterium	Ralstonia	0.408987573
