node1	node2	cor_value
Achromobacter	Acidovorax	0.319747887
Achromobacter	Actinomyces	0.309190765
Achromobacter	Corynebacterium	0.381071861
Achromobacter	Microbacterium	0.329484628
Achromobacter	Paracoccus	0.367055465
Achromobacter	Pseudomonas	0.319387652
Achromobacter	Streptomyces	0.306484263
Achromobacter	Xanthomonas	0.301114103
Achromobacter	Diaphorobacter	0.35035634
Acidovorax	Acinetobacter	0.41639967
Acidovorax	Actinomyces	0.408217758
Acidovorax	Anoxybacillus	0.304053892
Acidovorax	Bacillus	0.377319103
Acidovorax	Bordetella	0.336272085
Acidovorax	Brevundimonas	0.325233507
Acidovorax	Burkholderia	0.338767048
Acidovorax	Chryseobacterium	0.342613932
Acidovorax	Clostridioides	0.309604988
Acidovorax	Corynebacterium	0.398379745
Acidovorax	Microbacterium	0.327441003
Acidovorax	Nocardioides	0.326110631
Acidovorax	Paracoccus	0.474613847
Acidovorax	Pseudomonas	0.482244478
Acidovorax	Rothia	0.312847474
Acidovorax	Sphingomonas	0.412165574
Acidovorax	Staphylococcus	0.334542077
Acidovorax	Stenotrophomonas	0.312157168
Acidovorax	Streptomyces	0.418419383
Acidovorax	Variovorax	0.305523322
Acidovorax	Methanomassiliicoccus_A	0.327705327
Acidovorax	Cutibacterium	0.350778996
Acidovorax	Collinsella	0.327220321
Acidovorax	Eggerthella	0.366752184
Acidovorax	Gordonibacter	0.319826627
Acidovorax	Gemella	0.324144534
Acidovorax	Mogibacterium	0.320074183
Acidovorax	Anaerobutyricum	0.334276294
Acidovorax	Anaerocolumna	0.3369429
Acidovorax	Anaerostipes	0.363042198
Acidovorax	Blautia	0.333809483
Acidovorax	Coprococcus	0.398767496
Acidovorax	Dorea	0.398184532
Acidovorax	Faecalicatena	0.308125732
Acidovorax	Mediterraneibacter	0.359559259
Acidovorax	Pseudobutyrivibrio	0.326212075
Acidovorax	Roseburia	0.343881522
Acidovorax	Dysosmobacter	0.304228326
Acidovorax	Faecalibacterium	0.37366016
Acidovorax	Longicatena	0.366550942
Acidovorax	Leptotrichia	0.34230295
Acidovorax	Methylorubrum	0.366119526
Acidovorax	Alicycliphilus	0.382229867
Acidovorax	Comamonas	0.448814192
Acidovorax	Diaphorobacter	0.518715656
Acinetobacter	Actinomyces	0.350199076
Acinetobacter	Bacillus	0.352095464
Acinetobacter	Chryseobacterium	0.397880524
Acinetobacter	Clostridium	0.365176925
Acinetobacter	Corynebacterium	0.334916268
Acinetobacter	Lactobacillus	0.312532546
Acinetobacter	Paenibacillus	0.335902027
Acinetobacter	Paracoccus	0.443295472
Acinetobacter	Providencia	0.374673706
Acinetobacter	Pseudomonas	0.471940104
Acinetobacter	Staphylococcus	0.415714298
Acinetobacter	Streptomyces	0.420477273
Acinetobacter	Methanomassiliicoccus_A	0.362524571
Acinetobacter	Methanobrevibacter_A	0.300044716
Acinetobacter	Methanosphaera	0.33726214
Acinetobacter	Cutibacterium	0.312502612
Acinetobacter	Olsenella	0.331987914
Acinetobacter	Eubacterium	0.381035907
Acinetobacter	Anaerobutyricum	0.315595763
Acinetobacter	Anaerocolumna	0.314208299
Acinetobacter	Anaerostipes	0.302395625
Acinetobacter	Blautia	0.365104834
Acinetobacter	Butyrivibrio	0.321033918
Acinetobacter	Coprococcus	0.358140051
Acinetobacter	Dorea	0.353100004
Acinetobacter	Lachnoclostridium	0.340834592
Acinetobacter	Mediterraneibacter	0.323326909
Acinetobacter	Pseudobutyrivibrio	0.301874291
Acinetobacter	Roseburia	0.358842322
Acinetobacter	Acutalibacter	0.304647733
Acinetobacter	Dysosmobacter	0.354854801
Acinetobacter	Faecalibacterium	0.385536729
Acinetobacter	Oscillibacter	0.331307021
Acinetobacter	Ruminococcus	0.30743426
Acinetobacter	Peptacetobacter	0.307341323
Acinetobacter	Turicibacter	0.307460736
Acinetobacter	Anaerococcus	0.319676003
Acinetobacter	Leptotrichia	0.307879836
Acinetobacter	Comamonas	0.360514456
Acinetobacter	Diaphorobacter	0.44045886
Actinomyces	Amycolatopsis	0.310420067
Actinomyces	Anoxybacillus	0.307731281
Actinomyces	Bacillus	0.541337875
Actinomyces	Bordetella	0.40628667
Actinomyces	Brevibacillus	0.372225345
Actinomyces	Burkholderia	0.391191761
Actinomyces	Campylobacter	0.427081205
Actinomyces	Capnocytophaga	0.301604966
Actinomyces	Carnobacterium	0.331694857
Actinomyces	Chryseobacterium	0.55913977
Actinomyces	Clostridioides	0.588155727
Actinomyces	Clostridium	0.607789305
Actinomyces	Corynebacterium	0.544317327
Actinomyces	Deinococcus	0.344439424
Actinomyces	Flavobacterium	0.435047104
Actinomyces	Haemophilus	0.367078731
Actinomyces	Hymenobacter	0.349409749
Actinomyces	Lactobacillus	0.472876711
Actinomyces	Lactococcus	0.445247475
Actinomyces	Limosilactobacillus	0.326387809
Actinomyces	Lysinibacillus	0.350319539
Actinomyces	Macrococcus	0.390133283
Actinomyces	Massilia	0.314842321
Actinomyces	Metabacillus	0.364416274
Actinomyces	Microbacterium	0.450582396
Actinomyces	Neisseria	0.358496968
Actinomyces	Nocardia	0.359908602
Actinomyces	Paenibacillus	0.511836543
Actinomyces	Paracoccus	0.3219868
Actinomyces	Planococcus	0.311320201
Actinomyces	Polaribacter	0.310419043
Actinomyces	Priestia	0.446581373
Actinomyces	Pseudoalteromonas	0.302478445
Actinomyces	Pseudomonas	0.456768429
Actinomyces	Rothia	0.399829024
Actinomyces	Sphingobacterium	0.380446799
Actinomyces	Sporosarcina	0.316224304
Actinomyces	Staphylococcus	0.52394824
Actinomyces	Streptococcus	0.461145826
Actinomyces	Streptomyces	0.602774042
Actinomyces	Treponema	0.556141758
Actinomyces	Vibrio	0.333062317
Actinomyces	Virgibacillus	0.338458693
Actinomyces	Candidatus Methanomethylophilus	0.339011972
Actinomyces	Methanomassiliicoccus_A	0.55354148
Actinomyces	Methanobrevibacter_A	0.599905658
Actinomyces	Methanosphaera	0.413948565
Actinomyces	Schaalia	0.549042317
Actinomyces	Bifidobacterium	0.447214557
Actinomyces	Olsenella	0.53282611
Actinomyces	Parolsenella	0.402092121
Actinomyces	Collinsella	0.328395508
Actinomyces	Adlercreutzia	0.367349315
Actinomyces	Arabiibacter	0.321282495
Actinomyces	Eggerthella	0.504980214
Actinomyces	Gordonibacter	0.498015034
Actinomyces	Raoultibacter	0.318280252
Actinomyces	Bacteroides	0.386111222
Actinomyces	Porphyromonas	0.305056022
Actinomyces	Prevotella	0.432853169
Actinomyces	Parabacteroides	0.311787452
Actinomyces	Candidatus Nanosynbacter	0.395216968
Actinomyces	Alkalihalobacillus	0.363130745
Actinomyces	Cytobacillus	0.325857012
Actinomyces	Listeria	0.333080869
Actinomyces	Gemella	0.401232855
Actinomyces	Granulicatella	0.390629755
Actinomyces	Vagococcus	0.3392139
Actinomyces	Ligilactobacillus	0.405469596
Actinomyces	Christensenella	0.481464631
Actinomyces	Crassaminicella	0.386544646
Actinomyces	Hungatella	0.50230002
Actinomyces	Paraclostridium	0.335963797
Actinomyces	Acetobacterium	0.307459078
Actinomyces	Eubacterium	0.553889135
Actinomyces	Aminipila	0.410163328
Actinomyces	Emergencia	0.329067707
Actinomyces	Mogibacterium	0.571799851
Actinomyces	Anaerobutyricum	0.560627944
Actinomyces	Anaerocolumna	0.528216152
Actinomyces	Anaerostipes	0.576512
Actinomyces	Anaerotignum	0.429088542
Actinomyces	Blautia	0.602054628
Actinomyces	Butyrivibrio	0.487302443
Actinomyces	Cellulosilyticum	0.370923944
Actinomyces	Coprococcus	0.539350587
Actinomyces	Dorea	0.60287601
Actinomyces	Enterocloster	0.524673377
Actinomyces	Faecalicatena	0.524522741
Actinomyces	Herbinix	0.361672374
Actinomyces	Lachnoanaerobaculum	0.408554619
Actinomyces	Lachnoclostridium	0.57370829
Actinomyces	Lachnospira	0.423959042
Actinomyces	Lacrimispora	0.556464846
Actinomyces	Mediterraneibacter	0.530775579
Actinomyces	Novisyntrophococcus	0.503666986
Actinomyces	Pseudobutyrivibrio	0.462941877
Actinomyces	Roseburia	0.553956529
Actinomyces	Sellimonas	0.371600812
Actinomyces	Acetivibrio	0.480962387
Actinomyces	Acutalibacter	0.462597463
Actinomyces	Anaerotruncus	0.306227931
Actinomyces	Caproicibacterium	0.393887371
Actinomyces	Dysosmobacter	0.51340333
Actinomyces	Faecalibacterium	0.577207053
Actinomyces	Flavonifractor	0.454286482
Actinomyces	Oscillibacter	0.469704402
Actinomyces	Pusillibacter	0.509411475
Actinomyces	Ruminiclostridium	0.399819394
Actinomyces	Ruminococcus	0.454589454
Actinomyces	Ruthenibacterium	0.409342846
Actinomyces	Solibaculum	0.321422209
Actinomyces	Vescimonas	0.348129783
Actinomyces	Filifactor	0.378157654
Actinomyces	Paeniclostridium	0.301982228
Actinomyces	Peptacetobacter	0.441198813
Actinomyces	Romboutsia	0.502062128
Actinomyces	Vallitalea	0.418286175
Actinomyces	Flintibacter	0.482681174
Actinomyces	Intestinimonas	0.389765025
Actinomyces	Massilistercora	0.487960689
Actinomyces	Caldicellulosiruptor	0.396523902
Actinomyces	Thermoanaerobacterium	0.345123138
Actinomyces	Amedibacterium	0.424809676
Actinomyces	Bulleidia	0.342235545
Actinomyces	Erysipelatoclostridium	0.415364017
Actinomyces	Erysipelothrix	0.334719932
Actinomyces	Faecalibacillus	0.388319326
Actinomyces	Faecalitalea	0.432342207
Actinomyces	Intestinibaculum	0.311703838
Actinomyces	Longicatena	0.561110612
Actinomyces	Turicibacter	0.373560841
Actinomyces	Phascolarctobacterium	0.386071324
Actinomyces	Selenomonas	0.439053655
Actinomyces	Finegoldia	0.338374169
Actinomyces	Parvimonas	0.324107142
Actinomyces	Fusobacterium	0.305941568
Actinomyces	Leptotrichia	0.48585256
Actinomyces	Comamonas	0.42405485
Actinomyces	Escherichia	0.344212328
Actinomyces	Lughvirus	0.332755534
Aeromonas	Klebsiella	0.349646713
Aeromonas	Shigella	0.304423929
Aeromonas	Escherichia	0.332196344
Amycolatopsis	Bacillus	0.379017566
Amycolatopsis	Bordetella	0.339230485
Amycolatopsis	Brevibacillus	0.307844128
Amycolatopsis	Chryseobacterium	0.397151383
Amycolatopsis	Clostridioides	0.374182974
Amycolatopsis	Clostridium	0.361728958
Amycolatopsis	Corynebacterium	0.372248883
Amycolatopsis	Flavobacterium	0.315387759
Amycolatopsis	Hymenobacter	0.337391791
Amycolatopsis	Klebsiella	0.358499481
Amycolatopsis	Lactobacillus	0.334805609
Amycolatopsis	Lactococcus	0.365256922
Amycolatopsis	Paenibacillus	0.413170965
Amycolatopsis	Priestia	0.310243098
Amycolatopsis	Pseudomonas	0.400901565
Amycolatopsis	Staphylococcus	0.347302314
