node1	node2	cor_value
Achromobacter	Acidovorax	0.332769741
Achromobacter	Acinetobacter	0.325413156
Achromobacter	Massilia	0.303198896
Achromobacter	Paracoccus	0.342392805
Achromobacter	Pseudomonas	0.371649439
Achromobacter	Diaphorobacter	0.39318793
Acidovorax	Acinetobacter	0.520537937
Acidovorax	Anoxybacillus	0.32061948
Acidovorax	Bacillus	0.307190401
Acidovorax	Bradyrhizobium	0.344940883
Acidovorax	Brevundimonas	0.311658594
Acidovorax	Caulobacter	0.437986311
Acidovorax	Corynebacterium	0.399075442
Acidovorax	Hydrogenophaga	0.308490268
Acidovorax	Massilia	0.350908736
Acidovorax	Nocardioides	0.319254353
Acidovorax	Paracoccus	0.47719625
Acidovorax	Providencia	0.350129198
Acidovorax	Pseudomonas	0.420627065
Acidovorax	Pseudoxanthomonas	0.35689614
Acidovorax	Sphingomonas	0.558992269
Acidovorax	Staphylococcus	0.308464938
Acidovorax	Stenotrophomonas	0.421886391
Acidovorax	Streptomyces	0.324663961
Acidovorax	Cutibacterium	0.406318356
Acidovorax	Pusillibacter	0.304241314
Acidovorax	Longicatena	0.313757058
Acidovorax	Bosea	0.366989095
Acidovorax	Methylorubrum	0.530142793
Acidovorax	Phreatobacter	0.408513149
Acidovorax	Ralstonia	0.366932124
Acidovorax	Alicycliphilus	0.400981557
Acidovorax	Comamonas	0.415214427
Acidovorax	Diaphorobacter	0.50916167
Acidovorax	Rhodoferax	0.325850264
Acinetobacter	Actinomyces	0.405996288
Acinetobacter	Amycolatopsis	0.302437754
Acinetobacter	Anoxybacillus	0.36342584
Acinetobacter	Arthrobacter	0.389119775
Acinetobacter	Bacillus	0.549338818
Acinetobacter	Bradyrhizobium	0.351677419
Acinetobacter	Burkholderia	0.304862292
Acinetobacter	Caulobacter	0.333137473
Acinetobacter	Chryseobacterium	0.398079823
Acinetobacter	Clostridioides	0.388192877
Acinetobacter	Clostridium	0.494340341
Acinetobacter	Corynebacterium	0.530744933
Acinetobacter	Cupriavidus	0.342328755
Acinetobacter	Flavobacterium	0.45670858
Acinetobacter	Hydrogenophaga	0.323756304
Acinetobacter	Lactobacillus	0.308956142
Acinetobacter	Limosilactobacillus	0.318761624
Acinetobacter	Massilia	0.447917693
Acinetobacter	Metabacillus	0.313154057
Acinetobacter	Microbacterium	0.441166472
Acinetobacter	Paenibacillus	0.399926509
Acinetobacter	Paracoccus	0.478062455
Acinetobacter	Polaribacter	0.310310863
Acinetobacter	Priestia	0.369414805
Acinetobacter	Proteus	0.352883203
Acinetobacter	Providencia	0.361463038
Acinetobacter	Pseudomonas	0.539856727
Acinetobacter	Sphingobacterium	0.306149772
Acinetobacter	Sphingomonas	0.475589859
Acinetobacter	Staphylococcus	0.554770133
Acinetobacter	Stenotrophomonas	0.379892933
Acinetobacter	Streptomyces	0.486215556
Acinetobacter	Treponema	0.327043653
Acinetobacter	Vibrio	0.349964983
Acinetobacter	Candidatus Methanomethylophilus	0.343453244
Acinetobacter	Methanomassiliicoccus_A	0.407143933
Acinetobacter	Methanobrevibacter_A	0.482445865
Acinetobacter	Schaalia	0.374302787
Acinetobacter	Cutibacterium	0.365776551
Acinetobacter	Olsenella	0.412149343
Acinetobacter	Parafannyhessea	0.312232835
Acinetobacter	Parolsenella	0.394863262
Acinetobacter	Collinsella	0.350364755
Acinetobacter	Adlercreutzia	0.374075502
Acinetobacter	Eggerthella	0.510717222
Acinetobacter	Gordonibacter	0.471113948
Acinetobacter	Bacteroides	0.372175055
Acinetobacter	Porphyromonas	0.325363653
Acinetobacter	Prevotella	0.340266824
Acinetobacter	Parabacteroides	0.355378266
Acinetobacter	Listeria	0.33850424
Acinetobacter	Ligilactobacillus	0.321930252
Acinetobacter	Christensenella	0.333640054
Acinetobacter	Hungatella	0.327435652
Acinetobacter	Eubacterium	0.444675442
Acinetobacter	Anaerobutyricum	0.436821208
Acinetobacter	Anaerocolumna	0.397649131
Acinetobacter	Anaerostipes	0.492712871
Acinetobacter	Anaerotignum	0.342705178
Acinetobacter	Blautia	0.492195996
Acinetobacter	Butyrivibrio	0.493264996
Acinetobacter	Coprococcus	0.48982429
Acinetobacter	Dorea	0.474155659
Acinetobacter	Enterocloster	0.385717716
Acinetobacter	Faecalicatena	0.413257064
Acinetobacter	Herbinix	0.400611137
Acinetobacter	Lachnoclostridium	0.477085324
Acinetobacter	Lachnospira	0.445608949
Acinetobacter	Lacrimispora	0.406955296
Acinetobacter	Mediterraneibacter	0.450541405
Acinetobacter	Novisyntrophococcus	0.345527687
Acinetobacter	Pseudobutyrivibrio	0.375747625
Acinetobacter	Roseburia	0.4983317
Acinetobacter	Sellimonas	0.333306749
Acinetobacter	Acutalibacter	0.37743721
Acinetobacter	Dysosmobacter	0.44615039
Acinetobacter	Faecalibacterium	0.482087686
Acinetobacter	Flavonifractor	0.439989522
Acinetobacter	Oscillibacter	0.41931783
Acinetobacter	Pusillibacter	0.477626973
Acinetobacter	Ruminococcus	0.417741455
Acinetobacter	Ruthenibacterium	0.325751439
Acinetobacter	Solibaculum	0.337955137
Acinetobacter	Vescimonas	0.365071444
Acinetobacter	Peptacetobacter	0.333699005
Acinetobacter	Romboutsia	0.376563159
Acinetobacter	Flintibacter	0.375571066
Acinetobacter	Intestinimonas	0.343736349
Acinetobacter	Massilistercora	0.331497407
Acinetobacter	Caldicellulosiruptor	0.325757178
Acinetobacter	Amedibacterium	0.359545052
Acinetobacter	Erysipelatoclostridium	0.321441125
Acinetobacter	Faecalibacillus	0.321794565
Acinetobacter	Longicatena	0.446185152
Acinetobacter	Turicibacter	0.355341601
Acinetobacter	Phascolarctobacterium	0.345655377
Acinetobacter	Megamonas	0.400674437
Acinetobacter	Anaerococcus	0.367710234
Acinetobacter	Fusobacterium	0.304461525
Acinetobacter	Methylorubrum	0.4107976
Acinetobacter	Ralstonia	0.311965307
Acinetobacter	Comamonas	0.379371397
Acinetobacter	Diaphorobacter	0.468761769
Acinetobacter	Desulfovibrio	0.364561506
Actinomyces	Arthrobacter	0.352898664
Actinomyces	Bacillus	0.405704458
Actinomyces	Bradyrhizobium	0.32788155
Actinomyces	Brevibacillus	0.311609581
Actinomyces	Campylobacter	0.391375403
Actinomyces	Chryseobacterium	0.445987632
Actinomyces	Clostridioides	0.423452751
Actinomyces	Clostridium	0.433667404
Actinomyces	Corynebacterium	0.431317031
Actinomyces	Flavobacterium	0.335504074
Actinomyces	Massilia	0.303163358
Actinomyces	Microbacterium	0.310407832
Actinomyces	Paenibacillus	0.443838961
Actinomyces	Paracoccus	0.384402947
Actinomyces	Priestia	0.316065572
Actinomyces	Pseudomonas	0.32670694
Actinomyces	Rothia	0.384816747
Actinomyces	Sphingomonas	0.307902937
Actinomyces	Staphylococcus	0.420587843
Actinomyces	Streptomyces	0.436303109
Actinomyces	Treponema	0.344470058
Actinomyces	Candidatus Methanomethylophilus	0.316603382
Actinomyces	Methanomassiliicoccus_A	0.393877615
