node1	node2	cor_value
Achromobacter	Acidovorax	0.431338853
Achromobacter	Acinetobacter	0.398560572
Achromobacter	Actinomyces	0.345124833
Achromobacter	Bordetella	0.345552304
Achromobacter	Corynebacterium	0.345535857
Achromobacter	Hydrogenophaga	0.354884309
Achromobacter	Massilia	0.399934708
Achromobacter	Paracoccus	0.378139965
Achromobacter	Pseudomonas	0.469653018
Achromobacter	Sphingomonas	0.444151546
Achromobacter	Staphylococcus	0.32900509
Achromobacter	Streptomyces	0.320972576
Achromobacter	Thermomonas	0.335940762
Achromobacter	Schaalia	0.382187804
Achromobacter	Adlercreutzia	0.350004463
Achromobacter	Eggerthella	0.313133633
Achromobacter	Gordonibacter	0.303208105
Achromobacter	Eubacterium	0.322539575
Achromobacter	Lachnospira	0.315151917
Achromobacter	Solibaculum	0.307088258
Achromobacter	Flintibacter	0.331429484
Achromobacter	Ralstonia	0.304812511
Achromobacter	Alicycliphilus	0.332412351
Achromobacter	Comamonas	0.353425627
Achromobacter	Diaphorobacter	0.410832067
Acidithiobacillus	Ruminococcus	-0.307214893
Acidovorax	Acinetobacter	0.525366591
Acidovorax	Actinomyces	0.516317532
Acidovorax	Bacillus	0.333697333
Acidovorax	Bordetella	0.35614066
Acidovorax	Bradyrhizobium	0.325781793
Acidovorax	Brevundimonas	0.326180651
Acidovorax	Caulobacter	0.307809359
Acidovorax	Chitinophaga	0.301615675
Acidovorax	Corynebacterium	0.452929796
Acidovorax	Cupriavidus	0.349579972
Acidovorax	Halomonas	0.314995408
Acidovorax	Hydrogenophaga	0.369278496
Acidovorax	Massilia	0.470980464
Acidovorax	Metabacillus	0.333264652
Acidovorax	Microbacterium	0.346190718
Acidovorax	Nocardioides	0.315837281
Acidovorax	Paenibacillus	0.362111114
Acidovorax	Paracoccus	0.580651841
Acidovorax	Priestia	0.355096261
Acidovorax	Pseudomonas	0.587257903
Acidovorax	Rothia	0.402280519
Acidovorax	Shigella	0.327563253
Acidovorax	Sphingomonas	0.615324755
Acidovorax	Staphylococcus	0.446910462
Acidovorax	Stenotrophomonas	0.46665457
Acidovorax	Streptomyces	0.370168704
Acidovorax	Thermomonas	0.311405499
Acidovorax	Variovorax	0.305212052
Acidovorax	Vibrio	0.32445875
Acidovorax	Schaalia	0.351131692
Acidovorax	Cutibacterium	0.34396564
Acidovorax	Olsenella	0.346004506
Acidovorax	Parolsenella	0.341831766
Acidovorax	Gordonibacter	0.391139927
Acidovorax	Vagococcus	0.314848415
Acidovorax	Christensenella	0.34576845
Acidovorax	Eubacterium	0.310285127
Acidovorax	Butyrivibrio	0.339588477
Acidovorax	Cellulosilyticum	0.304143277
Acidovorax	Lachnospira	0.335095286
Acidovorax	Dysosmobacter	0.349339205
