node1	node2	cor_value
Acaryochloris	Methanosphaera	-0.307570753
Acaryochloris	Anaerococcus	-0.306393131
Acetobacter	Peptoniphilus	0.330793997
Achromobacter	Lancefieldella	0.310507488
Achromobacter	Diaphorobacter	0.325276511
Acidianus	Clostridium	-0.303740398
Acidianus	Methanosphaera	-0.305849182
Acidianus	Lachnoanaerobaculum	-0.322090216
Acidiphilium	Methanosphaera	-0.306040601
Acidiphilium	Romboutsia	-0.313104993
Acidovorax	Acinetobacter	0.507046064
Acidovorax	Aeromonas	0.398574548
Acidovorax	Anoxybacillus	0.489562985
Acidovorax	Bradyrhizobium	0.37148816
Acidovorax	Caulobacter	0.51782268
Acidovorax	Deinococcus	0.300696812
Acidovorax	Hydrogenophaga	0.324977085
Acidovorax	Kinneretia	0.306259851
Acidovorax	Lysobacter	0.394906622
Acidovorax	Methylobacterium	0.440640607
Acidovorax	Nocardioides	0.306797787
Acidovorax	Paracoccus	0.340489545
Acidovorax	Proteus	0.354890864
Acidovorax	Providencia	0.387974153
Acidovorax	Pseudomonas	0.316905857
Acidovorax	Pseudoxanthomonas	0.525859599
Acidovorax	Sphingobium	0.304042334
Acidovorax	Sphingomonas	0.539194724
Acidovorax	Stenotrophomonas	0.3783623
Acidovorax	Variovorax	0.316368567
Acidovorax	Xanthomonas	0.348788996
Acidovorax	Cutibacterium	0.414757653
Acidovorax	Acidaminococcus	0.309713019
Acidovorax	Bosea	0.426728518
Acidovorax	Methylorubrum	0.5741693
Acidovorax	Phreatobacter	0.508440583
Acidovorax	Ralstonia	0.332239454
Acidovorax	Alicycliphilus	0.354823679
Acidovorax	Comamonas	0.383380726
Acidovorax	Diaphorobacter	0.39670145
Acidovorax	Rhodoferax	0.408638705
Acidovorax	Ideonella	0.323315269
Acinetobacter	Actinomyces	0.369563122
Acinetobacter	Aeromonas	0.414855768
Acinetobacter	Anoxybacillus	0.501382481
Acinetobacter	Arthrobacter	0.439929446
Acinetobacter	Bacillus	0.563812692
Acinetobacter	Blattabacterium	0.372335141
Acinetobacter	Bradyrhizobium	0.368233314
Acinetobacter	Brevibacillus	0.34776284
