Node	Type	Mean_counts
Acaryochloris	Bacteria|Cyanobacteria	
Acetobacter	Bacteria|Proteobacteria	
Achromobacter	Bacteria|Proteobacteria	
Acidianus	Archaea|Crenarchaeota	
Acidiphilium	Bacteria|Proteobacteria	
Acidithiobacillus	Bacteria|Proteobacteria	0.001
Acidovorax	Bacteria|Proteobacteria	
Acinetobacter	Bacteria|Proteobacteria	
Actinomyces	Bacteria|Actinobacteria	
Actinosynnema	Bacteria|Actinobacteria	
Aeromicrobium	Bacteria|Actinobacteria	
Aeromonas	Bacteria|Proteobacteria	
Agrobacterium	Bacteria|Proteobacteria	0.001
Agrococcus	Bacteria|Actinobacteria	
Algibacter	Bacteria|Bacteroidetes	0.001
Alteromonas	Bacteria|Proteobacteria	
Alysiella	Bacteria|Proteobacteria	
Aminobacter	Bacteria|Proteobacteria	
Amycolatopsis	Bacteria|Actinobacteria	
Ancylobacter	Bacteria|Proteobacteria	0.001
Anoxybacillus	Bacteria|Firmicutes	
Aquihabitans	Bacteria|Actinobacteria	
Aquirufa	Bacteria|Bacteroidetes	0.001
Aquitalea	Bacteria|Proteobacteria	
Arachidicoccus	Bacteria|Bacteroidetes	
Arcobacter	Bacteria|Proteobacteria	
Arthrobacter	Bacteria|Actinobacteria	
Aurantimicrobium	Bacteria|Actinobacteria	
Avipoxvirus	Viruses|Nucleocytoviricota	
Azospirillum	Bacteria|Proteobacteria	0.001
Azotobacter	Bacteria|Proteobacteria	
Bacillus	Bacteria|Firmicutes	
Basfia	Bacteria|Proteobacteria	
Blattabacterium	Bacteria|Bacteroidetes	
Bordetella	Bacteria|Proteobacteria	0.001
Bradyrhizobium	Bacteria|Proteobacteria	
Brevibacillus	Bacteria|Firmicutes	
Brevundimonas	Bacteria|Proteobacteria	
Brucella	Bacteria|Proteobacteria	0.001
Burkholderia	Bacteria|Proteobacteria	
Buttiauxella	Bacteria|Proteobacteria	
Caenibius	Bacteria|Proteobacteria	
Campylobacter	Bacteria|Proteobacteria	
Candidatus Arthromitus	Bacteria|Firmicutes	
Candidatus Kinetoplastibacterium	Bacteria|Proteobacteria	
Candidatus Nitrosocosmicus	Archaea|Thaumarchaeota	
Candidatus Nitrotoga	Bacteria|Proteobacteria	
Candidatus Ruthia	Bacteria|Proteobacteria	0.001
Capnocytophaga	Bacteria|Bacteroidetes	
Capripoxvirus	Viruses|Nucleocytoviricota	
Carnobacterium	Bacteria|Firmicutes	
Caulobacter	Bacteria|Proteobacteria	
Cellulophaga	Bacteria|Bacteroidetes	
Chitinophaga	Bacteria|Bacteroidetes	
Chromobacterium	Bacteria|Proteobacteria	0.001
Chryseobacterium	Bacteria|Bacteroidetes	
Citrobacter	Bacteria|Proteobacteria	
Clostridioides	Bacteria|Firmicutes	
Clostridium	Bacteria|Firmicutes	
Cobetia	Bacteria|Proteobacteria	
Corynebacterium	Bacteria|Actinobacteria	
Croceicoccus	Bacteria|Proteobacteria	
Cryobacterium	Bacteria|Actinobacteria	
Cryptococcus	Fungi|Basidiomycota	0.001
Cupriavidus	Bacteria|Proteobacteria	
Dehalobacter	Bacteria|Firmicutes	
Deinococcus	Bacteria|Deinococcus-Thermus	
Delftia	Bacteria|Proteobacteria	
Dermacoccus	Bacteria|Actinobacteria	
Dolichospermum	Bacteria|Cyanobacteria	
Ectothiorhodospira	Bacteria|Proteobacteria	
Edwardsiella	Bacteria|Proteobacteria	
Elizabethkingia	Bacteria|Bacteroidetes	
Emaravirus	Viruses|Negarnaviricota	
Enterobacter	Bacteria|Proteobacteria	
Enterococcus	Bacteria|Firmicutes	
Entomomonas	Bacteria|Proteobacteria	
Eremothecium	Fungi|Ascomycota	
Erwinia	Bacteria|Proteobacteria	
Erythrobacter	Bacteria|Proteobacteria	
Exiguobacterium	Bacteria|Firmicutes	
