	"apply(mixture(best), 1, which.max)"
T10	1
P11	3
T11	3
P12	3
T12	3
P13	2
T13	2
P14	2
T14	1
P15	2
T15	2
P16	3
T16	2
P21	2
T21	2
P22	2
T22	1
P23	2
T23	2
P26	2
T26	1
P27	1
T27	1
P28	2
T28	2
P29	1
T29	1
P2	1
T2	1
P30	3
T30	2
P32	3
T32	2
P33	3
T33	3
P34	1
T34	1
P35	3
T35	3
P36	1
T36	1
P37	2
T37	2
P38	1
T38	2
P39	2
T39	2
P3	1
T3	2
P42	2
T42	2
P43	1
T43	2
P44	1
T44	4
P45	3
T45	1
P46	1
T46	3
P47	4
T47	4
P48	2
T48	2
P4	1
T4	1
P50	2
T50	2
P51	1
T51	1
P52	1
T52	2
P53	3
T53	2
P55	1
T55	2
P57	2
T57	3
P58	3
T58	3
P59	2
T59	3
P5	4
T5	4
P60	2
T60	3
P62	3
T62	3
P63	3
T63	3
P64	1
T64	2
P65	1
T65	1
P66	2
T66	3
P67	2
T67	3
P68	4
T68	4
P69	2
P6	2
T6	4
P70	2
T70	2
P71	3
T71	2
P72	2
T72	2
P73	2
T73	1
P74	2
T74	2
P75	1
T75	1
P76	3
T76	2
P7	1
T7	1
P8	1
T8	1
P9	4
T9	2
A1	1
A10	2
A11	4
A12	2
A14	1
A15	1
A16	2
A17	1
A19	1
A22	1
A23	2
A24	1
A25	2
A26	1
A28	3
A29	2
A3	1
A30	3
A31	1
A32	2
A33	3
A35	1
A37	1
A4	1
A40	1
A42	2
A43	1
A44	1
A45	3
A46	1
A49	1
A5	1
A52	1
A53	1
A54	1
A55	1
A56	1
A57	1
A61	1
A62	2
A64	1
A65	1
A66	4
A67	1
A68	2
A69	2
A7	2
A72	1
A73	1
A75	1
A76	1
A78	1
A79	1
A8	1
A81	1
A82	1
A83	3
A84	1
A86	2
A9	1
A91	1
A92	3
