node1	node2	cor_value
Methanobrevibacter_A smithii_A	Bifidobacterium longum	0.416538195
Methanobrevibacter_A smithii_A	Collinsella aerofaciens	0.474129855
Methanobrevibacter_A smithii_A	Eggerthella lenta	0.480964297
Methanobrevibacter_A smithii_A	Gordonibacter pamelaeae	0.307603963
Methanobrevibacter_A smithii_A	Bacteroides cellulosilyticus	0.398006193
Methanobrevibacter_A smithii_A	Bacteroides fragilis	0.400064945
Methanobrevibacter_A smithii_A	Bacteroides nordii	0.314334896
Methanobrevibacter_A smithii_A	Bacteroides ovatus	0.434542493
Methanobrevibacter_A smithii_A	Bacteroides salyersiae	0.424037447
Methanobrevibacter_A smithii_A	Bacteroides sp. A1C1	0.361334471
Methanobrevibacter_A smithii_A	Bacteroides xylanisolvens	0.507067429
Methanobrevibacter_A smithii_A	Bacteroides zhangwenhongii	0.388302948
Methanobrevibacter_A smithii_A	Phocaeicola vulgatus	0.488553847
Methanobrevibacter_A smithii_A	Butyricimonas virosa	0.319118903
Methanobrevibacter_A smithii_A	Odoribacter splanchnicus	0.404136893
Methanobrevibacter_A smithii_A	Alistipes communis	0.333807152
Methanobrevibacter_A smithii_A	Alistipes finegoldii	0.394269397
Methanobrevibacter_A smithii_A	Alistipes onderdonkii	0.32290227
Methanobrevibacter_A smithii_A	Alistipes shahii	0.434314456
Methanobrevibacter_A smithii_A	Parabacteroides goldsteinii	0.338012407
Methanobrevibacter_A smithii_A	Clostridium sp. M62/1	0.486572948
Methanobrevibacter_A smithii_A	Eubacterium sp. MSJ-33	0.353647705
Methanobrevibacter_A smithii_A	Eubacterium sp. NSJ-61	0.432809862
Methanobrevibacter_A smithii_A	Anaerostipes caccae	0.319656019
Methanobrevibacter_A smithii_A	Blautia hansenii	0.456618677
Methanobrevibacter_A smithii_A	Blautia massiliensis	0.55570802
Methanobrevibacter_A smithii_A	Blautia producta	0.494942983
Methanobrevibacter_A smithii_A	Coprococcus sp. ART55/1	0.366293264
Methanobrevibacter_A smithii_A	Dorea longicatena	0.609876888
Methanobrevibacter_A smithii_A	Enterocloster clostridioformis	0.479842285
Methanobrevibacter_A smithii_A	[Clostridium] hylemonae	0.441028796
Methanobrevibacter_A smithii_A	[Clostridium] scindens	0.551070468
Methanobrevibacter_A smithii_A	Lachnoclostridium sp. YL32	0.395160559
Methanobrevibacter_A smithii_A	Lacrimispora saccharolytica	0.342311392
Methanobrevibacter_A smithii_A	Roseburia sp. NSJ-69	0.545004485
Methanobrevibacter_A smithii_A	Sellimonas intestinalis	0.454221507
Methanobrevibacter_A smithii_A	Anaerotruncus colihominis	0.349276862
Methanobrevibacter_A smithii_A	Dysosmobacter sp. Marseille-Q4140	0.374350432
Methanobrevibacter_A smithii_A	Dysosmobacter welbionis	0.446499984
Methanobrevibacter_A smithii_A	Flavonifractor plautii	0.544729458
Methanobrevibacter_A smithii_A	Oscillibacter sp. NSJ-62	0.359595265
Methanobrevibacter_A smithii_A	Pusillibacter faecalis	0.368207757
Methanobrevibacter_A smithii_A	Ruthenibacterium lactatiformans	0.502763355
Methanobrevibacter_A smithii_A	Vescimonas coprocola	0.445455379
Methanobrevibacter_A smithii_A	Clostridioides difficile	0.499954014
Methanobrevibacter_A smithii_A	Flintibacter sp. KGMB00164	0.366870699
Methanobrevibacter_A smithii_A	Intestinimonas butyriciproducens	0.32977333
Methanobrevibacter_A smithii_A	[Clostridium] innocuum	0.446489345
Methanobrevibacter_A smithii_A	Faecalitalea cylindroides	0.325167211
Methanobrevibacter_A smithii_A	Longicatena caecimuris	0.342844789
Methanobrevibacter_A smithii_A	Acinetobacter seifertii	-0.300998935
Methanobrevibacter_A smithii_A	Akkermansia muciniphila	0.355998481
Methanobrevibacter_A smithii_A	Human betaherpesvirus 7	-0.338897654
Methanosphaera sp900322125	Prevotella nigrescens	0.309784453
Methanosphaera sp900322125	Fusobacterium periodonticum	0.312653838
Methanosphaera sp900322125	Campylobacter showae	0.317666176
Actinomyces sp. oral taxon 169	Human betaherpesvirus 6B	0.320348733
Bifidobacterium longum	Bifidobacterium pseudocatenulatum	0.317594057
Bifidobacterium longum	Collinsella aerofaciens	0.425069768
Bifidobacterium longum	Eggerthella lenta	0.47028765
Bifidobacterium longum	Gordonibacter pamelaeae	0.346302491
Bifidobacterium longum	Bacteroides fragilis	0.309257626
Bifidobacterium longum	Bacteroides ovatus	0.317358828
Bifidobacterium longum	Bacteroides xylanisolvens	0.354795997
Bifidobacterium longum	Butyricimonas virosa	0.321759423
Bifidobacterium longum	Odoribacter splanchnicus	0.368835751
Bifidobacterium longum	Alistipes communis	0.307795912
Bifidobacterium longum	Alistipes finegoldii	0.317320216
Bifidobacterium longum	Alistipes onderdonkii	0.390386625
Bifidobacterium longum	Alistipes shahii	0.386002643
Bifidobacterium longum	Parabacteroides goldsteinii	0.313693693
Bifidobacterium longum	Clostridium sp. M62/1	0.479345077
Bifidobacterium longum	Eubacterium sp. NSJ-61	0.3702659
Bifidobacterium longum	Blautia massiliensis	0.496696591
Bifidobacterium longum	Blautia producta	0.332991202
Bifidobacterium longum	Dorea longicatena	0.479893999
Bifidobacterium longum	Enterocloster clostridioformis	0.333501736
Bifidobacterium longum	[Clostridium] hylemonae	0.489146364
Bifidobacterium longum	[Clostridium] scindens	0.40083912
Bifidobacterium longum	Lachnoclostridium sp. YL32	0.352450059
Bifidobacterium longum	Roseburia sp. NSJ-69	0.305397254
Bifidobacterium longum	Sellimonas intestinalis	0.347020853
Bifidobacterium longum	Dysosmobacter sp. Marseille-Q4140	0.383241852
Bifidobacterium longum	Dysosmobacter welbionis	0.371374034
Bifidobacterium longum	Flavonifractor plautii	0.407325714
Bifidobacterium longum	Oscillibacter sp. NSJ-62	0.303978124
Bifidobacterium longum	Ruminococcus bicirculans	0.330981105
Bifidobacterium longum	Ruthenibacterium lactatiformans	0.447569813
Bifidobacterium longum	Vescimonas coprocola	0.464744747
Bifidobacterium longum	Vescimonas fastidiosa	0.308737635
Bifidobacterium longum	Clostridioides difficile	0.420540722
Bifidobacterium longum	Intestinimonas butyriciproducens	0.330730019
Bifidobacterium longum	[Clostridium] innocuum	0.370985412
Bifidobacterium longum	Phascolarctobacterium faecium	0.303178129
Bifidobacterium longum	Akkermansia muciniphila	0.33260977
Bifidobacterium pseudocatenulatum	Parvimonas micra	0.3418677
Actinoplanes sp. OR16	Flavonifractor plautii	-0.317894877
Nocardioides sp. S5	Flavonifractor plautii	-0.30505354
Nocardioides sp. TF02-7	Collinsella aerofaciens	-0.301169717
Cutibacterium acnes	Paracoccus pantotrophus	0.38448765
Cutibacterium acnes	Sphingomonas melonis	0.322214084
Cutibacterium acnes	Sphingomonas paucimobilis	0.34961647
Cutibacterium acnes	Sphingomonas sp. NIC1	0.327333237
Cutibacterium acnes	Diaphorobacter sp. MNS-0	0.407187236
Cutibacterium acnes	Pseudomonas aeruginosa	0.355361021
Cutibacterium acnes	Pseudomonas balearica	0.309303929
Collinsella aerofaciens	Eggerthella lenta	0.374100702
Collinsella aerofaciens	Bacteroides cellulosilyticus	0.408492461
Collinsella aerofaciens	Bacteroides fragilis	0.309352624
Collinsella aerofaciens	Bacteroides nordii	0.355005232
Collinsella aerofaciens	Bacteroides ovatus	0.332342276
Collinsella aerofaciens	Bacteroides salyersiae	0.312997194
Collinsella aerofaciens	Bacteroides xylanisolvens	0.399207789
Collinsella aerofaciens	Bacteroides zhangwenhongii	0.361329775
Collinsella aerofaciens	Phocaeicola coprophilus	0.384045394
Collinsella aerofaciens	Phocaeicola vulgatus	0.451258473
Collinsella aerofaciens	Butyricimonas virosa	0.313457164
Collinsella aerofaciens	Odoribacter splanchnicus	0.411465171
Collinsella aerofaciens	Alistipes communis	0.349016865
Collinsella aerofaciens	Alistipes finegoldii	0.383833741
Collinsella aerofaciens	Alistipes shahii	0.427782858
Collinsella aerofaciens	Parabacteroides goldsteinii	0.360957205
Collinsella aerofaciens	Clostridium sp. M62/1	0.475993636
Collinsella aerofaciens	Eubacterium sp. NSJ-61	0.312964384
Collinsella aerofaciens	Blautia massiliensis	0.526397677
Collinsella aerofaciens	Blautia producta	0.366900192
Collinsella aerofaciens	Coprococcus sp. ART55/1	0.336996102
Collinsella aerofaciens	Dorea longicatena	0.59414564
Collinsella aerofaciens	Enterocloster clostridioformis	0.378841765
Collinsella aerofaciens	[Clostridium] hylemonae	0.41227988
Collinsella aerofaciens	[Clostridium] scindens	0.371805742
Collinsella aerofaciens	Lachnoclostridium sp. YL32	0.347849142
Collinsella aerofaciens	Lacrimispora saccharolytica	0.340321713
Collinsella aerofaciens	Roseburia sp. NSJ-69	0.404177302
Collinsella aerofaciens	Sellimonas intestinalis	0.346425251
Collinsella aerofaciens	Anaerotruncus colihominis	0.302231224
Collinsella aerofaciens	Dysosmobacter sp. Marseille-Q4140	0.466070375
Collinsella aerofaciens	Dysosmobacter welbionis	0.435417096
Collinsella aerofaciens	Flavonifractor plautii	0.436755409
Collinsella aerofaciens	Oscillibacter sp. NSJ-62	0.400745016
