node1	node2	cor_value
Candidatus Methanomethylophilus alvus	Methanobrevibacter_A smithii_A	0.34611761
Candidatus Methanomethylophilus alvus	Eubacterium sp. MSJ-33	0.359728865
Candidatus Methanomethylophilus alvus	Coprococcus sp. ART55/1	0.33444151
Candidatus Methanomethylophilus alvus	Lachnoclostridium phytofermentans	0.334949326
Candidatus Methanomethylophilus alvus	Roseburia sp. NSJ-69	0.346364582
Candidatus Methanomethylophilus alvus	Flintibacter sp. KGMB00164	0.342488892
Candidatus Methanomethylophilus alvus	Longicatena caecimuris	0.351720742
Methanomassiliicoccaceae archaeon UBA71	Methanobrevibacter_A smithii_A	0.425024578
Methanomassiliicoccaceae archaeon UBA71	Phocaeicola coprophilus	0.31812606
Methanomassiliicoccaceae archaeon UBA71	Streptococcus constellatus	-0.318576301
Methanomassiliicoccaceae archaeon UBA71	Clostridium sp. M62/1	0.33319589
Methanomassiliicoccaceae archaeon UBA71	Eubacterium sp. MSJ-33	0.332642333
Methanomassiliicoccaceae archaeon UBA71	Coprococcus sp. ART55/1	0.305933227
Methanomassiliicoccaceae archaeon UBA71	Lachnoclostridium phytofermentans	0.323162224
Methanomassiliicoccaceae archaeon UBA71	Roseburia sp. NSJ-69	0.377759801
Methanomassiliicoccaceae archaeon UBA71	Sellimonas intestinalis	0.329684445
Methanomassiliicoccaceae archaeon UBA71	Oscillibacter sp. NSJ-62	0.353560667
Methanomassiliicoccaceae archaeon UBA71	Ruminococcus bicirculans	0.349942871
Methanomassiliicoccaceae archaeon UBA71	Vescimonas coprocola	0.337880999
Methanomassiliicoccaceae archaeon UBA71	Vescimonas fastidiosa	0.328426351
Methanomassiliicoccaceae archaeon UBA71	Flintibacter sp. KGMB00164	0.330457854
Methanobrevibacter_A smithii_A	Methanobrevibacter sp. AbM4	-0.41948868
Methanobrevibacter_A smithii_A	Schaalia turicensis	-0.323442474
Methanobrevibacter_A smithii_A	Bifidobacterium longum	0.349359793
Methanobrevibacter_A smithii_A	Nocardioides sp. S5	-0.319785294
Methanobrevibacter_A smithii_A	Nocardioides sp. TF02-7	-0.430337915
Methanobrevibacter_A smithii_A	Collinsella aerofaciens	0.487684331
Methanobrevibacter_A smithii_A	Eggerthella lenta	0.310939272
Methanobrevibacter_A smithii_A	Bacteroides ovatus	0.403271572
Methanobrevibacter_A smithii_A	Bacteroides sp. HF-162	0.374127081
Methanobrevibacter_A smithii_A	Bacteroides xylanisolvens	0.388923004
Methanobrevibacter_A smithii_A	Phocaeicola coprophilus	0.396998879
Methanobrevibacter_A smithii_A	Phocaeicola vulgatus	0.364191902
Methanobrevibacter_A smithii_A	Alistipes finegoldii	0.322438208
Methanobrevibacter_A smithii_A	Algibacter sp. L1A34	-0.355964019
Methanobrevibacter_A smithii_A	Capnocytophaga sputigena	-0.320095368
Methanobrevibacter_A smithii_A	Limosilactobacillus pontis	-0.320084731
Methanobrevibacter_A smithii_A	Clostridium botulinum	0.300616395
Methanobrevibacter_A smithii_A	Clostridium sp. M62/1	0.673000281
Methanobrevibacter_A smithii_A	Eubacterium sp. MSJ-33	0.53246771
Methanobrevibacter_A smithii_A	Eubacterium sp. NSJ-61	0.510681678
Methanobrevibacter_A smithii_A	Anaerostipes caccae	0.48017504
Methanobrevibacter_A smithii_A	Blautia hansenii	0.681628401
Methanobrevibacter_A smithii_A	Blautia massiliensis	0.77231547
Methanobrevibacter_A smithii_A	Blautia producta	0.640172422
Methanobrevibacter_A smithii_A	Coprococcus sp. ART55/1	0.566871116
Methanobrevibacter_A smithii_A	Dorea longicatena	0.739448834
Methanobrevibacter_A smithii_A	Enterocloster clostridioformis	0.477253941
Methanobrevibacter_A smithii_A	Lachnoanaerobaculum umeaense	0.417529027
Methanobrevibacter_A smithii_A	[Clostridium] hylemonae	0.638313931
Methanobrevibacter_A smithii_A	[Clostridium] scindens	0.58017302
Methanobrevibacter_A smithii_A	Lachnoclostridium phytofermentans	0.421723566
Methanobrevibacter_A smithii_A	Lachnoclostridium sp. YL32	0.49633435
Methanobrevibacter_A smithii_A	Lacrimispora saccharolytica	0.581747035
Methanobrevibacter_A smithii_A	Roseburia sp. NSJ-69	0.674077726
Methanobrevibacter_A smithii_A	Sellimonas intestinalis	0.4147266
Methanobrevibacter_A smithii_A	Anaerotruncus colihominis	0.462415939
Methanobrevibacter_A smithii_A	Dysosmobacter sp. Marseille-Q4140	0.489536222
Methanobrevibacter_A smithii_A	Dysosmobacter welbionis	0.502862043
Methanobrevibacter_A smithii_A	Flavonifractor plautii	0.525871671
Methanobrevibacter_A smithii_A	Oscillibacter sp. NSJ-62	0.564143845
Methanobrevibacter_A smithii_A	Pusillibacter faecalis	0.512727734
Methanobrevibacter_A smithii_A	Ruminococcus bicirculans	0.553481641
Methanobrevibacter_A smithii_A	Ruthenibacterium lactatiformans	0.401821185
Methanobrevibacter_A smithii_A	Vescimonas coprocola	0.560360367
Methanobrevibacter_A smithii_A	Vescimonas fastidiosa	0.482688295
Methanobrevibacter_A smithii_A	Clostridioides difficile	0.632954177
Methanobrevibacter_A smithii_A	Flintibacter sp. KGMB00164	0.547659031
Methanobrevibacter_A smithii_A	Intestinimonas butyriciproducens	0.464129841
Methanobrevibacter_A smithii_A	Amedibacterium intestinale	0.392962115
Methanobrevibacter_A smithii_A	[Clostridium] innocuum	0.416854222
Methanobrevibacter_A smithii_A	Faecalitalea cylindroides	0.568573287
Methanobrevibacter_A smithii_A	Longicatena caecimuris	0.558547581
Methanobrevibacter_A smithii_A	Sphingomonas melonis	-0.317094724
Methanobrevibacter_A smithii_A	Sphingomonas sp. NIC1	-0.351882783
Methanobrevibacter_A smithii_A	Halarcobacter bivalviorum	-0.397147312
Methanobrevibacter_A smithii_A	Campylobacter gracilis	-0.304731202
Methanobrevibacter_A smithii_A	Campylobacter lari	-0.323295543
Methanobrevibacter_A smithii_A	Enterobacter sichuanensis	-0.38191705
Methanobrevibacter_A smithii_A	Klebsiella pneumoniae	0.344110651
Methanobrevibacter_A smithii_A	Acinetobacter baylyi	-0.367033806
Methanobrevibacter_A smithii_A	Acinetobacter defluvii	-0.331792663
Methanobrevibacter_A smithii_A	Acinetobacter gyllenbergii	-0.354267108
Methanobrevibacter_A smithii_A	Acinetobacter haemolyticus	-0.312435591
Methanobrevibacter_A smithii_A	Acinetobacter lanii	-0.435074194
Methanobrevibacter_A smithii_A	Acinetobacter larvae	-0.314628145
Methanobrevibacter_A smithii_A	Acinetobacter piscicola	-0.358516832
Methanobrevibacter_A smithii_A	Acinetobacter radioresistens	-0.34676835
Methanobrevibacter_A smithii_A	Acinetobacter seifertii	-0.344706342
Methanobrevibacter_A smithii_A	Acinetobacter shaoyimingii	-0.369362347
Methanobrevibacter_A smithii_A	Acinetobacter soli	-0.320578928
Methanobrevibacter_A smithii_A	Acinetobacter sp. 10FS3-1	-0.357777282
Methanobrevibacter_A smithii_A	Acinetobacter sp. ACNIH2	-0.403906037
Methanobrevibacter_A smithii_A	Acinetobacter sp. C16S1	-0.358604683
Methanobrevibacter_A smithii_A	Acinetobacter sp. CS-2	-0.359684098
Methanobrevibacter_A smithii_A	Acinetobacter sp. Marseille-Q1620	-0.348127754
Methanobrevibacter_A smithii_A	Acinetobacter sp. SCLZS86	-0.390122697
Methanobrevibacter_A smithii_A	Acinetobacter sp. SH20PTE14	-0.31701818
Methanobrevibacter_A smithii_A	Acinetobacter sp. TGL-Y2	-0.363709562
Methanobrevibacter_A smithii_A	Acinetobacter sp. TTH0-4	-0.355304622
Methanobrevibacter_A smithii_A	Acinetobacter tandoii	-0.404224752
Methanobrevibacter_A smithii_A	Acinetobacter towneri	-0.360622291
Methanobrevibacter_A smithii_A	Acinetobacter ursingii	-0.410377014
Methanobrevibacter_A smithii_A	Acinetobacter venetianus	-0.399947996
Methanobrevibacter_A smithii_A	Acinetobacter wanghuae	-0.390684816
Methanobrevibacter_A smithii_A	Acinetobacter wuhouensis	-0.341334585
Methanobrevibacter_A smithii_A	Aggregatibacter segnis	-0.320539667
Methanobrevibacter_A smithii_A	Haemophilus influenzae	-0.329513725
Methanobrevibacter_A smithii_A	Pseudomonas thivervalensis	-0.366218997
Methanobrevibacter_A smithii_A	Cercospora beticola	-0.325417969
Methanobrevibacter_A smithii_A	Aspergillus fumigatus	-0.350828037
Methanobrevibacter_A smithii_A	Aspergillus oryzae	-0.416763959
Methanobrevibacter_A smithii_A	Yarrowia lipolytica	-0.346461183
Methanobrevibacter_A smithii_A	Kluyveromyces marxianus	-0.32297873
Methanobrevibacter_A smithii_A	[Candida] glabrata	-0.332077112
Methanobrevibacter_A smithii_A	Thermothelomyces thermophilus	-0.337942637
Methanobrevibacter_A smithii_A	Human gammaherpesvirus 4	-0.420748366
Methanobrevibacter_A smithii_A	Human immunodeficiency virus 1	-0.322792014
Methanobrevibacter smithii	Eggerthella lenta	-0.48275746
Methanobrevibacter smithii	Dorea longicatena	-0.302595802
Methanobrevibacter sp. AbM4	Nocardioides sp. TF02-7	0.360816612
Methanobrevibacter sp. AbM4	Eggerthella lenta	-0.366370213
Methanobrevibacter sp. AbM4	Clostridium sp. M62/1	-0.390913874
Methanobrevibacter sp. AbM4	Eubacterium sp. NSJ-61	-0.305288971
Methanobrevibacter sp. AbM4	Blautia hansenii	-0.367381022
Methanobrevibacter sp. AbM4	Blautia massiliensis	-0.395526489
Methanobrevibacter sp. AbM4	Blautia producta	-0.343604313
Methanobrevibacter sp. AbM4	Dorea longicatena	-0.393894418
Methanobrevibacter sp. AbM4	Enterocloster clostridioformis	-0.371830523
Methanobrevibacter sp. AbM4	[Clostridium] hylemonae	-0.418382128
Methanobrevibacter sp. AbM4	[Clostridium] scindens	-0.396128564
Methanobrevibacter sp. AbM4	Lachnoclostridium sp. YL32	-0.371242215
Methanobrevibacter sp. AbM4	Lacrimispora saccharolytica	-0.395707071
Methanobrevibacter sp. AbM4	Roseburia sp. NSJ-69	-0.33735301
Methanobrevibacter sp. AbM4	Dysosmobacter welbionis	-0.332855481
Methanobrevibacter sp. AbM4	Clostridioides difficile	-0.423473877
Methanobrevibacter sp. AbM4	Faecalitalea cylindroides	-0.306412436
Methanobrevibacter sp. AbM4	Longicatena caecimuris	-0.351655596
Methanobrevibacter sp. AbM4	Halarcobacter bivalviorum	0.302217885
Methanobrevibacter sp. AbM4	Acinetobacter lanii	0.326783648
Methanobrevibacter sp. AbM4	Acinetobacter larvae	0.306348246
Methanobrevibacter sp. AbM4	Acinetobacter piscicola	0.328702368
Methanobrevibacter sp. AbM4	Acinetobacter shaoyimingii	0.310990693
Methanobrevibacter sp. AbM4	Acinetobacter sp. 10FS3-1	0.300321101
Methanobrevibacter sp. AbM4	Acinetobacter sp. ACNIH2	0.326018916
Methanobrevibacter sp. AbM4	Acinetobacter sp. CS-2	0.345506129
Methanobrevibacter sp. AbM4	Acinetobacter sp. SCLZS86	0.303234156
Methanobrevibacter sp. AbM4	Acinetobacter towneri	0.330195793
Methanobrevibacter sp. AbM4	Acinetobacter venetianus	0.317266036
Methanobrevibacter sp. AbM4	Acinetobacter wuhouensis	0.309169674
Methanobrevibacter sp. AbM4	Pseudomonas thivervalensis	0.328492471
Methanobrevibacter sp. AbM4	Aspergillus fumigatus	0.319123004
Methanobrevibacter sp. AbM4	Aspergillus oryzae	0.327061739
