node1	node2	cor_value
[Clostridium] hylemonae	Yarrowia lipolytica	-0.347196638
[Clostridium] hylemonae	Aspergillus fumigatus	-0.337220167
[Clostridium] hylemonae	Aspergillus oryzae	-0.372211104
[Clostridium] hylemonae	Kluyveromyces marxianus	-0.362682416
[Clostridium] hylemonae	[Candida] glabrata	-0.326433188
[Clostridium] innocuum	Aspergillus luchuensis	-0.304648832
[Clostridium] innocuum	Aspergillus oryzae	-0.315877927
[Clostridium] innocuum	Cercospora beticola	-0.3215568
[Clostridium] innocuum	[Candida] glabrata	-0.318978658
[Clostridium] scindens	Yarrowia lipolytica	-0.328560389
[Clostridium] scindens	Aspergillus fumigatus	-0.369974011
[Clostridium] scindens	Aspergillus luchuensis	-0.307352177
[Clostridium] scindens	Aspergillus oryzae	-0.375593003
[Clostridium] scindens	Cercospora beticola	-0.350496052
[Clostridium] scindens	Kluyveromyces marxianus	-0.372097384
[Clostridium] scindens	[Candida] glabrata	-0.317288558
Acinetobacter gyllenbergii	Aspergillus oryzae	0.368686752
Acinetobacter lanii	Aspergillus oryzae	0.338837529
Acinetobacter larvae	Aspergillus oryzae	0.305712605
Acinetobacter piscicola	Aspergillus oryzae	0.327834922
Acinetobacter shaoyimingii	Aspergillus oryzae	0.311626513
Acinetobacter soli	Aspergillus oryzae	0.304082188
Acinetobacter sp. 10FS3-1	Aspergillus oryzae	0.301429141
Acinetobacter sp. ACNIH2	Aspergillus fumigatus	0.300978129
Acinetobacter sp. ACNIH2	Aspergillus oryzae	0.358191131
Acinetobacter sp. C16S1	Aspergillus oryzae	0.323153738
Acinetobacter sp. CS-2	Aspergillus oryzae	0.361510926
Acinetobacter sp. Marseille-Q1620	Aspergillus oryzae	0.302154977
Acinetobacter sp. SCLZS86	Aspergillus oryzae	0.360890262
Acinetobacter sp. TGL-Y2	Aspergillus oryzae	0.309618464
Acinetobacter sp. TTH0-4	Cercospora beticola	0.317421264
Acinetobacter tandoii	Aspergillus oryzae	0.313294629
Acinetobacter towneri	Aspergillus fumigatus	0.300031664
Acinetobacter towneri	Aspergillus oryzae	0.352631522
Acinetobacter towneri	Cercospora beticola	0.323652301
Acinetobacter ursingii	Aspergillus oryzae	0.362643369
Acinetobacter venetianus	Aspergillus fumigatus	0.303650114
Acinetobacter venetianus	Aspergillus oryzae	0.349537948
Acinetobacter wanghuae	Aspergillus oryzae	0.330272228
Algibacter sp. L1A34	Aspergillus oryzae	0.322723888
Aspergillus fumigatus	Human gammaherpesvirus 4	0.316355026
Aspergillus oryzae	Human gammaherpesvirus 4	0.373362791
Aspergillus oryzae	Human immunodeficiency virus 1	0.303166902
Aspergillus oryzae	Kluyveromyces marxianus	0.314930173
Bacteroides fragilis	Aspergillus luchuensis	-0.306871548
Bacteroides sp. KGMB07931	Zymoseptoria tritici	-0.302784813
Blautia hansenii	Yarrowia lipolytica	-0.3445772
Blautia hansenii	Aspergillus fumigatus	-0.345572739
Blautia hansenii	Aspergillus oryzae	-0.36258315
Blautia massiliensis	Yarrowia lipolytica	-0.334343886
Blautia massiliensis	Aspergillus fumigatus	-0.348396654
Blautia massiliensis	Aspergillus luchuensis	-0.340785467
Blautia massiliensis	Aspergillus oryzae	-0.393292509
Blautia massiliensis	Cercospora beticola	-0.333668441
Blautia massiliensis	Kluyveromyces marxianus	-0.324071318
Blautia massiliensis	[Candida] glabrata	-0.359275011
Blautia massiliensis	Fusarium poae	-0.309495541
Blautia massiliensis	Thermothelomyces thermophilus	-0.302826722
Blautia producta	Aspergillus fumigatus	-0.326598518
Blautia producta	Aspergillus oryzae	-0.345578989
Blautia producta	Cercospora beticola	-0.323513187
Blautia producta	Kluyveromyces marxianus	-0.304135922
Blautia producta	[Candida] glabrata	-0.324406274
Cercospora beticola	Zymoseptoria tritici	0.372941294
Cercospora beticola	Aspergillus oryzae	0.386547228
Clostridioides difficile	Yarrowia lipolytica	-0.334253388
Clostridioides difficile	Aspergillus fumigatus	-0.352088716
Clostridioides difficile	Aspergillus luchuensis	-0.317640055
Clostridioides difficile	Aspergillus oryzae	-0.419511726
Clostridioides difficile	Cercospora beticola	-0.329593786
Clostridioides difficile	Kluyveromyces marxianus	-0.342932224
