Node	Type	Mean_counts
Candidatus Methanomethylophilus alvus	Archaea|Candidatus Thermoplasmatota	
Methanomassiliicoccaceae archaeon UBA71	Archaea|Candidatus Thermoplasmatota	
Methanobrevibacter_A smithii_A	Archaea|Euryarchaeota	
Methanobrevibacter smithii	Archaea|Euryarchaeota	
Methanobrevibacter sp. AbM4	Archaea|Euryarchaeota	
Methanosphaera sp900322125	Archaea|Euryarchaeota	
Methanosphaera stadtmanae	Archaea|Euryarchaeota	
Actinomyces sp. oral taxon 169	Bacteria|Actinobacteria	0.001
Actinomyces sp. oral taxon 414	Bacteria|Actinobacteria	0.001
Schaalia cardiffensis	Bacteria|Actinobacteria	0.001
Schaalia turicensis	Bacteria|Actinobacteria	
Bifidobacterium adolescentis	Bacteria|Actinobacteria	
Bifidobacterium bifidum	Bacteria|Actinobacteria	
Bifidobacterium breve	Bacteria|Actinobacteria	
Bifidobacterium catenulatum	Bacteria|Actinobacteria	
Bifidobacterium longum	Bacteria|Actinobacteria	
Bifidobacterium pseudocatenulatum	Bacteria|Actinobacteria	
Micrococcus luteus	Bacteria|Actinobacteria	
Rothia mucilaginosa	Bacteria|Actinobacteria	
Actinoplanes sp. OR16	Bacteria|Actinobacteria	0.001
Nocardioides sp. S5	Bacteria|Actinobacteria	
Nocardioides sp. TF02-7	Bacteria|Actinobacteria	
Cutibacterium acnes	Bacteria|Actinobacteria	
Lancefieldella parvula	Bacteria|Actinobacteria	0.001
Collinsella aerofaciens	Bacteria|Actinobacteria	
Collinsella stercoris	Bacteria|Actinobacteria	
Eggerthella guodeyinii	Bacteria|Actinobacteria	
Eggerthella lenta	Bacteria|Actinobacteria	
Gordonibacter pamelaeae	Bacteria|Actinobacteria	
Bacteroides cellulosilyticus	Bacteria|Bacteroidetes	
Bacteroides coprosuis	Bacteria|Bacteroidetes	0.001
Bacteroides faecis	Bacteria|Bacteroidetes	
Bacteroides fragilis	Bacteria|Bacteroidetes	
Bacteroides helcogenes	Bacteria|Bacteroidetes	
Bacteroides intestinalis	Bacteria|Bacteroidetes	
Bacteroides luhongzhouii	Bacteria|Bacteroidetes	
Bacteroides nordii	Bacteria|Bacteroidetes	
