node1	node2	cor_value
Candidatus Methanomethylophilus alvus	Methanobrevibacter_A smithii_A	0.377038118
Candidatus Methanomethylophilus alvus	Bacteroides cellulosilyticus	0.334275071
Candidatus Methanomethylophilus alvus	Bacteroides intestinalis	0.317415077
Candidatus Methanomethylophilus alvus	Alistipes shahii	0.332638496
Candidatus Methanomethylophilus alvus	Clostridium sp. M62/1	0.310357432
Candidatus Methanomethylophilus alvus	Eubacterium sp. MSJ-33	0.356184925
Candidatus Methanomethylophilus alvus	Eubacterium sp. NSJ-61	0.361644403
Candidatus Methanomethylophilus alvus	Blautia massiliensis	0.367836566
Candidatus Methanomethylophilus alvus	Coprococcus sp. ART55/1	0.441596719
Candidatus Methanomethylophilus alvus	Dorea longicatena	0.389042936
Candidatus Methanomethylophilus alvus	Roseburia sp. NSJ-69	0.36894256
Candidatus Methanomethylophilus alvus	Dysosmobacter sp. Marseille-Q4140	0.301890879
Candidatus Methanomethylophilus alvus	Dysosmobacter welbionis	0.344430939
Candidatus Methanomethylophilus alvus	Oscillibacter sp. NSJ-62	0.308585683
Candidatus Methanomethylophilus alvus	Pusillibacter faecalis	0.355144169
Candidatus Methanomethylophilus alvus	Ruminococcus bicirculans	0.328026635
Candidatus Methanomethylophilus alvus	Vescimonas fastidiosa	0.306227994
Candidatus Methanomethylophilus alvus	Longicatena caecimuris	0.420389048
Methanomassiliicoccaceae archaeon UBA71	Methanobrevibacter_A smithii_A	0.347183646
Methanomassiliicoccaceae archaeon UBA71	Bifidobacterium catenulatum	0.306563362
Methanomassiliicoccaceae archaeon UBA71	Clostridium sp. M62/1	0.319957006
Methanomassiliicoccaceae archaeon UBA71	Eubacterium sp. MSJ-33	0.328090333
Methanomassiliicoccaceae archaeon UBA71	Blautia massiliensis	0.358216409
Methanomassiliicoccaceae archaeon UBA71	Coprococcus sp. ART55/1	0.40204475
Methanomassiliicoccaceae archaeon UBA71	Roseburia sp. NSJ-69	0.338717939
Methanomassiliicoccaceae archaeon UBA71	Ruminococcus bicirculans	0.356990172
Methanomassiliicoccaceae archaeon UBA71	Vescimonas fastidiosa	0.311178315
Methanomassiliicoccaceae archaeon UBA71	Flintibacter sp. KGMB00164	0.330400879
Methanobrevibacter_A smithii_A	Bifidobacterium longum	0.307795427
Methanobrevibacter_A smithii_A	Nocardioides sp. S5	-0.305854687
Methanobrevibacter_A smithii_A	Collinsella aerofaciens	0.447222335
Methanobrevibacter_A smithii_A	Eggerthella lenta	0.371502521
Methanobrevibacter_A smithii_A	Bacteroides cellulosilyticus	0.390304334
Methanobrevibacter_A smithii_A	Bacteroides faecis	0.30517637
Methanobrevibacter_A smithii_A	Bacteroides ovatus	0.428612643
Methanobrevibacter_A smithii_A	Bacteroides sp. A1C1	0.375190394
Methanobrevibacter_A smithii_A	Bacteroides sp. HF-162	0.423106123
Methanobrevibacter_A smithii_A	Bacteroides xylanisolvens	0.475659512
Methanobrevibacter_A smithii_A	Bacteroides zhangwenhongii	0.4754255
Methanobrevibacter_A smithii_A	Phocaeicola coprophilus	0.396295827
Methanobrevibacter_A smithii_A	Phocaeicola vulgatus	0.404712419
Methanobrevibacter_A smithii_A	Butyricimonas virosa	0.307269918
Methanobrevibacter_A smithii_A	Odoribacter splanchnicus	0.322013879
Methanobrevibacter_A smithii_A	Alistipes communis	0.312080001
Methanobrevibacter_A smithii_A	Alistipes finegoldii	0.456645154
Methanobrevibacter_A smithii_A	Alistipes onderdonkii	0.334011745
Methanobrevibacter_A smithii_A	Alistipes shahii	0.463932191
Methanobrevibacter_A smithii_A	Algibacter sp. L1A34	-0.323709845
Methanobrevibacter_A smithii_A	Clostridium sp. M62/1	0.635362179
Methanobrevibacter_A smithii_A	Eubacterium sp. MSJ-33	0.564395473
Methanobrevibacter_A smithii_A	Eubacterium sp. NSJ-61	0.405919424
Methanobrevibacter_A smithii_A	Anaerostipes caccae	0.433722821
Methanobrevibacter_A smithii_A	Blautia hansenii	0.637216822
Methanobrevibacter_A smithii_A	Blautia massiliensis	0.751917035
Methanobrevibacter_A smithii_A	Blautia producta	0.605373285
Methanobrevibacter_A smithii_A	Coprococcus sp. ART55/1	0.592348087
Methanobrevibacter_A smithii_A	Dorea longicatena	0.730600379
Methanobrevibacter_A smithii_A	Enterocloster clostridioformis	0.436338914
Methanobrevibacter_A smithii_A	[Clostridium] hylemonae	0.580279252
Methanobrevibacter_A smithii_A	[Clostridium] scindens	0.603162588
