node1	node2	cor_value
Candidatus Methanomethylophilus alvus	Methanomassiliicoccaceae archaeon UBA71	0.377181268
Candidatus Methanomethylophilus alvus	Methanobrevibacter_A smithii_A	0.377406712
Candidatus Methanomethylophilus alvus	Methanosphaera stadtmanae	0.383655433
Candidatus Methanomethylophilus alvus	Bifidobacterium pseudocatenulatum	0.344237001
Candidatus Methanomethylophilus alvus	Bacteroides cellulosilyticus	0.425074993
Candidatus Methanomethylophilus alvus	Bacteroides sp. A1C1	0.391531619
Candidatus Methanomethylophilus alvus	Bacteroides sp. KGMB10229	0.327250047
Candidatus Methanomethylophilus alvus	Porphyromonas endodontalis	-0.36165105
Candidatus Methanomethylophilus alvus	Streptococcus sp. KS 6	-0.301841028
Candidatus Methanomethylophilus alvus	Eubacterium sp. MSJ-33	0.382588648
Candidatus Methanomethylophilus alvus	Blautia hansenii	0.320817693
Candidatus Methanomethylophilus alvus	Blautia massiliensis	0.419888376
Candidatus Methanomethylophilus alvus	Coprococcus sp. ART55/1	0.44030242
Candidatus Methanomethylophilus alvus	Dorea longicatena	0.341977486
Candidatus Methanomethylophilus alvus	Roseburia sp. NSJ-69	0.388289161
Candidatus Methanomethylophilus alvus	Dysosmobacter welbionis	0.36214035
Candidatus Methanomethylophilus alvus	Ruminococcus bicirculans	0.544171757
Candidatus Methanomethylophilus alvus	Vescimonas fastidiosa	0.363941339
Candidatus Methanomethylophilus alvus	Faecalitalea cylindroides	0.36942517
Candidatus Methanomethylophilus alvus	Longicatena caecimuris	0.427692039
Candidatus Methanomethylophilus alvus	Fusobacterium sp. oral taxon 203	-0.334162256
Candidatus Methanomethylophilus alvus	Leptotrichia hofstadii	-0.355518998
Candidatus Methanomethylophilus alvus	Leptotrichia wadei	-0.391293543
Methanomassiliicoccaceae archaeon UBA71	Methanobrevibacter_A smithii_A	0.379769826
Methanomassiliicoccaceae archaeon UBA71	Bacteroides cellulosilyticus	0.369421979
Methanomassiliicoccaceae archaeon UBA71	Clostridium sp. M62/1	0.341178531
Methanomassiliicoccaceae archaeon UBA71	Eubacterium sp. MSJ-33	0.331751935
Methanomassiliicoccaceae archaeon UBA71	Blautia massiliensis	0.410409734
Methanomassiliicoccaceae archaeon UBA71	Coprococcus sp. ART55/1	0.50161388
Methanomassiliicoccaceae archaeon UBA71	Dorea longicatena	0.315818029
Methanomassiliicoccaceae archaeon UBA71	Roseburia sp. NSJ-69	0.406083016
Methanomassiliicoccaceae archaeon UBA71	Dysosmobacter welbionis	0.421482706
Methanomassiliicoccaceae archaeon UBA71	Oscillibacter sp. NSJ-62	0.378437873
Methanomassiliicoccaceae archaeon UBA71	Pusillibacter faecalis	0.356894369
Methanomassiliicoccaceae archaeon UBA71	Ruminococcus bicirculans	0.523264294
Methanomassiliicoccaceae archaeon UBA71	Vescimonas coprocola	0.341961474
Methanomassiliicoccaceae archaeon UBA71	Vescimonas fastidiosa	0.470097427
Methanomassiliicoccaceae archaeon UBA71	Flintibacter sp. KGMB00164	0.435090327
Methanomassiliicoccaceae archaeon UBA71	Longicatena caecimuris	0.389717572
Methanomassiliicoccaceae archaeon UBA71	Phascolarctobacterium sp. Marseille-Q4147	0.326351468
Methanobrevibacter_A smithii_A	Methanobrevibacter sp. AbM4	-0.323169897
Methanobrevibacter_A smithii_A	Actinomyces sp. oral taxon 169	-0.358432285
Methanobrevibacter_A smithii_A	Actinoplanes sp. OR16	-0.324222482
Methanobrevibacter_A smithii_A	Nocardioides sp. S5	-0.40132042
Methanobrevibacter_A smithii_A	Nocardioides sp. TF02-7	-0.348934615
Methanobrevibacter_A smithii_A	Collinsella aerofaciens	0.504189827
Methanobrevibacter_A smithii_A	Eggerthella lenta	0.376979804
