node1	node2	cor_value
[Clostridium] hylemonae	Cercospora beticola	-0.313939788
[Clostridium] hylemonae	Aspergillus fumigatus	-0.369234108
[Clostridium] hylemonae	Aspergillus oryzae	-0.330973738
[Clostridium] hylemonae	Aspergillus puulaauensis	-0.426258685
[Clostridium] hylemonae	Candida dubliniensis	-0.467818549
[Clostridium] hylemonae	Yarrowia lipolytica	-0.402758013
[Clostridium] hylemonae	Colletotrichum higginsianum	-0.36885224
[Clostridium] hylemonae	Fusarium poae	-0.318299522
[Clostridium] hylemonae	Thermothelomyces thermophilus	-0.336762072
[Clostridium] scindens	Cercospora beticola	-0.331168523
[Clostridium] scindens	Aspergillus puulaauensis	-0.344584509
[Clostridium] scindens	Candida dubliniensis	-0.409263905
[Clostridium] scindens	Yarrowia lipolytica	-0.328690624
[Clostridium] scindens	Fusarium poae	-0.424259901
Acinetobacter baylyi	Yarrowia lipolytica	0.346010129
Acinetobacter defluvii	Candida dubliniensis	0.358750036
Acinetobacter gyllenbergii	Candida dubliniensis	0.350970493
Acinetobacter gyllenbergii	Yarrowia lipolytica	0.389031365
Acinetobacter gyllenbergii	Thermothelomyces thermophilus	0.325404822
Acinetobacter haemolyticus	Yarrowia lipolytica	0.344941654
Acinetobacter larvae	Aspergillus fumigatus	0.355535033
Acinetobacter larvae	Candida dubliniensis	0.361318016
Acinetobacter larvae	Yarrowia lipolytica	0.395405347
Acinetobacter nosocomialis	Yarrowia lipolytica	0.329843957
Acinetobacter piscicola	Aspergillus fumigatus	0.353649472
Acinetobacter piscicola	Candida dubliniensis	0.364082614
Acinetobacter piscicola	Thermothelomyces thermophilus	0.315635403
Acinetobacter radioresistens	Aspergillus fumigatus	0.3193282
Acinetobacter radioresistens	Candida dubliniensis	0.386648703
Acinetobacter radioresistens	Yarrowia lipolytica	0.361319418
Acinetobacter radioresistens	Thermothelomyces thermophilus	0.341200143
Acinetobacter seifertii	Aspergillus puulaauensis	0.315321423
Acinetobacter seifertii	Candida dubliniensis	0.326496516
Acinetobacter seifertii	Thermothelomyces thermophilus	0.305548009
Acinetobacter shaoyimingii	Cercospora beticola	0.310071815
Acinetobacter shaoyimingii	Aspergillus fumigatus	0.316893982
Acinetobacter shaoyimingii	Candida dubliniensis	0.341148405
Acinetobacter shaoyimingii	Yarrowia lipolytica	0.372704897
Acinetobacter shaoyimingii	Thermothelomyces thermophilus	0.37055572
Acinetobacter sp. 10FS3-1	Yarrowia lipolytica	0.322389531
