node1	node2	cor_value
Candidatus Methanomethylophilus alvus	Methanobrevibacter_A smithii_A	0.337963185
Candidatus Methanomethylophilus alvus	Bacteroides intestinalis	0.357030949
Candidatus Methanomethylophilus alvus	Odoribacter splanchnicus	0.329208631
Candidatus Methanomethylophilus alvus	Alistipes finegoldii	0.302400707
Candidatus Methanomethylophilus alvus	Alistipes shahii	0.455049621
Candidatus Methanomethylophilus alvus	Clostridium sp. M62/1	0.315672537
Candidatus Methanomethylophilus alvus	Eubacterium sp. MSJ-33	0.363792587
Candidatus Methanomethylophilus alvus	Eubacterium sp. NSJ-61	0.436609678
Candidatus Methanomethylophilus alvus	Blautia massiliensis	0.33185511
Candidatus Methanomethylophilus alvus	Coprococcus sp. ART55/1	0.428892455
Candidatus Methanomethylophilus alvus	Dorea longicatena	0.427999588
Candidatus Methanomethylophilus alvus	Roseburia sp. NSJ-69	0.38828015
Candidatus Methanomethylophilus alvus	Dysosmobacter sp. Marseille-Q4140	0.330926669
Candidatus Methanomethylophilus alvus	Dysosmobacter welbionis	0.310568108
Candidatus Methanomethylophilus alvus	Oscillibacter sp. NSJ-62	0.432102666
Candidatus Methanomethylophilus alvus	Pusillibacter faecalis	0.390371949
Candidatus Methanomethylophilus alvus	Longicatena caecimuris	0.407350519
Candidatus Methanomethylophilus alvus	Thermothelomyces thermophilus	-0.330121025
Methanomassiliicoccaceae archaeon UBA71	Methanobrevibacter_A smithii_A	0.349075475
Methanomassiliicoccaceae archaeon UBA71	Bifidobacterium adolescentis	0.308140948
Methanomassiliicoccaceae archaeon UBA71	Bifidobacterium catenulatum	0.429424487
Methanomassiliicoccaceae archaeon UBA71	Bifidobacterium longum	0.361525537
Methanomassiliicoccaceae archaeon UBA71	Enterococcus faecium	0.318418557
Methanomassiliicoccaceae archaeon UBA71	Clostridium sp. M62/1	0.301145545
Methanomassiliicoccaceae archaeon UBA71	Blautia massiliensis	0.331915017
Methanomassiliicoccaceae archaeon UBA71	Coprococcus sp. ART55/1	0.381737677
Methanomassiliicoccaceae archaeon UBA71	Lachnoclostridium phytofermentans	0.30984038
Methanomassiliicoccaceae archaeon UBA71	Roseburia sp. NSJ-69	0.340323
Methanomassiliicoccaceae archaeon UBA71	Amedibacterium intestinale	0.372201097
Methanomassiliicoccaceae archaeon UBA71	Citrobacter freundii	-0.313331995
Methanobrevibacter_A smithii_A	Schaalia cardiffensis	-0.330322895
Methanobrevibacter_A smithii_A	Bifidobacterium longum	0.474361705
Methanobrevibacter_A smithii_A	Bifidobacterium pseudocatenulatum	0.300634786
Methanobrevibacter_A smithii_A	Collinsella aerofaciens	0.420345057
Methanobrevibacter_A smithii_A	Eggerthella lenta	0.388644575
Methanobrevibacter_A smithii_A	Gordonibacter pamelaeae	0.323858055
Methanobrevibacter_A smithii_A	Bacteroides cellulosilyticus	0.461487754
Methanobrevibacter_A smithii_A	Bacteroides faecis	0.416027369
Methanobrevibacter_A smithii_A	Bacteroides intestinalis	0.311000441
Methanobrevibacter_A smithii_A	Bacteroides luhongzhouii	0.365326907
Methanobrevibacter_A smithii_A	Bacteroides ovatus	0.558389415
Methanobrevibacter_A smithii_A	Bacteroides sp. A1C1	0.352512443
Methanobrevibacter_A smithii_A	Bacteroides sp. CBA7301	0.358062223
Methanobrevibacter_A smithii_A	Bacteroides sp. HF-162	0.455982354
Methanobrevibacter_A smithii_A	Bacteroides sp. M10	0.424025681
Methanobrevibacter_A smithii_A	Bacteroides xylanisolvens	0.570077016
Methanobrevibacter_A smithii_A	Bacteroides zhangwenhongii	0.570342641
Methanobrevibacter_A smithii_A	Phocaeicola coprophilus	0.407743294
Methanobrevibacter_A smithii_A	Phocaeicola salanitronis	0.406450967
Methanobrevibacter_A smithii_A	Phocaeicola vulgatus	0.489556764
Methanobrevibacter_A smithii_A	Butyricimonas virosa	0.334751971
Methanobrevibacter_A smithii_A	Odoribacter splanchnicus	0.401579154
Methanobrevibacter_A smithii_A	Alistipes communis	0.393030152
Methanobrevibacter_A smithii_A	Alistipes finegoldii	0.59431336
Methanobrevibacter_A smithii_A	Alistipes onderdonkii	0.401336566
Methanobrevibacter_A smithii_A	Alistipes shahii	0.515003386
Methanobrevibacter_A smithii_A	Parabacteroides goldsteinii	0.443016594
Methanobrevibacter_A smithii_A	Lactobacillus iners	-0.323548758
Methanobrevibacter_A smithii_A	Streptococcus milleri	-0.321262216
Methanobrevibacter_A smithii_A	Streptococcus sp. KS 6	-0.330450911
Methanobrevibacter_A smithii_A	Clostridium sp. M62/1	0.596198732
Methanobrevibacter_A smithii_A	Eubacterium sp. MSJ-33	0.553564056
Methanobrevibacter_A smithii_A	Eubacterium sp. NSJ-61	0.383408502
Methanobrevibacter_A smithii_A	Anaerostipes caccae	0.536650846
Methanobrevibacter_A smithii_A	Blautia hansenii	0.633486384
Methanobrevibacter_A smithii_A	Blautia massiliensis	0.786762814
Methanobrevibacter_A smithii_A	Blautia producta	0.627960473
Methanobrevibacter_A smithii_A	Coprococcus sp. ART55/1	0.6486944
Methanobrevibacter_A smithii_A	Dorea longicatena	0.693050618
Methanobrevibacter_A smithii_A	Enterocloster clostridioformis	0.457168819
Methanobrevibacter_A smithii_A	[Clostridium] hylemonae	0.634695216
Methanobrevibacter_A smithii_A	[Clostridium] scindens	0.664455284
Methanobrevibacter_A smithii_A	Lachnoclostridium sp. YL32	0.488378789
Methanobrevibacter_A smithii_A	Lacrimispora saccharolytica	0.417902787
Methanobrevibacter_A smithii_A	Roseburia sp. NSJ-69	0.609791162
Methanobrevibacter_A smithii_A	Sellimonas intestinalis	0.500983229
Methanobrevibacter_A smithii_A	Anaerotruncus colihominis	0.556043015
Methanobrevibacter_A smithii_A	Dysosmobacter sp. Marseille-Q4140	0.603506782
Methanobrevibacter_A smithii_A	Dysosmobacter welbionis	0.561950116
Methanobrevibacter_A smithii_A	Flavonifractor plautii	0.710976975
Methanobrevibacter_A smithii_A	Oscillibacter sp. NSJ-62	0.599852343
Methanobrevibacter_A smithii_A	Pusillibacter faecalis	0.469567687
Methanobrevibacter_A smithii_A	Ruminococcus bicirculans	0.52409236
Methanobrevibacter_A smithii_A	Ruthenibacterium lactatiformans	0.529650846
Methanobrevibacter_A smithii_A	Vescimonas coprocola	0.650488879
Methanobrevibacter_A smithii_A	Vescimonas fastidiosa	0.458338899
Methanobrevibacter_A smithii_A	Clostridioides difficile	0.592904146
Methanobrevibacter_A smithii_A	Flintibacter sp. KGMB00164	0.483940427
Methanobrevibacter_A smithii_A	Intestinimonas butyriciproducens	0.476737934
Methanobrevibacter_A smithii_A	[Clostridium] innocuum	0.461471139
Methanobrevibacter_A smithii_A	Faecalitalea cylindroides	0.533865223
Methanobrevibacter_A smithii_A	Longicatena caecimuris	0.442100708
Methanobrevibacter_A smithii_A	Phascolarctobacterium faecium	0.361747082
Methanobrevibacter_A smithii_A	Veillonella nakazawae	-0.342135329
Methanobrevibacter_A smithii_A	Leptotrichia sp. oral taxon 212	-0.346921323
Methanobrevibacter_A smithii_A	Enterobacter sichuanensis	-0.336898425
Methanobrevibacter_A smithii_A	Acinetobacter haemolyticus	-0.34622544
Methanobrevibacter_A smithii_A	Acinetobacter radioresistens	-0.305799109
Methanobrevibacter_A smithii_A	Aggregatibacter segnis	-0.36997522
Methanobrevibacter_A smithii_A	Aspergillus fumigatus	-0.31556105
Methanobrevibacter_A smithii_A	Yarrowia lipolytica	-0.386064363
Methanobrevibacter smithii	Actinoplanes sp. OR16	0.39460865
Methanobrevibacter smithii	Nocardioides sp. TF02-7	0.414327362
Methanobrevibacter smithii	Eggerthella lenta	-0.422509695
Methanobrevibacter smithii	Bacteroides zhangwenhongii	-0.331428252
Methanobrevibacter smithii	Bacillus amyloliquefaciens	0.331377098
Methanobrevibacter smithii	Clostridium sp. M62/1	-0.411226944
Methanobrevibacter smithii	Anaerostipes caccae	-0.312349878
Methanobrevibacter smithii	Blautia hansenii	-0.33607187
Methanobrevibacter smithii	Blautia producta	-0.379978185
Methanobrevibacter smithii	Lachnoanaerobaculum umeaense	-0.382259336
Methanobrevibacter smithii	[Clostridium] hylemonae	-0.350627248
Methanobrevibacter smithii	[Clostridium] scindens	-0.360205691
Methanobrevibacter smithii	Lachnoclostridium sp. YL32	-0.375817262
Methanobrevibacter smithii	Dysosmobacter welbionis	-0.361831458
Methanobrevibacter smithii	Flavonifractor plautii	-0.365042715
Methanobrevibacter smithii	Oscillibacter sp. NSJ-62	-0.324586125
Methanobrevibacter smithii	Ruthenibacterium lactatiformans	-0.34267345
Methanobrevibacter smithii	Clostridioides difficile	-0.436285143
Methanobrevibacter smithii	[Clostridium] innocuum	-0.357531714
Methanobrevibacter smithii	Erysipelatoclostridium ramosum	-0.351858273
Methanobrevibacter smithii	Ralstonia sp. 56D2	0.372275953
Methanobrevibacter smithii	Enterobacter cancerogenus	0.358157975
Methanobrevibacter smithii	Enterobacter kobei	0.34983697
Methanobrevibacter smithii	Klebsiella variicola	0.333402031
Methanobrevibacter smithii	Acinetobacter sp. C16S1	0.315612046
Methanobrevibacter smithii	Acinetobacter sp. SCLZS86	0.331101457
Methanobrevibacter smithii	Acinetobacter venetianus	0.318887727
Methanobrevibacter smithii	Acinetobacter wanghuae	0.354017186
Methanobrevibacter smithii	Zymoseptoria tritici	0.393026382
Methanobrevibacter smithii	Aspergillus oryzae	0.37511301
Methanobrevibacter smithii	Thermothelomyces thermophilus	0.346273031
Methanobrevibacter smithii	Human betaherpesvirus 5	0.34036951
