node1	node2	cor_value
[Clostridium] hylemonae	Yarrowia lipolytica	-0.30096724
[Clostridium] hylemonae	Cercospora beticola	-0.364323133
[Clostridium] hylemonae	Aspergillus fumigatus	-0.347873588
[Clostridium] hylemonae	Aspergillus oryzae	-0.385893863
[Clostridium] hylemonae	Candida dubliniensis	-0.346598593
[Clostridium] hylemonae	Kluyveromyces marxianus	-0.318739644
[Clostridium] hylemonae	[Candida] glabrata	-0.331936355
[Clostridium] hylemonae	Fusarium poae	-0.400508213
[Clostridium] hylemonae	Thermothelomyces thermophilus	-0.372473041
[Clostridium] innocuum	Aspergillus fumigatus	-0.336444926
[Clostridium] innocuum	Aspergillus oryzae	-0.302828805
[Clostridium] innocuum	Kluyveromyces marxianus	-0.359816094
[Clostridium] innocuum	[Candida] glabrata	-0.310492087
[Clostridium] innocuum	Fusarium poae	-0.316049817
[Clostridium] innocuum	Thermothelomyces thermophilus	-0.335532081
[Clostridium] scindens	Yarrowia lipolytica	-0.334646194
[Clostridium] scindens	Cercospora beticola	-0.394080703
[Clostridium] scindens	Zymoseptoria tritici	-0.346219238
[Clostridium] scindens	Aspergillus fumigatus	-0.363006076
[Clostridium] scindens	Aspergillus luchuensis	-0.377706538
[Clostridium] scindens	Aspergillus oryzae	-0.450036991
[Clostridium] scindens	Kluyveromyces marxianus	-0.335994965
[Clostridium] scindens	[Candida] glabrata	-0.333300762
[Clostridium] scindens	Fusarium poae	-0.412061982
[Clostridium] scindens	Thermothelomyces thermophilus	-0.34300501
Acidovorax sp. 1608163	Aspergillus fumigatus	0.356195813
Acidovorax sp. KKS102	Aspergillus fumigatus	0.322288717
Acinetobacter baumannii	Cercospora beticola	0.3314413
Acinetobacter junii	Cercospora beticola	0.300498878
Acinetobacter larvae	Colletotrichum higginsianum	0.314232557
Acinetobacter nosocomialis	Aspergillus fumigatus	0.301718918
Acinetobacter pittii	Cercospora beticola	0.319778592
Acinetobacter radioresistens	Cercospora beticola	0.304927632
Acinetobacter radioresistens	Aspergillus fumigatus	0.323307795
Acinetobacter seifertii	Aspergillus fumigatus	0.315424844
Acinetobacter seifertii	Aspergillus oryzae	0.324743311
Acinetobacter shaoyimingii	Aspergillus oryzae	0.348338333
Acinetobacter shaoyimingii	Colletotrichum higginsianum	0.304358906
Acinetobacter sp. C16S1	Cercospora beticola	0.309026808
Acinetobacter sp. C16S1	Aspergillus fumigatus	0.308958398
Acinetobacter sp. C16S1	Aspergillus oryzae	0.35910865
Acinetobacter sp. C16S1	Colletotrichum higginsianum	0.334610125
Acinetobacter sp. CS-2	Aspergillus oryzae	0.308032234
Acinetobacter sp. SCLZS86	Aspergillus oryzae	0.404623776
Acinetobacter sp. SCLZS86	Kluyveromyces marxianus	0.322993127
