S	cluster	group
T10	C1	T
T14	C1	T
T22	C1	T
T26	C1	T
P27	C1	P
T27	C1	T
P29	C1	P
T29	C1	T
P2	C1	P
T2	C1	T
P34	C1	P
T34	C1	T
P36	C1	P
T36	C1	T
P38	C1	P
P3	C1	P
P43	C1	P
P44	C1	P
T45	C1	T
P46	C1	P
P4	C1	P
T4	C1	T
P51	C1	P
T51	C1	T
P52	C1	P
P55	C1	P
P64	C1	P
P65	C1	P
T65	C1	T
T73	C1	T
P75	C1	P
T75	C1	T
P7	C1	P
T7	C1	T
P8	C1	P
T8	C1	T
A1	C1	A
A14	C1	A
A15	C1	A
A17	C1	A
A19	C1	A
A22	C1	A
A24	C1	A
A26	C1	A
A3	C1	A
A31	C1	A
A35	C1	A
A37	C1	A
A4	C1	A
A40	C1	A
A43	C1	A
A44	C1	A
A46	C1	A
A49	C1	A
A5	C1	A
A52	C1	A
A53	C1	A
A54	C1	A
A55	C1	A
A56	C1	A
A57	C1	A
A61	C1	A
A64	C1	A
A65	C1	A
A67	C1	A
A72	C1	A
A73	C1	A
A75	C1	A
A76	C1	A
A78	C1	A
A79	C1	A
A8	C1	A
A81	C1	A
A82	C1	A
A84	C1	A
A9	C1	A
A91	C1	A
P13	C2	P
T13	C2	T
P14	C2	P
P15	C2	P
T15	C2	T
T16	C2	T
P21	C2	P
T21	C2	T
P22	C2	P
P23	C2	P
T23	C2	T
P26	C2	P
P28	C2	P
T28	C2	T
T30	C2	T
T32	C2	T
P37	C2	P
T37	C2	T
T38	C2	T
P39	C2	P
T39	C2	T
T3	C2	T
P42	C2	P
T42	C2	T
T43	C2	T
P48	C2	P
T48	C2	T
P50	C2	P
T50	C2	T
T52	C2	T
T53	C2	T
T55	C2	T
P57	C2	P
P59	C2	P
P60	C2	P
T64	C2	T
P66	C2	P
P67	C2	P
P69	C2	P
P6	C2	P
P70	C2	P
T70	C2	T
T71	C2	T
P72	C2	P
T72	C2	T
P73	C2	P
P74	C2	P
T74	C2	T
T76	C2	T
T9	C2	T
A10	C2	A
A12	C2	A
A16	C2	A
A23	C2	A
A25	C2	A
A29	C2	A
A32	C2	A
A42	C2	A
A62	C2	A
A68	C2	A
A69	C2	A
A7	C2	A
A86	C2	A
P11	C3	P
T11	C3	T
P12	C3	P
T12	C3	T
P16	C3	P
P30	C3	P
P32	C3	P
P33	C3	P
T33	C3	T
P35	C3	P
T35	C3	T
P45	C3	P
T46	C3	T
P53	C3	P
T57	C3	T
P58	C3	P
T58	C3	T
T59	C3	T
T60	C3	T
P62	C3	P
T62	C3	T
P63	C3	P
T63	C3	T
T66	C3	T
T67	C3	T
P71	C3	P
P76	C3	P
A28	C3	A
A30	C3	A
A33	C3	A
A45	C3	A
A83	C3	A
A92	C3	A
T44	C4	T
P47	C4	P
T47	C4	T
P5	C4	P
T5	C4	T
P68	C4	P
T68	C4	T
T6	C4	T
P9	C4	P
A11	C4	A
A66	C4	A
