Name	PATRIC	HOMD
A1	0.928838951	0.262172285
A14	0.97005988	0.263473054
A15	0.934131737	0.161676647
A17	0.953545232	0.300733496
A19	0.981670061	0.203665988
A22	0.967346939	0.289795918
A24	0.979406919	0.085667216
A26	0.964635064	0.091045899
A3	0.906735751	0.189119171
A31	0.955882353	0.10130719
A35	0.989441417	0.24352861
A37	0.922619048	0.041666667
A4	0.928571429	0.119047619
A40	0.970744681	0.22606383
A43	0.841269841	0.187830688
A44	0.909090909	0.248484848
A46	0.858823529	0.094117647
A49	0.989361702	0.103965184
A5	0.980234261	0.213396779
A52	0.826086957	0.217391304
A53	0.79245283	0.141509434
A54	0.983624454	0.448689956
A55	0.968688845	0.24853229
A56	0.963756178	0.131795717
A57	0.980806142	0.180422265
A61	0.955357143	0.126785714
A64	0.87704918	0.073770492
A65	0.706864564	0.25974026
A67	0.972006221	0.062208398
A72	0.976487877	0.400440852
A73	0.953690304	0.244573082
A75	0.965628357	0.236305048
A76	0.973684211	0.217105263
A78	0.977358491	0.075471698
A79	0.971098266	0.11849711
A8	0.959854015	0.153284672
A81	0.90625	0.13125
A82	0.928947368	0.234210526
A84	0.922580645	0.15483871
A9	0.984341253	0.062095032
A91	0.999357662	0.136938456
P27	0.996391104	0.401594629
P29	0.871313673	0.085790885
P2	0.951874892	1.640530499
P34	0.9894535	0.688398849
P36	0.982843137	1.446078431
P38	0.055255825	0.008379281
P3	0.921621941	0.360976475
P43	0.995978687	0.24811501
P44	0.999177688	0.245186048
P46	0.985282821	0.484898718
P4	0.959152799	0.054462935
P51	0.902286902	0.135135135
P52	0.988563523	1.035416186
P55	0.957169033	0.365781035
P64	0.990388147	0.161258724
P65	0.952380952	0.142857143
P75	0.973784817	0.150737302
P7	0.977216444	0.432392273
P8	0.989718105	0.249335961
T10	0.980525438	0.506380317
T14	0.981187527	0.875153588
T22	0.961431796	0.394130926
T26	0.960784314	0.169272772
T27	0.977272727	0.406060606
T29	0.876747141	0.315120712
T2	0.997174621	1.298138935
T34	0.022351509	0.014063938
T36	0.988422576	1.578147612
T45	0.982082817	0.342936984
T4	0.87431694	0.100182149
T51	0.988713318	0.566591422
T65	0.969281664	0.407844991
T73	0.968077475	0.315997131
T75	0.987055016	0.17835311
T7	0.943557423	0.529621849
T8	0.997482182	0.57265491
A10	0.973410966	0.027365357
A12	0.972781709	0.036769436
A16	0.972397476	0.028391167
A23	0.978991597	0.137955182
A25	0.941040462	0.03699422
A29	0.961363636	0.109090909
A32	0.985915493	0.061032864
A42	0.959745763	0.040254237
A62	0.980125523	0.131799163
A68	0.980747871	0.103665309
A69	0.96424581	0.073743017
A7	0.953488372	0.127012522
A86	0.975891557	0.017740175
P13	0.926388579	0.334485835
P14	0.99634001	0.198462237
P15	0.998220589	0.201796724
P21	0.958239278	0.04552295
P22	0.983989549	0.100042533
P23	0.937388747	0.064004334
P26	0.960196416	0.167441709
P28	0.948408652	0.039767427
P37	0.969658162	0.046694907
P39	0.973222728	0.015688129
P42	0.974821345	0.084151473
P48	0.987479806	0.114614586
P50	0.992922273	0.0855066
P57	0.982068628	0.37020132
P59	0.988029611	0.469365254
P60	0.986760911	0.657915404
P66	0.98025588	0.016655188
P67	0.987048883	0.823304114
P69	0.973878008	0.072060667
P6	0.944874882	0.07763585
P70	0.993307205	0.038890564
P72	0.987762767	0.013206518
P73	0.972155927	0.176610979
P74	0.990937411	0.014160295
T13	0.88148824	0.564476886
T15	0.997355822	0.138568883
T16	0.994231095	0.591275464
T21	0.960534305	0.13236187
T23	0.973617882	0.075133486
T28	0.934421275	0.035962526
T30	0.970852618	0.393489653
T32	0.730720663	0.042513126
T37	0.948992137	0.198970693
T38	0.972626674	0.470588235
T39	0.969915098	0.023145072
T3	0.982664685	0.060425953
T42	0.982014388	0.063549161
T43	0.996583806	0.203517953
T48	0.989421291	0.081027808
T50	0.995546268	0.112517731
T52	0.984288624	0.234215886
T53	0.993623406	0.147626192
T55	0.901034577	0.639667846
T64	0.989644428	0.281708211
T70	0.995434737	0.031610984
T71	0.959373186	0.757762623
T72	0.989479294	0.011208334
T74	0.987479279	0.020797329
T76	0.983556984	0.43035343
T9	0.972614463	0.056054771
A28	0.978808841	0.011506664
A30	0.969709695	0.052532124
A33	0.982872754	0.034990018
A45	0.807663775	0.70725232
A83	0.96682921	0.080850039
A92	0.984861095	0.018996963
P11	0.984833548	0.386197446
P12	0.980028861	0.189906203
P16	0.967959357	0.216239695
P30	0.956417775	0.02366895
P32	0.847080301	0.101832526
P33	0.968147094	0.061373029
P35	0.98782194	0.027217806
P71	0.982183489	0.193077447
P76	0.960210003	0.314451506
P45	0.9789963	0.42004419
P53	0.994961544	0.140061957
P58	0.992869678	0.434446449
P62	0.995545995	0.621354231
P63	0.975557746	0.038624796
T11	0.981209051	0.316937428
T12	0.978549399	0.230515993
T33	0.948616847	0.055484104
T35	0.991414081	0.019801811
T63	0.981177334	0.022546347
T66	0.982532178	0.1476228
T67	0.983731708	0.46121724
T46	0.991029834	0.415782866
T57	0.991270568	0.518115502
T58	0.998667625	1.061092868
T59	0.980966447	0.681139226
T60	0.98565405	1.171622935
T62	0.993013161	0.283114754
A11	0.999535285	0.902575848
A66	0.999282996	0.927196514
P5	0.980147976	0.329332817
P68	0.994317382	0.831454059
P9	0.994968163	0.66189564
P47	0.998520895	0.971427325
T44	0.999054515	0.912734127
T47	0.983192478	0.792304139
T5	0.995780172	0.789457334
T68	0.995609831	0.859926025
T6	0.998149113	0.916056833
