SAMPLE	CLUSTER	simpson	
T10	1	0.920569616	1.086283952
T14	1	0.534776032	1.869941695
T22	1	0.848730687	1.17823005
T26	1	0.871659865	1.147236485
P27	1	0.737791247	1.355396942
T27	1	0.830004591	1.204812612
P29	1	0.829596993	1.205404562
T29	1	0.87568154	1.14196766
P2	1	0.884558675	1.130507255
T2	1	0.708006684	1.412416045
P34	1	0.729378802	1.371029701
T34	1	0.04910402	20.36493127
P36	1	0.865472414	1.155438329
T36	1	0.822565715	1.215708341
P38	1	0.117398791	8.517975266
P3	1	0.846464992	1.181383766
P43	1	0.886960823	1.127445512
P44	1	0.800635097	1.249008449
T45	1	0.865225289	1.155768345
P46	1	0.838942432	1.191976901
P4	1	0.940124187	1.063689259
T4	1	0.939830989	1.064021097
P51	1	0.811372703	1.232479224
T51	1	0.911958787	1.09654078
P52	1	0.908590814	1.100605449
P55	1	0.884155015	1.131023387
P64	1	0.8537431	1.171312541
P65	1	0.929893062	1.075392474
T65	1	0.842188064	1.187383249
T73	1	0.91768164	1.089702524
P75	1	0.957895173	1.043955568
T75	1	0.973643389	1.027070087
P7	1	0.910303577	1.098534626
T7	1	0.896604024	1.115319554
P8	1	0.941899899	1.061683945
T8	1	0.818024273	1.222457613
A1	1	0.953527192	1.04873779
A14	1	0.968275027	1.032764424
A15	1	0.975151493	1.025481688
A17	1	0.983387235	1.016893412
A19	1	0.893176982	1.119598937
A22	1	0.969529363	1.031428277
A24	1	0.964320707	1.036999406
A26	1	0.95113634	1.051373981
A3	1	0.976697361	1.023858608
A31	1	0.906964202	1.10257935
A35	1	0.945160472	1.058021394
A37	1	0.820170777	1.219258267
A4	1	0.933673469	1.071038251
A40	1	0.969330014	1.031640397
A43	1	0.964110747	1.037225239
A44	1	0.980348944	1.020044961
A46	1	0.934948097	1.06957809
A49	1	0.989878465	1.010225028
A5	1	0.832035964	1.201871124
A52	1	0.963531821	1.037848443
A53	1	0.935920256	1.068467098
A54	1	0.958517667	1.043277588
A55	1	0.9547298	1.047416767
A56	1	0.904673374	1.105371318
A57	1	0.92554183	1.080448195
A61	1	0.960529337	1.041092616
A64	1	0.949543134	1.053138046
A65	1	0.919554869	1.087482688
A67	1	0.746399193	1.33976565
A72	1	0.973604467	1.027111146
A73	1	0.986137668	1.014057197
A75	1	0.959150216	1.042589559
A76	1	0.9595741	1.042129003
A78	1	0.971135635	1.029722279
A79	1	0.976928731	1.023616123
A8	1	0.941898876	1.061685098
A81	1	0.97859375	1.021874501
A82	1	0.984487535	1.015756894
A84	1	0.923454735	1.082890111
A9	1	0.9379936	1.066105355
A91	1	0.519417193	1.925234691
P13	2	0.925217625	1.080826795
T13	2	0.922560632	1.083939597
P14	2	0.643818009	1.553233968
P15	2	0.842902563	1.186376747
T15	2	0.810725699	1.233462811
T16	2	0.737785776	1.355406993
P21	2	0.921384171	1.085323616
T21	2	0.928938237	1.076497834
P22	2	0.708506096	1.41142046
P23	2	0.951191	1.051313564
T23	2	0.954208039	1.047989495
P26	2	0.911971286	1.096525752
P28	2	0.929174832	1.076223727
T28	2	0.931577479	1.07344802
T30	2	0.955931303	1.046100276
T32	2	0.90142821	1.109350683
P37	2	0.885017052	1.129921731
T37	2	0.95170007	1.050751209
T38	2	0.954363318	1.047818982
P39	2	0.893992334	1.118577825
T39	2	0.908867811	1.100270015
T3	2	0.805055293	1.242150705
P42	2	0.651337576	1.535302179
T42	2	0.615021652	1.625959017
T43	2	0.895867852	1.116236059
