	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae	LEfSe	4	5.613074875	7.41E-13	7.41E-13	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia|s_Escherichia coli	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia|s_Escherichia coli	LEfSe	4	5.323203924	0.001212893	0.001212893	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia	LEfSe	4	5.306868824	0.001301402	0.001301402	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella	LEfSe	4	5.287281773	1.05E-06	1.05E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella pneumoniae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella pneumoniae	LEfSe	4	5.223958023	2.34E-06	2.34E-06	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae	LEfSe	2	5.210650228	5.33E-16	5.33E-16	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae	LEfSe	3	5.011584017	1.11E-11	1.11E-11	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Faecalibacterium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Faecalibacterium	LEfSe	3	4.978562127	1.06E-08	1.06E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Faecalibacterium|s_Faecalibacterium prausnitzii	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Faecalibacterium|s_Faecalibacterium prausnitzii	LEfSe	3	4.962288862	1.23E-08	1.23E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae	LEfSe	3	4.943481257	3.70E-09	3.70E-09	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides	LEfSe	2	4.933367784	4.08E-12	4.08E-12	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola	LEfSe	2	4.878850317	1.31E-09	1.31E-09	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola|s_Phocaeicola vulgatus	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola|s_Phocaeicola vulgatus	LEfSe	2	4.748873172	8.02E-07	8.02E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Mediterraneibacter	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Mediterraneibacter	LEfSe	2	4.649194358	0.000714121	0.000714121	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides fragilis	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides fragilis	LEfSe	2	4.566799286	0.00125057	0.00125057	**
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae	LEfSe	1	4.521049871	0.00102793	0.00102793	**
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus	LEfSe	1	4.51570785	0.001105995	0.001105995	**
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Mediterraneibacter|s_[Ruminococcus] gnavus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Mediterraneibacter|s_[Ruminococcus] gnavus	LEfSe	2	4.485765445	0.015430663	0.015430663	*
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides	LEfSe	2	4.417975962	8.49E-09	8.49E-09	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae	LEfSe	2	4.414378244	4.01E-09	4.01E-09	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae	LEfSe	1	4.359097414	3.04E-09	3.04E-09	***
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium	LEfSe	2	4.333491882	0.012604445	0.012604445	*
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae	LEfSe	2	4.323181307	0.013048031	0.013048031	*
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter	LEfSe	1	4.31672615	4.99E-08	4.99E-08	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella quasipneumoniae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella quasipneumoniae	LEfSe	4	4.272107911	1.02E-10	1.02E-10	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola|s_Phocaeicola dorei	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola|s_Phocaeicola dorei	LEfSe	2	4.253937053	1.66E-05	1.66E-05	***
d_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae	LEfSe	3	4.241640716	0.000471492	0.000471492	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae	LEfSe	1	4.192024405	1.23E-05	1.23E-05	***
d_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae|g_Parvimonas|s_Parvimonas micra	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae|g_Parvimonas|s_Parvimonas micra	LEfSe	3	4.187946325	3.02E-05	3.02E-05	***
d_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae|g_Parvimonas	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae|g_Parvimonas	LEfSe	3	4.159774691	2.91E-05	2.91E-05	***
d_Fungi|p_Ascomycota|c_Dothideomycetes|o_Mycosphaerellales|f_Mycosphaerellaceae	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Dothideomycetes|o_Mycosphaerellales|f_Mycosphaerellaceae	LEfSe	3	4.154549535	0.01127586	0.01127586	*
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae	LEfSe	3	4.13683459	9.34E-05	9.34E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Mediterraneibacter|s_[Ruminococcus] torques	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Mediterraneibacter|s_[Ruminococcus] torques	LEfSe	2	4.135772045	0.001838083	0.001838083	**
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella	LEfSe	3	4.107326471	0.000176738	0.000176738	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium longum	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium longum	LEfSe	3	4.013251496	0.002331829	0.002331829	**
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides distasonis	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides distasonis	LEfSe	2	4.010744791	5.31E-08	5.31E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sanguinis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sanguinis	LEfSe	3	4.006913404	0.002219348	0.002219348	**
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae	LEfSe	3	3.992516928	0.000358601	0.000358601	***
