	Description	Arthrobacter agilis	Micrococcus luteus	Olsenella sp. oral taxon 807	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides uniformis	Alistipes communis	Alistipes dispar	Alistipes shahii	Flagellimonas sp. HMM57	Flavobacterium sp. F-70	Nonlabens dokdonensis	Polaribacter sp. ALD11	Tenacibaculum mesophilum	Zhouia spongiae	Anoxybacillus flavithermus	Bacillus smithii	Lentibacillus sp. CBA3610	Listeria monocytogenes	Planococcus donghaensis	Mammaliicoccus vitulinus	Staphylococcus capitis	Staphylococcus epidermidis	Staphylococcus sp. MI 10-1553	Vagococcus hydrophili	Lacticaseibacillus rhamnosus	Ligilactobacillus murinus	Clostridium sp. 'deep sea'	Clostridium sp. BJN0001	Hungatella hathewayi	Desulfitobacterium hafniense	Eubacterium limosum	Eubacterium sp. NSJ-61	Aminipila butyrica	Coprococcus catus	Coprococcus eutactus	Enterocloster clostridioformis	[Clostridium] scindens	Lacrimispora saccharolytica	Novisyntrophococcus fermenticellae	Pseudobutyrivibrio xylanivorans	Roseburia hominis	Acutalibacter muris	Dysosmobacter welbionis	Monoglobus pectinilyticus	Oscillibacter sp. NSJ-62	Ruthenibacterium lactatiformans	Clostridioides difficile	Romboutsia ilealis	Vallitalea guaymasensis	Flintibacter sp. KGMB00164	Intestinimonas butyriciproducens	Sporomusa termitida	Bradyrhizobium canariense	Brucella intermedia	Methylobacterium brachiatum	Methylorubrum populi	Paracoccus sp. MC1862	Diaphorobacter nitroreducens	Massilia putida	Neisseria gonorrhoeae	Desulfovibrio desulfuricans	Desulfovibrio vulgaris	Campylobacter coli	Cardiobacterium hominis	Teredinibacter haidensis	Thioalkalivibrio versutus	Yokenella regensburgei	Erwinia amylovora	Yersinia canariae	Allofrancisella guangzhouensis	Paraphotobacterium marinum	Sphaerochaeta associata	Akkermansia muciniphila	Aspergillus puulaauensis	Candida dubliniensis	Naumovozyma castellii	Saccharomyces cerevisiae	Fusarium venenatum
D5269	COG0798 Arsenite efflux pump ACR3 and related permeases	0.235407725	-0.023886304	0.284319882	-0.335846248	-0.131887882	-0.125376834	-0.162151783	0.011013407	0.078758737	0.222961373	0.003433476	-0.047944884	-0.035431351	0.003433476	-0.129701747	-0.129701747	-0.069669909	0.193572317	0.015879828	-0.069669909	0.134283132	0.003433476	-0.137939443	0.003433476	-0.058807397	0.274219028	0.015472921	0.049591678	0.186313173	0.218621939	0.156008157	0.15448536	-0.151990545	0.012458194	-0.154785058	0.052239621	0.007604241	-0.296261739	0.170510123	-0.080693162	0.206751914	-0.026701228	-0.007538174	-0.132833174	-0.032764579	0.03046378	0.001887966	-0.066618214	0.289857661	0.195576581	-0.179785992	-0.039650687	0.003433476	-0.035431351	-0.15585956	0.098699038	-0.157033686	-0.106820844	0.003433476	0.193572317	0.015879828	0.1236853	0.044883631	0.164605541	0.203452449	0.349570815	0.193572317	-0.129701747	0.251287554	-0.129701747	0.015879828	0.003433476	0.015879828	-0.062548239	0.350611673	-0.16192138	0.015879828	-0.050570262	-0.058807397
D12130	Multicopper oxidase	0.015879828	-0.023886304	0.056147204	-0.385030436	-0.302209348	-0.163954322	-0.156858168	0.018752558	0.098932027	0.003433476	0.003433476	-0.047944884	-0.035431351	0.003433476	-0.129701747	-0.129701747	-0.069669909	0.193572317	0.015879828	-0.069669909	0.146643922	0.249570815	0.055965884	0.003433476	0.132784854	0.086183123	0.18863795	0.049591678	0.199052535	0.043860178	-0.058807397	0.048518524	-0.223564274	-0.119803456	-0.20119375	-0.033433357	-0.153035357	-0.397656849	0.021035154	-0.088983555	0.092546095	-0.110580841	-0.132558078	-0.242941325	-0.15870343	-0.08000173	-0.018609946	-0.177873329	0.130276518	0.194893941	-0.242385193	-0.121667862	0.003433476	-0.035431351	-0.15585956	-0.069669909	0.016460554	-0.106820844	0.003433476	0.193572317	0.015879828	-0.001553835	0.055464563	0.001316844	0.038517697	0.116738197	0.193572317	-0.129701747	0.266309013	-0.129701747	0.015879828	0.003433476	0.015879828	-0.122588977	0.20458997	-0.155192939	0.015879828	0.148149501	-0.058807397
D22243	"WD domain, G-beta repeat"	0.235407725	-0.023886304	0.087207359	-0.361711502	-0.17733391	-0.353626969	-0.168559843	0.003869575	0.176585378	0.222961373	0.003433476	-0.047944884	-0.035431351	0.003433476	-0.129701747	-0.129701747	-0.069669909	0.193572317	0.015879828	-0.069669909	0.134283132	0.2972103	0.093495947	0.003433476	0.169867225	0.274219028	0.210365882	0.049591678	0.186313173	0.035984356	0.156008157	0.039886394	-0.155859395	0.012458194	-0.16578365	0.047503229	-0.142715315	-0.332119347	0.0541899	-0.002763464	0.1037979	-0.039916987	-0.116912811	-0.240777037	-0.032764579	-0.048440155	-0.135663813	-0.178682457	0.082599564	0.022356485	-0.263568437	-0.050785469	0.003433476	-0.035431351	-0.15585956	0.098699038	0.050040085	-0.106820844	0.003433476	0.193572317	0.015879828	0.112497685	0.044883631	0.156046053	-0.003950533	0.333690987	0.193572317	-0.129701747	0.251287554	-0.129701747	0.015879828	0.003433476	0.015879828	-0.067841854	0.132776018	-0.16192138	0.015879828	0.17663979	-0.058807397
D9435	glycosyl transferase group 1	0.218786368	-0.043058091	0.166802389	-0.41374534	-0.097487306	-0.3368383	0.119538649	0.222281702	0.223068411	0.41521625	0.228684659	0.039618871	0.291591923	0.054781922	0.077497286	0.096498371	0.208669315	0.069506269	0.569663725	0.211648177	0.232500215	0.175779999	-0.082209545	0.174414717	-0.076407822	0.327403144	0.218090927	0.275322453	0.498650682	0.18088428	0.393805617	0.274597204	0.053184784	0.381786102	0.019627238	0.280622241	0.06663021	-0.172061518	0.285275275	0.081755122	0.317888214	0.066385746	0.103610533	-0.094881556	0.030360941	0.111422966	-0.164194792	0.064777044	0.368537371	0.289630836	-0.160582045	0.053887317	0.360946309	0.101946362	-0.082258686	-0.058534647	-0.10708186	0.053030709	0.012458194	0.288322303	0.382790813	0.102812636	0.097584148	0.188505963	0.196360378	0.453102813	0.288322303	0.088626493	0.408731163	0.128257329	0.372209881	0.218786368	0.173732077	0.085637976	0.281625364	0.006165249	0.358898386	-0.082983669	0.039023098
D17546	"Quinolinate phosphoribosyl transferase, C-terminal domain"	0.209656652	-0.011943152	0.032254777	-0.226756525	-0.175041381	-0.191012143	0.068259771	0.259559218	0.308126286	0.470815451	0.221244635	0.11031069	0.160436344	0.249570815	0.187043572	0.2293673	0.097949899	0.214289087	0.493133047	0.097949899	0.337487034	0.221244635	0.03357953	0.208798283	0.098699038	0.271369999	0.412501486	0.310302215	0.431545897	0.181415472	0.120424064	0.241997299	0.067981225	0.257014251	0.079672725	0.330154404	-0.05540233	-0.155517268	0.223724883	0.09561587	0.356119623	0.103568398	0.064145594	-0.050049159	-0.031301875	0.135577545	-0.011327794	0.128921079	0.304737729	0.428186425	-0.074412933	0.037478047	0.469098712	0.148891297	-0.15585956	-0.059556535	-0.025020042	-0.106820844	0.015879828	0.214289087	0.209656652	0.120266862	0.208205436	0.172506607	0.024690831	0.281330472	0.214289087	0.05341664	0.499141631	0.012458194	0.496566524	0.456652361	0.209656652	0.177754017	0.179056121	0.103705744	0.45751073	0.073718622	0.098699038
D13095	Oxidoreductase FAD-binding domain	0.117878569	0.017177653	0.481758433	-0.411011696	-0.069825397	-0.10625812	-0.089237795	0.114604253	0.170604154	0.106482454	-0.069801207	-0.015851314	0.015195616	0.193733963	0.107907092	-0.116403713	-0.019581035	0.133225244	0.103633425	-0.027662096	0.148878025	0.258193241	-0.007648834	0.082977966	0.00062162	0.237588652	0.337641406	0.144221533	0.484277691	0.265914887	0.17094554	0.296884294	-0.021096213	0.223177922	-0.056094018	0.178244405	0.103661736	-0.16715682	0.281584546	0.127953115	0.198867849	0.080567765	0.08544598	-0.017958821	0.088844478	0.134817201	0.081015364	0.05818783	0.391329951	0.206751121	-0.0563379	0.115380019	0.337253792	0.023784443	-0.054083075	-0.017716174	-0.019122086	0.081654182	0.073718622	0.37066701	0.094374081	0.223313866	0.228559116	0.281367839	0.146420545	0.319447361	0.37066701	0.074487048	0.298079645	0.070521958	0.075855394	0.165243674	0.343664107	-0.010865742	0.294240976	-0.068696686	0.094374081	0.178486998	-0.017716174
D2175	Belongs to the anaerobic coproporphyrinogen-III oxidase family	0.302652079	-0.089640782	0.296545757	-0.411942887	-0.080031908	-0.166471412	-0.105530184	0.132488557	0.118178421	0.30190294	0.288043872	0.001797973	0.233482968	-0.058807397	-0.093089452	-0.077003594	0.148741419	0.131648588	0.307521481	0.158875449	0.200065381	0.108063273	-0.083322188	0.097949899	-0.007682249	0.321377615	0.067807022	0.189199687	0.435695895	0.250767789	0.346355018	0.264717333	-0.086101421	0.220584765	-0.110271264	0.129238002	0.170180787	-0.260202375	0.271363331	-0.029665196	0.293862772	-0.033895867	0.128475069	-0.116165826	0.038297114	0.02634764	-0.062142423	-0.005178535	0.466057439	0.255139569	-0.170891849	-0.017539524	0.108063273	0.040998497	-0.190436286	0.020104609	-0.131016958	-0.130518557	-0.058807397	0.131648588	0.30190294	0.119879661	0.07774831	0.205144974	0.242783617	0.416895748	0.131648588	-0.067769121	0.350596963	-0.093089452	0.118925786	0.097949899	0.098699038	-0.004741564	0.461151597	-0.062934925	0.098699038	-0.008391872	-0.007682249
D4107	chorismate binding enzyme	0.264603556	0.016516974	0.413502241	-0.487965184	-0.193362637	-0.285429761	-0.196508099	0.020253338	0.081174557	0.263179041	0.072650236	0.092621402	0.153277523	-0.080128937	0	-0.001132883	0.099459223	0.11603489	0.2763558	0.090756541	0.274756104	0.438038188	0.132761912	0.227922309	0.121215928	0.382387707	0.245855393	0.328417513	0.389139918	0.13250674	0.321066805	0.224268668	-0.095850183	0.173047856	-0.181637771	0.097329305	0.039661881	-0.279040452	0.195583355	-0.003668907	0.238548054	-0.014770757	0.061370041	-0.116732338	0.010438012	0.048279133	-0.053264245	-0.00358079	0.347232887	0.353742671	-0.199210814	0.005859142	0.227210052	0.153938202	-0.042325885	-0.008081062	0.093425049	0.098844536	0.074430879	0.371741408	0.229346824	0.185665108	0.142176798	0.263338443	0.16335725	0.529207112	0.371741408	-0.12320101	0.451571075	-0.01586036	0.227922309	0.063390892	0.229346824	-0.110275721	0.432224368	-0.160211354	0.229346824	0.123522459	0.091999781
D365	6-phosphogluconate dehydrogenase	0.208798283	-0.023886304	0.220151649	-0.335578215	-0.230601511	-0.118143556	-0.093195484	0.11162237	0.080416815	0.209656652	0.222961373	0.108812412	0.162028764	0.003433476	0.013140835	0.034302699	0.098699038	0.193572317	0.262017167	0.098699038	0.338985311	0.222961373	0.035554797	0.209656652	0.097949899	0.273506771	0.208719826	0.313136025	0.433934527	0.133345804	0.121173202	0.216696228	-0.101971838	0.086524718	-0.140567367	0.11799189	0.020096924	-0.283637712	0.158808448	-0.0583091	0.267230365	-0.063921121	0.052198299	-0.116059942	-0.030716793	0.010977939	0.004854769	0.039647277	0.349681609	0.410437765	-0.143394265	-0.086905615	0.222961373	0.149687507	-0.15585956	-0.069669909	-0.02436162	-0.106820844	0.003433476	0.193572317	0.208798283	0.122131464	0.208888077	0.17645714	0.038517697	0.293776824	0.193572317	-0.129701747	0.500858369	0.013140835	0.235407725	0.209656652	0.208798283	-0.032458218	0.387635755	-0.035104906	0.208798283	0.082977966	0.097949899
D17962	RF-1 domain	0.44248927	0	0.257696892	-0.299125629	-0.090892057	-0.302994017	-0.086787424	0.118170883	0.171887489	0.440772532	0.233690987	0.121922341	0.171583286	0.02832618	0.020991204	0.040787786	0.108063273	0.235005857	0.272746781	0.108063273	0.335239617	0.233690987	0.042797441	0.221244635	0.109561551	0.468665248	0.204769293	0.324471266	0.430749687	0.151270087	0.34610213	0.209850056	-0.025423873	0.223906174	-0.100865133	0.209794318	0.039922267	-0.214608458	0.210072929	0.026252912	0.290296565	0.013755178	0.076092888	-0.109026007	0.101950498	0.057634179	-0.096555954	0.042344371	0.305952429	0.241654834	-0.157788008	-0.012764262	0.233690987	0.160038239	-0.15585956	0.118925786	-0.017118976	-0.106820844	0.02832618	0.235005857	0.222961373	0.263530488	0.206157513	0.352255858	0.011851599	0.530042918	0.235005857	-0.112635728	0.496566524	0.020991204	0.247854077	0.221244635	0.222961373	0.045413644	0.3206094	-0.036860152	0.222961373	0.083690223	0.109561551
D13835	"PFAM Bacterial transcription activator, effector binding"	-0.024284409	0.291728213	0.347314158	-0.349068105	-0.048284415	-0.175937467	0.147825176	0.173945882	0.025120807	0.201441166	0.162028764	0.267880012	0.518463811	0.174370021	0.195344426	0.111761073	0.441602458	0.150129383	0.369441506	0.442297348	0.041693387	0.149687507	0.062295725	0.161630659	0.083386774	0.188293509	0.064127952	0.22080234	0.289512555	0.066253258	0.232788078	0.274447947	-0.028196824	0.141205209	-0.098039948	0.015247702	0.205309526	-0.07349803	0.178062143	0.024095468	0.116894437	-0.041279422	0.144331538	-0.037641762	0.106643098	0.009419247	0.003252318	0.021014979	0.381682085	0.169699534	-0.024939439	-0.096482881	0.149687507	0.102658789	0.023657394	-0.109445141	0.083060967	0.169345944	0.149687507	0.456393325	0.39571644	0.002306103	-0.033559982	-0.071456861	0.428741166	0.211393793	0.456393325	0.103845983	0.149687507	0.176981417	0.385763814	-0.035431351	0.172777601	-0.03954065	0.38043728	-0.128622973	0.172777601	-0.093155736	0.061845191
D21426	"Trifunctional enzyme bearing the Gln amidotransferase (GATase) domain of anthranilate synthase, indole-glycerolphosphate synthase, and phosphoribosylanthranilate isomerase activities"	0.04248927	0.359090774	0.420336056	-0.312527315	-0.128246805	-0.200120717	0.086787424	0.069652359	-0.023213101	0.261158798	0.02832618	0.335988756	0.382180868	0.234549356	0.257014251	0.173732077	0.332992201	0.235005857	0.260300429	0.322129688	0.108063273	0.221244635	0.1277339	0.233690987	0.142898228	0.250002283	0.127075478	0.297077767	0.1962658	0.010455832	0.153011602	0.227411975	-0.06217795	0.06194965	-0.17544095	-0.015880845	0.086498245	-0.106767036	0.108797717	-0.017686172	0.087201487	-0.058931497	0.085195589	-0.038686647	0.084544316	0.007272885	0.028454338	0.045311174	0.30230833	0.243702756	-0.032725396	-0.128593153	0.221244635	0.171583286	0.049591678	-0.049443161	0.144852876	0.193572317	0.221244635	0.554173591	0.247854077	0.064950321	0.030889495	-0.007571855	0.333161615	0.235407725	0.554173591	0.020991204	0.221244635	0.251894445	0.455793991	0.02832618	0.247854077	-0.084140616	0.346143249	-0.180058915	0.247854077	-0.069445079	0.131286576
D12065	Mortierella verticillata NRRL 6337 phosphoenolpyruvate carboxykinase (ATP)	0.015879828	0.148891297	0.27373895	-0.303414169	-0.147531025	-0.091889432	-0.039144889	0.141388336	0.144529191	0.003433476	0.003433476	0.120424064	0.149687507	0.003433476	0.044883631	0.023721767	0.121922341	0.193572317	0.248712446	0.11031069	0.32737366	0.209656652	-0.015472921	0.222961373	-0.058807397	0.251426797	0.157692108	0.28385332	0.42159327	0.178699672	0.144396506	0.23247219	-0.02017329	0.054781922	-0.016900275	0.156440251	0.033947506	-0.176467781	0.212859042	0.032056188	0.259635396	0.066618214	0.00924493	-0.046802727	-0.003510491	0.135851994	0.090622348	0.02562239	0.2579718	0.409755124	-0.082831915	0.029873805	0.209656652	0.162028764	0.063760729	-0.069669909	-0.003950533	0.214289087	0.209656652	0.534751619	0.235407725	0.130211409	0.219469009	0.127075478	0.183041362	0.291201717	0.534751619	0.013140835	0.487553648	0.023721767	0.208798283	0.003433476	0.235407725	-0.029114882	0.39018914	-0.062311208	0.235407725	-0.070513464	0.121173202
D9582	gtp-binding protein	-0.024721581	0.222364731	0.242628347	-0.375918353	-0.223500873	-0.237782902	0.096168636	0.153530857	0.057642128	0.139901673	-0.037082371	0.194834913	0.239736976	0.119674925	0.112601001	0.047066027	0.19221968	0.167809573	0.165372392	0.182739457	0.207584178	0.131286576	0.001723907	0.142149089	0.028931023	0.278175015	0.150841892	0.204863277	0.297065383	0.032590332	0.058025499	0.21691754	-0.081036632	-0.034405861	-0.125957409	0.100667042	-0.035434579	-0.211795356	0.110028591	0.002652985	0.182651548	-0.00294235	-0.014647399	-0.11451306	0.011361477	0.057126474	0.014005584	-0.007532415	0.225806618	0.247692413	-0.11175521	-0.125739425	0.131286576	0.08095466	-0.011129393	-0.118666231	0.015515166	0.131648588	0.131286576	0.446362164	0.15450988	0.11689623	0.100089778	0.03677669	0.159174111	0.375318544	0.446362164	-0.070152211	0.360710337	0.141793853	0.309768898	-0.037082371	0.15450988	-0.080241845	0.315326855	-0.18076238	0.15450988	-0.00031081	0.039065054
D15759	phosphotyrosine protein phosphatase	-0.011943152	0.091580502	0.176664813	-0.378902986	-0.254931704	-0.201781389	0.027394176	0.057981961	0.033836189	-0.023886304	-0.023886304	0.061845191	0.09084195	-0.023886304	-0.017096595	-0.034826397	0.060455411	0.169345944	0.183128333	0.050726954	0.235915082	0.148891297	-0.071456861	0.160038239	-0.089640782	0.165169745	0.075121315	0.219926141	0.323485968	0.04710783	0.080607215	0.114859503	-0.122015349	-0.007598487	-0.16472702	0.037473165	-0.089429303	-0.298227602	0.089677161	-0.07638776	0.132028092	-0.06979975	-0.077574903	-0.168635095	-0.088190857	0.011964989	-0.041279422	-0.066547432	0.146194097	0.292858337	-0.194225331	-0.091444611	0.148891297	0.101181684	0.010514397	-0.100064129	-0.064127952	0.150129383	0.148891297	0.45519229	0.171981391	0.068606553	0.132023704	0.070235376	0.094665072	0.240853568	0.45519229	-0.043691298	0.385763814	0.175715002	0.149687507	-0.023886304	0.171981391	-0.111902624	0.266158066	-0.139205876	0.171981391	-0.095137773	0.061150301
D2576	Belongs to the pyrroline-5-carboxylate reductase family	-0.047944884	0.220974951	0.302503482	-0.090295261	0.060494707	0.031330294	0.329477879	0.542943303	0.42206579	0.118176647	-0.058807397	0.193527297	0.241126755	0.354342657	0.559430369	0.049449117	0.19614253	0.131648588	0.168368948	0.433965348	0.187316116	0.132784854	-0.000574636	0.41539747	0.245831971	0.491079914	0.579807502	0.479800513	0.521862228	0.307652732	0.061948349	0.461112135	0.269157384	0.173071909	0.279541165	0.528623549	0.291298311	0.181907246	0.435737535	0.464031189	0.42422295	0.398982602	0.313926037	0.26845639	0.394587935	0.409346519	0.260809866	0.31942147	0.250189493	0.104855958	0.294142558	0.196016032	0.389177612	0.327640533	0.013602592	0.08679307	0.018962981	0.167809573	0.132784854	0.448622226	0.156008157	0.283154674	0.265863474	0.212327921	0	0.384682779	0.448622226	0.338845604	0.606240582	0.337654059	0.30827062	0.169867225	0.668793672	0.077445538	0.356831891	0.136082413	0.156008157	0.186486043	0.040372671
D15842	Plays a role in maintenance of chromatin structure during RNA polymerase II transcription elongation thereby repressing transcription initiation from cryptic promoters. Mediates the reassembly of nucleosomes onto the promoters of at least a selected set of genes during repression	0.055793991	0.369441506	0.655335142	-0.210674502	0.102219851	0.015002356	0.119663558	0.270870285	0.164978828	0.258583691	0.040772532	0.345352991	0.39093918	0.527467811	0.497133143	0.182947727	0.342356436	0.255722627	0.288626609	0.330744785	0.12903916	0.246995708	0.136293388	0.260300429	0.142149089	0.257124855	0.390115133	0.326360472	0.501612389	0.268864248	0.176984044	0.444703523	0.151714198	0.316062678	0.057139025	0.223028355	0.322637097	0.137789911	0.348542751	0.243461218	0.203376372	0.157779981	0.289295205	0.199926101	0.289761747	0.219284329	0.25649361	0.264854601	0.52535752	0.254966329	0.219708259	0.118408901	0.540772532	0.19546959	0.063760729	-0.039329788	0.153412364	0.214289087	0.246995708	0.596901929	0.275321888	0.26974583	0.257696892	0.216620892	0.32855266	0.234549356	0.596901929	0.259744814	0.246995708	0.257696892	0.466523605	0.3027897	0.553218884	0.125514396	0.343589864	0.021062944	0.275321888	0.143875958	0.153760741
