	Nocardia tengchongensis	Rhodococcus opacus	Miniimonas sp. S16	Brevibacterium casei	Kocuria rhizophila	Micrococcus luteus	Micromonospora narathiwatensis	Pseudonocardia sp. HH130630-07	Streptomyces sp. SUK 48	Olsenella sp. oral taxon 807	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides uniformis	Alistipes communis	Alistipes dispar	Alistipes shahii	Flavobacterium enshiense	Zhouia spongiae	Desulfurispirillum indicum	Anoxybacillus flavithermus	Lentibacillus sp. CBA3610	Listeria monocytogenes	Staphylococcus capitis	Staphylococcus epidermidis	Ligilactobacillus murinus	Clostridium sp. 'deep sea'	Clostridium sp. BJN0001	Hungatella hathewayi	Desulfitobacterium hafniense	Eubacterium limosum	Eubacterium sp. NSJ-61	Aminipila butyrica	Coprococcus catus	Coprococcus eutactus	Enterocloster clostridioformis	[Clostridium] scindens	Lacrimispora saccharolytica	Novisyntrophococcus fermenticellae	Pseudobutyrivibrio xylanivorans	Roseburia hominis	Acutalibacter muris	Dysosmobacter welbionis	Monoglobus pectinilyticus	Oscillibacter sp. NSJ-62	Ruthenibacterium lactatiformans	Clostridioides difficile	Romboutsia ilealis	Vallitalea guaymasensis	Flintibacter sp. KGMB00164	Intestinimonas butyriciproducens	Sporomusa termitida	Bradyrhizobium sp. ORS 278	Brucella intermedia	Methylorubrum populi	Phyllobacterium sp. T1293	Aquisalinus flavus	Monaibacterium sp. ALG8	Paracoccus liaowanqingii	Paracoccus sp. MC1862	Bordetella pseudohinzii	Pandoraea fibrosis	Diaphorobacter nitroreducens	Duganella sp. GN2-R2	Massilia putida	Xylophilus rhododendri	Desulfovibrio desulfuricans	Desulfovibrio vulgaris	Campylobacter coli	Cardiobacterium hominis	Halorhodospira halophila	Thioalkalivibrio versutus	Yersinia canariae	Pseudomonas guangdongensis	Akkermansia muciniphila	Aspergillus puulaauensis	Candida dubliniensis
D435	0.378082192	0.401369863	0.687671233	0.416826812	0.562695932	0.309701312	0.705479452	0.647945205	0.379452055	0.435295972	-0.190580532	0.17992361	-0.238225666	0.12949559	0	0.127054879	0.433846685	0.652410532	0.51852799	0.231802023	0.179421515	0.199421913	0.397298126	0.164710986	0.860726951	0.225692986	0.230919205	0.174581711	0.194468368	0.312830197	0.124348294	0.343282189	0.289299217	0.322587387	0.267306437	-0.009037259	0.131180037	0.261872567	0.163784094	0.218618158	0.161302517	0.290695019	0.13083515	0.37786451	-0.208652824	0.17170792	0.226445451	0.367886104	0.054452091	0.061212237	0.306090059	0.024360375	0.182644162	-0.046547121	0.274924236	0.398630137	0.274485821	0.581410875	0.400416308	0.330630648	0.021834099	0.2297174	0.832191102	0.144412439	0.293200763	0.179070405	-0.024409505	0.1374988	-0.108423527	0.566438921	0.148241557	-0.108423527	-0.020880322	-0.074252851	0.1374988	0.238963682
D826	0.169863014	0.147945205	0.479452055	0.27132034	0.325016165	0.172771059	0.479452055	0.438356164	0.41369863	0.460068913	-0.173329708	0.24564913	-0.165936498	0.225787182	0.053256615	0.082503168	0.266804111	0.284144415	0.352645434	-0.108423527	0.192002902	0.077195579	0.246193033	0.253401517	0.541450077	0.108487616	0.225610717	0.120230801	0.278647962	0.41347262	0.173758213	0.212339498	0.138896499	0.27968574	0.277176213	-0.135558884	0.028051077	0.086467357	-0.012407886	0.047668621	0.133177976	0.306341493	0.04528909	0.352288528	-0.286692266	0.05750983	0.303604642	0.378347321	0.037951457	0.040532427	0.326431487	0.009280143	0.213241767	0.041095656	0.300444629	0.128767123	0.290081606	0.401747428	0.256003869	0.358703061	-0.180911109	0.071551321	0.618216928	-0.045949412	0.323768502	0.17146836	0.072356746	-0.135168312	-0.108423527	0.376794172	0.014222437	-0.108423527	-0.20184311	0.002475095	-0.135168312	0.041760643
D3490	0.128767123	0.126027397	0.415068493	0.22154181	0.306925054	0.141525229	0.415068493	0.378082192	0.479452055	0.451221434	-0.181544386	0.244005992	-0.151150077	0.236578482	0.054095302	0.090753485	0.220403396	0.256103848	0.298124594	-0.108423527	0.220447776	0.03859779	0.210888105	0.257624876	0.518922025	0.070710678	0.211454751	0.094702343	0.281348912	0.431085044	0.186110692	0.168102103	0.117527807	0.287111025	0.257436661	-0.151990264	0.018975729	0.070820883	-0.022334195	0.03862802	0.143104284	0.317046976	0.062901514	0.344038211	-0.291621073	0.033684329	0.305282016	0.3652708	0.043726679	0.064521007	0.346772915	-0.005800089	0.202885654	0.064159544	0.33292513	0.108219178	0.327511491	0.342483444	0.207319373	0.396132946	-0.180911109	0.032480534	0.563943595	-0.058530799	0.363693712	0.165555658	0.114201611	-0.135168312	-0.108423527	0.322520839	-0.015316471	-0.108423527	-0.20184311	0.032176236	-0.135168312	0.041760643
D3979	0.257973219	0.231802023	0.231802023	0.088831303	0.174517706	-0.025081964	0.257973219	0.231802023	0.231802023	0.137639407	-0.321729471	-0.181625764	-0.279131143	-0.162555129	-0.179115255	0.03940552	0.128223639	0.426020408	0.128223639	0.426020408	0.088831303	-0.025081964	0.241535133	-0.171748369	0.308487114	0.211495203	-0.042257713	-0.103387756	-0.016586219	-0.003433519	-0.186547473	0.102625874	-0.042619327	0.069804065	-0.168358757	-0.139022189	-0.02251744	0.022475599	0.01918995	0.003364684	0.05531221	-0.060684118	0.045208004	0.222922658	-0.251105928	-0.060541921	-0.020601116	-0.067215244	-0.072055809	-0.044024004	0.067414096	-0.137721686	-0.034046176	-0.001144506	0.128223639	0.257973219	0.174517706	0.174517706	0.088831303	0.174517706	0.174517706	0.316051291	0.198354271	0.109732786	0.174517706	0.029969514	-0.117180558	0.769627644	-0.073979592	0.174517706	0.088831303	-0.073979592	0.128223639	-0.119342433	0.308487114	0.436910176
D4124	0.284144415	0.674842986	0.64867179	0.409071884	0.541430542	0.234516362	0.676712357	0.622500594	0.256103848	0.345305881	-0.108737835	0.106508935	0.024662189	0.191441232	0.159086392	0.294978466	0.457489278	0.99744898	0.523975609	0.461734694	0.409071884	0.269631111	0.224833236	0.079534479	0.767507458	0.284196679	0.327195433	0.25397427	0.179376882	0.211733688	0.205651732	0.242680007	0.103183634	0.345642707	0.204275292	0.208533284	0.273586898	0.294430349	0.299137461	0.296092167	0.281076332	0.371971166	0.303294201	0.29723021	0.093043714	0.214139018	0.131618238	0.304550485	0.162125569	0.231408225	0.085919926	0.150385749	0.185005634	-0.135051758	0.523975609	0.676712357	0.517593977	0.541430542	0.388170401	0.589103671	0.195800353	0.263376076	0.519296589	0.368761881	0.541430542	0.165985001	0.017844755	0.337109629	-0.073979592	0.589103671	0.106000379	-0.073979592	0.147219733	0.064174705	0.337109629	0.147219733
D5223	0.399322274	0.425032065	0.398228241	0.316513761	0.277508292	0.349360362	0.603906563	0.369783366	0.481921813	0.477660989	-0.169263684	0.293951437	-0.114482608	0.181981089	0.091261978	0.214144793	0.18065618	0.367268918	0.414582773	0.109732786	0.30297073	0.24770824	0.201132098	0.216206886	0.525487734	0.107917004	0.141673119	0.261428872	0.405714302	0.408250832	0.059520284	0.314789897	0.053167121	0.261915554	0.221693707	-0.150912568	0.258291565	0.034857183	0.042610809	0.030850058	0.128162743	0.177574328	0.186542833	0.267845717	-0.269640985	0.228337277	0.195417851	0.235500737	-0.115802915	0.067384535	0.375582119	0.233463372	0.068234534	0.050068498	0.442376032	0.350090761	0.295942416	0.307401466	0.294670162	0.528361838	0.084448215	0.093047092	0.506440178	-0.058322412	0.505443739	0.192596149	0.191638072	0.020473548	0.130634269	0.286974464	0.133682831	-0.151535753	0.019455281	0.157478786	0.335331901	0.057902622
D6282	0.452891527	0.157696364	0.157696364	0.244131551	0.102592057	0.077130005	0.452891527	0.157696364	0.518922025	0.209722163	-0.164442382	-0.132781449	-0.218480105	-0.135572426	-0.205224468	-0.132171427	0.057231145	0.338169722	0.305890603	0.338169722	0.227380466	0.247024477	0.07501168	-0.082388179	0.229955947	0.113156072	0.144497567	0.104139683	0.110024903	0.015695035	0.176523767	0.04515549	-0.0200411	0.131001768	-0.099346864	-0.082930168	0.143166218	0.16998585	0.100384996	0.032158974	-0.048316143	0.107875635	0.052078979	0.052400707	-0.104814549	-0.033544787	0.048511925	-0.044245843	-0.095912009	-0.113519482	0.368581186	0.041443243	-0.108379865	-0.030438855	0.305890603	0.452891527	0.102592057	0.102592057	0.227380466	0.360487262	0.678522639	0.134807467	0.123110468	0.295625626	0.360487262	0.066581145	0.238284873	0.229955947	0.308487114	0.442560908	0.227380466	-0.092228106	0.288129213	-0.058950796	0.229955947	0.057231145
D7079	0.169863014	0.126027397	0.45890411	0.255456852	0.054273333	-0.00551397	0.45890411	0.419178082	0.457534247	0.49545883	-0.124863107	0.078870624	-0.170865305	0.224957082	0.05870808	0.027226045	0.250563861	0.256103848	0.33292513	-0.108423527	0.205678322	0.242614678	0.031539069	0.198497855	0.157696364	0.093958024	0.337973702	0.096349341	0.300705717	0.326249187	0.325281962	0.065471345	-0.121637171	0.216983332	0.174366045	-0.124878488	-0.055277123	0.055174409	-0.077756085	-0.102734097	0.0761017	0.394455848	-0.035224848	0.290411152	-0.098576137	0.007394121	0.26670242	0.244095046	0.005775222	-0.040532427	0.299309583	-0.005800089	0.222185682	0.002096717	0.315524862	0.108219178	0.30942038	0.383656318	0.241234415	0.376794172	0.072364444	0.061665941	0.331254479	0.148241557	0.344354939	0.159642956	0.185686588	-0.135168312	-0.108423527	0.626950568	0.014222437	-0.108423527	-0.20184311	0.006600253	-0.135168312	-0.20184311
D7831	0.452891527	0.157696364	0.157696364	0.244131551	0.102592057	0.077130005	0.452891527	0.157696364	0.157696364	0.131954375	-0.352176885	-0.118338555	-0.189597873	-0.215833186	-0.205224468	-0.066904475	0.057231145	0.338169722	0.305890603	0.338169722	0.227380466	0.020845947	0.265343807	-0.186331405	0.229955947	0.300467823	0.004515549	0.075186049	0.110024903	-0.028536427	-0.185396655	0.16958395	-0.048937569	0.0729867	-0.157182596	-0.169587535	0.157669986	-0.01821277	0.042217989	0.003262505	0.009850864	-0.152707068	0.052078979	0.153927078	-0.379195747	-0.07687347	0.033768105	-0.044245843	-0.124919543	-0.113519482	0.147212754	0.041443243	-0.108379865	-0.000951214	0.305890603	0.452891527	0.102592057	0.102592057	0.227380466	0.360487262	0.360487262	0.358240834	0.123110468	0.035983812	0.360487262	0.051732112	-0.060559952	0.625991189	0.308487114	0.102592057	0.227380466	-0.092228106	0.288129213	-0.102462097	0.229955947	0.322336334
D9435	0.257973219	0.231802023	0.231802023	0.088831303	0.174517706	-0.025081964	0.257973219	0.231802023	0.231802023	0.137639407	-0.321729471	-0.181625764	-0.279131143	-0.162555129	-0.179115255	0.03940552	0.128223639	0.426020408	0.128223639	0.426020408	0.088831303	-0.025081964	0.241535133	-0.171748369	0.308487114	0.211495203	-0.042257713	-0.103387756	-0.016586219	-0.003433519	-0.186547473	0.102625874	-0.042619327	0.069804065	-0.168358757	-0.139022189	-0.02251744	0.022475599	0.01918995	0.003364684	0.05531221	-0.060684118	0.045208004	0.222922658	-0.251105928	-0.060541921	-0.020601116	-0.067215244	-0.072055809	-0.044024004	0.067414096	-0.137721686	-0.034046176	-0.001144506	0.128223639	0.257973219	0.174517706	0.174517706	0.088831303	0.174517706	0.174517706	0.316051291	0.198354271	0.109732786	0.174517706	0.029969514	-0.117180558	0.769627644	-0.073979592	0.174517706	0.088831303	-0.073979592	0.128223639	-0.119342433	0.308487114	0.436910176
