ID	A1	A14	A15	A17	A19	A22	A24	A26	A3	A31	A35	A37	A4	A40	A43	A44	A46	A49	A5	A52	A53	A54	A55	A56	A57	A61	A64	A65	A67	A72	A73	A75	A76	A78	A79	A8	A81	A82	A84	A9	A91	P27	P29	P2	P34	P36	P38	P3	P43	P44	P46	P4	P51	P52	P55	P64	P65	P75	P7	P8	T10	T14	T22	T26	T27	T29	T2	T34	T36	T45	T4	T51	T65	T73	T75	T7	T8	A10	A12	A16	A23	A25	A29	A32	A42	A62	A68	A69	A7	A86	P13	P14	P15	P21	P22	P23	P26	P28	P37	P39	P42	P48	P50	P57	P59	P60	P66	P67	P69	P6	P70	P72	P73	P74	T13	T15	T16	T21	T23	T28	T30	T32	T37	T38	T39	T3	T42	T43	T48	T50	T52	T53	T55	T64	T70	T71	T72	T74	T76	T9	A28	A30	A33	A45	A83	A92	P11	P12	P16	P30	P32	P33	P35	P71	P76	P45	P53	P58	P62	P63	T11	T12	T33	T35	T63	T66	T67	T46	T57	T58	T59	T60	T62	A11	A66	P5	P68	P9	P47	T44	T47	T5	T68	T6
Bacteria|Streptococcaceae	0.064285714	0.015122873	0.057142857	0.053932584	0.0256917	0.022988506	0	0.003663004	0.005128205	0.039494471	0.059515804	0.017241379	0.021978022	0.02	0.007481297	0	0.154285714	0.007111111	0.014716439	0.003311258	0	0.218916047	0.109195402	0.008143322	0.061111111	0.025641026	0	0.024955437	0.013803681	0.217975938	0.002773925	0.091286307	0.094936709	0.007194245	0.005494505	0.010526316	0.006269592	0.009852217	0.011976048	0.002680965	0.000301459	0.001088686	0.01055409	0.582574941	0.112903226	0.475961538	0.002409448	0.05568993	0.000869536	0.026564587	0.000686037	0.002989537	0.106639839	0.041208665	0.05450237	0.014437783	0	0.030464992	0.182636316	0.078965517	0.068139274	0.006357269	0.065166116	0.030169242	0.003007519	0.013871375	0.255162694	0.001822002	0.495	0.012091953	0.001792115	0.39578714	0.018207283	0.047261815	0.008513657	0.310764431	0.436308737	0.003181643	0.015117195	0.00154679	0.031098825	0.007403189	0.008830022	0.027766092	0.002766252	0.013485477	0.030434783	0.00550055	0.053664166	0.00117477	0.012989897	0.006538353	0.002915542	0.001856665	0.009400055	0.013470743	0.048480721	0.001559049	0.004311612	0.004203122	0.005443183	0.032177932	0.014846438	0.029313574	0.0573793	0.043413035	0.002437805	0.046968978	0.01857619	0.003183384	0.007452819	0.001691587	0.039106145	0	0.026597896	0.001594488	0.004920199	0.002411091	0.010290627	0.001841312	0.053296769	0.002280729	0.012281267	0.095457159	0.00560927	0.058505408	0.003550296	0.000434909	0.01861192	0.012493334	0.052387844	0.018892159	0.088095407	0.012601177	0.006684123	0.022917199	0.001646429	0.000774775	0.052570545	0	0.001972387	0.001143378	0.003219107	0.009578274	0.007021545	0.002180013	0.00736169	0.015270686	0.013907626	0.006631452	0.000653563	0.006588748	0.004585045	0.082731879	0.031715389	0.000960613	0.019222024	0.096064267	0.725094414	0.003846464	0.025811055	0.018639346	0.042991299	0.002936581	0.0061126	0.008577228	0.133569363	0.000512168	0.140624479	0.014895042	0.071637061	0.048305893	0.442436898	0.003180809	0.001376955	0.001180967	0.003736022	0.000229129	6.87E-05	0.024834944	0.000448102	0.001794325	0.020970651	0.000248779
Bacteria|Streptococcus	0.06405694	0.015444015	0.057471264	0.054545455	0.021653543	0.023346304	0	0.003671072	0.004962779	0.039619651	0.059515804	0.017291066	0.02173913	0.020050125	0.007575758	0	0.155172414	0.007178107	0.014758819	0.003322259	0	0.217758985	0.108365019	0.008116883	0.061452514	0.025510204	0	0.024911032	0.013824885	0.218130312	0.002754821	0.088726514	0.095541401	0.007168459	0.005479452	0.007017544	0.005665722	0.01	0.011976048	0.002666667	0.000300951	0.00109033	0.01055409	0.582323777	0.112903226	0.475961538	0.002409591	0.055355562	0.000836792	0.026550945	0.000685373	0.002980626	0.107287449	0.041141859	0.05222525	0.014415735	0	0.027674295	0.168704156	0.077959741	0.068009971	0.006335517	0.062166506	0.030184049	0.003021148	0.013681592	0.255147059	0.001822207	0.495	0.012068863	0.001798561	0.395348837	0.01774043	0.044839858	0.008412198	0.277928965	0.43509182	0.003177966	0.014898953	0.001557632	0.031055901	0.007475561	0.008791209	0.026936027	0.002791347	0.013485477	0.030601093	0.005039194	0.05269253	0.001174876	0.01297693	0.006539834	0.002913501	0.001869858	0.009278913	0.013256773	0.048319668	0.001495092	0.004321351	0.004140608	0.005323042	0.031943365	0.014813402	0.029152158	0.056989542	0.041980721	0.002124159	0.046634162	0.018426295	0.003076923	0.007271635	0.001690821	0.038491752	0	0.026496071	0.001582776	0.004910194	0.002221325	0.010181482	0.001777152	0.051171487	0.002924319	0.011821004	0.09512894	0.005627054	0.058447937	0.003533569	0.000435066	0.018527437	0.01242974	0.052327262	0.018848783	0.083903298	0.012518275	0.006548111	0.022714942	0.001543819	0.00077384	0.050346247	0	0.001869253	0.000888466	0.003222788	0.009301224	0.005372733	0.002128846	0.007239907	0.014630767	0.013801579	0.006497704	0.000645536	0.006546729	0.004536226	0.082053518	0.030944625	0.00092854	0.019072156	0.094170074	0.697735844	0.003608733	0.025410952	0.017850046	0.042939769	0.002906679	0.006024445	0.008435232	0.132760705	0.000478193	0.139222397	0.014780744	0.071474208	0.045590319	0.409121848	0.003181863	0.001377107	0.00111691	0.003733633	0.000229098	6.64E-05	0.024719491	0.000427751	0.001768003	0.020911403	0.000248743
Bacteria|Moraxellaceae	0.103571429	0.111531191	0.074285714	0.08988764	0.041501976	0.088122605	0.025682183	0.06007326	0.138461538	0.039494471	0.029926026	0.034482759	0.065934066	0.1	0.114713217	0.188571429	0.005714286	0.032	0.021536253	0.122516556	0.126126126	0.024442083	0.059386973	0.045602606	0.024074074	0.011965812	0.062992126	0.094474153	0.033742331	0.033970276	0.314840499	0.104771784	0.132911392	0.064748201	0.252747253	0.073684211	0.081504702	0.204433498	0.05988024	0.024664879	6.03E-05	8.37E-05	0.003957784	0	0.000948767	0	0.000710985	0.000884904	0.000334437	0.000137019	0.000524617	0.00896861	0	0.000689877	0.000473934	0.00061177	0.097222222	0.009620524	0.002117522	8.62E-05	0.000332793	0.000132789	0.00026956	0.002207506	0.003007519	0	6.13E-05	0.000557877	0	0.000358723	0.003584229	0	0.009803922	0.001875469	0.020929408	0.000234009	2.98E-05	0.00395295	0.003249951	0.004640371	0.00414651	0.009681093	0.028697572	0.006731174	0.024896266	0.008298755	0.00942029	0.033553355	0.016733987	0.001355503	0.000555124	0.000849137	7.69E-06	0.000742666	3.07E-05	0.000192991	0.000129714	0.000303148	0.00244978	0.000729113	0.001276796	0.000144425	0.000127437	0.002279945	0.001529592	0.000600074	0.000333375	0.001028807	0.000462276	5.22E-05	0.000841447	0.000422897	0.009577015	0.004206394	0.000101133	0.000302604	4.07E-05	0.001808318	0.000829889	0.00063609	0.000238464	0.000354288	0.000439664	0.017251294	0.000571998	0.000491642	0.004733728	0.000434909	1.42E-05	6.09E-05	0.000144718	0.000321113	0.000638887	0.000275938	0.000757993	0.000182462	0.000274405	0.009872514	0.002126015	0	0.000522598	0.000785634	0.006645898	0.00037043	0.004140911	6.22E-05	8.69E-05	9.58E-05	0.000210157	9.19E-05	4.75E-05	7.11E-05	0.000206248	0.000375859	0.007170436	6.86E-05	0.000157533	0.000460829	0.000274465	0.000402771	0.000110724	0.000143794	0.000138924	0.000125446	0.000124858	0.002095201	0.001581401	0.000231302	0.000611362	9.84E-05	0.00122314	0.00037269	0.000269447	0.002186806	0.002313285	2.15E-05	0.00016633	2.70E-05	4.32E-05	5.41E-05	5.43E-05	3.88E-05	0.000118838	0
Bacteria|Acinetobacter	0.103202847	0.113899614	0.068965517	0.056818182	0.039370079	0.089494163	0.024213075	0.058737151	0.133995037	0.039619651	0.029253531	0.034582133	0.065217391	0.095238095	0.113636364	0.172413793	0.005747126	0.03230148	0.012958963	0.112956811	0.126126126	0.024312896	0.058935361	0.045454545	0.024208566	0.010204082	0.063492063	0.090747331	0.030721966	0.033286119	0.308539945	0.104384134	0.095541401	0.0609319	0.252054795	0.073684211	0.067988669	0.2075	0.05988024	0.024533333	4.01E-05	8.39E-05	0.002638522	0	0.000948767	0	0.000414766	0.000826202	0.000334717	0.00011983	0.000483793	0.004470939	0	0.00032178	0.000227066	0.000610836	0.093425606	0.009579564	0.000977995	8.53E-05	0.000166182	4.98E-05	0.000192864	0.00196319	0.003021148	0	6.13E-05	2.37E-05	0	0.000358038	0.001798561	0	0.007002801	0.001779359	0.019628461	0.000139558	9.91E-06	0.003948382	0.003245316	0.004672897	0.004140787	0.009775733	0.028571429	0.006734007	0.024424285	0.008298755	0.009107468	0.034154535	0.016213086	0.001355626	0.000332742	0.000764396	7.69E-06	0.000747943	3.03E-05	0.000192686	0.00012963	0.00021668	0.002160676	0.000733233	0.001264223	0.000143889	0	0.00226739	0.001488387	0.000559147	0.000333201	0.000983014	0.000437275	5.22E-05	0.00078125	0.000422705	0.008641005	0.0042123	0	0.000302589	4.06E-05	0.001009693	0.00071072	0.000301781	0.000228955	0.000467891	0.000427265	0.008595989	0.000575705	0.000491159	0.004711425	0.000435066	1.42E-05	6.09E-05	0.00014455	0.00026698	0.000541748	0.000274123	0.000758202	0.000180851	0.000205842	0.009672994	0.002058768	0	0.000513624	0.00074855	0.006549537	0.000325937	0.004090604	5.63E-05	4.87E-05	8.31E-05	0.000189063	9.19E-05	5.07E-05	6.74E-05	0.000190331	0.000360133	0.007057546	4.02E-05	0.000136378	0.000452976	0.000237513	0.00040097	9.73E-05	0.000138238	0.000126153	0.000119687	0.000108386	0.002027071	0.001525446	0.000197873	0.000550243	8.81E-05	0.001166699	0.0003414	0.000246886	0.002187531	0.002258455	2.15E-05	0.000166223	2.70E-05	2.62E-05	5.38E-05	4.07E-05	3.88E-05	0.000110216	0
Bacteria|Comamonadaceae	0.010714286	0.032136106	0.017142857	0.053932584	0.033596838	0.053639847	0.056982343	0.021245421	0.174358974	0.015797788	0.006388702	0	0.010989011	0.0575	0.052369077	0.085714286	0.04	0.082666667	0.031586504	0.109271523	0	0.005313496	0.013409962	0.008143322	0.040740741	0.075213675	0.003937008	0.073083779	0.007668712	0.033970276	0.108183079	0.026970954	0.056962025	0.147482014	0.112637363	0.073684211	0.332288401	0.054187192	0.041916168	0.065951743	0.000542626	0	0	8.63E-05	0.000948767	0	0.000118497	0.000176981	3.34E-05	5.14E-05	8.07E-05	0.004484305	0.002012072	0.001793681	0.000236967	0.000978833	0.013888889	0.045964725	0.007411329	0.000172414	0.000332793	3.32E-05	0.00040434	0.001716949	0.003007519	0.003783102	0	7.72E-05	0	0.000298936	0.001792115	0.028824834	0.006069094	0.001875469	0.091876552	0	4.97E-05	0.002795989	0.0011818	0.000773395	0	0.009681093	0.004415011	0.001682793	0.01175657	0.001037344	0.002898551	0.018151815	0.001731102	0.00117477	0.00022205	0.000905746	7.12E-05	0.000742666	6.14E-05	0.000849159	0.001102572	0.000541336	0.000391965	0.000300223	0.001276796	0.000317735	0	0.002931357	0.007216535	0.000392356	0.003396258	0.000395695	0.000413615	0.000365306	0.000601034	0.000724966	0.002394254	0.000280426	0.000101133	0.000197856	4.07E-05	0.000803697	0.006141181	0.00020087	3.97E-05	0.000287859	0.000205176	0.016101208	0.000110709	0.005408063	0.002366864	0.000362424	0	4.57E-05	0.000144718	0.001659085	0.003194435	9.20E-05	0.000206725	3.65E-05	0.000325856	0.00682037	0.002126015	0.000850702	0.000623746	0.001080247	0.007892004	0.000194035	0.222769009	0.000173476	0.00014669	0.000182022	0.000227105	7.88E-05	7.42E-05	0.000169416	0.000269709	0.001669957	0.035852179	8.71E-05	0.000425042	0.001805953	0.00140424	0.000724988	8.61E-05	0.000557203	0.000557292	0.000222382	0.000399907	0.004976102	0.000743494	0.000231302	0.00090037	3.60E-05	0.007839213	6.05E-05	0.000498976	0.001192803	0.001432033	4.29E-05	0.000729292	8.09E-05	0.001623062	3.00E-05	6.11E-05	4.74E-05	0.000263141	3.89E-05
Fungi|Yarrowia lipolytica	0.003745318	0	0	0.004889976	0	0	0	0.003009782	0.007772021	0	0	0.00297619	0.011904762	0.007978723	0.007936508	0.012121212	0	0	0	0	0	0.001091703	0	0.003294893	0.003838772	0.001785714	0.008196721	0.003710575	0.00155521	0.001469508	0.00723589	0.001074114	0	0.003773585	0.002890173	0	0.00625	0	0.006451613	0	0	0	0.001340483	0	0	0	0	0	0	1.71E-05	0	0	0	0	0	0.000122444	0.003663004	0	0.000495295	0.000171365	4.17E-05	3.32E-05	6.45E-05	0	0.001515152	0	0.000122843	0	0.000723589	1.49E-05	0	0	0	0.0017934	0.001797914	0	2.97E-05	0	9.90E-05	0	0.00210084	0	0.006818182	0	0.000706215	0.00209205	0.000740466	0.001117318	0	0	0	0	0	0	3.04E-05	0	3.25E-05	2.17E-05	9.85E-05	0	0	0	0	0.000163012	0	0.000157074	0	3.95E-05	0	0	0	3.03E-05	0	0.000566412	0	0	0	0	0	0	3.83E-05	0	0	0.001164822	0	0	0	7.27E-05	0	0	0.000290951	0.000160754	6.81E-05	0	0	0	1.72E-05	0	0.000378	0.000855798	0	1.40E-05	0	0	0.000120402	1.44E-06	5.42E-06	1.85E-05	3.38E-06	3.28E-06	2.59E-06	9.23E-07	0	1.19E-05	0	4.73E-07	8.90E-06	1.23E-05	0	0	0	5.20E-05	0	0	5.42E-06	0.000262674	0	1.65E-05	0	2.31E-06	0	8.96E-06	4.62E-06	0	5.52E-05	6.45E-05	0	0	2.32E-07	0	0	4.31E-06	0	0
Fungi|Dipodascaceae	0.003571429	0	0	0.004494382	0	0	0	0.002930403	0.007692308	0	0	0.002873563	0.010989011	0.0075	0.007481297	0.011428571	0	0	0	0	0	0.001062699	0	0.003257329	0.003703704	0.001709402	0.007874016	0.003565062	0.001533742	0.001415428	0.006934813	0.001037344	0	0.003597122	0.002747253	0	0.006269592	0	0.005988024	0	0	0	0.001319261	0	0	0	0	0	0	1.71E-05	0	0	0	0	0	0.000122354	0.003472222	0	0.000529381	0.000172414	4.16E-05	3.32E-05	6.74E-05	0	0.001503759	0	0.000122557	0	0.000714286	1.49E-05	0	0	0	0.001875469	0.001773679	0	2.98E-05	0	9.85E-05	0	0.002073255	0	0.006622517	0	0.000691563	0.002074689	0.000724638	0.00110011	0	0	0	0	0	0	3.07E-05	0	3.24E-05	2.17E-05	9.80E-05	0	0	0	0	0.000162853	0	0.000161558	0	3.96E-05	0	0	0	3.02E-05	0	0.000560852	0	0	0	0	0	0	3.97E-05	0	0	0.001150086	0	0	0	7.25E-05	0	0	0.000289436	0.000160557	7.10E-05	0	0	0	1.72E-05	0	0.000386548	0.000850702	0	1.40E-05	0	0	0.000120026	1.45E-06	5.43E-06	1.92E-05	3.39E-06	3.28E-06	2.59E-06	9.23E-07	0	1.19E-05	0	4.73E-07	8.92E-06	1.25E-05	0	0	0	5.39E-05	0	0	5.43E-06	0.0002619	0	1.65E-05	0	2.32E-06	0	9.46E-06	4.99E-06	0	5.51E-05	6.44E-05	0	0	2.32E-07	0	0	4.31E-06	0	0
Bacteria|Bacteroidaceae	0.182142857	0.126654064	0.08	0.040449438	0.013833992	0.007662835	0.303370787	0.165567766	0.112820513	0.248025276	0.222259583	0.224137931	0.274725275	0.0925	0.042394015	0.045714286	0.234285714	0	0.034099067	0.036423841	0.036036036	0.234856536	0.268199234	0.317589577	0.237037037	0.109401709	0.275590551	0.012477718	0.515337423	0.082802548	0.012482663	0.170124481	0.101265823	0.197841727	0.145604396	0.329824561	0.068965517	0.007389163	0.215568862	0.180160858	0.83534306	0.027887112	0.515831135	0.116756524	0	0.040865385	0.013311214	0.206772462	0.129427109	0.550851231	0.149354318	0.41554559	0.052313883	0.122430207	0.444549763	0.335678453	0.409722222	0.165686799	0.384330334	0.295258621	0.46607596	0.011552634	0.38061864	0.212656365	0.085714286	0.365699874	0.062442552	0.000356092	0.039285714	0.062911037	0.408602151	0.05210643	0.053688142	0.38072018	0.046825115	0.328861154	0.20574885	0.448900887	0.28550325	0.476411446	0.579820318	0.226082005	0.245033113	0.437105595	0.465421853	0.569502075	0.427536232	0.305280528	0.291979227	0.39454184	0.456533807	0.096801585	0.324657866	0.375046417	0.681504009	0.36127837	0.32269676	0.346758477	0.61411073	0.520157832	0.063974195	0.294396303	0.439021282	0.345085905	0.234223634	0.252631093	0.410926366	0.176123773	0.398895404	0.370994677	0.525183315	0.304425313	0.381484437	0.654514863	0.252831715	0.469629078	0.478350446	0.296966044	0.408571097	0.334415802	0.242915623	0.45016718	0.319606061	0.365152386	0.463558196	0.50245821	0.040236686	0.243911279	0.553654898	0.535964044	0.400434153	0.131763447	0.153687797	0.571835909	0.502136163	0.236506952	0.352027166	0.529711455	0.323734055	0.59549128	0.036354288	0.232582772	0.10145379	0.223175542	0.106523435	0.108834401	0.088715154	0.085971854	0.222223729	0.041049345	0.053421235	0.007856365	0.158842474	0.033886814	0.119139548	0.02848905	0.226461418	0.118109354	0.023531665	0.271689222	0.216453625	0.132848027	0.013488374	0.063817898	0.028210608	0.071236823	0.098430401	0.091496357	0.16031035	0.454597188	0.11255664	0.16394425	0.136158036	0.003114542	0.000660939	0.180752383	0.020189872	0.140833491	0.000434596	0.086537826	0.023695074	0.110734897	0.009596163	0.020516528
Bacteria|Bacteroides	0.06405694	0.125482625	0.011494253	0.029545455	0.013779528	0.007782101	0.139628733	0.072687225	0.017369727	0.069730586	0.108944183	0.023054755	0.108695652	0.037593985	0.022727273	0.045977011	0.143678161	0	0.015838733	0.023255814	0.009009009	0.072938689	0.087452471	0.102272727	0.055865922	0.078231293	0.095238095	0.008896797	0.049155146	0.026203966	0.009641873	0.056367432	0.050955414	0.086021505	0.043835616	0.094736842	0.031161473	0.0025	0.143712575	0.1792	0.82729425	0.024071123	0.463060686	0.115585255	0	0.03125	0.005589461	0.05942756	0.128497791	0.536325664	0.034429931	0.174366617	0.036437247	0.093821826	0.116030881	0.050088571	0.242214533	0.060670569	0.13202934	0.244796998	0.278022435	0.011112033	0.348183864	0.148957055	0.083081571	0.337064677	0.062071078	0.000267099	0.035714286	0.039369256	0.221223022	0.040974529	0.0410831	0.223843416	0.018576937	0.180587538	0.19982567	0.18557396	0.124895511	0.279595016	0.055900621	0.095457159	0.145054945	0.207491582	0.013258897	0.118257261	0.122040073	0.132698768	0.116386798	0.140533213	0.26663709	0.095011607	0.324527446	0.292071803	0.525987022	0.112836718	0.208510225	0.214751576	0.272245138	0.228897994	0.037394371	0.225474114	0.345285778	0.131184711	0.207042419	0.211558677	0.187988088	0.146940862	0.221273443	0.049022164	0.351682692	0.112771739	0.154752553	0.387531592	0.224863994	0.469071865	0.474209628	0.229402262	0.214505306	0.195017269	0.146722125	0.529067727	0.143105364	0.252722063	0.214589485	0.080550098	0.032979976	0.237981292	0.394557919	0.461499794	0.169846777	0.122970953	0.069140651	0.124908626	0.356906534	0.206423843	0.142734618	0.319584003	0.14561108	0.254042553	0.015804453	0.208012984	0.038257615	0.183832132	0.085292142	0.044006736	0.06781055	0.02466171	0.181088326	0.02225956	0.051455674	0.005465533	0.060937698	0.021378173	0.058089034	0.009939113	0.209393474	0.113574594	0.014066512	0.153030333	0.173061959	0.052841665	0.010387624	0.028588038	0.01400164	0.033610148	0.086651178	0.035765521	0.151327736	0.451380491	0.104530681	0.153965502	0.071038466	0.001524643	0.000110169	0.115857981	0.008477394	0.070117514	0.000239686	0.083429029	0.015466927	0.103255714	0.004463756	0.003630089
Bacteria|Phocaeicola	0.117437722	0.001930502	0.068965517	0.011363636	0	0	0.165456013	0.092511013	0.091811414	0.179080824	0.1133154	0.201729107	0.163043478	0.052631579	0.017676768	0	0.091954023	0	0.018358531	0.013289037	0.027027027	0.160676533	0.176806084	0.212662338	0.182495345	0.030612245	0.182539683	0.001779359	0.465437788	0.056657224	0.00137741	0.113778706	0.044585987	0.111111111	0.101369863	0.231578947	0.031161473	0.0025	0.071856287	0	0.006620922	0.003774218	0.052770449	0.001077818	0	0.007211538	0.007702791	0.147359103	0.00100415	0.014225555	0.114739558	0.239940387	0.016194332	0.028546474	0.309718438	0.285016187	0.166089965	0.104310804	0.222493888	0.047253497	0.187453261	0.000414628	0.01485053	0.063803681	0.003021148	0.023631841	0.000306373	8.31E-05	0.003571429	0.023421649	0.188848921	0.011074197	0.012138189	0.137366548	0.027690151	0.11353011	0.005358664	0.262808166	0.160151448	0.199376947	0.523119393	0.132834963	0.098901099	0.229377104	0.456385206	0.451244813	0.307468124	0.178051512	0.176606833	0.254044284	0.18933008	0.001811902	0.000117309	0.085639491	0.146703863	0.247832286	0.11397738	0.132239821	0.343154587	0.294198835	0.025883292	0.06782929	0.092758599	0.211919994	0.026830128	0.033258035	0.222703513	0.028035546	0.177011466	0.321720991	0.1734375	0.1915157	0.220738413	0.267621455	0.026899053	0.000523713	0.003819792	0.068861066	0.192340749	0.13989203	0.086468748	0.065417008	0.167487965	0.110601719	0.251954612	0.420923379	0.005889282	0.005945907	0.157426556	0.074349952	0.230124313	0.008436566	0.077402316	0.44307383	0.145299145	0.027995804	0.209358972	0.209476017	0.167696051	0.341702128	0.020511266	0.023939612	0.063208234	0.033207876	0.023017278	0.064723264	0.020540125	0.058218261	0.040246727	0.018774428	0.008880511	0.002391373	0.097861946	0.012370103	0.058903366	0.018538158	0.016486905	0.002509733	0.008579139	0.117424166	0.040852057	0.074856146	0.00309952	0.035199307	0.014160606	0.037468123	0.011217892	0.055552807	0.007373252	0.000463597	0.007916887	0.001338269	0.054882452	0.001590932	0.000550843	0.06493116	0.01169957	0.070696997	0.000194673	0.002721357	0.008222322	0.007451488	0.005116575	0.016875636
