Tpyes	cluster	cluster_1	Cytotoxic_lymphocytes	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts	TIDE	IFNG	MSI Expr Sig	Merck18	CD274	CD8	Dysfunction	Exclusion	MDSC	CAF	TAM M2
T4	C1	G2	0.591859713	0.592071774	19.37529482	6.007978597	19.42595544	24.55351764	0.44	0.33	0.28	0.37	1.9	-0.45	0.45	0.44	0	0.07	-0.01
T15	C1	G2	20.0647699	16.95519369	19.39709488	7.148803159	18.10780612	25.48673848	0.28	0.43	0.24	0.15	-0.53	0.55	0.28	0.96	0.03	0.12	-0.01
T29	C1	G2	0.579797947	16.77695665	18.89835634	17.5690557	20.54439161	23.05872674	-0.07	0.43	0.36	0.43	2.32	-0.45	0.45	-0.07	0.01	0.02	-0.06
T30	C1	G2	0.589737545	14.37885761	18.70983929	10.60405076	20.73624694	22.94326031	-0.02	0.14	0.34	0.04	-0.53	-0.45	-0.08	-0.02	0.06	-0.05	-0.01
T53	C1	G2	0.576043518	17.036869	18.48292511	6.786341618	9.449591635	22.20703743	-0.07	0.28	0.34	0.31	2.1	-0.45	-0.31	-0.07	0.07	-0.08	0
T8	C1	G2	0.588697437	14.45681849	18.05191255	6.386840364	20.11039469	21.76821122	-0.24	0.07	0.46	-0.11	-0.53	-0.45	-0.27	-0.24	0.04	-0.08	0
T9	C1	G2	0.58106785	17.09850072	18.64780841	14.7584896	19.24321249	23.04388888	0.69	0.51	0.31	0.07	-0.53	-0.45	-0.23	0.69	0.07	0.04	-0.02
T67	C1	G2	0.579897344	1	18.32667457	11.70611299	20.65938588	22.41772706	0.15	-0.04	0.35	-0.04	1.7	-0.45	-0.09	0.15	0.05	0	-0.02
T55	C1	G2	22.30914325	0.588295835	17.48469876	4.597038271	10.18818488	22.9349272	-0.14	0.03	0.47	0.1	-0.53	0.67	-0.12	-0.14	0.03	-0.04	-0.01
T5	C1	G2	18.88791717	1.33816306	19.15478582	6.440339154	18.79884805	22.36799623	-0.37	0.01	0.52	0.31	1.86	0.49	-0.27	-0.37	0.03	-0.06	-0.02
T57	C1	G2	0.594439216	15.56638763	18.03171904	9.890941881	20.89457908	21.94112536	-0.34	0.22	0.43	0.06	0.19	-0.45	-0.07	-0.34	0.06	-0.08	-0.03
T68	C1	G2	0.575335093	16.30061272	17.5935442	9.761336922	16.87286196	22.49227264	0.21	-0.01	0.36	-0.02	-0.53	-0.45	-0.31	0.21	0.06	-0.04	0.01
T65	C1	G2	0.584249583	14.82950548	18.49004806	18.43331274	18.51189603	22.54910305	-0.38	0.16	0.51	0.04	-0.53	-0.45	-0.28	-0.38	0.03	-0.1	0.01
T66	C1	G2	0.577025417	16.31907725	17.8471889	17.05630038	18.96244196	22.11836689	-0.12	0.07	0.38	0.04	1.9	-0.45	-0.54	-0.12	0.06	-0.07	-0.01
T3	C1	G2	0.591433822	13.46221243	19.33204119	11.19680349	7.566841655	21.9585475	-0.43	-0.05	0.62	0.07	1.36	-0.45	-0.19	-0.43	0.03	-0.11	0.02
T33	C1	G2	18.61898418	16.25597539	18.37593283	17.30572603	20.50484551	21.84655098	-0.31	0.13	0.38	0.03	-0.54	0.48	-0.18	-0.31	0.04	-0.07	-0.02
