	TvsA	TvsP
P53_pathway	-0.015594542	1
ER_early	-0.018726591	1
Spermatogenesis	-0.046153847	-0.102931099
Androgen_response	-0.6986817	0.046073298
Myogenesis	-0.26208177	-0.004994534
Pancreas_汕_cells	1	-0.123388228
E2F_targets	-0.41304347	0.002067874
G2M_checkpoint	-0.63257575	0.002078329
Wnt_汕catenin	-0.20912547	0.044340723
Mitotic_spindle	-0.47490346	0.002549664
TNFA_via_NFKB	-0.37724552	0.007207174
Endometrial_CA	-0.18495935	0.032511211
Prostate_cancer	-0.038383838	0.606874329
GP_metabolism	-0.040697675	0.506493506
Fc_epsilon_RI	-0.04117647	-0.385714286
GNRH_signaling	-0.013384321	1
VSM_contraction	-0.007936508	-0.003284854
CAMs	-0.046421662	-0.000871202
FcrR	-0.013888889	1
Gap_junction	-0.03076923	1
Prion_diseases	1	0.01539563
IBD	0.9697543	0.01469979
Leishmania_infection	-0.96332043	0.007773888
Cell_cycle	-0.16698657	0.028062499
Oocyte_meiosis	-0.4313346	0.030462185
NN_metabolism	-0.125	-0.005919195
PTBC	-0.7356322	-0.01976029
VRWR	-0.041749503	0.663206459
lysosome	-0.045028143	0.720573183
GSH_metabolism	-0.11500975	-0.029228746
Cytochrome_P450	-0.028571429	1
Xenobiotics_by_P450	-0.076612905	-0.012312333
Citrate_tca_cycle	-0.20416667	0.044186047
limonene_pinene_DG	1	0.00873773
