	T_cluster	Group	Early_Late
T10	S4	T	Early_stage
T11	S1	T	Early_stage
T12	S1	T	Early_stage
T13	S4	T	Advanced_stage
T14	S3	T	Early_stage
T15	S2	T	Advanced_stage
T16	S3	T	Early_stage
T2	S1	T	Early_stage
T21	S2	T	Early_stage
T22	S1	T	Early_stage
T23	S1	T	Advanced_stage
T26	S1	T	Early_stage
T27	S1	T	Early_stage
T28	S1	T	Early_stage
T29	S2	T	Early_stage
T3	S2	T	Advanced_stage
T30	S2	T	Advanced_stage
T32	S1	T	Early_stage
T33	S2	T	Advanced_stage
T34	S2	T	Early_stage
T35	S2	T	Early_stage
T36	S2	T	Advanced_stage
T37	S2	T	Advanced_stage
T38	S2	T	Advanced_stage
T39	S2	T	Advanced_stage
T4	S2	T	Advanced_stage
T42	S2	T	Advanced_stage
T43	S1	T	Early_stage
T44	S1	T	Advanced_stage
T45	S2	T	Advanced_stage
T46	S1	T	Advanced_stage
T47	S2	T	Early_stage
T48	S1	T	Advanced_stage
T5	S2	T	Early_stage
T50	S3	T	Advanced_stage
T51	S3	T	Early_stage
T52	S1	T	Advanced_stage
T53	S2	T	Advanced_stage
T55	S2	T	Early_stage
T57	S2	T	Advanced_stage
T58	S3	T	Early_stage
T59	S3	T	Advanced_stage
T6	S3	T	Early_stage
T60	S3	T	Early_stage
T62	S2	T	Advanced_stage
T63	S1	T	Early_stage
T64	S2	T	Early_stage
T65	S2	T	Early_stage
T66	S2	T	Advanced_stage
T67	S2	T	Advanced_stage
T68	S2	T	Advanced_stage
T69	S4	T	Early_stage
T7	S2	T	Early_stage
T70	S1	T	Advanced_stage
T71	S4	T	Advanced_stage
T72	S1	T	Early_stage
T73	S2	T	Early_stage
T74	S4	T	Early_stage
T75	S4	T	Early_stage
T76	S1	T	Advanced_stage
T8	S2	T	Early_stage
T9	S2	T	Advanced_stage
A1	NA	A	A
A3	NA	A	A
A4	NA	A	A
A5	NA	A	A
A7	NA	A	A
A8	NA	A	A
A9	NA	A	A
A10	NA	A	A
A11	NA	A	A
A12	NA	A	A
A14	NA	A	A
A15	NA	A	A
A16	NA	A	A
A17	NA	A	A
A19	NA	A	A
A22	NA	A	A
A23	NA	A	A
A24	NA	A	A
A25	NA	A	A
A26	NA	A	A
A28	NA	A	A
A29	NA	A	A
A30	NA	A	A
A31	NA	A	A
A32	NA	A	A
A33	NA	A	A
A35	NA	A	A
A37	NA	A	A
A40	NA	A	A
A42	NA	A	A
A43	NA	A	A
A44	NA	A	A
A45	NA	A	A
A46	NA	A	A
A49	NA	A	A
A52	NA	A	A
A53	NA	A	A
A54	NA	A	A
A55	NA	A	A
A56	NA	A	A
A57	NA	A	A
A61	NA	A	A
A62	NA	A	A
A64	NA	A	A
A65	NA	A	A
A66	NA	A	A
A67	NA	A	A
A68	NA	A	A
A69	NA	A	A
A72	NA	A	A
A73	NA	A	A
A75	NA	A	A
A76	NA	A	A
A78	NA	A	A
A79	NA	A	A
A81	NA	A	A
A82	NA	A	A
A83	NA	A	A
A84	NA	A	A
A86	NA	A	A
A91	NA	A	A
A92	NA	A	A
P2	NA	P	NA
P3	NA	P	NA
P4	NA	P	NA
P5	NA	P	NA
P6	NA	P	NA
P7	NA	P	NA
P8	NA	P	NA
P9	NA	P	NA
P10	NA	P	NA
P11	NA	P	NA
P12	NA	P	NA
P13	NA	P	NA
P14	NA	P	NA
P15	NA	P	NA
P16	NA	P	NA
P21	NA	P	NA
P22	NA	P	NA
P23	NA	P	NA
P26	NA	P	NA
P27	NA	P	NA
P28	NA	P	NA
P29	NA	P	NA
P30	NA	P	NA
P32	NA	P	NA
P33	NA	P	NA
P34	NA	P	NA
P35	NA	P	NA
P36	NA	P	NA
P37	NA	P	NA
P38	NA	P	NA
P39	NA	P	NA
P42	NA	P	NA
P43	NA	P	NA
P44	NA	P	NA
P45	NA	P	NA
P46	NA	P	NA
P47	NA	P	NA
P48	NA	P	NA
P50	NA	P	NA
P51	NA	P	NA
P52	NA	P	NA
P53	NA	P	NA
P55	NA	P	NA
P57	NA	P	NA
P58	NA	P	NA
P59	NA	P	NA
P60	NA	P	NA
P62	NA	P	NA
P63	NA	P	NA
P64	NA	P	NA
P65	NA	P	NA
P66	NA	P	NA
P67	NA	P	NA
P68	NA	P	NA
P69	NA	P	NA
P70	NA	P	NA
P71	NA	P	NA
P72	NA	P	NA
P73	NA	P	NA
P74	NA	P	NA
P75	NA	P	NA
P76	NA	P	NA
