Microbial_biomarkers	TIDE_A	TIDE_Early_stage	TIDE_Advanced_stage	TIDE_C1_stage	TIDE_C2_stage	TIDE_C3_stage	TIDE_C4_stage
Capnocytophaga sputigena	-0.162543682	0.009049875	0.962838262	0.123511862	-0.29361808	-0.202938516	-0.654653671
Streptococcus pasteurianus	-0.011113937	-0.346732382	0.065370675	-0.118311511	0.300063631	-0.545544726	-0.654653671
Cercospora beticola	-0.095415733	-0.067012346	0.729803204	-0.240621824	-0.14129273	-0.164887544	0.304255532
Streptococcus constellatus	-0.10744957	0.017700324	0.927386704	-0.000684671	0.045882337	-0.476190476	0.405839725
Streptococcus intermedius	-0.236324779	-0.073716981	0.703920272	0.014212811	0.082161394	-0.526955555	-0.030358837
Enterococcus faecalis	-0.077617108	-0.337134081	0.073705631	-0.118792304	0.033077964	-0.538931818	-0.394664881
Prevotella intermedia	-0.269177911	0.035357433	0.855514594	-0.221855193	-0.381052	-0.428571429	0.885714286
Zymoseptoria tritici	0.031953957	-0.024954677	0.897758396	0.154391192	-0.061969921	0.514979293	0.654653671
Bifidobacterium pseudocatenulatum	-0.19215796	0.046681877	0.809971701	0.081558	-0.117280889	-0.292770022	-0.130930734
Methanobrevibacter smithii	-0.287967584	-0.143196774	0.458663187	-0.074529304	0.211130885	-0.163663418	0
Gemella morbillorum	-0.061870238	-0.129843639	0.502014806	-0.032353587	-0.305606234	-0.263477778	0.657142857
Bifidobacterium longum	0.038893686	-0.186061082	0.333859374	-0.15053405	-0.139378912	0.814385858	-0.202919862
Parabacteroides goldsteinii	-0.036657737	0.123795589	0.522300323	0.172584138	-0.236530852	0.428571429	-0.202919862
Methanosphaera sp900322125	-0.111656884	-0.083891993	0.665258822	-0.129644055	-0.117290945	-0.365962527	0.51610023
Streptococcus sanguinis	0.016246178	-0.216704055	0.258840351	-0.201760563	0.011917156	-0.119047619	-0.028988552
Parvimonas micra	-0.239899665	0.165739402	0.390208648	-0.117109265	-0.106681177	-0.292770022	0.828571429
uncultured crAssphage	-0.235724491	0.132861476	0.492042082	0.051722109	-0.252983435	0.187043906	0.392792202
Streptococcus oralis	-0.13260735	-0.237043464	0.21567677	-0.153279883	-0.197197956	-0.904761905	-0.028571429
Akkermansia muciniphila	0.027214737	0.091348528	0.637443803	0.13396721	0.311742857	-0.428571429	0.202919862
Faecalibacterium virus Lugh	-0.171779678	-0.29052165	0.126293957	-0.385659479	0.400151576	0.109108945	-0.130930734
Bacteroides salyersiae	-0.136692008	0.187723443	0.329480937	-0.094696991	-0.156689415	0.261904762	0.885714286
Klebsiella pneumoniae	0.097867018	-0.326263882	0.084109077	-0.220218214	-0.136717625	0.023952525	0.428571429
Methanomassiliicoccaceae archaeon UBA71	0.078090306	-0.192012249	0.318347754	0.127741023	0.107799459	-0.245495127	0.392792202
Bacteroides ovatus	-0.211208735	0.431353335	0.019474048	0.259988885	-0.384259387	-0.214285714	0.550782484
Bacteroides fragilis	-0.101128294	-0.001725413	0.99291256	-0.095036733	-0.441225064	-0.30952381	-0.2
CrAss-like virus sp.	-0.131635237	0.053255035	0.783802789	-0.153246199	-0.16778176	-0.163663418	0.091076511
Collinsella aerofaciens	0.0662152	-0.062492308	0.747419953	-0.176130038	0.430867668	0.166666667	-0.257142857
Bacteroides xylanisolvens	-0.134504415	0.063231862	0.744528764	0.054108216	-0.141896323	0.119047619	-0.144942759
Methanosphaera stadtmanae	0.053090227	-0.251278064	0.188555147	0.029904344	0.088208036	-0.300049599	-0.130930734
Methanobrevibacter_A smithii_A	-0.12196188	-0.240251757	0.209344695	-0.248912229	-0.518905533	0.19047619	0.144942759
Human betaherpesvirus 5	0.11007815	0.050225777	0.795836	0.363696607	-0.258048859	0	-0.654653671
Human gammaherpesvirus 4	0.020771024	-0.304799857	0.10789676	-0.078404667	0.084494157	0.545544726	0
Fusobacterium periodonticum	0.055735549	-0.103407652	0.59347521	0.057321758	-0.2539534	-0.341565026	0.576817904
Methylorubrum populi	0.00534243	-0.035357433	0.855514594	-0.013770701	-0.420571434	-0.253673145	0.521793932
Fusobacterium canifelinum	-0.216739912	0.241462324	0.206988793	0.018805544	-0.02655644	0.071857576	0.576817904
Leptotrichia sp. oral taxon 212	-0.074266614	-0.011771126	0.951675325	-0.194106725	0.017704294	-0.766480808	-0.085714286
Fusobacterium nucleatum	-0.311846837	0.17219281	0.371752433	-0.012246716	-0.365616074	-0.595238095	0.314285714
Ralstonia sp. 56D2	-0.004644629	0.127121389	0.511096444	0.193626357	-0.310418136	-0.024397502	0.212511859
