PG.ProteinGroups	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T21	T22	T23	T26	T27	T28	T29	T30	T32	T33	T34	T35	T36	T37	T38	T39	T42	T43	T44	T45	T46	T47	T48	T50	T51	T52	T53	T55	T57	T58	T59	T60	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76
A0A024QZP7;P06493	19.1006147	22.40087488	19.16796108	19.35888939	20.42661245	20.12048881	19.40746046	19.66181636	18.19634923	19.32672915	19.40688398	19.19832918	18.7586129	19.40404282	20.62939264	18.28648289	18.71773833	17.84563888	18.64522986	19.83054944	17.85567986	19.09936081	20.0087102	0.584591638	19.09901867	18.55330809	19.16622224	18.55446426	19.04815757	18.87514188	18.48272156	20.06798097	18.53682725	16.49554534	19.96136835	20.38571629	19.14437258	18.37814057	21.26514329	19.62684798	19.17950231	19.87706625	19.3526522	19.95129254	20.67680698	19.92711758	21.41593566	19.09720062	22.45702511	20.8194762	20.89652587	20.91489695	19.83303319	21.99842266	21.3405904	19.93328237	18.08494703	19.21314814	20.02894002	2.209839076	24.47699935	18.44104691
A0A075B6G3;E9PDN5	21.84738448	17.69595942	19.98891061	18.40980901	19.90507818	20.04301059	19.05327663	20.55391435	0.5872105	18.99011011	21.04132527	22.744852	17.7804046	20.31167016	21.53884632	18.6585812	21.0512506	20.29612573	19.09987508	18.7220732	19.14698687	19.19789277	18.23241932	20.04979422	18.36594113	20.20475351	18.35915919	18.03415633	17.54844307	19.81752933	19.21121874	22.00985407	21.77839812	20.32797127	18.78067352	19.20669276	19.05170947	22.04971164	20.01008516	19.81313472	20.95320046	19.04809053	19.28558777	19.84514458	20.30835834	20.09223839	0.588344569	20.4971644	22.61381037	19.13342148	19.31098035	18.66344095	19.84386385	18.38401021	23.33971166	21.12169223	22.05297378	20.54894464	19.2582999	20.72528085	20.78169598	20.96738011
A0A075B6H9	0.592123963	18.02360446	0.577950297	17.56600687	18.756223	0.588518232	0.584821647	0.585401551	0.581348684	18.43670659	0.58902013	0.576253532	0.586165411	0.576212626	0.594074991	0.578689853	0.585593954	21.16476579	0.589705909	0.592653071	0.591888825	17.33111048	19.00160628	0.591773465	0.592086325	18.92236237	0.577478552	0.588467515	0.581726037	0.592805865	0.583151684	18.22816121	18.99464632	18.26710199	18.02630088	20.1697657	0.586384952	0.587089606	0.583264169	17.51819654	0.583223274	0.578941844	0.578451811	0.586163868	0.594496055	0.586789594	0.578056641	0.580685384	0.589191568	0.592699983	0.576387814	0.579110746	0.575553516	0.592554669	0.585293476	0.59054155	0.579961198	0.588624433	0.578585633	20.56420742	0.594122795	0.580123803
A0A075B6I0	21.09799529	20.94915577	19.21291638	19.9376416	22.37164053	19.72010071	0.587320661	21.14766143	24.07070871	21.2469438	21.09543276	20.67512673	21.05476047	0.583823021	21.50893262	21.67525328	22.14319697	21.7774573	21.4687226	0.584785791	19.93711623	22.07241625	20.68973986	0.587871123	0.586628047	21.07260793	20.25824684	19.92952806	21.23444295	19.71878495	19.11894677	19.53759487	21.08190175	20.67606198	20.57495448	21.86992137	0.586126472	23.3107667	20.20644818	21.35155503	0.586957111	21.22995943	22.03944053	21.6650086	21.81482896	20.64492676	20.80181422	20.72139431	22.92938972	21.34280416	21.39781314	21.83143541	20.47470881	21.06110845	24.4699198	22.34853718	19.03260826	22.31926968	0.592460607	21.4039469	22.01538408	21.5400637
A0A075B6I9	0.585016955	18.15799371	0.585255638	0.593467613	0.589742975	0.582504048	0.578726882	19.92671051	0.575890612	0.588761904	0.593588029	0.584622709	21.35616622	0.580553842	22.67221425	19.28718437	0.592493715	0.580899232	19.72836046	0.592668543	0.589773869	0.586742678	0.582002328	0.578629879	0.591559931	0.57556865	0.589080482	0.581181374	19.53642747	0.593047783	0.589190215	0.585577496	0.583501885	0.586594881	19.55169207	0.594483579	0.587406762	0.59216144	0.583584782	0.587315686	0.594140982	0.591962676	0.592307152	19.40288247	0.584105563	0.580600442	0.577224698	0.582880643	0.592204746	19.63094263	0.592033709	19.03903165	0.591707245	20.1263073	0.590528819	19.62291904	21.64731415	20.34565971	20.66841975	20.25589791	0.58353818	0.57642905
A0A075B6S2;A2NJV5	0.586164457	0.579836169	0.586827923	18.20242518	16.96355168	0.580358522	16.66136298	17.28794863	0.588548369	18.09373525	0.587916958	18.61057522	20.53240373	0.582400036	19.76975907	19.65480667	0.589790567	0.594518003	18.3587302	0.590168838	0.586729786	20.72144626	0.575426123	0.579627976	17.93091867	0.582445443	18.17742167	0.589110665	0.583431896	0.583167488	18.48567051	17.68336711	0.577161601	19.40461732	18.08335726	16.53410657	17.79391422	0.585224519	18.93661736	21.64957141	0.593666663	18.15897527	18.01175088	0.587948083	0.590986842	18.0231914	0.576403981	17.75683329	0.580224913	18.12968094	15.55038466	17.58395318	18.96748046	18.10083587	0.580302597	0.585683761	0.57537642	0.579337945	18.2944414	18.25677406	19.43887407	0.576542349
A0A087WSZ7;A0A1B0GW84;Q08499	0.592767482	22.54478265	21.96160831	20.93983529	0.594012219	19.68795484	17.83540791	15.07530548	0.593076751	13.25428344	0.590004907	0.584489895	0.575446881	19.46374649	1.895120005	15.47822119	19.8018449	0.581349995	13.85894615	14.63093164	0.578713081	21.93182526	19.37123745	22.44472298	18.60486447	20.08455863	13.90329917	15.69393036	21.37799897	20.97567613	19.94006648	17.30013495	22.06566232	0.588222366	0.575387708	0.576596268	15.5745486	0.576618895	18.17036643	17.42873548	0.576560619	0.587977903	21.72974592	15.38369441	0.58416373	0.593013799	21.94805803	16.21656189	0.585106677	18.68064668	20.32276836	18.52369128	18.62926856	20.28811188	0.59238943	19.08798476	0.58239805	0.584768871	19.29161491	0.579831967	0.594282792	18.95836013
A0A087WT23;A0A087WV67;O00124	18.91810038	17.98159707	17.63609885	17.75469161	18.57104363	17.41211238	17.08758326	17.11428947	0.590183244	0.584730939	0.587555395	0.579726766	0.584021967	0.578466371	0.592544264	17.65301495	0.590414066	19.41973147	17.69980764	0.577811683	19.08501059	18.15973355	17.56294565	0.582572495	20.70496417	18.07958521	17.21580284	14.62109687	18.90645282	17.83750869	18.11123996	17.94195788	19.05361654	0.58083235	16.37983695	19.83398228	16.0329487	0.591975371	17.88122508	0.59435994	0.593733338	17.38125222	16.78365333	16.418224	0.579313725	19.30670019	0.592391888	17.6902182	0.57666837	15.11326366	16.69079494	16.87955745	16.8017639	0.589500371	0.579867696	19.82539604	0.588147746	19.53328505	17.94363328	0.591987765	0.587160979	18.70663102
A0A087WT42;Q5VVW5;Q9NY64	0.583265808	17.22502808	18.4733297	18.0905691	0.581245812	0.576712057	0.590231163	0.58171237	0.589826082	0.591883304	0.582471643	0.580934551	0.592199949	0.586354768	0.588485615	0.583734666	0.594406873	0.594374551	0.57704493	0.577004639	0.586859947	0.59217765	17.26659298	0.579503157	17.22793581	0.593266215	17.12786731	0.590055014	17.93769233	18.03065569	0.583058476	0.57781377	0.586312913	0.586811435	0.590095809	0.587543742	0.590222022	0.587780296	0.578268081	0.579625903	0.583045199	17.87831655	18.1774603	18.64598962	0.583322763	0.585527221	0.581426366	0.588963084	0.594399493	0.589996732	17.66748906	0.580515263	17.15345988	0.586774282	0.586990692	0.577252948	0.591973879	0.581083552	0.588347882	0.589099616	0.589800972	0.588183226
A0A087WT64;Q07820	0.577748038	15.71341515	0.584437654	15.31852778	0.586457471	0.577142256	16.45638362	0.575919868	0.593245845	0.582097934	0.580665288	0.579687905	0.579452699	14.43034037	0.584438101	0.578583021	0.576421996	0.583378742	0.592163766	0.590000718	0.57680898	15.56460284	0.581339526	0.577884874	17.58965915	0.591918804	0.577332527	0.583339007	17.87744123	17.21961035	15.30864039	0.581673167	0.582592046	0.593624715	0.576522838	0.581868642	0.58443582	0.590017032	0.577210092	14.93598663	0.593746957	0.590890763	0.5785632	14.02226858	1.509550078	0.591173951	0.590913068	0.593940189	0.594330043	0.591275773	0.576838925	0.590514068	0.579807134	0.577577347	0.575950795	0.585835994	0.590728098	0.591668401	0.583243032	0.593227934	0.579994993	0.593528402
