taxon	TIDE_A	TIDE_Early_stage	TIDE_Advanced_stage	TIDE_C1_stage	TIDE_C2_stage	TIDE_C3_stage	TIDE_C4_stage
Capnocytophaga sputigena	0.971772977	0.366117549	0.962838262	0.515528326	0.236977446	0.62980849	0.158302423
Streptococcus pasteurianus	0.998725938	0.951052802	0.065370675	0.533497054	0.226358959	0.161938228	0.158302423
Cercospora beticola	0.019437624	0.597364219	0.729803204	0.200244296	0.57600001	0.696393832	0.557699387
Streptococcus constellatus	0.45939819	0.551724557	0.927386704	0.99713501	0.856539059	0.243055556	0.424662508
Streptococcus intermedius	0.520620279	0.185475517	0.703920272	0.940578691	0.745858798	0.179628967	0.954475735
Enterococcus faecalis	0.352657301	0.667681053	0.073705631	0.531823313	0.896330889	0.168118035	0.438739252
Prevotella intermedia	0.255750702	0.129822383	0.855514594	0.238688454	0.118725288	0.299206349	0.033333333
Zymoseptoria tritici	0.6017385	0.859878727	0.897758396	0.415298772	0.807017705	0.191549313	0.158302423
Bifidobacterium pseudocatenulatum	0.75760884	0.284023875	0.809971701	0.668327094	0.643031899	0.481617814	0.804726162
Methanobrevibacter smithii	0.04250106	0.10414183	0.458663187	0.695491753	0.400355488	0.69856686	1
Gemella morbillorum	0.3639429	0.732319973	0.502014806	0.865228603	0.217476989	0.528366471	0.175
Bifidobacterium longum	0.008213542	0.829850471	0.333859374	0.427187053	0.581231792	0.013844257	0.699797968
Parabacteroides goldsteinii	0.042552379	0.839501771	0.522300323	0.361776507	0.344671159	0.299206349	0.699797968
Methanosphaera sp900322125	0.125253112	0.536161988	0.665258822	0.494728613	0.643003224	0.372624727	0.294583741
Streptococcus sanguinis	0.523617976	0.928498268	0.258840351	0.28499088	0.96256763	0.793005952	0.956529352
Parvimonas micra	0.232771558	0.178717403	0.390208648	0.5376933	0.673519664	0.481617814	0.058333333
uncultured crAssphage	0.157547803	0.186627704	0.492042082	0.786054444	0.311125658	0.657386587	0.441112809
Streptococcus oralis	0.22042868	0.461939528	0.21567677	0.418704893	0.432849287	0.004563492	1
Akkermansia muciniphila	0.09895118	0.880499288	0.637443803	0.4803243	0.207910552	0.299206349	0.699797968
Faecalibacterium virus Lugh	0.94798142	0.339132544	0.126293957	0.035309858	0.09988461	0.797038574	0.804726162
Bacteroides salyersiae	0.53316229	0.448134106	0.329480937	0.618654303	0.534661335	0.53640873	0.033333333
Klebsiella pneumoniae	0.47210004	0.587936201	0.084109077	0.242260195	0.588540056	0.95510619	0.419444444
Methanomassiliicoccaceae archaeon UBA71	0.067395141	0.665771739	0.318347754	0.501137749	0.670279218	0.557856585	0.441112809
Bacteroides ovatus	0.681294589	0.238045212	0.019474048	0.165287942	0.115398206	0.619097222	0.257369332
Bacteroides fragilis	0.143503102	0.575495343	0.99291256	0.617390292	0.066811366	0.461805556	0.713888889
CrAss-like virus sp.	0.025481458	0.465258013	0.783802789	0.418808375	0.505745691	0.69856686	0.86376297
Collinsella aerofaciens	0.995168003	0.714280863	0.747419953	0.351843774	0.07424863	0.703323413	0.658333333
Bacteroides xylanisolvens	0.236732309	0.4554999	0.744528764	0.776427263	0.574354147	0.793005952	0.78410837
Methanosphaera stadtmanae	0.589723078	0.769195373	0.188555147	0.875349007	0.727804362	0.470261741	0.804726162
Methanobrevibacter_A smithii_A	0.909857197	0.498955613	0.209344695	0.184704924	0.0273436	0.664583333	0.78410837
Human betaherpesvirus 5	0.824047301	0.54197691	0.795836	0.048194191	0.30120418	1	0.158302423
Human gammaherpesvirus 4	0.1362012	0.908657675	0.10789676	0.680465895	0.738877991	0.161938228	1
Fusobacterium periodonticum	0.659719095	0.758028747	0.59347521	0.763513023	0.309210936	0.407633739	0.230732252
Methylorubrum populi	0.712225175	0.976460454	0.855514594	0.942423992	0.082229648	0.544373792	0.288343234
Fusobacterium canifelinum	0.294034088	0.225691085	0.206988793	0.921428878	0.916694415	0.865730124	0.230732252
Leptotrichia sp. oral taxon 212	0.038470263	0.681257945	0.951675325	0.304040255	0.944412181	0.026520014	0.919444444
Fusobacterium nucleatum	0.375805501	0.07727768	0.371752433	0.94878706	0.13568832	0.132291667	0.563888889
Ralstonia sp. 56D2	0.086829758	0.97953438	0.511096444	0.305261861	0.209951951	0.954272834	0.686030866
