© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Kinetochore Metaphase Signaling Pathway	6.13	0.288	1.095	"ANAPC10,ANAPC13,ANAPC2,ANAPC4,ANAPC7,AURKB,BUB1B,CDC20,CDC26,CDC27,CDCA8,CDK1,CENPC,CENPH,H2AC21,MAD2L1,MASTL,NDC80,NUF2,PLK1,PMF1/PMF1-BGLAP,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,SKA1,SKA3,SPC24,SPC25,TTK,ZWILCH,ZWINT"
HER-2 Signaling in Breast Cancer	5.58	0.225	2.967	"AKT3,ARF3,CHUK,COX11,COX15,COX7C,ELF1,ELF2,ELF3,ELK1,ERBB2,FCER1G,FGR,FOS,FOXO3,FYN,GLE1,GNB1L,HCK,ITGB2,ITGB4,ITGB5,JUN,MT-CO3,NDC1,NUP107,NUP188,NUP205,NUP35,NUP42,NUP88,NUP93,PARD3,PARD6B,PIK3C3,PIK3CB,PIK3R2,POM121/POM121C,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RB1,RBL2,RPS6KB2,RRAS,SOS2,TP53"
LXR/RXR Activation	5.09	0.26	-1.633	"ACACA,AHSG,APOC4,ARG2,C3,CYP51A1,HADH,HPR,HPX,IL18,IL1B,IL1R2,IL1RN,IL33,IRF3,LCAT,LDLR,LPA,LPL,LYZ,MMP9,MSR1,NCOR1,NCOR2,NGFR,ORM1,PTGS2,S100A8,SCD,SERPINA1,TF,TNFRSF1B"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	5.05	0.199	#NUM!	"AKT3,ATF2,AXIN1,CEBPB,CEBPZ,CHP1,CHUK,CREB3L4,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CXCL12,DKK4,FCGR3A/FCGR3B,FOS,FZD5,FZD6,FZD7,HNF1A,IL18,IL1B,IL1R2,IL1RN,IL32,IL33,IL6ST,JUN,MAP2K3,MAP2K6,MMP1,MMP3,MYD88,NFATC3,NGFR,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKCE,PRKCG,PRKCI,PRSS2,PRSS3,RAP1A,RAP1B,RAP2A,ROR2,RRAS,SFRP1,SFRP4,TCF3,TCF7L2,TGFB1,TLR8,TNFRSF1B,TRAF1,TRAF3,TRAF3IP2,TRAF5,TRAF6,WNT2B,WNT5A"
Cell Cycle Control of Chromosomal Replication	5	0.339	4.359	"CDC45,CDK1,CDK10,CDK11B,CDK12,CDK13,CDK19,CDK2,CDK7,CDK9,CHEK2,MCM2,MCM3,MCM5,MCM9,ORC2,POLA1,PRIM1,TOP2A"
Huntington's Disease Signaling	4.63	0.201	0	"AKT3,ATF2,ATP5F1A,BAX,CASP14,CASP2,CASP4,CPLX2,CREB3L4,DNAJC5,DYNC1I2,GNA14,GNA15,GNB1,GNB1L,GNB3,GNG11,GNG4,GOSR1,GOSR2,HDAC5,HSPA14,HSPA6,HSPA8,JUN,NAPA,NCOR1,NCOR2,PENK,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,POLR2L,PRKCE,PRKCG,PRKCI,PSMA3,PSMA6,PSMB1,PSMB5,PSMB9,PSMD11,PSMD5,PSMD7,PSMD8,PSMD9,PSME2,PSME3,REST,SIN3A,SNAP25,SOS2,STX1A,TP53,UBE2S"
Protein Kinase A Signaling	4.55	0.185	1.291	"ACP1,ADCY3,AKAP17A,AKAP8,ANAPC10,ANAPC13,ANAPC2,ANAPC4,ANAPC7,ATF2,CDC26,CDC27,CHP1,CHUK,CREB3L4,DUSP11,DUSP6,EBI3,ELK1,EPM2A,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,H1-6,HNF1A,ITPR2,ITPR3,KDELR2,KDELR3,MYH4,MYL6,MYL9,MYLK,NFATC3,NGFR,PALM2AKAP2,PDE3A,PDE4D,PDE7A,PDIA3,PHKG2,PLCB1,PLCB3,PLCZ1,PLN,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PRKAR1B,PRKCE,PRKCG,PRKCI,PTGS2,PTPN13,PTPN2,PTPN4,PTPN7,PTPRA,PTPRG,PTPRM,PTPRN,PYGM,RAP1A,RAP1B,TCF3,TCF7L2,TGFB1,TTN,UBASH3B,YWHAQ,YWHAZ"
Chronic Myeloid Leukemia Signaling	4.26	0.198	3.81	"ADAR,ADCY3,AKT3,AURKA,AURKB,AXIN1,CCND2,CDKN2A,CHP1,CHUK,CTBP1,DVL3,E2F3,FOS,FOXO3,FZD5,FZD6,FZD7,GNB1L,HCK,HDAC5,HNF1A,JUN,MCL1,MECOM,MMP9,MSI2,NFATC3,PCBP2,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PLK1,PRKAA2,PRKAB1,PTPN13,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SIN3A,SOS2,TCF3,TCF7L2,TGFB1,TP53,WNT2B,WNT5A,XPO5"
IL-6 Signaling	4.22	0.24	2.694	"AKT3,CEBPB,CHUK,CSNK2A1,CSNK2A2,ELK1,FOS,HSPB7,IL18,IL1B,IL1R2,IL1RN,IL33,IL6ST,JUN,MAP2K3,MAP2K6,MAP4K4,MCL1,NGFR,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TNFAIP6,TNFRSF1B,TRAF6"
Senescence Pathway	4.21	0.194	3.96	"AKT3,ANAPC10,ANAPC13,ANAPC2,ANAPC4,ANAPC7,ATR,CCND2,CDC26,CDC27,CDK1,CDK2,CDKN2A,CEBPB,CGAS,CHEK1,CHEK2,CHP1,CHUK,DHCR24,E2F3,ELF1,ELF2,ELF3,EZH2,FOXO3,HBP1,IRF3,ITPR2,ITPR3,JUN,MAP2K3,MAP2K6,MAPKAPK3,MCU,NFATC3,PDHX,PDK4,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RB1,RBL2,RRAS,SMAD5,SQSTM1,STING1,TGFB1,TP53,TRAF6,VHL"
