© 2000-2023 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT			
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)
ALOX5AP	causation	Cell movement of blood cells	
ALOX5AP	causation	Inflammatory response	
ALOX5AP	causation	Migration of cells	
CAMP	causation	Cell movement of blood cells	
CAMP	causation	Inflammatory response	
CAMP	causation	Invasion of cells	
CAMP	causation	Migration of cells	
CCND2	correlation	Advanced malignant tumor	
CCND2	correlation	Invasive tumor	
CYBB	causation	Advanced malignant tumor	
CYBB	causation	Cell movement of blood cells	
CYBB	causation	Inflammatory response	
CYBB	causation	Invasive tumor	
CYBB	causation	Migration of cells	
FLT1	causation	Advanced malignant tumor	
FLT1	causation	Cell movement of blood cells	
FLT1	causation	Inflammatory response	
FLT1	causation	Invasion of cells	
FLT1	causation	Invasive tumor	
FLT1	causation	Migration of cells	
FLT1	correlation	Advanced malignant tumor	
FLT1	correlation	Invasive tumor	
FOS	causation	Advanced malignant tumor	
FOS	causation	Cell movement of blood cells	
FOS	causation	Inflammatory response	
FOS	causation	Invasion of cells	
FOS	causation	Invasive tumor	
FOS	causation	Migration of cells	
IL18	causation	Advanced malignant tumor	
IL18	causation	Cell movement of blood cells	
IL18	causation	Inflammatory response	
IL18	causation	Invasion of cells	
IL18	causation	Invasive tumor	
IL18	causation	Migration of cells	
IL1B	causation	Advanced malignant tumor	
IL1B	causation	Cell movement of blood cells	
IL1B	causation	Inflammatory response	
IL1B	causation	Invasion of cells	
IL1B	causation	Invasive tumor	
IL1B	causation	Migration of cells	
IL1B	correlation	Advanced malignant tumor	
IL1B	correlation	Inflammatory response	
IL1B	correlation	Invasive tumor	
JUN	causation	Cell movement of blood cells	
JUN	causation	Inflammatory response	
JUN	causation	Invasion of cells	
JUN	causation	Migration of cells	
JUN	correlation	Advanced malignant tumor	
JUN	correlation	Invasive tumor	
KIF14	causation	Migration of cells	
KIF14	correlation	Invasive tumor	
LCN2	causation	Advanced malignant tumor	
LCN2	causation	Cell movement of blood cells	
LCN2	causation	Inflammatory response	
LCN2	causation	Invasion of cells	
LCN2	causation	Invasive tumor	
LCN2	causation	Migration of cells	
LCN2	correlation	Advanced malignant tumor	
LCN2	correlation	Invasive tumor	
LTF	causation	Advanced malignant tumor	
LTF	causation	Cell movement of blood cells	
LTF	causation	Inflammatory response	
LTF	causation	Invasion of cells	
LTF	causation	Invasive tumor	
LTF	causation	Migration of cells	
LTF	correlation	Advanced malignant tumor	
LTF	correlation	Invasive tumor	
MMP1	causation	Advanced malignant tumor	
MMP1	causation	Cell movement of blood cells	
