© 2000-2023 QIAGEN. All rights reserved.									
ID	Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationship
1	14.493	33	3	"NAB2,PYCARD,ZFP36"	24	"ALOX5AP,CAMP,CCND2,CYBB,FLT1,FOS,IL18,IL1B,JUN,KIF14,LCN2,LTF,MMP1,MMP3,MMP9,MPO,NUF2,PLAU,PLAUR,PTGS2,S100A8,S100A9,TGFB1,TOP2A"	6	"Advanced malignant tumor,Cell movement of blood cells,Inflammatory response,Invasion of cells,Invasive tumor,Migration of cells"	56% (10/18)
2	12.656	15	1	NAB2	6	"ALOX5AP,FLT1,FOS,MMP3,PLAU,TGFB1"	8	"Advanced malignant tumor,Cell viability of tumor cell lines,Cellular homeostasis,Concentration of lipid,Formation of cellular protrusions,Invasive tumor,Migration of cells,Organismal death"	25% (2/8)
3	11.369	49	3	"MYCL,PYCARD,ZFP36"	39	"BRF1,CAD,CAMP,CCND2,CCNK,CCNT1,CDC20,CDK13,CDK7,CHD7,CYBB,FOS,IL18,IL1B,INO80,JUN,KIF14,LCN2,LTF,LUC7L3,MMP1,MMP9,MPO,MYH4,NARS1,NEDD9,NUF2,PARD6B,PLAU,PLAUR,PTGS2,PUS1,S100A8,S100A9,SERINC3,SSB,TOP2A,TRAF1,WDR74"	7	"Cell movement of myeloid cells,Cell transformation,Development of tumor cell lines,Inflammatory response,Invasion of cells,Migration of cells,Transcription of DNA"	43% (9/21)
4	9.428	29	9	"BRD4,EP300,EPAS1,HIF1A,JUN,RELA,SPI1,STAT3,TP63"	18	"CA9,CD274,CFD,CHI3L1,CXCL12,ELANE,IL1B,IL6ST,ITGB2,LDHA,LOX,MMP9,PDGFRB,PLAU,PTGS2,SPARC,TGFB1,WNT5A"	2	"Activation of hepatic stellate cells,Increased Levels of LDH"	0% (0/18)
5	8.944	12	1	PYCARD	5	"IL18,IL1B,MMP9,PTGS2,S100A8"	6	"Cell movement of myeloid cells,Inflammation of joint,Inflammatory response,Invasion of cells,Migration of cells,Necrosis of epithelial tissue"	83% (5/6)
6	7.856	26	3	"CEBPD,HIVEP1,YBX1"	21	"ANG,CDK9,CDKN2A,CEBPB,DAPK3,EFEMP1,ERBB2,FABP4,FOS,IL18,IL1B,IL33,MALT1,MAP2K3,MYD88,RB1,TGFB1,TNFRSF1B,TNIP1,TP53,TRAF1"	2	"Transcription of DNA,Transcription of RNA"	100% (6/6)
7	7.507	30	3	"OVOL2,TBX2,ZFP91"	23	"ARHGEF2,AURKA,AURKB,CDCA5,CDK1,CDKN2A,CHEK1,CKS1B,DNMT1,ENO1,EZH2,FADS2,LDHA,MAD2L1,MCM2,NCAPG2,PKM,PLK1,RRM2,SDCBP,SLC2A1,SLC2A3,WIPF1"	4	"Cell proliferation of tumor cell lines,Growth of connective tissue,Growth of tumor,Organismal death"	42% (5/12)
8	6.765	26	2	"HIVEP1,YBX1"	21	"ANG,CDK9,CDKN2A,DAPK3,EFEMP1,EPHA2,ERBB2,FOS,IL18,IL1B,IL33,MALT1,MAP2K3,MCL1,MYD88,RRM2,TGFB1,TNFRSF1B,TNIP1,TP53,TRAF1"	3	"Liver cholangiocarcinoma,Transcription of DNA,Transcription of RNA"	67% (4/6)
9	6.713	22	2	"CBX5,PTTG1"	15	"BCL11A,CEACAM1,CEBPB,CEMIP,CHEK1,CXCL5,KIT,LCN2,MMP7,MSH3,PINX1,POLI,SLC2A3,TP53,UNG"	5	"Cell movement of granulocytes,Hematologic cancer of cells,Lymphocytic cancer,Malignant lymphocytic neoplasm,Tumorigenesis of lymphocytes"	40% (4/10)
10	6.645	36	2	"REL,ZFP36"	31	"ANLN,ARFGAP3,BCL3,CAMP,CCL20,CD59,CYBB,E2F3,EZH2,FOS,FOXO3,HLA-A,IL18,IL1B,IL32,JUN,KIF14,LCN2,LTF,MMP1,MMP9,MPO,PHIP,PLAU,PLAUR,PTGS2,RAP2A,S100A8,S100A9,SORBS1,TNFRSF10A"	3	"Cell movement,Colony formation of tumor cell lines,Invasion of cells"	50% (3/6)
