© 2000-2023 QIAGEN. All rights reserved.							
Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
NPM1	4.545	transcription regulator	Activated	2.785	0.00423	"ADAM8,AKR1C1/AKR1C2,ANG,CADM1,CEACAM1,CEBPB,COL12A1,COL4A2,EBI3,EDIL3,ICOSLG/LOC102723996,IGFBP5,IL1B,IL6ST,INHBA,JUN,LOX,LOXL2,LTF,MMP8,MMP9,NPM1,PLOD1,PLOD2,SERPINE2,SYDE1,TP53,WNT5A,ZMYND8"	671 (9)
ZBTB10	 	transcription regulator	Activated	3.335	0.00000836	"ADAM8,AGO3,CAD,CASP4,CCL24,CD274,CD34,CD8A,CHUK,CLEC5A,CXCL5,CYBB,FCER1G,FLT1,GBP4,GBP5,HPSE,IDO1,IFIT1,IFITM2,IFITM3,IL1B,IL1RN,IL32,LPL,LRRK2,MALT1,MYD88,NKRF,PKLR,PTGS2,RIPK2,RTP4,STING1,TNFRSF14,TRAF3IP2,XAF1"	 
HMG20A	 	transcription regulator	Activated	2.132	0.00466	"ALDOC,AXL,CYP51A1,DCN,EBI3,ELN,FADS2,INHBA,JUN,LDLR,MMP3,MYLK,NNMT,OSMR,PDGFRB,PLAUR,RTP4,SEMA3B,SQLE,TAGLN,TGFB1,THY1"	 
STAT3	 	transcription regulator	Activated	2.815	0.000000318	"AHSG,ALDH1A1,AMPD3,ARG1,ARG2,BCL3,BCL9L,C3,CA9,CASP4,CCL20,CCND2,CD163,CD209,CD274,CD46,CDH2,CDK1,CDKN2A,CDX2,CDYL,CEACAM1,CEBPB,CHI3L1,CHL1,DMBT1,DNMT1,DNMT3A,DPP4,DVL3,ECT2,EME1,ERBB2,FBN1,FCER1G,FLT1,FOS,GAP43,GBP5,HERC6,HLA-A,IFI44,IFIT1,IFIT5,IFITM1,IFITM2,IFITM3,IGFBP5,IL1B,IL1RN,IL23R,IL33,IL6ST,INO80,ITGB2,KRT34,LCAT,LCN2,LDHA,LGR4,LOX,LTF,LYZ,MAP2,MCL1,MGAT5,MMP1,MMP10,MMP3,MMP7,MMP9,MT-CO3,MT-ND1,MT-ND2,MT-ND6,MX2,MYD88,NDRG2,NPM1,OAS2,OAS3,OSBPL5,PCK1,PCSK9,PHLDA1,PHLDA2,PLA2G2A,PLAU,PLAUR,PLSCR1,PON2,PSMB5,PSMB9,PTGS2,PTPN13,PTPN2,PTX3,RAB11FIP1,RBPJ,REG1B,RRM2,RUNX1,S100A9,SERPINA1,SERPINB2,SERPINB4,SERPINE2,SLC2A1,SLFN5,SLPI,SOS2,TAGLN,TGFB1,TNFRSF10B,TNFRSF1B,TNS1,TNS4,TP53,TXLNA,UPF3A,VIP,WFDC2,WIPF1,WNT5A,XAF1,XPNPEP2"	933 (22)
E2F1	 	transcription regulator	Activated	3.306	2.86E-10	"ABCG2,ATAD2,ATG12,AURKA,AURKB,BAX,CA2,CCND2,CD274,CDC20,CDC45,CDH2,CDK1,CDK2,CDKN2A,CHEK1,CHEK2,CKB,COL2A1,CRYAB,CTNNBIP1,CWC27,DDX39B,DHFR,DNMT1,E2F3,ECT2,EIF3I,EZH2,FANCD2,FHL1,FLT1,FOS,FOXO3,GABARAP,GINS1,HLTF,HNRNPK,HSPA8,IDH3A,IRS2,KIF23,KIT,KRT10,MAD2L1,MCL1,MCM2,MCM3,MCM5,MDC1,MDH1,MFAP1,MMP1,MMP3,MMP9,MT1G,MUC4,MYH4,NCOA3,NDC80,NEDD8,NRIP1,NUSAP1,OGT,PDK4,PIK3C3,POLA1,PPP1R13B,PPP1R8,PRDM2,PRKAA2,PSMB9,PTPN4,RACGAP1,RAD54L,RB1,RFC2,RFC5,RRM1,RRM2,RRP1B,SLC3A2,SMARCA5,SMC4,SNRPC,SRPRA,SRSF1,STK17B,TAP2,TCF3,TGFB1,TK1,TOP2A,TOPBP1,TP53,TRAF3,UCHL5,UCK2,UHRF1,UMPS,UNG,UQCR11,UVRAG,UXT,VCP,XRCC1"	769 (12)
STAT1	 	transcription regulator	Activated	3.504	0.00187	"ACE,APOBEC3G,ARG1,AXL,BAX,C3,CAND2,CASP2,CASP4,CBFA2T3,CCL20,CCND2,CD274,CDK2,CEACAM1,DPP4,DUOX2,EBI3,EPSTI1,FCER1G,FOS,GBP4,GBP5,HAPLN3,HERC6,IDO1,IFI44,IFIT1,IFITM1,IFITM2,IFITM3,IL18,IL1B,IL1R2,IL33,JUN,LCN2,LPL,MMP1,MMP3,MMP9,MUC4,OAS2,OAS3,PDGFRB,PLIN2,PLSCR1,PRKCE,PSMB9,PSME2,PTGS2,RNF213,RTP4,RUNX1,SELL,SERPINB4,SLC8A1,SLFN5,SMAGP,TGFB1,THBS4,TLR8,TNC,TNFRSF10B,TP53,XAF1"	827 (17)
NFAT5	 	transcription regulator	Activated	2.36	0.0319	"ACTN1,ACTN2,C1QTNF5,C2,CLIC3,CXCL16,CYBB,DAXX,HLA-DQB1,IL1B,IL1RN,IL23R,LCN2,MUC2,MYLK,PLIN2,POLA1,RFC2,RPS7,RRM2,SEMA4C,SLC6A6,TNC,TNFRSF21,TRAF1"	 
EPAS1	 	transcription regulator	Activated	2.738	0.0000233	"ABCF2,ABCG2,ACACA,ACP5,ALDOC,ARG1,ARG2,AXL,CA9,CD274,CEBPB,CEMIP,CKB,CXCL12,CYP51A1,ENO1,FABP4,FHL1,FLT1,FOS,GCHFR,GPT2,IFNGR1,IGFBP5,IRS2,ITGA2B,LDHA,LDLR,LOX,LOXL2,LPL,MMP3,MYH4,MYO7A,NCOA4,PAN2,PFKFB3,PKIB,PLIN2,PLOD2,RB1CC1,SCAP,SLC11A2,SLC2A1,SLC2A3,SLC7A5,TGFB1,TP53,UGP2,UNG"	702 (9)
REL	 	transcription regulator	Activated	4.61	0.00514	"ANLN,AP5Z1,APLF,ARFGAP3,ATP11A,BCL3,CCL20,CCND2,CCNY,CD59,CTU2,DGCR2,DHFR,E2F3,EVI5,EZH2,FADS2,FOS,FOXO3,GPT2,HLA-A,ICOSLG/LOC102723996,IL18,IL1B,IL32,JUN,KPNA3,MAFG,MAPKBP1,MINPP1,MMP9,PHIP,RAP2A,SLC7A6,SORBS1,TNFRSF10A,TNFRSF10B,TNFRSF10C,TTK"	 
STAT4	3.924	transcription regulator	Activated	4.346	0.00959	"ACP6,ALDOC,ARFGAP3,ARL5B,ARMCX1,ATG12,BCL3,C3,CDK2,DAP,DNAJB6,EBI3,FBXL12,FCER1G,FYB1,FZD7,GTF2E2,HLA-DQB1,INTS12,KDELR2,LTBP3,MAGED1,MUC2,PCGF5,PEX13,PLOD2,R3HDM1,RCN3,SCG5,SERPINB5,SH3BP4,SLC2A3,SUN1,SUPT3H,TAF15,TPD52,UNC13D"	 
