	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	Bonferonni_global	BY_global	BH_global
1	AAGAB	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.841459962	0.81752939	0	0	794704.552	795596.0185	1.702099893	0	0	0	0
2	AAGAB	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.841459962	0.81752939	0	0	465213.1441	465464.8056	1.702099893	0	0	0	0
3	AARS	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.460931379	0.391052113	0	0	757357.8556	758685.8645	0.383534582	0	0	0	0
4	AASDH	"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter sp. JS3051"	0.45103732	0.422642699	0	0	-26239.07484	-24976.41058	2.631638381	0	0	0	0
6	ABCD4	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.331467683	0.30880557	0	0	-751341.3649	-734901.2731	4.710185298	0	0	0	0
7	ABCG1	"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius"	0.379150404	0.298669901	0	0	-157713.4647	-156102.9503	4.609281261	0	0	0	0
12	ABLIM2	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.535990658	0.455681349	0	0	2417.947477	2532.706036	0.964891879	0	0	0	0
14	ACAA2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.56687005	0.552187679	0	0	-179587.4515	-177907.2914	3.186057949	0	0	0	0
15	ACAA2	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.56687005	0.552187679	0	0	-829198.6207	-817984.3617	3.186057949	0	0	0	0
17	ACAP3	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida orthopsilosis"	0.405676919	0.352612358	0	0	3290211.58	3308317.92	4.250967546	0	0	0	0
18	ACAT1	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.258566072	0.206535621	0	0	39365.50139	41700.16306	0.668894626	0	0	0	0
22	ACSL3	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae"	0.388511065	0.333913838	0	0	-70844.56423	-69692.21546	0.633262845	0	0	0	0
23	ACSL5	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae"	0.313851532	0.210281951	0	0	-999.1970065	-926.918824	0.48341481	0	0	0	0
24	ACSL6	"Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium venenatum"	0.418387173	0.388303751	0	0	-127913.8984	-123015.2496	2.433101821	0	0	0	0
29	ACTR3	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides"	0.177131986	0.103661627	0	0	-757.757386	-741.3164495	0.496899321	0	0	0	0
30	ACTR6	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.445761855	0.436524553	0	0	-2121238.382	-2109528.764	3.381787351	0	0	0	0
32	ADAM28	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii"	0.37148603	0.361010798	0	0	-7534.711927	-7421.656602	4.130412683	0	0	0	0
35	ADH1C	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis"	0.968466671	0.916368129	0	0	-4332.475655	-4305.954876	0.628882501	0	0	0	0
40	AGFG2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.056266429	0.040537537	0	0	29707.81358	30989.69401	2.430807171	0	0	0	0
41	AGR3	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides"	0.995642853	0.991140468	0	0	23132.47568	23142.85131	0.313585734	0	0	0	0
42	AGR3	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.995642853	0.991140468	0	0	277730.8397	277895.0787	0.313585734	0	0	0	0
43	AGXT	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium"	0.560890388	0.45335334	0	0	23312.95284	23784.7585	6.014703269	0	0	0	0
44	AHCYL2	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium"	0.852571781	0.808656992	0	0	156613.7993	156640.3519	0.332545052	0	0	0	0
48	AK3	"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii"	0.538040561	0.424907638	0	0	22122.43896	22284.10345	0.465356422	0	0	0	0
49	AK4	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis"	0.591837202	0.530227723	0	0	12371.32709	12405.98804	0.819219705	0	0	0	0
51	AKAP5	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.744047752	0.716125688	0	0	-24210.84626	-23030.34743	2.211918842	0	0	0	0
57	ALDH1L2	"Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae"	0.43087628	0.357100983	0	0	-12402.24559	-11882.81029	0.958421616	0	0	0	0
60	ALDH9A1	"Bacteria,Proteobacteria,Deltaproteobacteria"	0.252709271	0.227377382	0	0	56464.19567	56827.72519	0.526450255	0	0	0	0
61	ALDOA	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii"	0.485312679	0.407624027	0	0	11476.74119	11667.86732	6.982685489	0	0	0	0
68	AMY1A	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae"	0.781102556	0.715899063	0	0	-524481.4473	-516558.8658	3.729620705	0	0	0	0
72	ANKRD13D	"Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus_A,Methanomassiliicoccus_A intestinalis"	0.317180562	0.228666931	0	0	-18044088.12	-18022340.59	7.526594146	0	0	0	0
74	ANO1	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida orthopsilosis"	0.425183122	0.395451215	0	0	-3297089.596	-3274896.501	5.350978351	0	0	0	0
75	ANTXR1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis"	0.334751992	0.262179483	0	0	79802.31917	81980.36565	6.621476788	0	0	0	0
77	AP1B1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.304545244	0.280970507	0	0	21883.59263	22144.58564	0.498320626	0	0	0	0
83	APEX1	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.522856896	0.480254833	0	0	-118825.3294	-117121.8856	0.488046905	0	0	0	0
84	APOA2	"Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli"	0.101189216	0.054699003	0	0	-260.7411099	-246.2392946	0.773800104	0	0	0	0
88	APOL4	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.199982892	0.186649274	0	0	-10396.77898	-9587.53201	6.718129446	0	0	0	0
89	APRT	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea longicatena"	0.422328025	0.381789641	0	0	-29478.51609	-29322.54172	0.47111393	0	0	0	0
91	AQP8	"Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales"	0.610555132	0.494550278	0	0	1844634.712	1851801.253	7.062784813	0	0	0	0
96	ARG1	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,Faecalibacillus intestinalis"	0.353734031	0.342962931	0	0	254497.5062	255800.919	5.183557809	0	0	0	0
97	ARHGAP15	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,Faecalibacillus intestinalis"	0.329545976	0.318371742	0	0	130591.0869	131796.1109	4.740095892	0	0	0	0
102	ARID3B	"Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium faecium"	0.426379775	0.327099351	0	0	1144620.469	1149657.188	7.401021426	0	0	0	0
103	ARL14EP	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.610404843	0.567903553	0	0	137420.9084	137679.6345	2.147867265	0	0	0	0
106	ARMCX1	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium"	0.388165465	0.367425312	0	0	-15840.81613	-15548.8182	3.722466841	0	0	0	0
107	ASAH2	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii"	0.677326914	0.589936287	0	0	-617485.5485	-609740.6538	4.842105803	0	0	0	0
108	ASAP1	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.486398637	0.373406337	0	0	-53378.84284	-51288.79648	0.618382019	0	0	0	0
109	ASAP3	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.530215471	0.497248135	0	0	307798.7423	326003.6435	5.126903661	0	0	0	0
112	ATF6	"Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales"	0.358168548	0.274968174	0	0	-60930.67393	-55055.96508	5.789655629	0	0	0	0
115	ATG101	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium"	0.329251301	0.318072156	0	0	50724.29479	51134.43516	5.199314518	0	0	0	0
118	ATP1A2	"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis"	0.302742458	0.266677413	0	0	113321.9052	115723.8211	7.194535995	0	0	0	0
121	ATP6V0D2	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum"	0.847799	0.817955666	0	0	143797.5207	145202.3648	2.55819414	0	0	0	0
122	ATP7A	"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa"	0.30807991	0.27229094	0	0	31784.90109	32014.85121	0.776494991	0	0	0	0
124	ATP9B	"Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii"	0.185820981	0.172251331	0	0	563156.152	568241.9708	6.450960113	0	0	0	0
125	ATP9B	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.185820981	0.172251331	0	0	2328551.391	2350888.184	6.450960113	0	0	0	0
128	ATXN2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.735263794	0.670430437	0	0	-51013.84152	-50941.33725	0.485558931	0	0	0	0
129	B3GNT2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.608021537	0.594734132	0	0	-118777.2002	-117103.6442	3.195363118	0	0	0	0
130	B3GNT2	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.608021537	0.594734132	0	0	-11403539.33	-11392386.47	3.195363118	0	0	0	0
138	BCHE	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae"	0.876899056	0.849816848	0	0	-768263.365	-763377.9847	2.250859242	0	0	0	0
140	BCL11B	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae"	0.225849382	0.171523023	0	0	-288483.4095	-275335.8996	7.145301675	0	0	0	0
145	BHMT	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus"	0.779921394	0.755912819	0	0	-3311.808376	-3244.754198	1.502929519	0	0	0	0
147	BMS1	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.407324429	0.291113533	0	0	506001.4007	509462.3431	0.999534763	0	0	0	0
152	BTF3	"Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A smithii_A"	0.280690565	0.268702074	0	0	2801083.857	2815324.398	5.041361753	0	0	0	0
155	BTNL8	"Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia grisea"	0.122120627	0.092362004	0	0	619393.0703	634675.7241	7.873590376	0	0	0	0
157	C11orf96	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium"	0.186000044	0.172433378	0	0	963.8737701	1028.30476	2.354321345	0	0	0	0
159	C12orf45	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,Faecalibacillus intestinalis"	0.602660893	0.559314809	0	0	29873.73765	30756.65272	3.505489727	0	0	0	0
160	C15orf40	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.503305941	0.495027706	0	0	62986.26246	64911.77213	3.651309908	0	0	0	0
161	C15orf40	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia hominis"	0.503305941	0.495027706	0	0	213223.7678	214733.7062	3.651309908	0	0	0	0
163	C18orf25	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.340204395	0.329207802	0	0	988364.351	990442.0708	4.071555566	0	0	0	0
168	C1orf43	"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Diaphorobacter sp. JS3051"	0.117149985	0.071485329	0	0	38157.81551	42003.48238	8.290672706	0	0	0	0
170	C5orf30	"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa"	0.157658672	0.114089293	0	0	-499727.7871	-497619.2631	7.120058547	0	0	0	0
171	C6orf136	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii"	0.67811679	0.590940087	0	0	341259.6988	344509.197	4.846108488	0	0	0	0
173	C7orf43	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.360266727	0.349604506	0	0	-180326.6422	-179481.9405	5.656941677	0	0	0	0
176	C8B	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.228054955	0.173883372	0	0	-19666.42889	-19115.80136	1.051327203	0	0	0	0
187	CADM1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii"	0.548451091	0.540925276	0	0	1939.468586	2000.437857	2.227477859	0	0	0	0
189	CADM3	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis"	0.65698296	0.545129577	0	0	22710.30926	22924.53679	5.079939084	0	0	0	0
193	CAMLG	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.432916071	0.423464673	0	0	-1336370.752	-1324010.572	3.541266186	0	0	0	0
197	CAPS	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii"	0.520708005	0.504460819	0	0	2481630.544	2484968.161	5.030943843	0	0	0	0
198	CASTOR2	"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae"	0.398513664	0.29441026	0	0	-55516.76132	-52296.66857	6.089166888	0	0	0	0
200	CBFB	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia hominis"	0.706726279	0.686145667	0	0	-1493053.941	-1491900.943	2.788163078	0	0	0	0
201	CBFB	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.706726279	0.686145667	0	0	-619947.7501	-610133.9981	2.788163078	0	0	0	0
202	CBWD2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.614032539	0.607599748	0	0	37969.94936	39418.92877	2.747674013	0	0	0	0
209	CCDC61	"Archaea,Euryarchaeota,Methanomicrobia"	0.530449498	0.522623656	0	0	-13627354.38	-13600243.29	4.181027314	0	0	0	0
210	CCDC8	"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. NIC1"	0.261531558	0.165804167	0	0	669385.7686	676581.6682	7.595965392	0	0	0	0
211	CCDC84	"Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Roseolovirus,Human betaherpesvirus 7"	0.389361319	0.310204453	0	0	-113910.8655	-113133.8135	4.971187036	0	0	0	0
214	CCND2	"Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter"	0.671339627	0.614456101	0	0	-2432524.984	-2419108.572	6.045846874	0	0	0	0
215	CCND2	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales"	0.671339627	0.614456101	0	0	-2505.418008	-2258.619872	6.045846874	0	0	0	0
217	CCT2	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.613165112	0.570964942	0	0	-139097.442	-138016.4602	0.307115324	0	0	0	0
222	CD44	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia hominis"	0.361603331	0.291960058	0	0	8744.984798	8922.644447	0.429613845	0	0	0	0
223	CD44	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium"	0.361603331	0.291960058	0	0	1986.540094	2020.63181	0.429613845	0	0	0	0
228	CDC37	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.188486646	0.174961423	0	0	11233.10307	12158.09001	6.374521327	0	0	0	0
230	CDH1	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.565365153	0.480142634	0	0	-262545.6553	-261003.7404	0.441767921	0	0	0	0
231	CDH5	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.250318244	0.237823548	0	0	-149891.0211	-147643.3112	4.320445595	0	0	0	0
232	CDHR2	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.354114732	0.343349978	0	0	302004.5423	313328.4432	3.270390362	0	0	0	0
238	CDKN1B	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora blattae"	0.235884363	0.209982138	0	0	80185.5346	82180.60007	0.732316875	0	0	0	0
244	CEP131	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.658572969	0.607036813	0	0	193906.5782	205752.0388	3.365387256	0	0	0	0
245	CEP192	"Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5"	0.51770577	0.492759517	0	0	903085.3231	903947.4926	4.278936261	0	0	0	0
250	CFAP410	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.572994409	0.56587765	0	0	504509.0947	506477.5292	3.758382335	0	0	0	0
251	CFAP410	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.572994409	0.56587765	0	0	-1419689.549	-1406571.562	3.758382335	0	0	0	0
253	CGAS	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.313373524	0.301929749	0	0	-67858.09371	-65092.021	5.281333256	0	0	0	0
264	CLCA1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii"	0.474186481	0.416825006	0	0	29680.69352	30624.28951	1.407222968	0	0	0	0
265	CLCA4	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii"	0.609083062	0.513348301	0	0	317031.568	317952.6619	1.402670181	0	0	0	0
266	CLCA4	"Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii"	0.609083062	0.513348301	0	0	-117405.5065	-116955.1762	1.402670181	0	0	0	0
270	CLEC11A	"Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Roseolovirus,Human betaherpesvirus 7"	0.41338695	0.349392799	0	0	19790.5081	20402.12383	3.871921617	0	0	0	0
