	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	Bonferonni_global	BY_global	BH_global
3	ABCA2	"Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae"	0.219377275	0.049676682	0	0	1114563.51	1121567.81	7.945994176	0	0	0	0
4	ABCC1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.601443239	0.49274594	0	0	2184717.411	2184862.705	0.531367828	0	0	0	0
5	ABHD5	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans"	0.575559067	0.542909764	0	0	45137065.41	45826281.41	5.468480139	0	0	0	0
6	ABI3BP	"Archaea,Euryarchaeota,Halobacteria"	0.454208647	0.388713684	0	0	-23443840.15	-23251054.52	1.943322452	0	0	0	0
7	ABI3BP	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis"	0.454208647	0.388713684	0	0	-75338.24893	-75251.30803	1.943322452	0	0	0	0
11	ACBD5	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Vescimonas,Vescimonas coprocola"	0.514039949	0.496041428	0	0	1622325.331	1622739.333	0.653039534	0	0	0	0
12	ACSF3	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium"	0.349442268	0.299399365	0	0	-1691450.511	-1690510.132	7.917445912	0	0	0	0
13	ACSL4	"Bacteria,Proteobacteria"	0.228780011	0.200216308	0	0	-12057.55717	-12035.41114	1.094208908	0	0	0	0
15	ADGRE1	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii"	0.548883624	0.450814847	0	0	1250771.477	1384641.065	4.876236249	0	0	0	0
17	AGRN	"Bacteria,Firmicutes"	0.810209741	0.734293638	0	0	4063.068819	4072.548091	0.422897515	0	0	0	0
20	ALKBH4	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. ZJ-18"	0.509595404	0.491432271	0	0	-1036452.836	-1030027.776	5.905219348	0	0	0	0
21	ALOX15B	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae"	0.466900852	0.351009733	0	0	709221.2423	712727.1288	5.699144176	0	0	0	0
24	ANKRD22	"Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae"	0.241804278	0.213722955	0	0	20000005.2	20006872.67	7.69434173	0	0	0	0
27	APBB1IP	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica"	0.461602695	0.420187518	0	0	35226273.82	35236789.89	0.684741758	0	0	0	0
29	APRT	"Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae"	0.784349328	0.712465771	0	0	16102855.38	16103239	0.434310697	0	0	0	0
30	ARF3	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium"	0.355201876	0.277826101	0	0	8602115.485	8606404.314	8.723076165	0	0	0	0
32	ARHGAP21	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii"	0.943982098	0.934645782	0	0	173241968.2	173429311.2	0.923217918	0	0	0	0
34	ASAP1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus catus"	0.334493348	0.189817988	0	0	-13742.30812	-13353.09968	0.823356321	0	0	0	0
37	ATP2B4	"Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae"	0.600669846	0.53411482	0	0	-1699888.525	-1699314.261	0.648988874	0	0	0	0
38	ATP6V0D1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis"	0.722053809	0.661630723	0	0	17841.89444	17857.51651	0.348280173	0	0	0	0
39	ATP6V1G1	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum"	0.489752843	0.4708548	0	0	116776.3755	120124.6458	6.619638459	0	0	0	0
42	AUP1	"Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula"	0.557227548	0.523168129	0	0	-1077650.247	-1076474.323	0.627111702	0	0	0	0
46	BAHCC1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.692330777	0.668663914	0	0	87628.86406	88983.44459	4.953974741	0	0	0	0
47	BANP	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica"	0.576415419	0.484331815	0	0	-525444313.4	-525368366.8	4.944093508	0	0	0	0
48	BAX	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum"	0.612978336	0.583207439	0	0	10605232.54	10608621.96	6.747653674	0	0	0	0
52	BCL11B	"Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis"	0.600926033	0.514170823	0	0	389363.2431	394512.8859	5.343951321	0	0	0	0
56	BICDL2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas endodontalis"	0.863299284	0.858236295	0	0	378969.1925	379542.1254	1.843469511	0	0	0	0
57	BLVRA	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum"	0.678009045	0.570678726	0	0	-481345.1007	-481059.7813	0.568014306	0	0	0	0
59	C17orf75	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens"	0.288878747	0.170358538	0	0	-288901.8859	-288435.589	0.772555889	0	0	0	0
