Term	group	Group	id	Database	ID	Inputnumber	Backgroundnumber	P.Value	CorrectedP.Value	Input	Hyperlink	i	Database.y	ID.y	Inputnumber.y	Backgroundnumber.y	P.Value.y	CorrectedP.Value.y	Input.y	Hyperlink.y	id	Database	ID	Inputnumber	Backgroundnumber	P.Value	CorrectedP.Value	Input	Hyperlink
nucleoplasm	A Early Advanced	A	gene_taxa_component_7	Gene Ontology	GO:0005654	245	3630	6.48E-56	1.23E-52	TRMT112|AAAS|NBR1|ADPRHL2|SUMO1|CDKN2AIP|SUMO2|P4HA2|AKT2|UBQLN4|POLR3A|CWC27|TUBGCP2|CIAO2A|NDUFAB1|SMAP2|OARD1|MAP3K2|SUPT5H|MPP7|CCDC91|FBXO7|GRWD1|CWC15|MAGI1|PHC2|WDR61|NOL11|METTL14|PIP4K2B|H2BFS|DDX49|ATM|TMUB1|YTHDC1|WIPI2|ALOX5|CAMK2G|SH3GLB2|NELFA|PIK3C2A|BRD8|CHERP|SMARCD1|GMIP|URI1|ATG2B|CSNK2A2|BRD2|UBR4|SDE2|OSBPL11|WDR55|GTF2F1|ARID1A|RFX1|DDX46|AHR|ZGPAT|KPNA2|RNF7|ELP2|RPS2|INTS2|SKAP2|COPS3|MED23|RASSF2|PSMB5|PUM3|PDLIM7|NHP2|EXOSC2|EED|ACSL5|EXOSC7|DHX36|EXOSC5|CHD1|WDR43|XPO6|TNRC18|SCAF11|VPS37A|DDX55|GTF2B|RPL26|RRM2B|DMAP1|SRSF10|VTA1|SIRT3|RPRD1A|SMAP|MIER1|PSMB8|UBE2E1|RNF40|UBA7|RECQL|ECSIT|RBX1|RBM12B|BLVRB|ANAPC5|ANAPC4|PHF23|STAT2|TAF6|RPS6KA3|TNFAIP8|RNASEH2B|PSMB3|PHAX|PSMD10|DNAJC2|PSMB2|YAP1|WDR36|RBM22|IPO8|MEF2D|BUD31|PHF5A|MSRA|CSNK2A1|TBC1D2|NUTF2|ASNA1|CIAO2B|TLE3|CIRBP|RPP30|UBL4A|RTCA|ANAPC1|POLE|TAF10|POLB|RHOT2|ARRB1|NPLOC4|TRIM56|DOCK10|MCTP2|USF2|TIMMDC1|GNL3L|INTS14|POLDIP2|HNRNPR|WDR26|TRIM33|POLD2|POLD3|SAP30BP|PSMA7|TRAPPC12|C2|NFKB2|NMNAT1|SUGP2|MORF4L2|POLR3D|SPATS2L|RPS23|RPS6KA1|SMNDC1|RPS5|RCL1|MRPS18B|MED24|DDX20|WDR3|WAPL|TRIM65|RPS6KA5|FHOD1|AGTRAP|LTV1|PLXNA1|TFIP11|GEMIN4|STX6|STAT5A|EXOSC9|PRKACA|BABAM2|GABPA|PSMB4|TRNT1|XAB2|LAGE3|ZNF318|PSMD6|MGLL|DCAF13|DCAF10|GTF2A1|EXOSC3|NIP7|TXNL4A|TIA1|DRG2|NTMT1|SOD1|MLH1|COG5|PSMC4|EYA3|MFSD8|ALKBH5|INTS7|UTP20|RRAGC|COPE|TECPR1|SNRPB2|ORC5|AP5Z1|GTF2H4|USP12|KDM3B|USP10|WBP11|ASCC2|MPHOSPH10|DDX23|DPH1|DIS3|CASP3|RBM19|PCDH1|XIAP|RFC4|RPA2|ITPA|PDK2|DCAF7|ADH1B|ACBD5|DKC1|ILF2|SLC4A1AP|TERF2IP	http://amigo.geneontology.org/amigo/term/GO:0005654																		
metabolism	A Early Advanced	A	gene_taxa_component_7	Reactome	R-HSA-1430728	161	2075	2.83E-42	3.23E-39	TRMT112|PGM2L1|PTGS1|MAN2B2|NDUFB9|SUMO2|AAAS|NDUFB1|DHCR7|RPL32|PI4K2A|PYCR2|PLIN2|PLIN3|NDUFAB1|SGPL1|PPT1|PFKM|GNG12|KHK|MTMR6|ASRGL1|NUP210|PIP4K2B|NDUFB4|SP1|ALOX5|PTGR2|SEC24D|PIK3C2A|ACOT11|OSBPL2|OSBPL3|PIK3C3|CSNK2A2|CSNK2A1|PTGES2|NUP54|RPS5|ACSL5|PPIP5K2|GNG5|FDX2|STARD7|RPS2|INPP5K|NSDHL|RPL27A|SLC7A5|MED24|CIAO1|CIAO3|TST|CHKB|AHR|RIDA|RRM2B|ACSF2|ITPK1|ISCA2|PARP4|SEC24B|NAXD|PDP1|ECSIT|RFT1|BLVRB|AKR7A2|AKR7A3|ALDH4A1|MTHFD2|GNAS|ATP5F1D|MMAA|ATP5F1A|TKFC|NUBP2|MAOB|NUBP1|AASDHPPT|NADK|AGPS|CIAO2B|LCLAT1|RPLP0|NDUFAF7|NDUFB11|PPA1|CTH|TIMMDC1|TECR|DHFR|PSMA7|NMNAT1|MED23|GNAQ|NDUFA2|RPS23|SHPK|NUP107|SULT1A4|TPMT|GALE|GALC|SLC27A3|TNFAIP8|ADH6|PSPH|ATP5PD|AGPAT5|PRKACA|AGPAT2|PSMB8|CPN2|PSMB5|PSMB4|PSMB3|PSMB2|NRF1|PPP2R1B|IDO1|ARL1|HS2ST1|PSMD6|MGLL|PSMD10|AGRN|RPL28|RPL26|ITPA|HSD17B8|LPCAT4|RPIA|LPCAT1|ATP5MG|ATP5MF|PSMC4|NOS3|MAT2A|NDUFS6|CA12|GGT7|GLRX|IMPDH1|CYB5A|VAMP2|MTM1|ARSA|RPL15|RPL35|CEPT1|IMPA2|RPL31|PDK3|PDK2|COQ9|ADH1B|ACBD5|GNA11|ABCC1|COQ3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728																		
rna binding	A Early Advanced	A	gene_taxa_component_7	Gene Ontology	GO:0003723	119	1366	2.62E-35	1.86E-32	SUMO1|CDKN2AIP|SUMO2|RARS2|SUPT5H|GRWD1|NOL11|IREB2|RPLP0|WDR3|MRPS9|RPL15|CHERP|TFB1M|CWC15|DDX49|GTF2F1|DDX41|DDX46|KPNA2|TRIP6|SRSF10|MRPL21|TRIM32|RPL27A|DNAJC21|MYO18A|EXOSC9|NHP2|EXOSC2|EXOSC3|EXOSC7|DHX36|EXOSC5|WDR43|CSDE1|DDX56|RIDA|DDX55|CISD2|MRPL11|DSP|PLEC|RPUSD2|MRPL1|ACO1|MRPS24|PHAX|ATP5F1A|DNAJC2|RBM27|WDR36|RBM22|UTP20|PHF5A|ZC3H7B|ALKBH5|BAG4|CIRBP|RPP30|FAM120A|RBM12B|RPS5|RPS2|YTHDF2|FLNB|TRIM56|FASTKD5|GNL3L|FASTKD1|HNRNPR|C2|RBM19|SUGP2|PATL1|SPATS2L|RPS23|SMNDC1|WBP11|DIS3|NOL8|SNRPGP15|NOL7|UNK|YTHDC1|PUM3|RTCA|ABT1|RPL7L1|PPIA|RBM6|DCAF13|MRPS11|NIP7|TIA1|DRG2|RPL28|RPL26|IMPDH1|EIF4E2|OTUD4|KRI1|ZC3H7A|SCAF11|USP10|GTPBP1|MPHOSPH10|CTNNA1|DDX23|DDX20|DDX27|ACTN4|PRPF38B|RPL35|RPL32|RPL31|DKC1|SERPINH1|ILF2	http://amigo.geneontology.org/amigo/term/GO:0003723																		
nucleoplasm	A Early Advanced	Early	gene_taxa_component_3	Gene Ontology	GO:0005654	110	3630	1.03E-29	1.93E-26	UBL5|WASHC5|POLR3F|POLR3D|USP28|TMEM173|SNRNP200|SMG1|HDAC6|KDM2A|METTL17|CCDC86|ZNF207|TDRD3|NARS2|SAFB|TRIM22|HELZ2|THOC7|THOC5|PTMA|POLE|MPIG6B|OSBP|CTCF|CENPC|NFATC2|NCAPG2|SYF2|FOXK2|NR3C1|RFX1|EXOSC8|EXOSC3|RNGTT|EXOSC5|CHD1|CHD4|CETN2|TRIAP1|RBM34|EIF3L|SLC35A2|ANXA13|NCOA2|PLCB3|SIRT6|UBE2E3|PTPN2|POLR2I|VCP|GINS4|CDC27|ZC3H4|PQBP1|CAMKK2|MEF2D|ASCC1|NSD2|SNX27|NUP88|POLA2|TCERG1|RPS5|NCOR2|MCTP2|EHMT1|TCF20|MORF4L2|SGPP1|WTAP|UGDH|RXRB|IGF2BP3|DBR1|CDS1|NSMCE1|MCMBP|CIZ1|SRCAP|MORC3|POLA1|SF3B1|KDF1|RPRD1A|MRPS15|GTF2A2|MED8|CAD|CPNE3|MLLT1|TRMT10C|PSMC1|ASF1A|ASF1B|MTA3|CDC5L|HEATR1|GTF2H2|PKN2|CASC3|MCM5|HIST1H3A|ATN1|DENND1A|E2F4|NUP35|CSTF3|EMG1|WIPF2	http://amigo.geneontology.org/amigo/term/GO:0005654																		
metabolism	A Early Advanced	Early	gene_taxa_component_7	Reactome	R-HSA-1430728	70	2075	4.07E-17	2.14E-14	PPP2R1A|EPHX2|RPS10|MAN2B2|MPC1|AMPD3|AGXT|SUMO2|PRKAA2|SERINC3|PRSS1|RBKS|RRM2|VDAC1|UQCRB|APOA2|HSCB|TXN|PGD|SLC37A1|PNPLA2|RAN|PPT1|RIDA|PFKP|CTRC|TKT|MED13|RPE|LPCAT1|NUP214|PYGL|SGPP2|PFAS|SULT1C2|ST3GAL1|SLC6A8|UMPS|MT-CYB|CYP4V2|PCYT2|PSME1|GYS1|FXN|MVD|BPHL|ALDH7A1|RPS4X|ITPR1|GNS|PCYT1A|PLA2G15|SDHB|PTGES3|PNP|SDC2|HEXB|PMVK|GLUL|NDUFAF5|PRKD1|ECHS1|GSTP1|NDUFS6|PTGES2|CHAC2|PSMB6|MMAB|COX7C|NEU3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728																		
rna binding	A Early Advanced	Early	gene_taxa_component_2	Gene Ontology	GO:0003723	28	1366	8.85E-06	0.00087515	RBM6|FAM208A|LRPPRC|AKAP8|KHDRBS1|DNM1|DHX32|MANF|DHX35|PEG10|WDR43|SMG1|MRPS30|PARP12|UTP11|SKIV2L|SAP18|LSM14B|SRP19|NIFK|AKAP17A|UTP15|PRPF4B|RBM12B|THOC6|SNW1|CSTF1|PNN	http://amigo.geneontology.org/amigo/term/GO:0003723																		
nucleoplasm	A Early Advanced	Advanced	gene_taxa_component_4	Gene Ontology	GO:0005654	290	3630	3.76E-57	6.42E-54	TM2D1|CRKL|PLK1|CENPX|TRMT61A|SETD1A|PRPF8|RBM4B|SETD1B|POLR2A|TNRC6B|IKBKE|PDCD11|PRPF3|CCNT2|KIF2A|TMEM173|MAFF|MAFG|DGCR8|SIN3A|DDX39B|UBLCP1|DEFA6|STUB1|HIF1AN|COPRS|ANAPC16|CIAPIN1|CCDC91|NPAT|OAS2|ROR1|HDAC8|UFD1|GLO1|CUL1|LUC7L3|ALKBH1|ARHGEF40|CAMK2D|RFFL|JMJD1C|TRIM21|ILK|TSPAN2|NKRF|RAD50|SNU13|GMIP|PSMC4|FEM1B|TDP1|UBR5|TBL1XR1|STXBP1|PSRC1|UBXN7|PCGF5|CSPG4|LIN9|AP5S1|PTPN13|ARID1B|DHODH|CCND2|TNIK|RAI14|GSK3B|FOXA1|GRB2|PLEKHA1|MAX|HDAC10|RNMT|KDM5C|TSN|NFATC1|NFATC2|MED10|MSL3|KDELC1|PPWD1|ANO1|HABP4|POLR1A|TRAPPC2|MED6|RNH1|CCAR1|MAPKAPK5|APOBEC3B|NUDT21|CCT8|SRSF6|MAML2|ABCF1|SRSF2|NONO|GLDC|KHSRP|TIMELESS|USP22|CMAS|ATRIP|FOXA2|UBXN8|DHRS2|CTNNBL1|SAPCD2|VTA1|HNMT|CHEK1|NOLC1|TXNRD3|PDLIM7|CLNS1A|NXF2|GBP2|MED31|NCAPD3|PTPN9|TRDMT1|RSF1|SMYD2|UBA1|ITPR2|PTPN2|HIST1H2BN|GTF2H4|CMTR1|ANAPC7|SMAGP|ZC3H8|ASPSCR1|LMNB1|PSIP1|DDR2|ESRRA|SAFB2|PPP1R9B|U2AF1L5|GIT2|RNPC3|STK39|CYB5RL|AGO1|ATXN1|SERGEF|ASNA1|FAAP100|IYD|MPP7|SEC14L1|SMAD1|SMAD2|FAM76A|RPS7|C12orf10|DARS2|SFMBT1|GON4L|REL|GMNN|CBX6|GPKOW|TRIP12|RAB8B|DHX16|BRF1|RBM8A|NCOA5|CKS1B|SS18L1|IFI16|HNF1B|HNRNPL|ETHE1|PPP1R12B|PML|PSMA6|RTF1|DUSP6|SLC35C2|C6|RANBP3|PUS1|NFKBIA|SH3RF2|RPS20|MECP2|U2SURP|TPR|HMGA1|GGA1|AGAP2|MSH6|TSEN54|SYNE1|RAD51B|FSCN1|RACK1|RAB11FIP3|CAMKMT|GEMIN8|SNRNP70|DPH6|GTF2H5|MTF2|GEMIN7|SETDB1|EZH2|FOXP1|DUSP3|CXXC5|MARS|POLR3E|PRKACB|WIZ|UTP6|RBM5|SRRM2|PSMD8|DTX2|CUTC|PSMD5|ERCC1|CRNKL1|PRKAA1|VHL|DCAF10|MCL1|RAD52|CPSF7|TXNL4A|CPSF4|CPSF3|DERA|FKRP|PTPN23|PPIH|ELAC1|AQR|CGGBP1|UBQLN1|MLLT3|MAPKAP1|PRMT2|KDM4A|ETS1|KLF3|DAPK3|XPA|MAD2L1BP|INTS2|NR3C1|SMARCB1|COPE|MLXIPL|TNKS|TPP2|KPNB1|SRSF7|REST|ABHD14B|BRAT1|KYNU|PPP6R3|LMNA|NPM3|NFIA|E2F3|SLC40A1|OLR1|MPIG6B|TOP3A|MEAF6|RUVBL2|DXO|CMTM8|CUL4B|DNAJC8|DCAF6|MBD3|GORAB|STK4|PPP2R5C|YLPM1|ADAR|ATF2	http://amigo.geneontology.org/amigo/term/GO:0005654																		
metabolism	A Early Advanced	Advanced	gene_taxa_component_2	Reactome	R-HSA-1430728	189	2075	3.02E-53	4.87E-50	PCK2|MT-CO2|MT-CO3|RAB4A|GPAT4|NDUFB2|PTDSS1|HADHB|ACADVL|ASS1|UGP2|CAV1|MT-ND1|GPS2|MT-ND6|CKB|MMADHC|INPP4B|NAALAD2|TCN1|EEFSEC|NNT|FMO3|ENTPD5|OGDH|EXT2|SNAP25|MTM1|IDH1|PCYT2|ENPP2|ETFDH|APRT|SLC25A20|RPL10|NUPL2|DBH|PLD1|CSPG4|PLD3|PTGES3|ALDH1L2|PSME2|PSMC5|PPP2CA|PLEKHA6|NDUFB8|STARD3|MMAB|OSBP|ACADS|MED21|PTPMT1|MED25|SERINC3|UROS|MGST2|AKR1A1|MMS19|HMOX1|ECHS1|MT-ND2|NDUFS7|TKT|PLCH1|PNPLA8|HNMT|B4GALT7|TXNRD1|PRKAB2|CA13|ACSF2|PGM1|DLAT|ACO2|UBE2I|HACD3|MTHFD2|LGMN|GNAS|PSMD11|ATP5F1A|ATP5F1B|COX18|MAOB|NAPRT|NNMT|CRLS1|GPD1L|IVD|AASDHPPT|MSMO1|ACP5|PLCZ1|IDS|RAP1A|PRKAR2A|ATP5MG|MBOAT7|FABP1|VDAC1|GNAI2|LUM|AKR1C2|NCOA3|ASPG|CTPS1|ARF3|ARF1|PSMA3|PSMD4|MECR|NMNAT1|HMGCS1|ETFB|MTMR10|UGDH|SEPHS2|NAGLU|GNB1|RPS28|GNB2|TXN2|PRKAR1A|CS|GLCE|AKR1B1|GNAQ|AGL|MED27|ADH5|ARNT|GSTM4|GSTM5|ALDH2|AK4|SQOR|COX7C|OCRL|RPS10|PSMD9|FABP6|NDUFA7|PSMD5|DCXR|RPS19|PRKAA2|CYCS|PRSS3|PDHA1|UGT1A6|IQGAP1|GCHFR|IDH3A|IDH3G|NDUFS1|DDHD1|HADHA|GCLC|ACSS3|SELENOI|NDUFS3|ETNK1|ENPP7|MED18|NME3|LDHA|GAA|PDK4|SLC44A1|PHYKPL|KPNB1|GALNS|PSME3|PSME1|ECI1|ALDOC|INPP1|HEXA|PNP|CA1|CA7|IMPA2|TYMS|OGN|SECISBP2|GNA11|SDHC|PUDP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728																		
rna binding	A Early Advanced	Advanced	gene_taxa_component_6	Gene Ontology	GO:0003723	164	1366	3.49E-46	3.09E-43	ZCCHC17|NCBP1|HNRNPD|DARS|PRPF4B|SETD1A|PKP3|C7orf50|TNRC6A|TENT4B|RBM15B|TROVE2|EIF3H|EIF3C|HSP90AB1|ZC3H13|SKIV2L|SAP18|TUT1|PTBP1|MAPRE1|LUC7L3|MACF1|DDX3Y|MRPS5|RANGAP1|NKRF|SNU13|DHX29|RPL18|SYNCRIP|AKAP1|RPS6|FUBP3|XRN2|NUCKS1|DHX16|PAK2|LARP4|MRPL24|SLBP|RPL6|PABPC1|RPL5|DHX38|DEK|DNM1|EXOSC2|EIF5B|EXOSC7|IFIT1|XRCC6|SRSF4|XPO5|CSDE1|SRSF2|CCT4|YARS|NGRN|ANXA11|RPL10A|ROCK2|RBM38|PKM|PKN2|RNPS1|RRP1|CCDC59|RPP25L|POLR2A|MRPL1|CCDC9|EIF4B|SUPT6H|RPL32|DNAJC2|RBM26|WDR36|YBX3|PLEC|HLTF|ATXN2|SSB|YY1|PNN|PRKDC|DIEXF|MTIF2|RPL36AL|RPS9|NUSAP1|FASTKD3|MRPS31|DDX54|FASN|MARK2|RBM14|DUS3L|S100A4|SNRNP70|DIS3L|RPS27|H1F0|THRAP3|RPL7|NAT1|HDLBP|HNRNPAB|USO1|SNRPGP15|UCHL5|SYNE1|NOL7|HNRNPUL2|STAU2|LRP1|APOBEC3D|APOBEC3B|ABT1|RPS3A|HSPE1|NHP2|RPS13|RPS11|RBM4|RPS16|SSRP1|PSMD4|PNPT1|SF3B6|TRAP1|PRDX1|SMNDC1|MRPS12|LTA4H|CPSF6|PIN4|DRG2|EXOSC6|ELAC2|NAP1L1|UBTF|ACAA2|SELENOH|TRMT10A|G3BP2|CCT6A|PRRC2A|TRA2B|CDC5L|ANXA7|TENT5C|KPNB1|SFSWAP|RTF1|NPM1|ACTN4|NSUN2|MTERF1|NSUN7|EMG1|DKC1|BZW1|TBL3	http://amigo.geneontology.org/amigo/term/GO:0003723																		
endoplasmic reticulum membrane	A Early	A	gene_taxa_component_7	Gene Ontology	GO:0005789	53	942	2.28E-09	1.94E-07	PTGS1|ASNA1|NSDHL|ALDH3A2|LCLAT1|CYBC1|MGLL|POM121C|DHCR7|DDOST|IER3IP1|ALG11|PREB|GNAI3|ATP2A1|SGPL1|RNF170|UBQLN4|SELENOS|PLOD1|ATP6AP1|TECR|LPCAT4|OSBPL3|LPCAT1|ARMC10|AGTRAP|NUP210|APOL2|PIP4K2B|CISD2|CARD19|ALG1|COPE|PAFAH2|SEC24D|PIGS|PIGT|SEC24B|SEC61G|CYB5A|CASP4|VAMP7|CEPT1|B3GLCT|ACSL5|RDH14|AGPAT5|AGPAT2|USE1|RFT1|COPB2|PDZD8	http://amigo.geneontology.org/amigo/term/GO:0005789																		
