	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	Bonferonni_global	BY_global	BH_global
1	AADAT	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae"	0.534798465	0.372989236	0	0	-7935499.311	-7810858.011	5.689062958	0	0	0	0
2	AAR2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.742393303	0.724627324	0	0	571360.3479	572072.7212	2.955045256	0	0	0	0
8	ACE2	"Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium venenatum"	0.998881265	0.997832452	0	0	-144048136.9	-143979249.3	0.417753285	0	0	0	0
9	ACTR3B	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii"	0.774393534	0.758834467	0	0	7665749.765	7826856.906	2.872281337	0	0	0	0
12	ADGRG1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.416043963	0.396578762	0	0	-931843.191	-930176.3066	6.91451978	0	0	0	0
13	ADH1B	"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis"	0.577847501	0.563775751	0	0	-256191.2419	-255310.1316	4.835745176	0	0	0	0
14	AES	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii"	0.40801793	0.388285194	0	0	50643480.03	50980743.74	6.011653331	0	0	0	0
16	AGL	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.56829083	0.522036276	0	0	37554.86316	37741.8296	0.774503091	0	0	0	0
20	AKR1C1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.407445668	0.387693857	0	0	173523.6617	174504.7657	4.069786288	0	0	0	0
22	ALDH1L2	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum"	0.83738518	0.826170365	0	0	614270.0938	614457.052	2.05888264	0	0	0	0
23	ALDH6A1	"Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A smithii_A"	0.961491909	0.93368051	0	0	-6100512.647	-6099182.283	0.516539057	0	0	0	0
24	ALOX15	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.406155881	0.386361077	0	0	162964.9612	163918.1717	3.954078985	0	0	0	0
25	ALS2	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae"	0.253178923	0.201674022	0	0	-344022.0858	-343894.3295	0.005819295	0	0	0	0
29	ANKRD10	"Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae"	0.579120612	0.565091299	0	0	-316046467.4	-315430074.4	6.165799788	0	0	0	0
30	ANKRD40CL	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium pseudoperiodonticum"	0.825170007	0.806438222	0	0	5294.731927	5855.55904	2.109828134	0	0	0	0
32	ANXA2	"Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Zymoseptoria,Zymoseptoria tritici"	0.779189415	0.755531138	0	0	-2492.779628	-2446.12923	1.906665741	0	0	0	0
34	AP4E1	"Bacteria,Proteobacteria,Alphaproteobacteria"	0.820650873	0.814672569	0	0	27591.04508	27730.48195	1.852109598	0	0	0	0
35	APBA3	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae"	0.086270182	-0.011629441	0	0	-36544923.63	-36456254.16	7.75195657	0	0	0	0
36	APOBEC3B	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium"	0.605120143	0.489946851	0	0	-225387.1935	-223402.4314	8.054216062	0	0	0	0
39	ARID3A	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii"	0.727351801	0.718263528	0	0	-17598146.43	-17321832.98	4.921879476	0	0	0	0
43	ARSB	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.762901547	0.754998265	0	0	706223.0714	706927.3559	2.921491456	0	0	0	0
45	ARVCF	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris"	0.299914775	0.276578601	0	0	-719264.5864	-715357.7822	7.183480428	0	0	0	0
46	ASB9	"Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae"	0.534838698	0.399166652	0	0	3237502625	3238340931	8.380030444	0	0	0	0
47	ASPG	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium pseudoperiodonticum"	0.727252535	0.686845503	0	0	554355.9292	555054.206	2.62219509	0	0	0	0
54	ATP5PD	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.8646832	0.86017264	0	0	33484.47169	33851.66787	1.523192103	0	0	0	0
56	B3GNT9	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae"	0.733713167	0.656046174	0	0	-759048168.7	-758946526.2	4.663918723	0	0	0	0
60	BANP	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium pseudoperiodonticum"	0.31858473	0.187543333	0	0	-137292.5639	-136012.0898	4.808483816	0	0	0	0
