	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	Bonferonni_global	BY_global	BH_global
3	AAK1	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.4746099	0.4268472	0	0	-2132.703	-2103.045	0.6072594	0	0	0	0
4	AAR2	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.6814125	0.6460139	0	0	-9726.267	-9543.886	3.767128	0	0	0	0
5	AARS	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lughvirus,Faecalibacterium virus Lugh"	0.5014799	0.4135058	0	0	-46010362	-46000839	0.4597605	0	0	0	0
6	AASDHPPT	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii"	0.3919789	0.3816735	0	0	641156.4	642899.1	3.420031	0	0	0	0
10	ABCB7	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.3370057	0.3257685	0	0	-10832.26	-10589.55	4.923862	0	0	0	0
14	ABCE1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium"	0.2090732	0.1525785	0	0	-132034.8	-131528.4	1.346903	0	0	0	0
19	ABI1	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.408446498	0.398420167	0	0	2352333.854	2352527.579	3.930044493	0	0	0	0
23	ABLIM3	"Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae"	0.169212353	0.125486687	0	0	-131536.7333	-127738.4615	8.041652069	0	0	0	0
25	ACAD9	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.2212055	0.1802163	0	0	-125843.3	-125810	0.6754214	0	0	0	0
28	ACLY	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.4022322	0.3816195	0	0	-9624.014	-9591.501	0.6057108	0	0	0	0
33	ACP1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. SC05B48"	0.5090361	0.5007147	0	0	498125.9	499989.3	3.279094	0	0	0	0
35	ACSS1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. SC05B48"	0.03041736	0.01398376	0	0	34827.83	36316.27	2.643757	0	0	0	0
37	ACTN1	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.2224013	0.1955875	0	0	3888.86	4020.962	0.8569099	0	0	0	0
38	ACTN4	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.6787319	0.6495257	0	0	-225.5641	-203.7415	0.4468291	0	0	0	0
39	ACTN4	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques"	0.6787319	0.6495257	0	0	1149.459	1178.499	0.4468291	0	0	0	0
41	ACVR1B	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lughvirus,Faecalibacterium virus Lugh"	0.3118598	0.3001964	0	0	3686128	3832340	6.910181	0	0	0	0
44	ADGRE2	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lughvirus,Faecalibacterium virus Lugh"	0.5658735	0.5509037	0	0	9653816	9760945	5.145488	0	0	0	0
46	ADGRG3	"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae"	0.1499786	0.1052406	0	0	921789.1	971722.3	6.210797	0	0	0	0
48	ADH5	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum"	0.2005818	0.1870323	0	0	892.7204	973.0328	0.7592104	0	0	0	0
50	ADO	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens"	0.2517647	0.1837433	0	0	76538.45	76760.35	0.9788568	0	0	0	0
52	ADSL	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.55889983	0.491038266	0	0	9508.069145	9525.797811	0.36300366	0	0	0	0
53	AFAP1L2	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.3573566	0.3464643	0	0	-35792.45	-35630.85	3.338036	0	0	0	0
54	AFG1L	"Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae"	0.2274371	0.2143428	0	0	-12125.8	-11933.81	7.449306	0	0	0	0
55	AFG3L2	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.465687	0.4063189	0	0	-60795.44	-60708.11	0.6702713	0	0	0	0
58	AGAP3	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Lughvirus,Faecalibacterium virus Lugh"	0.2214983	0.2083033	0	0	14480964	14621129	6.732183	0	0	0	0
63	AGK	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.6841754	0.613276	0	0	58247.89	58414.15	3.404431	0	0	0	0
64	AGK	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.6841754	0.613276	0	0	353714.9	354239.7	3.404431	0	0	0	0
65	AGL	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.2353675	0.1807509	0	0	971.4203	1037.291	1.348739	0	0	0	0
67	AGPAT5	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.6053654	0.5771772	0	0	-167305.6	-167084.2	4.492529	0	0	0	0
68	AGPAT5	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. SC05B48"	0.6053654	0.5771772	0	0	-5121376	-5118847	4.492529	0	0	0	0
71	AGTRAP	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum"	0.3999302	0.3897596	0	0	2705.19	2945.453	4.825728	0	0	0	0
72	AGTRAP	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.3999302	0.3897596	0	0	40830.78	41574.97	4.825728	0	0	0	0
