	gene	taxa	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	Bonferonni_global	BY_global	BH_global
2	AADAT	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques"	0.16245886	0.118377748	0	0	-803380.3423	-802923.6941	6.361883156	0	0	0	0
10	ABI3BP	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum"	0.243243298	0.230416914	0	0	-33973.23475	-33436.97102	6.416573013	0	0	0	0
27	AFP	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae"	0.166516608	0.056433896	0	0	67012.05665	68198.99203	8.550651656	0	0	0	0
28	AKAP13	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum"	0.187760746	0.129743656	0	0	5381.354904	5439.901782	0.705610761	0	0	0	0
29	ALDH1L2	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum"	0.624612833	0.618250339	0	0	41955.40158	42137.80299	2.190852978	0	0	0	0
32	ALDH7A1	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques"	0.335220767	0.261356408	0	0	-40544.71778	-40504.23322	0.561880476	0	0	0	0
37	ALS2	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium pseudoperiodonticum"	0.350596259	0.264825954	0	0	99.08169687	100.2739829	0.005445709	0	0	0	0
38	ALYREF	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis"	0.274159559	0.261857178	0	0	8508.9174	8795.438415	1.004798583	0	0	0	0
39	AMBP	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis"	0.376027355	0.319302569	0	0	-65320.2401	-65291.73285	1.008406354	0	0	0	0
40	AMBP	"Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae"	0.376027355	0.319302569	0	0	1146149.4	1163322.224	1.008406354	0	0	0	0
46	ANKHD1-EIF4EBP3	"Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium"	0.293729462	0.243281566	0	0	1153.553697	1273.877673	4.201423713	0	0	0	0
52	ANXA2	"Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Zymoseptoria,Zymoseptoria tritici"	0.350913454	0.328531159	0	0	-1656.09337	-1600.199018	2.307006688	0	0	0	0
53	ANXA4	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae"	0.137173229	0.091761293	0	0	-13684.94381	-13506.82172	0.918076272	0	0	0	0
54	AP4E1	"Bacteria,Proteobacteria,Alphaproteobacteria"	0.687293062	0.681992945	0	0	8232.138775	8368.296863	1.80618064	0	0	0	0
55	AP4M1	"Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli"	0.852606223	0.819517824	0	0	349065.5078	349131.6776	2.893253028	0	0	0	0
56	APOBEC3B	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium"	0.343607948	0.256914658	0	0	152488.001	154047.8405	7.868290191	0	0	0	0
60	AQP8	"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pasteurianus"	0.286129612	0.221232304	0	0	-298503.5715	-297880.3187	7.006357731	0	0	0	0
61	ARF6	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques"	0.315686053	0.23965117	0	0	-16795.07975	-16750.68056	0.61877074	0	0	0	0
63	ARHGAP25	"Fungi,Ascomycota,Sordariomycetes"	0.509292111	0.373564397	0	0	-153524850	-153493042.3	8.828996748	0	0	0	0
64	ARHGEF10L	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques"	0.461774356	0.39068795	0	0	45300.08954	45364.40594	0.896036486	0	0	0	0
67	ARL8A	"Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum"	0.38976503	0.309167958	0	0	78114.02987	78457.08839	0.60730384	0	0	0	0
68	ARMCX5	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis"	0.192934806	0.165104971	0	0	64659.29386	66934.91653	7.966102446	0	0	0	0
69	ARMCX5	"Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus catus"	0.192934806	0.165104971	0	0	-93146.15177	-89782.90297	7.966102446	0	0	0	0
71	ARRDC1	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron"	0.275355936	0.263073834	0	0	16784.08206	17673.74284	5.318608772	0	0	0	0
72	AS3MT	"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella"	0.525195699	0.462485697	0	0	-303044.6051	-302828.1658	4.155329306	0	0	0	0
73	AS3MT	"Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum"	0.525195699	0.462485697	0	0	162345.5174	162648.3972	4.155329306	0	0	0	0
