D	S	A1	A10	A11	A12	A14	A15	A16	A17	A19	A22	A23	A24	A25	A26	A28	A29	A3	A30	A31	A32	A33	A35	A37	A4	A40	A42	A43	A44	A45	A46	A49	A5	A52	A53	A54	A55	A56	A57	A61	A62	A64	A65	A66	A67	A68	A69	A7	A72	A73	A75	A76	A78	A79	A8	A81	A82	A83	A84	A86	A9	A91	A92
Bacteria	Phocaeicola vulgatus	0.112359551	0.01436196	0.000464715	0.148611867	0.001996008	0.065868263	0.179810726	0.012224939	0	0	0.506302521	0.10708402	0.114450867	0.085778781	0.017951746	0.102272727	0.049222798	0.022836707	0.174836601	0.155356381	0.062099401	0.007833787	0.205357143	0.178571429	0.053191489	0.444915254	0.013227513	0	0.011958978	0.094117647	0	0.002928258	0.014492754	0.028301887	0.152838428	0.166340509	0.207578254	0.188099808	0.028571429	0.317991632	0.032786885	0.001855288	0.000551542	0.471228616	0.134764902	0.167597765	0.156827668	0.039676708	0.001447178	0.012889366	0.039473684	0.01509434	0.075144509	0.025547445	0.034375	0	0.017759316	0	0.123908297	0	0.006302943	0.061762164
Bacteria	Bacteroides fragilis	0.014981273	0.029209122	6.64E-05	0.00450339	0.123752495	0.011976048	0.003943218	0.002444988	0.00407332	0	0.009803922	0.041186161	0	0.030097818	0.00747427	0.072727273	0	0.170075026	0.009803922	0.043107128	0.029946412	0.027247956	0.005952381	0.107142857	0.015957447	0.005649718	0	0	0.00236638	0.129411765	0	0.002562225	0	0	0.002183406	0.046966732	0.060955519	0.028790787	0.033928571	0.019874477	0.008196721	0.00742115	0	0.01244168	0.031840059	0.017318436	0.004770423	0.007347539	0	0.019334049	0.006578947	0	0.005780347	0.01459854	0	0	0.01571248	0.103225806	0.006459243	0	0.669818138	0.000994136
Bacteria	Klebsiella pneumoniae	0.029962547	0.00368753	0.000132776	0.003909536	0.035928144	0	0.007886435	0.051344743	0.014256619	0.081632653	0.011904762	0.007413509	0.005780347	0.015048909	0.000430235	0.043181818	0.03626943	0.000209961	0.039215686	0.007682458	0.001681202	0.010217984	0.017857143	0.047619048	0.013297872	0.004237288	0.034391534	0.036363636	0.000202636	0.052941176	0.036750484	0.102489019	0.050724638	0.08490566	0	0.01369863	0.001647446	0.02303263	0.008928571	0	0	0.016697588	0.000606696	0.01088647	0.006664198	0.015083799	0.013118664	0.0095518	0.033285094	0.018259936	0.026315789	0.022641509	0.034682081	0.040145985	0	0.021052632	0.002468244	0.058064516	0.001637555	0.005939525	0.000361315	0.000248534
Bacteria	Parvimonas micra	0	9.70E-05	6.64E-05	4.95E-05	0.001996008	0	0	0	0	0	0	0	0	0	0.000396491	0	0	4.20E-05	0	0	0.000105075	0	0	0	0	0	0	0.006060606	0.163781675	0	0	0	0	0	0.003275109	0.001956947	0	0	0	0	0	0	0	0	0.004813032	0	0	0.001469508	0	0	0.013157895	0	0	0	0	0.005263158	0.006862922	0	9.10E-05	0	2.01E-05	0.000546197
Bacteria	Collinsella aerofaciens	0.011235955	0.000194081	0	0.033701193	0	0	0.003943218	0.02200489	0.00203666	0	0.014705882	0.000823723	0.034104046	0	0.030825038	0.004545455	0	0.027364855	0	0.002560819	0	0.010217984	0.008928571	0	0.026595745	0.000706215	0	0	1.72E-05	0	0.001934236	0.023792094	0	0	0.003275109	0.007827789	0.004942339	0.003838772	0.014285714	0.012552301	0	0	0	0	0.021473528	0.000558659	0.026237329	0	0	0.032223416	0	0.033962264	0.020231214	0	0	0	0.003852869	0	0.027201601	0	2.01E-05	0.031576833
Bacteria	Fusobacterium nucleatum	0.007490637	0.000194081	0	4.95E-05	0	0	0	0	0	0	0	0	0	0.000752445	0.000303695	0	0	4.90E-05	0	0	0	0.001021798	0	0	0	0.002118644	0	0	0.079715073	0	0.000483559	0	0.007246377	0	0	0.003913894	0.001647446	0.001919386	0	0	0	0.005565863	0	0	0.000740466	0	0.003577818	0.000734754	0.002894356	0.001074114	0	0	0	0	0	0	0.000120402	0	0.000181951	0.001079914	0.000100365	1.16E-05
Bacteria	Fusobacterium varium	0	0	0.000896236	4.95E-05	0.033932136	0	0	0	0	0	0	0	0	0.000752445	3.37E-05	0	0	7.00E-06	0	0	0.000105075	0	0	0.05952381	0.010638298	0.109463277	0	0	0.000130512	0	0	0	0	0	0	0.076320939	0.18616145	0.147792706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212903226	0	0.001079914	0.000341242	0.004073358
Fungi	Zymoseptoria tritici	0	0	0	0	0	0	0.000788644	0.004889976	0	0	0	0	0	0	0	0	0	0	0.031045752	0	0.000630451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44E-06
Bacteria	Bifidobacterium longum	0	0.001067443	0	0.000148463	0	0	0	0.007334963	0	0	0	0.000823723	0.000578035	0.004514673	0.001535347	0.002272727	0	0.003275384	0	0.000426803	0.000105075	0.003405995	0	0	0	0	0	0	1.72E-05	0	0	0.001098097	0	0	0	0	0	0	0	0	0	0	0	0	0.01258793	0.000558659	0	0.013225569	0	0.001074114	0	0	0	0	0	0	0.015050268	0	0.000545852	0.004319654	0	0.002087975
Bacteria	Fusobacterium mortiferum	0.056179775	0.000194081	0	0.000247439	0	0	0.026025237	0	0	0	0	0	0	0.000752445	1.69E-05	0	0.033678756	0	0	0	0.00021015	0	0	0	0	0	0	0	0.000154553	0	0.003384913	0	0.036231884	0.103773585	0	0	0	0	0	0	0	0	0	0.166407465	0	0	0.054859869	0.013225569	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-06
