D	S	T10	T11	T12	T13	T14	T15	T16	T21	T22	T23	T26	T27	T28	T29	T2	T30	T32	T33	T34	T35	T36	T37	T38	T39	T3	T42	T43	T44	T45	T46	T47	T48	T4	T50	T51	T52	T53	T55	T57	T58	T59	T5	T60	T62	T63	T64	T65	T66	T67	T68	T6	T70	T71	T72	T73	T74	T75	T76	T7	T8	T9	T69
Bacteria	Phocaeicola vulgatus	0.01030025	0.001911976	0.009183214	0.025446067	0.000348687	0.000104835	0.001030404	0.062537948	0.014253467	0.070589991	0.029784066	0	0.007219368	0.024142313	0.000245685	0.029721149	0.045969118	0.001584531	8.31E-05	0.029055207	0.003617945	0.019699786	0.100174723	0.241122185	0.406141654	0.005995204	0.005451374	0.002567171	0.022280668	0.052928933	0.00665779	0.002694309	0.04007286	0.047114989	0.006772009	0.190136747	0.007716215	0.075415192	0.006864357	0.000419684	0.007078364	0.006549794	0.001018371	0.022066497	0.01285393	0.435483871	0.011342155	0.035657998	0.000976333	0.004865241	0.016214703	0.139032994	0.02669762	0.204603668	0.120875179	0.197063215	0.012585401	0.15951616	0.004551821	0.004292186	0.333761232	0
Bacteria	Bacteroides fragilis	0.169015847	0.12732299	0.01786395	0.14527575	0.003304221	0.381483768	0.466433922	0.061323619	0.343373105	0.111166385	0.128071482	0.063636364	0.065410832	0.280813215	0.060008599	0.00298359	0.18708877	0.004737635	0.00010686	0.005801913	0.034008683	0.008863474	0.128712871	0.007899594	0.013372957	0.011990408	0.002980084	0.074148764	0.023685351	0.013562626	0.000237778	0.250159531	0.003642987	0.286945381	0.014672686	0.019493745	0.098006645	0.001157092	0.142165032	0.403614513	0.001504849	0.093427337	0.101217698	0.034315401	0.008157754	0.087426686	0.027882798	0.001707381	0.001288053	0.000309645	0.00031885	0.237324479	0.110018862	0.036341132	0.18579627	0.167084024	0.009708738	0.061803062	0.123459384	0.003429784	0.137783483	0
Bacteria	Klebsiella pneumoniae	0.003169308	0.098241469	0.000727726	0.004257908	0	0.000722198	0	0.00667881	0.002837794	0	0.001737404	0.010606061	0.003357846	0.010165184	0.512929181	0.000573767	0.000930459	0.018149498	0.0001781	0.000399345	0.005065123	0.001258041	0	0.00110742	0.023278851	0.017985612	0.001671755	0.726419724	0.00143457	0.000429511	0.772514199	0.001928558	0	0.00036606	0.005643341	0.000727379	0.002518487	0.003539341	0.000827696	2.46E-05	0.000167205	0.136583493	8.43E-05	0.011639344	2.17E-05	0.000183284	0.348298677	0.107499343	0.001435092	0.003253391	0.910970782	0.002905167	0.001088218	0.000361005	0	0.000623097	0.009708738	0.003024003	0.001470588	0.021569969	0.003423192	0
Bacteria	Parvimonas micra	0.000500417	0.030689042	0.123176352	0.204987835	0.059143891	0.000244616	0.01904891	0.006274034	0.123831022	0.000232149	0.002482005	0.004545455	3.36E-05	0.007623888	0.000184264	0.07504877	0.000155077	0.001137734	5.94E-06	3.42E-05	0	0.031708363	0.013977868	0.001901071	0	0	0	0.004374364	0.001748382	0.000363432	2.04E-05	0.008210553	0	0	0	0.050916497	0.018808273	0.109855704	0.032169777	0.019419295	0.049576413	0.001747475	0.251907093	0.002274302	0.002349896	0.012646628	0.013232514	0.000197006	0.013074625	0.00094166	0	0.000276683	0.045233604	3.44E-05	0.116571019	8.23E-05	0.001078749	0.041769042	0.070868347	9.91E-06	0	0
Bacteria	Collinsella aerofaciens	0.037531276	0.031480624	0.024032297	0.005271695	0.000348687	1.16E-05	0.003104769	0.005262093	0.012512093	0.00071303	0.015636634	0.007575758	6.72E-05	0	6.14E-05	0.005967181	0.000243692	0.023480734	0.000397756	0.01785643	0	0.030478914	0.005241701	0.007179771	0.023774146	0	0.06316325	5.39E-05	0.126854854	0.021541613	0.006589853	5.67E-05	0.021857923	0.003431814	0	0.031277277	0.000214339	0.000272257	0.017679582	1.22E-05	0.019117155	0.002489612	0.039641185	0.019547449	0.051970659	0.00329912	0.027882798	0.000722354	0.000276432	0.022260492	0.003484022	0.000345853	0.003119559	0.029052277	0.015781923	0.006007595	0.003236246	0.018900019	7.00E-05	4.96E-05	0.041078306	0
Bacteria	Fusobacterium nucleatum	0.043452877	0.028022018	0.005769831	0.028588808	0.006542025	0.000291209	0.051371047	0.009107468	0.022186391	0.001111001	0.005212211	0.024242424	0.000570834	0.010165184	0	0.006732204	0.00017723	0.000493071	0	2.85E-05	0.003617945	0.008606147	0.054746651	0.000295312	0	0	0.000508795	0.003829813	0.001210419	0.00046255	1.36E-05	0.001914378	0.012750455	0.004346964	0.028216704	0.017311609	0.003054335	0.06738361	0.083034443	0.211227842	0.005907926	0.018091758	0.16114115	0.000436389	0.000365138	0.04151393	0.002362949	0.000525348	0.055668611	0.00019936	3.11E-05	0.000760877	0.046213001	0.000429767	0.014705882	0.000811202	0.004314995	0.044226044	0.001540616	2.97E-05	0.001711596	0
Bacteria	Fusobacterium varium	0.000417014	1.22E-05	1.73E-05	0	0	5.82E-05	3.39E-05	0	0.001289906	0.000132657	0.000496401	0	0.000805883	0	0	0.011513598	8.86E-05	0.000304779	5.94E-06	0.000519149	0.029667149	0	0.01980198	0	0.000495295	0	0	5.98E-05	0	1.65E-05	0	0	0	0	0	0.000145476	0.023041475	0.012796079	8.83E-05	0.072923625	0.014184595	8.63E-06	4.53E-05	0.013562688	0.00040129	0.014112903	0.00094518	0.000197006	0.019556063	0	0	0	0.004570517	0.09157484	0.0017934	0.021632044	0.008270406	0.001134001	0	0.001080481	0.022678648	0
Fungi	Zymoseptoria tritici	0	0.000596731	5.20E-05	0.056163828	0.016338458	9.32E-05	0.00026438	0	0	0.00142606	0.001241003	0	0.000302206	0.109275731	0.000122843	0	0	8.30E-05	0.975107602	1.14E-05	0.001447178	0	0	1.85E-05	0	0	0.00029074	0	4.48E-05	0	6.79E-06	0	0	0.002150603	0	0	0.000214339	0.001089028	0.000220719	0	0.012261732	7.77E-05	1.34E-06	1.39E-05	0	0	0	0	0	4.24E-06	1.56E-05	0	0	1.72E-05	0	0	0	0	0.000140056	0	0.008985879	0
Bacteria	Bifidobacterium longum	0.000208507	0.000255742	0.005076758	0	0.000132833	0.116914583	0.000203369	0.039465695	0.002128346	0.017510695	0.02258625	0.125757576	0.02152379	0.025412961	0	3.83E-05	0.016792574	0.000180314	3.56E-05	0.008363427	0	0.001200858	0	7.38E-05	0.000990589	0.001199041	0.095362698	0.014254084	0.314843318	0.188968183	0.017412158	7.09E-05	0	0	0	0.013238289	0.002196978	0.001497414	0.000253827	1.23E-05	0.000139338	2.59E-05	2.02E-05	4.62E-05	0.001950414	0.008522727	0	0	0.032160166	8.06E-05	0.001119864	0	0.000108822	0.000361005	0	0.000434992	0.001078749	0.001890002	0	0.000535284	0	0
Bacteria	Fusobacterium mortiferum	4.17E-05	1.22E-05	0	0	0.000348687	4.66E-05	0.00059655	0.000404776	0.081715576	0.000348224	0.303549268	0.001515152	3.36E-05	0	0	0.029376889	4.43E-05	4.79E-06	0	5.70E-06	0	0.000857756	0.001747234	1.85E-05	0.004457652	0	0	0	0	3.30E-05	6.79E-06	0	0	0	0	0.014693046	0	0	0.009093618	0.00549563	2.79E-05	0	2.78E-05	1.62E-05	7.23E-05	0.000458211	0	0	1.00E-04	0	0	0	0.00018137	0.002819274	0.111908178	0.013602323	0	0.000189	0	0.00348926	0	0
