D	S	T13	T15	T23	T30	T33	T36	T37	T38	T39	T3	T42	T44	T45	T46	T48	T4	T50	T52	T53	T57	T59	T62	T66	T67	T68	T70	T71	T76	T9
Bacteria	Bacteroides ovatus	0.022100568	0.016761989	0.011972275	0.004513637	0.000143613	0.000723589	0.009406719	0.003494467	0.019748985	0.006934126	0	0.00215427	0.006186584	0.0009251	0.058750124	0.080145719	0.070832634	0.00814664	0.001393205	0.000375222	0.021987515	0.003223274	0.004465458	0.017650449	0.000555664	0.006156187	0.012768427	0.003591004	0.019255456
Bacteria	Bacteroides salyersiae	0.045012165	6.99E-05	0.000746194	0.001109284	0.000564878	0	0.004746247	0.040768783	0.000627538	0.000495295	0	0.000113698	0.003168009	0.002048436	0.000666487	0.003642987	0.009761603	0.000290951	0.000214339	0.001291205	0.054620444	0.001359963	6.57E-05	0.032207218	6.36E-05	6.92E-05	0.044036564	0.003591004	0.000427899
Bacteria	Akkermansia muciniphila	0.000202758	3.49E-05	0.000116075	0.006043683	0.000161166	0.002894356	0.002115797	0.002329645	0.146290144	0.001981179	0	5.98E-06	4.48E-05	0.003551723	1.42E-05	0	0.015847353	0	0.147197514	2.21E-05	8.36E-05	0.000131609	0	0.0010822	0	6.92E-05	0.002321532	0	0.036371416
Bacteria	[Clostridium] scindens	0.000304136	0.00128132	0.007163466	0.004475385	0.003516924	0	0.00200143	0	0.002030269	0.002476474	0.005995204	0.000101729	0.00095638	0.000974659	0.003743672	0.007285974	0.002089593	0.003200466	0.010984889	0.001302241	0.003093301	0.001934888	0.004925138	0.005058109	0.00067019	0.003873556	0.000761753	0.003024003	0.007274283
Bacteria	Ruthenibacterium lactatiformans	0.000709651	0.003587695	0.032583823	0.001797804	0.001680273	0.002170767	0.000714796	0.001164822	0.002104097	0.001485884	0.001199041	1.20E-05	0.000283925	0.000842502	0.005459522	0.003642987	0.008129585	0.033895839	0.010341871	0.00040833	0.001449114	0.000228585	0.002495403	0.004522891	0.000593839	0.017915197	0.001305862	0.001890002	0.017971759
Bacteria	Methylorubrum populi	0.000101379	1.16E-05	0.000514045	0	2.71E-05	0	0	0.002329645	0	0.001485884	0	1.80E-05	5.98E-05	0.000132157	0	0.003642987	1.53E-05	0	0.00010717	6.62E-05	0.000222941	2.08E-05	0.000131337	0	4.24E-06	0	7.25E-05	0.000945001	0
Bacteria	Alistipes shahii	0.000506894	0	0.000198985	0.001109284	0.001420173	0	0.000743388	0.001164822	0.002344038	0	0	5.98E-06	1.49E-05	0.000974659	0.000340334	0	0.001815048	0.000872854	0.000428679	0.000430402	0.000529484	4.62E-06	6.57E-05	0.001135134	0.000156943	0.000553365	0.001777423	0.003213003	0
Bacteria	Clostridioides difficile	0.002635848	0.000326154	0.001442643	0.000918028	0.001742505	0	0.000600429	0.000582411	0.000849022	0.000990589	0.005995204	4.79E-05	0.000687398	0.000710345	0.000694848	0	0.002745451	0.001163806	0.001982639	0.00152296	0.001504849	0.00084507	0.001247702	0.001211594	0.000114526	0.002420973	0.000979396	0.000189	0.000427899
Bacteria	Dysosmobacter welbionis	0.000101379	0.001199781	0.001724538	0.002142065	0.001999413	0	0.000571837	0	0.003672942	0	0.003597122	0	0.000508077	0.003105693	7.09E-05	0	0.000137273	0.000581903	0.001768299	0.001004271	0.000947497	7.62E-05	0.000328343	0.004199407	0.000352062	0.000207512	0.001088218	0.001134001	0.000427899
Bacteria	Eubacterium sp. NSJ-61	0.000912409	0.001339561	0.00102809	0.000191256	0.000406904	0.000723589	0.000343102	0.000582411	0.000756737	0	0	0	0.000343699	0.000776423	0.000141806	0	0.00012202	0	5.36E-05	0.000209683	0.000557351	0.00032556	0.001904387	0.001188068	7.64E-05	0.000553365	0.000108822	0.000945001	0.000855798
Bacteria	Anoxybacillus flavithermus	0	0	0	0	1.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.92E-05	0	0	0
Bacteria	Intestinimonas butyriciproducens	0.000709651	0	0.000779359	0.001071032	0.000915932	0	0.000428878	0	0.001753415	0	0.003597122	0	0.000179321	0.000842502	4.25E-05	0	0.00042707	0.000581903	0.001178866	0.000132431	0.000334411	7.85E-05	0.000262674	0.000670494	0.000135735	0.000484195	0.000616657	0.001890002	0
Bacteria	Flintibacter sp. KGMB00164	0.000202758	6.99E-05	0.001061254	0.001530046	0.000419669	0	0.00031451	0	0.00092285	0	0.002398082	1.20E-05	0.000119548	0.000412991	2.84E-05	0	0	0.000290951	0.000535848	0.000154503	0.000278676	7.39E-05	0.000853691	0.00046464	8.91E-05	0	0.000507835	0.002079002	0.000427899
Bacteria	Eubacterium limosum	0	6.99E-05	0.000132657	0	8.62E-05	0	5.72E-05	0	7.38E-05	0	0	5.98E-06	0.000179321	0.000693825	0.000155986	0.007285974	0.00012202	0.000436427	0	0.000110359	0	4.62E-05	0.000197006	0.000288195	4.24E-06	0	7.25E-05	0	0.000427899
Bacteria	Alistipes communis	0.000202758	1.16E-05	9.95E-05	0.001071032	0.000157974	0	0.000486061	0.001164822	0.002473237	0.001981179	0	0	2.99E-05	0.001172895	0.000127625	0	0.000274545	0	0.00010717	0.000209683	0	6.93E-06	0	0.001182186	4.67E-05	0	0.000580383	0.003780004	0.000855798
Bacteria	Oscillibacter sp. NSJ-62	0.000405515	9.32E-05	0.000580373	0.00099453	0.001021248	0	0.000686204	0	0.000996678	0	0	0.000329125	0.000313812	0.000710345	2.84E-05	0	6.10E-05	0.000145476	0.000267924	0.001953362	0.000250808	0.000163934	6.57E-05	0.000670494	0.000216327	0.000968389	0.000435287	0.001512002	0
Bacteria	Desulfovibrio desulfuricans	0	1.16E-05	0.000132657	0.000153005	1.91E-05	0.001447178	0	0	7.38E-05	0	0	5.98E-06	1.49E-05	1.65E-05	0	0	1.53E-05	0.001454757	0	2.21E-05	0	1.62E-05	0	3.53E-05	4.24E-06	0.002075119	0.000108822	0.006993007	0
Bacteria	Micrococcus luteus	0	0	0.000232149	0	1.28E-05	0	0	0.003494467	0	0.001485884	0	0	1.49E-05	0	0	0	6.10E-05	0	0	1.10E-05	2.79E-05	1.62E-05	6.57E-05	1.76E-05	4.24E-06	0	0	0	0
