D	S	T10	T11	T12	T14	T16	T21	T22	T26	T27	T28	T29	T2	T32	T34	T35	T43	T47	T51	T55	T58	T5	T60	T63	T64	T65	T6	T72	T73	T74	T75	T7	T8	T69
Bacteria	Bacteroides ovatus	0.011259383	0.001339601	0.001264858	1.66E-05	0.000406738	0.044323012	0.002515318	0.001737404	0	0.011987509	0.005082592	0.000122843	0.115421254	0	0.001135281	0.023695305	0.001012256	0.011286682	0.026613123	0.000702208	0.000465993	0.000250111	0.000516977	0.004490469	0.00047259	0.00014776	0.002733321	0.003945481	0.008582278	0	0.003781513	0.01860608	0
Bacteria	Bacteroides salyersiae	0.000250209	0.000182673	0.000866341	4.98E-05	0.000732129	0.000607165	0.000193486	0	0	0.000235049	0	0	8.86E-05	0	0.000353706	0	8.83E-05	0	0.01136673	0.000197152	0.000759396	9.91E-05	0.000437442	0.000366569	0.004253308	6.22E-05	0.000412577	0.0017934	0.009228888	0.001078749	0.000140056	0.147817726	0
Bacteria	Akkermansia muciniphila	0.000333611	0.000426237	0.000173268	0	6.78E-06	0	6.45E-05	0	0	0	0	0	0.0186978	0	3.99E-05	0.00014537	6.79E-06	0.002257336	0.000204193	7.64E-05	7.34E-05	2.06E-05	3.25E-05	0	0.016068053	1.56E-05	0.000154716	0	7.05E-05	0	0	0	0
Bacteria	[Clostridium] scindens	0.00175146	0.00168059	0.004366358	6.64E-05	0.000562655	0.000809553	0.000386972	0.001985604	0	0.001981129	0	0	0.000531691	0	0.005088797	0.000944905	0.000516318	0	0.005581269	8.76E-05	0.000707619	0.000640964	0.005395722	0.000549853	0.006616257	0.000241082	0.016313971	0.0017934	0.002809814	0.001078749	0.00035014	0.000545197	0
Bacteria	Ruthenibacterium lactatiformans	0.003711426	0.000730691	0.002806945	0.001394746	0.000101685	0.000404776	0.004579168	0	0	0.001611766	0	0	0.006956291	1.78E-05	0.001671544	0.004724524	0.000332889	0	0.011775116	0.000310469	0.000159646	0.000108023	0.000950804	0	0	0.000435503	0.000378195	0.00071736	0.002668736	0.001438332	7.00E-05	0.00029738	0
Bacteria	Methylorubrum populi	0	0	0	0	0	0	0	0.001489203	0	0	0	0	0	2.97E-05	5.70E-06	0	0	0	0	5.13E-07	0	1.34E-06	1.63E-05	0	0.002835539	0	1.72E-05	0	0.005043558	0.079467817	0	0	0
Bacteria	Alistipes shahii	0	0.001242176	0.000259902	0	3.39E-05	0.007690751	0	0.000496401	0	0.021389477	0	0	6.65E-05	4.16E-05	9.70E-05	0	0.000455175	0	0.000204193	0.000574277	0.000327921	1.12E-05	0.000206068	0	0	1.56E-05	0.000103144	0	0.000423236	0.000359583	0	0.000227991	0
Bacteria	Clostridioides difficile	0.000500417	0.001022968	0.001871296	0.000298874	0.000406738	0.000404776	6.45E-05	0.000496401	0	0.001443874	0	6.14E-05	0.000553845	0	0.000889969	0.000799535	0.000434794	0	0.001905799	0.000260091	0.000232997	0.001470184	0.001118912	0.000183284	0	0.000155537	0.002527032	0	0.000658367	0	0.000770308	0.000267642	0
Bacteria	Dysosmobacter welbionis	8.34E-05	0.000304455	0.000745053	0.000132833	0.000176253	0.001619105	6.45E-05	0.000496401	0	0.000973775	0	0	0.000221538	0	0.000325181	0	0.000108699	0	0.000748707	6.05E-05	0.000129443	0.000187807	0.000701354	0.000183284	0.00047259	7.78E-05	0.000223479	0	0.000282157	0	0.000840336	0.000138777	0
Bacteria	Eubacterium sp. NSJ-61	4.17E-05	0.000462771	0.000519805	0	4.07E-05	0.002631046	0	0	0.001515152	0.00043652	0	0	6.65E-05	0	0.000262427	0	4.08E-05	0	0.000816771	4.01E-05	0.000129443	0.000243387	0.000896576	0.000733138	0	2.33E-05	0.000532912	0	0.000352696	0.000359583	0	0	0
Bacteria	Anoxybacillus flavithermus	0	7.31E-05	0	0	0	0	0	0.000248201	0	0	0	0	0	0	5.70E-06	0	0	0	0	2.18E-06	0	2.69E-05	9.04E-06	0	0	0	6.88E-05	0	0.000940524	0.01869831	0	0	0
Bacteria	Intestinimonas butyriciproducens	4.17E-05	0.000426237	0.000623765	1.66E-05	0.000155916	0	0	0.000248201	0	0.000268628	0	0	0.000354461	1.19E-05	1.14E-05	7.27E-05	4.08E-05	0	0.000340321	2.55E-05	7.34E-05	3.94E-05	0.00077185	0	0.00047259	3.89E-05	0.000120335	0.00107604	0.000928767	0	0	0.002141137	0
Bacteria	Flintibacter sp. KGMB00164	0	0.000194851	0.00038119	3.32E-05	2.71E-05	0.000202388	0.000128991	0.000248201	0	0.000470098	0	0	0.000243692	0	0.000290951	0	4.76E-05	0.002257336	0.000272257	1.55E-05	5.18E-05	6.19E-05	0.000216913	0	0	7.78E-06	6.88E-05	0	9.41E-05	0.000359583	0.000280112	0.000188341	0
Bacteria	Eubacterium limosum	0	2.44E-05	8.66E-05	1.66E-05	2.03E-05	0	0	0	0	3.36E-05	0	0	0	0	0.000211082	0.009885158	8.15E-05	0	0	1.19E-05	2.16E-05	7.58E-05	7.77E-05	0	0	0	3.44E-05	0	0.000152835	0	0	0	0
Bacteria	Alistipes communis	4.17E-05	0.000170495	0.000190595	0	0	0.000809553	0.000257981	0.000248201	0	0.000369363	0	0.000122843	4.43E-05	0	0.000239607	0	2.72E-05	0	0	1.28E-06	0.000168275	8.96E-07	0.000104842	0	0	3.89E-05	3.44E-05	0	0.00098755	0	0	0.000247817	0
