Name	Groups
Aspergillus oryzae	F1
Aspergillus chevalieri	F1
Fusarium poae	F1
Saccharomycodes ludwigii	F1
Malassezia restricta	F1
Fusarium verticillioides	F1
Aspergillus fumigatus	F1
Candida albicans	F1
Fusarium pseudograminearum	F1
Scheffersomyces stipitis	F1
Brettanomyces bruxellensis	F1
Fusarium fujikuroi	F1
Candida dubliniensis	F1
Kluyveromyces lactis	F1
Fusarium venenatum	F1
Thermothelomyces thermophilus	F1
Kazachstania africana	F1
Naumovozyma dairenensis	F1
Pyricularia oryzae	F1
Yarrowia lipolytica	F1
Colletotrichum higginsianum	F1
Lachancea thermotolerans	F1
Saccharomyces eubayanus	F1
Fusarium graminearum	F1
Candida orthopsilosis	F1
Torulaspora delbrueckii	F1
Schizosaccharomyces pombe	F2
Cercospora beticola	F2
Rhizoctonia solani	F2
Sporisorium graminicola	F2
Pochonia chlamydosporia	F2
Cryptococcus neoformans	F2
Zymoseptoria tritici	F2
Naumovozyma castellii	F2
Thermothielavioides terrestris	F2
Aspergillus luchuensis	F3
[Candida] glabrata	F3
Tetrapisispora blattae	F3
Saccharomyces paradoxus	F3
Zygotorulaspora mrakii	F3
Sugiyamaella lignohabitans	F3
Kluyveromyces marxianus	F3
Tetrapisispora phaffii	F3
Pyricularia pennisetigena	F3
Fusarium oxysporum	F3
Pyricularia grisea	F3
Aspergillus puulaauensis	F3
Talaromyces rugulosus	F3
Fusarium musae	F3
Zygosaccharomyces rouxii	F3
Debaryomyces hansenii	F3
Pichia kudriavzevii	F3
Botrytis cinerea	F3
Ustilaginoidea virens	F3
Saccharomyces cerevisiae	F3
Marasmius oreades	F3
Eremothecium cymbalariae	F3
Neurospora crassa	F3
Aspergillus flavus	F3
Drechmeria coniospora	F3
