		Acinetobacter baumannii	Yarrowia lipolytica	Human betaherpesvirus 7	Paracoccus pantotrophus	Acinetobacter tandoii	Zymoseptoria tritici	Methanobrevibacter_A smithii_A	Fusobacterium nucleatum	Gemella morbillorum	Thermothelomyces thermophilus	Candidatus Methanomethylophilus alvus	Lachnoanaerobaculum umeaense	Streptococcus mutans	Streptococcus constellatus
D475	ABC transporter	-0.178189576	-0.171104148	-0.205001803	-0.407131166	-0.29860147	0.105301908	0.239367557	0.269537272	0.60413789	0.449617921	0.45380088	0.494891967	0.466246999	0.72131287
D2186	Belongs to the aspartokinase family	-0.178590115	-0.165952736	-0.205001803	-0.40349782	-0.288988546	0.08118538	0.229886599	0.267988525	0.613796125	0.422858764	0.449458969	0.492533233	0.426117019	0.68368277
D81	1-deoxy-D-xylulose-5-phosphate synthase	-0.17869025	-0.169352668	-0.205001803	-0.404676202	-0.29339447	0.093243644	0.234467287	0.267656651	0.590340413	0.427665798	0.453089091	0.494449704	0.433509384	0.689711902
D8807	FtsX-like permease family	-0.176987961	-0.162964917	-0.205001803	-0.404087011	-0.288988546	0.093243644	0.237556588	0.263563534	0.601071784	0.432152363	0.458142791	0.500493961	0.425060967	0.69490943
D15447	PhoH-like protein	-0.125809832	-0.124128773	-0.18559278	-0.374399223	-0.247540226	0.108977979	0.240082384	0.257368347	0.521797779	0.48349797	0.514461936	0.559345462	0.485156655	0.760587239
D18335	RNA-directed DNA polymerase activity	-0.157261438	-0.230113572	-0.205001803	-0.391812193	-0.295647499	0.099272776	0.307864816	0.274072888	0.453477099	0.431831895	0.485760192	0.518921574	0.441429775	0.695533133
D3677	"Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway"	-0.173784009	-0.192573088	-0.18559278	-0.377599673	-0.309765236	0.11552795	0.238462161	0.247152932	0.5302085	0.484194276	0.380298182	0.405275216	0.466226511	0.759006211
D20184	"TIGRFAM hydrolase, TatD family"	-0.173675224	-0.194307981	-0.18559278	-0.378026399	-0.310961871	0.11552795	0.236726207	0.249917103	0.530375049	0.4840202	0.379679559	0.404794748	0.475404763	0.759683794
D1088	Alkaline phosphatase homologues	-0.173675224	-0.194307981	-0.18559278	-0.378026399	-0.310961871	0.11552795	0.236726207	0.249917103	0.530375049	0.4840202	0.379679559	0.404794748	0.475404763	0.759683794
D11753	methylated-DNA-[protein]-cysteine S-methyltransferase activity	-0.173675224	-0.194307981	-0.18559278	-0.378026399	-0.310961871	0.11552795	0.236726207	0.249917103	0.530375049	0.4840202	0.379679559	0.404794748	0.475404763	0.759683794
D19880	Thioredoxin	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D13304	Pas domain	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D10653	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D6860	DJ-1/PfpI family	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D3771	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D1337	Aminotransferase class-V	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D2610	Belongs to the sigma-70 factor family. ECF subfamily	-0.173240084	-0.195930945	-0.18559278	-0.378133081	-0.310961871	0.108977979	0.234527333	0.252801456	0.531873989	0.484194276	0.379370248	0.404634591	0.475978403	0.760587239
D5160	"COG0508 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes"	-0.172913729	-0.195819016	-0.18559278	-0.377813036	-0.309765236	0.102428007	0.234064412	0.252921637	0.53320638	0.48454243	0.379679559	0.404954904	0.467373792	0.7608131
D5497	COG1680 Beta-lactamase class C and other penicillin binding proteins	-0.172913729	-0.195819016	-0.18559278	-0.377813036	-0.309765236	0.102428007	0.234064412	0.252921637	0.53320638	0.48454243	0.379679559	0.404954904	0.467373792	0.7608131
D8872	GAF domain	-0.172478589	-0.192573088	-0.18559278	-0.378026399	-0.309765236	0.11552795	0.240429575	0.247633658	0.52479566	0.489416577	0.384705867	0.409439277	0.466226511	0.766007905
D5481	COG1621 Beta-fructosidases (levanase invertase)	-0.172478589	-0.192573088	-0.18559278	-0.378026399	-0.309765236	0.11552795	0.240429575	0.247633658	0.52479566	0.489416577	0.384705867	0.409439277	0.466226511	0.766007905
D1038	alcohol dehydrogenase	-0.172478589	-0.192573088	-0.18559278	-0.378026399	-0.309765236	0.11552795	0.240429575	0.247633658	0.52479566	0.489416577	0.384705867	0.409439277	0.466226511	0.766007905
D5030	COG0067 Glutamate synthase domain 1	-0.172478589	-0.192573088	-0.18559278	-0.378026399	-0.309765236	0.11552795	0.240429575	0.247633658	0.52479566	0.489416577	0.384705867	0.409439277	0.466226511	0.766007905
D6812	Dipeptidase	-0.172369804	-0.194307981	-0.18559278	-0.378453126	-0.310961871	0.11552795	0.238693622	0.250397829	0.524962209	0.4892425	0.384087245	0.408958808	0.475404763	0.766685488
D10583	Involved in formation and maintenance of cell shape	-0.171934664	-0.195930945	-0.18559278	-0.378559807	-0.310961871	0.108977979	0.236494747	0.253282181	0.526461149	0.489416577	0.383777933	0.408798652	0.475978403	0.767588933
D4273	CobB/CobQ-like glutamine amidotransferase domain	-0.171934664	-0.195930945	-0.18559278	-0.378559807	-0.310961871	0.108977979	0.236494747	0.253282181	0.526461149	0.489416577	0.383777933	0.408798652	0.475978403	0.767588933
D5254	"COG0737 5'-nucleotidase 2',3'-cyclic phosphodiesterase and related esterases"	-0.171934664	-0.195930945	-0.18559278	-0.378559807	-0.310961871	0.108977979	0.236494747	0.253282181	0.526461149	0.489416577	0.383777933	0.408798652	0.475978403	0.767588933
D819	Acts as a magnesium transporter	-0.171717094	-0.194084124	-0.18559278	-0.377813036	-0.308568601	0.102428007	0.23776778	0.250638191	0.527626991	0.489938807	0.384705867	0.409599433	0.45819554	0.767137211
D2471	Belongs to the MurCDEF family	-0.171717094	-0.194084124	-0.18559278	-0.377813036	-0.308568601	0.102428007	0.23776778	0.250638191	0.527626991	0.489938807	0.384705867	0.409599433	0.45819554	0.767137211
D9779	Helicase C-terminal domain protein	-0.170194104	-0.192349231	-0.18559278	-0.378026399	-0.307371967	0.102428007	0.239619463	0.250397829	0.527960089	0.49498703	0.389268208	0.414404118	0.45819554	0.773913043
D18748	Short-chain dehydrogenase reductase sdr	-0.169976534	-0.190614338	-0.18559278	-0.377813036	-0.306175332	0.102428007	0.239503733	0.249676741	0.533706027	0.494812954	0.389422864	0.415044743	0.45819554	0.773687182
