		Candida dubliniensis	Aspergillus puulaauensis	Ruthenibacterium lactatiformans	Bacteroides ovatus	Dysosmobacter welbionis	Methylorubrum populi	[Clostridium] scindens	Clostridioides difficile
D21472	tRNA (Uracil-5-)-methyltransferase	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D19855	thioesterase	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D17453	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D14471	PFAM NADPH-dependent FMN reductase	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D11103	"lipid kinase, YegS Rv2252 BmrU family"	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D10416	Indole-3-glycerol phosphate synthase	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D8977	GH3 auxin-responsive promoter	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D8200	exo-alpha-sialidase activity	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D7299	Domain of unknown function (DUF3440)	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D5432	COG1387 Histidinol phosphatase and related hydrolases of the PHP family	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D5391	COG1226 Kef-type K transport systems	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D4119	Chromate	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D4107	chorismate binding enzyme	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D594	"ABC-type nitrate sulfonate bicarbonate transport system, permease component"	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D3704	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NADPH and FADH(2) as the reductant"	0.287070525	0.512646854	-0.022587698	-0.293640068	0.203791848	0.023061165	0.090361919	0.203314318
D435	AAA ATPase forming ring-shaped complexes	0.238963682	0.1374988	-0.208652824	-0.190580532	0.290695019	-0.046547121	-0.009037259	0.17170792
D17297	Putative bacterial sensory transduction regulator	0.190242931	0.1374988	-0.230010987	-0.290799605	0.170464218	-0.080094595	-0.050115709	0.112554953
D5223	COG0657 Esterase lipase	0.057902622	0.335331901	-0.269640985	-0.169263684	0.177574328	0.050068498	-0.150912568	0.228337277
D15528	Phosphoadenosine phosphosulfate reductase	0.147219733	0.337109629	-0.220838696	-0.312761402	0.025846939	0.017167596	0.004484587	0.119962696
D4124	Chromate transporter	0.147219733	0.337109629	0.093043714	-0.108737835	0.371971166	-0.135051758	0.208533284	0.214139018
D9451	Glycosyltransferase	0.289444871	0.206167401	-0.100621967	-0.156988902	0.153641056	-0.141017508	0.018170093	0.008852097
D15577	"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"	0.238963682	0.1374988	-0.02628697	0.015607888	0.318693973	-0.111545352	-0.03286276	-0.034505898
D6282	Cyclic nucleotide-monophosphate binding domain	0.057231145	0.229955947	-0.104814549	-0.164442382	0.107875635	-0.030438855	-0.082930168	-0.033544787
D19062	Sodium/hydrogen exchanger family	-0.006960107	0.158473193	0.003285871	-0.047645133	0.276695542	-0.153479695	0.047651002	0.023825501
D18379	rRNA processing	0.041443243	0.206167401	-0.105746234	-0.155591375	0.187264631	-0.118188367	0.114145456	0.138372247
D21260	translation release factor activity	0.073019047	0.253744493	-0.102019494	-0.180746867	0.198472489	-0.107249403	0.116940855	0.153281041
D13095	Oxidoreductase FAD-binding domain	0.31896725	-0.064080857	-0.316227766	-0.158113883	-0.271722464	-0.023061165	-0.271085758	-0.271085758
D2175	Belongs to the anaerobic coproporphyrinogen-III oxidase family	0.31896725	-0.064080857	-0.316227766	-0.158113883	-0.271722464	-0.023061165	-0.271085758	-0.271085758
D6713	Diaminopropionate ammonia-lyase	0.31896725	-0.064080857	-0.316227766	-0.158113883	-0.271722464	-0.023061165	-0.271085758	-0.271085758
D12022	molybdopterin-guanine dinucleotide biosynthesis protein	0.436910176	0.308487114	-0.251105928	-0.321729471	-0.060684118	-0.001144506	-0.139022189	-0.060541921
D3979	Cellulase (glycosyl hydrolase family 5)	0.436910176	0.308487114	-0.251105928	-0.321729471	-0.060684118	-0.001144506	-0.139022189	-0.060541921
D9435	glycosyl transferase group 1	0.436910176	0.308487114	-0.251105928	-0.321729471	-0.060684118	-0.001144506	-0.139022189	-0.060541921
D11114	lipolytic protein G-D-S-L family	0.435327168	0.337109629	-0.236532816	-0.328455522	-0.037084739	0.001144506	-0.121083842	-0.036997841
D19060	Sodium/calcium exchanger protein	0.435327168	0.337109629	-0.236532816	-0.328455522	-0.037084739	0.001144506	-0.121083842	-0.036997841
D14456	PFAM NAD-dependent epimerase dehydratase	0.21808336	0.179447586	-0.456736104	-0.462486378	-0.073291379	0.041095656	-0.197176559	0.056688261
D15529	Phosphoadenosine phosphosulfate reductase family	0.322336334	0.229955947	-0.341462509	-0.415065615	-0.089662866	-0.052316782	-0.245063306	-0.190087127
D13070	"Oxaloacetate decarboxylase, gamma chain"	0.321020676	0.253744493	-0.367083843	-0.357766994	-0.133093316	0.000951214	-0.154678741	-0.057305678
D15601	Phosphoglycolate phosphatase	0.306548432	0.206167401	-0.390375965	-0.345655091	-0.168584867	-0.001902428	-0.177041932	-0.087123267
D7831	DUF218 domain	0.322336334	0.229955947	-0.379195747	-0.352176885	-0.152707068	-0.000951214	-0.169587535	-0.07687347
D10751	Iron-sulfur cluster-binding domain	0.322336334	0.229955947	-0.379195747	-0.352176885	-0.152707068	-0.000951214	-0.169587535	-0.07687347
D11678	Metallo-hydrolase oxidoreductase	-0.095690175	-0.064080857	0.112938488	0.135526185	0.135861232	-0.069183496	-0.135542879	-0.203314318
D12973	ORF11CD3 domain	-0.095690175	-0.064080857	-0.180701581	0.067763093	0	-0.219081071	-0.067771439	-0.135542879
D9446	Glycosyl-hydrolase 97 N-terminal	-0.095690175	-0.064080857	0.158113883	0.158113883	0.317009542	-0.219081071	0.203314318	0.090361919
D11677	Metallo-dependent phosphatase	-0.095690175	-0.064080857	-0.067763093	0.225876976	0.045287077	0.207550488	0.04518096	0.158133359
D7079	DNA topoisomerase (ATP-hydrolyzing)	-0.20184311	-0.135168312	-0.098576137	-0.124863107	0.394455848	0.002096717	-0.124878488	0.007394121
D19327	Sterol carrier protein	0.025520393	-0.135168312	-0.290799605	-0.191402	0.32034097	0.064998231	-0.149525557	0.044364726
D21027	Transcription factor WhiB	0.025520393	-0.135168312	-0.290799605	-0.191402	0.32034097	0.064998231	-0.149525557	0.044364726
D826	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA	0.041760643	-0.135168312	-0.286692266	-0.173329708	0.306341493	0.041095656	-0.135558884	0.05750983
D3490	"Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine"	0.041760643	-0.135168312	-0.291621073	-0.181544386	0.317046976	0.064159544	-0.151990264	0.033684329
D10496	"Integral membrane protein, TerC family"	0.058000894	-0.135168312	-0.295728412	-0.174151176	0.307164992	0.059127423	-0.152811833	0.032041191
