		Candida dubliniensis	Aspergillus puulaauensis	Ruthenibacterium lactatiformans	Bacteroides ovatus	Dysosmobacter welbionis	Methylorubrum populi	[Clostridium] scindens	Clostridioides difficile
D21472	tRNA (Uracil-5-)-methyltransferase	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D19855	thioesterase	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D17453	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D14471	PFAM NADPH-dependent FMN reductase	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D11103	"lipid kinase, YegS Rv2252 BmrU family"	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D10416	Indole-3-glycerol phosphate synthase	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D8977	GH3 auxin-responsive promoter	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D8200	exo-alpha-sialidase activity	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D7299	Domain of unknown function (DUF3440)	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D5432	COG1387 Histidinol phosphatase and related hydrolases of the PHP family	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D5391	COG1226 Kef-type K transport systems	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D4119	Chromate	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D4107	chorismate binding enzyme	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D594	"ABC-type nitrate sulfonate bicarbonate transport system, permease component"	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D3704	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NADPH and FADH(2) as the reductant"	0.13106703	0.004462593	0.907412794	0.122091935	0.288982283	0.905480545	0.64109763	0.290138071
D435	AAA ATPase forming ring-shaped complexes	0.211871476	0.476915394	0.277383743	0.322038156	0.126057594	0.810510396	0.962890033	0.373121151
D17297	Putative bacterial sensory transduction regulator	0.32291218	0.476915394	0.230008086	0.125915163	0.376645233	0.67959596	0.796274108	0.561026569
D5223	COG0657 Esterase lipase	0.765436354	0.075358073	0.157201416	0.380065294	0.356759776	0.79646204	0.434548305	0.23351079
D15528	Phosphoadenosine phosphosulfate reductase	0.446002614	0.073727863	0.249640188	0.098549624	0.894122681	0.929566706	0.981580084	0.53535838
D4124	Chromate transporter	0.446002614	0.073727863	0.631185214	0.574468477	0.046926466	0.484867421	0.277665331	0.264657861
D9451	Glycosyltransferase	0.127769279	0.283276164	0.603515321	0.416054672	0.42618923	0.46559999	0.925464768	0.963649869
D15577	"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"	0.211871476	0.476915394	0.892330447	0.93595207	0.091991054	0.564567856	0.865613922	0.858959484
D6282	Cyclic nucleotide-monophosphate binding domain	0.76808249	0.230122709	0.588432084	0.393980335	0.57752447	0.875446639	0.668879547	0.862850707
D19062	Sodium/hydrogen exchanger family	0.971415547	0.411604764	0.986503144	0.806123534	0.146209124	0.426681107	0.806100102	0.902362366
D18379	rRNA processing	0.830973559	0.283276164	0.585102706	0.420268831	0.330685865	0.541455302	0.555468367	0.474093403
D21260	translation release factor activity	0.70660015	0.184108828	0.598469371	0.348092217	0.30202242	0.579748612	0.545761463	0.427287088
D13095	Oxidoreductase FAD-binding domain	0.091697115	0.741213914	0.094676101	0.412679526	0.153898489	0.905480545	0.154903499	0.154903499
D2175	Belongs to the anaerobic coproporphyrinogen-III oxidase family	0.091697115	0.741213914	0.094676101	0.412679526	0.153898489	0.905480545	0.154903499	0.154903499
D6713	Diaminopropionate ammonia-lyase	0.091697115	0.741213914	0.094676101	0.412679526	0.153898489	0.905480545	0.154903499	0.154903499
D12022	molybdopterin-guanine dinucleotide biosynthesis protein	0.017795982	0.10348882	0.188868225	0.088765868	0.754502896	0.995298705	0.471999157	0.755060735
D3979	Cellulase (glycosyl hydrolase family 5)	0.017795982	0.10348882	0.188868225	0.088765868	0.754502896	0.995298705	0.471999157	0.755060735
D9435	glycosyl transferase group 1	0.017795982	0.10348882	0.188868225	0.088765868	0.754502896	0.995298705	0.471999157	0.755060735
D11114	lipolytic protein G-D-S-L family	0.018261371	0.073727863	0.216696484	0.081926251	0.848534798	0.995298705	0.531522817	0.848885677
D19060	Sodium/calcium exchanger protein	0.018261371	0.073727863	0.216696484	0.081926251	0.848534798	0.995298705	0.531522817	0.848885677
D14456	PFAM NAD-dependent epimerase dehydratase	0.25574691	0.35162654	0.01275077	0.011534074	0.70555406	0.832371251	0.305254376	0.77022374
D15529	Phosphoadenosine phosphosulfate reductase family	0.088131517	0.230122709	0.069850979	0.025157807	0.643691501	0.787524766	0.200088372	0.323316037
D13070	"Oxaloacetate decarboxylase, gamma chain"	0.089511151	0.184108828	0.050130277	0.056714876	0.491280115	0.996092686	0.423033537	0.767788647
D15601	Phosphoglycolate phosphatase	0.105789274	0.283276164	0.036290721	0.066267885	0.382007034	0.99218546	0.358226771	0.653149118
D7831	DUF218 domain	0.088131517	0.230122709	0.042490303	0.060979892	0.429040613	0.996092686	0.379140945	0.69184388
D10751	Iron-sulfur cluster-binding domain	0.088131517	0.230122709	0.042490303	0.060979892	0.429040613	0.996092686	0.379140945	0.69184388
D11678	Metallo-hydrolase oxidoreductase	0.621464349	0.741213914	0.55968394	0.483320425	0.482229441	0.721388161	0.483266037	0.290138071
D12973	ORF11CD3 domain	0.621464349	0.741213914	0.348215046	0.726889898	1	0.253524455	0.726857528	0.483266037
D9446	Glycosyl-hydrolase 97 N-terminal	0.621464349	0.741213914	0.412679526	0.412679526	0.093818622	0.253524455	0.290138071	0.64109763
D11677	Metallo-dependent phosphatase	0.621464349	0.741213914	0.726889898	0.238724092	0.815551533	0.279987359	0.815976417	0.41262123
D7079	DNA topoisomerase (ATP-hydrolyzing)	0.293717325	0.484487132	0.610934373	0.518691165	0.03421834	0.991387415	0.518639256	0.969633884
D19327	Sterol carrier protein	0.895453023	0.484487132	0.125915163	0.319917529	0.090230301	0.737637166	0.438831574	0.819246228
D21027	Transcription factor WhiB	0.895453023	0.484487132	0.125915163	0.319917529	0.090230301	0.737637166	0.438831574	0.819246228
D826	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA	0.829697692	0.484487132	0.13159809	0.368554796	0.10603707	0.832371251	0.483213894	0.766983946
D3490	"Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine"	0.829697692	0.484487132	0.124800555	0.345933382	0.093777711	0.740906911	0.431236026	0.862285551
D10496	"Integral membrane protein, TerC family"	0.765049303	0.484487132	0.119336124	0.366254418	0.105053551	0.760616355	0.428720255	0.868944543
D17480	"Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as inosine triphosphate (ITP), deoxyinosine triphosphate (dITP) or xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions"	0.621464349	0.741213914	0.193717491	0.154956328	0.726240321	0.721388161	0.559635269	0.348154673
D2576	Belongs to the pyrroline-5-carboxylate reductase family	0.621464349	0.741213914	0.193717491	0.154956328	0.726240321	0.721388161	0.559635269	0.348154673
D16219	prolyl-tRNA synthetase	0.621464349	0.741213914	0.193717491	0.154956328	0.726240321	0.721388161	0.559635269	0.348154673
D9772	Helicase	0.621464349	0.741213914	0.122091935	0.483320425	0.34700453	1	0.64109763	0.815976417
D11709	Methionine biosynthesis protein MetW	0.621464349	0.741213914	0.122091935	0.483320425	0.34700453	1	0.64109763	0.815976417
