		Acinetobacter baumannii	Yarrowia lipolytica	Human betaherpesvirus 7	Paracoccus pantotrophus	Acinetobacter tandoii	Zymoseptoria tritici	Methanobrevibacter_A smithii_A	Fusobacterium nucleatum	Gemella morbillorum	Thermothelomyces thermophilus	Candidatus Methanomethylophilus alvus	Lachnoanaerobaculum umeaense	Streptococcus mutans	Streptococcus constellatus
D475	ABC transporter	0.165859965	0.183621499	0.109962376	0.001023326	0.018403434	0.415334396	0.060962797	0.034130423	2.00E-07	0.000246286	0.000211865	4.33E-05	0.000133805	3.77E-11
D2186	Belongs to the aspartokinase family	0.164894938	0.197370294	0.109962376	0.001146195	0.022724673	0.530474642	0.072264452	0.035214145	1.13E-07	0.000617144	0.000247689	4.77E-05	0.000554044	9.12E-10
D81	1-deoxy-D-xylulose-5-phosphate synthase	0.164654326	0.188216233	0.109962376	0.001104963	0.020647828	0.471012811	0.066611432	0.035450057	4.42E-07	0.000526155	0.000217392	4.41E-05	0.00043203	5.65E-10
D8807	FtsX-like permease family	0.168779885	0.205673267	0.109962376	0.001125409	0.022724673	0.471012811	0.063003497	0.038469272	2.40E-07	0.000452407	0.000180842	3.44E-05	0.000573823	3.71E-10
D15447	PhoH-like protein	0.329884875	0.336439434	0.148682905	0.00271859	0.052407285	0.399147015	0.060172128	0.043441867	1.37E-05	6.87E-05	1.89E-05	2.29E-06	6.43E-05	7.40E-13
D18335	RNA-directed DNA polymerase activity	0.22220336	0.071975611	0.109962376	0.00163664	0.019649667	0.442685709	0.014923144	0.031115327	0.000214363	0.000457345	6.28E-05	1.55E-05	0.000328862	3.52E-10
D3677	"Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway"	0.176748929	0.133734086	0.148682905	0.002481555	0.014283732	0.371239324	0.061976273	0.052789344	9.33E-06	6.68E-05	0.002296204	0.001084519	0.000133908	8.79E-13
D20184	"TIGRFAM hydrolase, TatD family"	0.177024221	0.130200946	0.148682905	0.002451384	0.013893319	0.371239324	0.063957442	0.050111601	9.26E-06	6.73E-05	0.002337567	0.00110089	9.43E-05	8.17E-13
D1088	Alkaline phosphatase homologues	0.177024221	0.130200946	0.148682905	0.002451384	0.013893319	0.371239324	0.063957442	0.050111601	9.26E-06	6.73E-05	0.002337567	0.00110089	9.43E-05	8.17E-13
D11753	methylated-DNA-[protein]-cysteine S-methyltransferase activity	0.177024221	0.130200946	0.148682905	0.002451384	0.013893319	0.371239324	0.063957442	0.050111601	9.26E-06	6.73E-05	0.002337567	0.00110089	9.43E-05	8.17E-13
D19880	Thioredoxin	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
D13304	Pas domain	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
D10653	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
D6860	DJ-1/PfpI family	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
D3771	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP	0.178128499	0.126960102	0.148682905	0.002443893	0.013893319	0.399147015	0.066539759	0.047436817	8.64E-06	6.68E-05	0.002358497	0.001106396	9.23E-05	7.40E-13
