		Bacteroides ovatus	Candida dubliniensis	Aspergillus puulaauensis	Methylorubrum populi	Clostridioides difficile	Ruthenibacterium lactatiformans	Dysosmobacter welbionis	[Clostridium] scindens
D2576	Belongs to the pyrroline-5-carboxylate reductase family	0.617265782	0.450180166	0.041503735	0.916579773	0.069988353	0.142654112	0.13089398	0.310978967
D18379	rRNA processing	0.586394611	0.817001439	0.000957803	0.573695939	0.004722093	0.630812417	0.124809227	0.330075232
D3704	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NADPH and FADH(2) as the reductant"	0.82709354	0.529924581	0.002283631	0.39665604	0.024743379	0.205084969	0.081070507	0.334997434
D14471	PFAM NADPH-dependent FMN reductase	0.59095951	0.51143048	0.002435283	0.378894213	0.015037477	0.481691367	0.069303387	0.19006745
D17170	PSP1 C-terminal conserved region	0.745574461	0.523530648	0.000619551	0.089939935	0.029026059	0.400609851	0.100929363	0.191642601
D15706	phosphoribosylglycinamide formyltransferase	0.528061809	0.721040784	0.007060744	0.072862677	0.073957676	0.054191315	0.140008592	0.15946377
D15842	Plays a role in maintenance of chromatin structure during RNA polymerase II transcription elongation thereby repressing transcription initiation from cryptic promoters. Mediates the reassembly of nucleosomes onto the promoters of at least a selected set of genes during repression	0.239262012	0.907379392	0.050261393	0.394009764	0.136341016	0.149623425	0.264630842	0.444461771
D16219	prolyl-tRNA synthetase	0.509270161	0.900673207	0.069141385	0.217203277	0.149880043	0.120843017	0.338824459	0.312248923
D594	"ABC-type nitrate sulfonate bicarbonate transport system, permease component"	0.395243299	0.881676962	0.015514542	0.104884792	0.085039368	0.297139971	0.385239435	0.413991815
D17480	"Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as inosine triphosphate (ITP), deoxyinosine triphosphate (dITP) or xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions"	0.309714304	0.695075988	0.006189268	0.197845534	0.138916912	0.075376839	0.309966084	0.437231617
D11103	"lipid kinase, YegS Rv2252 BmrU family"	0.695712456	0.88591259	0.206179478	0.085686071	0.002568327	0.349161602	0.126233033	0.045615931
D10751	Iron-sulfur cluster-binding domain	0.167776498	0.938747814	0.29087717	0.519735778	0.008166964	0.434870171	0.232328834	0.198009721
D8200	exo-alpha-sialidase activity	0.136629795	0.653769979	0.026112917	0.192424629	0.009237954	0.429429553	0.174014638	0.165122329
D21472	tRNA (Uracil-5-)-methyltransferase	0.095822429	0.787160512	0.070672915	0.362868396	0.029219746	0.277968286	0.352438765	0.406242316
D7299	Domain of unknown function (DUF3440)	0.197014086	0.248965978	0.016180541	0.036617339	0.151325425	0.761959543	0.736419127	0.313930485
D19062	Sodium/hydrogen exchanger family	0.233336123	0.184123875	0.090644103	0.089441652	0.169915056	0.900416419	0.793342817	0.728367064
D19876	"Thiolase, N-terminal domain"	0.36150767	0.458878319	0.216774639	0.143662054	0.155983601	0.566244675	0.675090973	0.347352193
D236	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	0.194187032	0.71228008	0.026626944	0.061100675	0.071072603	0.841735307	0.620195362	0.632239505
D4119	Chromate	0.249330089	0.642617628	0.057928331	0.040278192	0.047902898	0.701958781	0.565060662	0.31161354
D16298	protein histidine kinase activity	0.917459309	0.375035824	0.43252312	0.067070211	0.083168647	0.975044451	0.61173294	0.352746656
D16832	Protein of unknown function (DUF3853)	0.713217827	0.371498195	0.035536912	0.020066881	0.093939322	0.958418879	0.653433026	0.355895673
D17990	Rhs element Vgr protein	0.713217827	0.371498195	0.035536912	0.020066881	0.093939322	0.958418879	0.653433026	0.355895673
D4124	Chromate transporter	0.585587529	0.549862453	0.005831317	0.010073962	0.006152014	0.450494501	0.190220771	0.056905332
D5391	COG1226 Kef-type K transport systems	0.574882475	0.308556511	0.00390245	0.001053754	0.016874223	0.567143874	0.226190664	0.051736161
D9451	Glycosyltransferase	0.131130747	0.255694055	0.004464522	0.082487073	0.043636583	0.36694889	0.297111497	0.220503946
D8977	GH3 auxin-responsive promoter	0.356993562	0.132029103	0.001555796	0.027181291	0.083042171	0.526135156	0.525718367	0.434972495
D10416	Indole-3-glycerol phosphate synthase	0.448400618	0.102990756	0.002254307	0.020112389	0.085050642	0.340324747	0.334129595	0.179765062
D12130	Multicopper oxidase	0.026922553	0.388477136	0.253414812	0.927557222	0.322011929	0.918127567	0.173105974	0.021922463
D22243	"WD domain, G-beta repeat"	0.038604656	0.367980321	0.461365032	0.782127448	0.319779691	0.451588076	0.177085747	0.058984042
D9582	gtp-binding protein	0.03108347	0.314085843	0.073859004	0.931707899	0.966815576	0.938339258	0.525718367	0.236713883
D5269	COG0798 Arsenite efflux pump ACR3 and related permeases	0.056028045	0.367980321	0.045450586	0.382805107	0.712615151	0.991680337	0.461170441	0.094112341
D15759	phosphotyrosine protein phosphatase	0.029666459	0.439749771	0.134350897	0.722928301	0.712907609	0.819579505	0.348180508	0.091846896
D4107	chorismate binding enzyme	0.003967214	0.373127851	0.012005658	0.605068403	0.984221307	0.76845937	0.517672446	0.115816706
D9772	Helicase	0.005717426	0.576978582	0.008059697	0.397251817	0.906157188	0.881321379	0.66140071	0.34753614
D6713	Diaminopropionate ammonia-lyase	0.042283242	0.903465803	0.012450229	0.840229453	0.627991536	0.651356894	0.82652079	0.559932307
D21114	"Transcriptional regulator, effector binding domain protein"	0.042379007	0.858899542	0.002611434	0.924667554	0.816162315	0.604431711	0.760330585	0.328913658
D9435	glycosyl transferase group 1	0.016688196	0.972836236	0.112340058	0.553094646	0.720235459	0.361202359	0.599427385	0.338328667
D2175	Belongs to the anaerobic coproporphyrinogen-III oxidase family	0.017216986	0.727886229	0.00691164	0.467375154	0.977182409	0.731185679	0.519720545	0.143620414
D365	6-phosphogluconate dehydrogenase	0.056236644	0.846218058	0.02582076	0.892951465	0.82660307	0.978608649	0.520103782	0.109688103
D17962	RF-1 domain	0.09082598	0.838627097	0.068895545	0.924667554	0.815004109	0.592970623	0.545868786	0.230399174
D19855	thioesterase	0.135947175	0.463830381	5.09E-06	0.086279099	0.213387703	0.483962401	0.407728495	0.443151019
D12088	mRNA binding	0.16183174	0.850018678	0.002952	0.057359137	0.093939322	0.939439659	0.389859797	0.418014581
D13070	"Oxaloacetate decarboxylase, gamma chain"	0.200636018	0.862216954	0.002748991	0.237120032	0.134511251	0.484045282	0.459832689	0.467313069
D18068	Ribosomal L27 protein	0.114750146	0.702634702	0.00098591	0.080710098	0.152298974	0.45340583	0.458411972	0.717084795
D11677	Metallo-dependent phosphatase	0.236394206	0.267166783	0.001283833	0.170784412	0.439272767	0.177039683	0.661718087	0.877531889
D11678	Metallo-hydrolase oxidoreductase	0.252636133	0.287055445	0.001991673	0.19358705	0.502410042	0.205568898	0.771048039	0.990703048
D14456	PFAM NAD-dependent epimerase dehydratase	0.033099899	0.528498417	0.000343021	0.164206048	0.238710122	0.640645926	0.725665787	0.911041947
D11709	Methionine biosynthesis protein MetW	0.026844427	0.432905977	0.001066718	0.575701929	0.324983799	0.661201877	0.771568075	0.771275427
D13594	Peptidylprolyl isomerase	0.049564872	0.681656037	0.001756124	0.394858676	0.297042253	0.507448286	0.778052784	0.778609742
D15529	Phosphoadenosine phosphosulfate reductase family	0.171942532	0.590732326	0.002539546	0.955787181	0.415524667	0.734380404	0.775910157	0.77832399
D7423	Domain of unknown function (DUF4270)	0.170913495	0.57516253	0.000197956	0.357311907	0.612303986	0.91635808	0.988941796	0.691504622
D9349	"Glycosyl hydrolase family 20, catalytic domain protein"	0.419132116	0.349292702	0.001433622	0.526302746	0.657959201	0.989627301	0.964634803	0.623877787
D15601	Phosphoglycolate phosphatase	0.710934806	0.784033343	0.093570605	0.939961822	0.384739575	0.540508969	0.698111095	0.82698869
D15807	PKD domain	0.856640074	0.929185007	0.010843028	0.646239597	0.227235997	0.160533052	0.632978863	0.674169633
D1443	Anticodon-binding domain of tRNA	0.253939162	0.8466506	0.245114046	0.65316101	0.205664873	0.238177654	0.443694914	0.514554675
D6282	Cyclic nucleotide-monophosphate binding domain	0.060562422	0.700259845	0.095682261	0.9385613	0.174470861	0.582512628	0.631350298	0.638952805
D7831	DUF218 domain	0.167776498	0.979236108	0.043408782	0.895679385	0.215699308	0.45420296	0.562424655	0.94013052
D9747	heat shock factor	0.130411881	0.975813716	0.049366658	0.829067886	0.221982882	0.178351869	0.49024367	0.819674553
D4638	COG COG3344 Retron-type reverse transcriptase	0.668308376	0.40682583	0.002254905	0.447263625	0.153198469	0.691550898	0.320879905	0.467176177
D5432	COG1387 Histidinol phosphatase and related hydrolases of the PHP family	0.223407345	0.810460104	0.021626525	0.748347407	0.205084969	0.779713378	0.435516373	0.427278446
D17339	Putative heavy-metal chelation	0.213363565	0.62663546	0.059258819	0.443962873	0.109562065	0.876860016	0.42865673	0.65576461
D21260	translation release factor activity	0.018130404	0.731120975	0.013032591	0.284634071	0.063526611	0.58401943	0.314690163	0.619898842
D11114	lipolytic protein G-D-S-L family	0.021636025	0.854425011	0.002688672	0.977746393	0.24225908	0.731507738	0.646056448	0.878784985
D12022	molybdopterin-guanine dinucleotide biosynthesis protein	0.053037577	0.900287566	0.023893029	0.957330602	0.238868362	0.924489815	0.646750343	0.826241811
D12973	ORF11CD3 domain	0.050562301	0.699918209	0.006285905	0.98607313	0.249065377	0.975108696	0.568621736	0.990703048
D4611	COG COG2755 Lysophospholipase L1 and related esterases	0.632955636	0.735361515	0.408758569	0.375772595	0.298343785	0.190018439	0.820258617	0.79620201
