		Acinetobacter baumannii	Streptococcus mutans	Lachnoanaerobaculum umeaense	Candidatus Methanomethylophilus alvus	Acinetobacter tandoii	Yarrowia lipolytica	Human betaherpesvirus 7	Fusobacterium nucleatum	Streptococcus constellatus	Gemella morbillorum	Zymoseptoria tritici	Thermothelomyces thermophilus	Methanobrevibacter_A smithii_A	Paracoccus pantotrophus
D2447	Belongs to the MenA family. Type 1 subfamily	0.336643246	0.248482752	0.195416541	0.12525745	0.192550773	-0.160531207	-0.096330747	0.157669107	0.119241427	0.190410809	0.07385058	-0.103808844	-0.004687383	-0.104238157
D3428	"Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds"	0.305229502	0.237010671	0.17919654	0.115246284	0.213266372	-0.134603653	-0.105518009	0.136517016	0.061754187	0.158296733	0.067937816	-0.094079085	-0.03365101	-0.011498325
D3756	Catalyzes the sodium-dependent transport of glutamate	0.36402955	0.259719636	0.185908448	0.095950547	0.197753821	-0.12821581	-0.09047043	0.202345594	0.074079496	0.169777052	0.096183201	-0.112280726	-0.064693551	-0.020745016
D10006	histidyl-tRNA synthetase	0.339874756	0.292829911	0.141958973	0.107561061	0.196921875	-0.183752956	-0.107497424	0.093906946	0.134800231	0.2321291	0.106101761	-0.040480923	-0.030060928	-0.009965949
D3528	Catalyzes the ferrous insertion into protoporphyrin IX	0.347495175	0.236892495	0.185614638	0.087264783	0.158757219	-0.076284375	-0.079742711	0.165930692	0.189128046	0.180237336	0.054828884	-0.043524791	-0.026199424	-0.024118505
D8537	"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA"	0.347859569	0.290005891	0.193180252	0.112313905	0.183181407	-0.110193022	-0.09047043	0.08283751	0.164807326	0.208561136	0.028849144	-0.038230947	-0.002561396	0.00054286
D9577	GTP cyclohydrolase I activity	0.299724682	0.225992909	0.15328212	0.073887103	0.196803903	-0.09566551	-0.092962539	0.083048925	0.134291316	0.170601286	0.008820433	-0.051552562	-0.034983039	-0.030917169
D3441	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate	0.279558479	0.216726646	0.169234715	0.078346365	0.166453917	-0.191638285	-0.072590898	0.188174097	0.065438751	0.133479127	0.159852951	-0.038828639	-0.075780737	-0.00581636
D2499	Belongs to the ompA family	0.278959058	0.218263086	0.208304048	0.054369663	0.11546514	-0.153443957	-0.085726504	0.241427543	0.059666634	0.110459153	0.090990884	-0.089040361	-0.098104462	-0.061918775
D15798	PIN domain	0.266212551	0.183066922	0.206328262	0.102077112	0.153266908	-0.151399487	-0.079742711	0.161949524	0.046444008	0.09139858	0.077435135	-0.077209009	-0.03033425	-0.038387974
D6850	Divergent AAA domain protein	0.290952368	0.150575959	0.12103833	0.046569254	0.16708462	-0.108146725	-0.051988998	0.11260324	0.148947532	0.115085205	0.120765816	-0.007063853	-0.151442309	-0.114917381
D3453	"Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin"	0.39085125	0.185937899	0.214682976	0.146670424	0.179043695	-0.132338807	-0.118300212	0.093849767	0.115067198	0.17290113	0.165269304	-0.09741151	-0.016927836	-0.156369653
