		Acinetobacter baumannii	Streptococcus mutans	Lachnoanaerobaculum umeaense	Candidatus Methanomethylophilus alvus	Acinetobacter tandoii	Yarrowia lipolytica	Human betaherpesvirus 7	Fusobacterium nucleatum	Streptococcus constellatus	Gemella morbillorum	Zymoseptoria tritici	Thermothelomyces thermophilus	Methanobrevibacter_A smithii_A	Paracoccus pantotrophus
D2447	Belongs to the MenA family. Type 1 subfamily	0.007464828	0.051486907	0.127980604	0.3320297	0.133779997	0.21261691	0.456388213	0.220991952	0.355955404	0.138238227	0.568375371	0.422015436	0.971156738	0.420088118
D3428	"Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds"	0.015850392	0.063629349	0.163441715	0.37241457	0.096053703	0.296922006	0.414372474	0.290044899	0.633495473	0.219135959	0.599817409	0.467030371	0.79513418	0.929321715
D3756	Catalyzes the sodium-dependent transport of glutamate	0.003631102	0.041495652	0.14798111	0.458175794	0.123393435	0.320645079	0.484362321	0.114747296	0.567173682	0.187095413	0.457081473	0.384924242	0.617388721	0.872850093
D10006	histidyl-tRNA synthetase	0.006878275	0.020904591	0.271060641	0.405342014	0.125011655	0.152822576	0.405621551	0.467849443	0.296210597	0.069450931	0.411780481	0.754745394	0.81658828	0.938721512
D3528	Catalyzes the ferrous insertion into protoporphyrin IX	0.005652195	0.063765485	0.148634231	0.500039079	0.217781184	0.555660456	0.537829318	0.197430665	0.140963603	0.160969545	0.672108712	0.736946876	0.83981445	0.852388715
D8537	"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA"	0.005598717	0.022230045	0.132489455	0.384782912	0.154125821	0.393879153	0.484362321	0.522113738	0.200524586	0.103793321	0.823861023	0.767984437	0.984236399	0.996658873
D9577	GTP cyclohydrolase I activity	0.017947594	0.077365055	0.234271917	0.568183563	0.125242424	0.459518452	0.472356895	0.521048622	0.298054632	0.18493231	0.945753768	0.690682464	0.787211404	0.811458622
D3441	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate	0.027769578	0.090654976	0.188528608	0.54499504	0.196001306	0.135667556	0.575009155	0.143016332	0.613333213	0.30101302	0.214581112	0.764460953	0.558280477	0.964213811
D2499	Belongs to the ompA family	0.028119793	0.088335436	0.104229724	0.674700658	0.371501206	0.233772437	0.507653899	0.058706727	0.645038879	0.392730833	0.481841856	0.491323597	0.44809948	0.632589004
D15798	PIN domain	0.036491947	0.154387857	0.107631159	0.429840824	0.234318902	0.240136505	0.537829318	0.208550509	0.720005349	0.479872328	0.549696038	0.550865623	0.814949993	0.767058284
D6850	Divergent AAA domain protein	0.021778096	0.242733312	0.348700675	0.719281413	0.194288182	0.402774633	0.688197467	0.383551769	0.247924678	0.373087676	0.34979498	0.956545132	0.240001998	0.373789749
D3453	"Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin"	0.001684331	0.147915761	0.093813964	0.255310213	0.163807099	0.305198685	0.359792165	0.468121683	0.373162969	0.178992137	0.199248078	0.451327743	0.896102309	0.224869492
D10898	"Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis"	0.009037434	0.113749284	0.222999731	0.530105369	0.329915069	0.249300865	0.732684232	0.434682938	0.324484935	0.148196455	0.21243529	0.670371007	0.816991048	0.505100201
D3735	Catalyzes the reversible oxidation of malate to oxaloacetate	0.032411348	0.403462095	0.068981105	0.173617827	0.174741354	0.181012124	0.478626833	0.253559259	0.077876408	0.367641457	0.97410219	0.499894343	0.954411653	0.555489305
D10903	KH type 2 domain protein	0.033356007	0.346044604	0.151659137	0.168979659	0.257546836	0.14038595	0.721353968	0.388553572	0.172507452	0.621397965	0.736781188	0.552378488	0.827440661	0.850009606
D5266	"COG0790 FOG TPR repeat, SEL1 subfamily"	0.005702738	0.210285375	0.224941172	0.27936697	0.415480199	0.220745611	0.22156069	0.032886293	0.04363451	0.615536594	0.70922326	0.592960448	0.523055753	0.829648385
D20950	"TonB-linked outer membrane protein, SusC RagA family"	0.119539955	0.342242253	0.117066065	0.241443865	0.265800935	0.772791676	0.07347274	0.080099772	0.067486824	0.301271884	0.718334268	0.444726441	0.684924879	0.683881712
D12679	NMT1-like family	0.017122419	0.085125453	0.111444853	0.428415198	0.165341487	0.084627597	0.736096716	0.105342852	0.667124544	0.269540648	0.975827654	0.888560583	0.831156369	0.868955081
D19632	tape measure	0.016363606	0.125488263	0.151747738	0.299044592	0.055590626	0.175653007	0.257261833	0.097792286	0.456368843	0.341609852	0.842275801	0.79005439	0.529750771	0.854043855
D18569	Secretion protein	0.055535179	0.10621624	0.192861117	0.687272123	0.161623291	0.255320418	0.298690699	0.038505705	0.380798665	0.316714059	0.635282399	0.999823389	0.198959309	0.62539574
D19710	Tetratricopeptide repeat-like domain	0.144903663	0.127205536	0.115609183	0.40786426	0.242949116	0.537897683	0.298690699	0.042165365	0.597913516	0.332956481	0.877598941	0.531820219	0.402900897	0.997593877
D4190	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins	0.005701382	0.075653623	0.191573099	0.283799753	0.183631263	0.459413548	0.51263685	0.423911165	0.231820578	0.261708464	0.869214866	0.897659385	0.428505197	0.797717837
D4196	Clp protease	0.006402879	0.127346053	0.251766527	0.178064786	0.146540283	0.61035026	0.350353705	0.489170731	0.293253274	0.389996543	0.884945869	0.963592885	0.463205748	0.934790483
D2381	Belongs to the GPI family	0.020656663	0.232374088	0.116678913	0.220496052	0.131409224	0.952111318	0.440719979	0.605897025	0.159787862	0.420806258	0.783053732	0.8064896	0.871362292	0.887854498
D3786	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation	0.003443741	0.205472188	0.249962227	0.290681197	0.072285396	0.926078705	0.743742727	0.527289605	0.18477155	0.244273957	0.895180439	0.847410135	0.661121617	0.871275536
D358	6-bladed beta-propeller	0.016525494	0.445291675	0.710389519	0.311114733	0.281447465	0.141557707	0.526225347	0.111373808	0.445341231	0.558440786	0.703501158	0.711718864	0.189448404	0.843804126
D2627	Belongs to the SUA5 family	0.006278426	0.49415396	0.341348958	0.343615631	0.04785287	0.965318406	0.623864309	0.156917652	0.441063602	0.574440578	0.944190647	0.920402899	0.449157258	0.618505639
D7487	Domain of unknown function (DUF4373)	0.00685706	0.496058137	0.357541478	0.273710688	0.060832076	0.18242621	0.507653899	0.186067085	0.473331137	0.73919785	0.850357048	0.817634586	0.720589968	0.501863732
D19429	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"	0.008553569	0.319543174	0.057332205	0.598089457	0.070845026	0.851607908	0.473573148	0.151424386	0.709164587	0.442434211	0.483109059	0.330823941	0.43983455	0.664855783
D5134	COG0457 FOG TPR repeat	0.028085177	0.439941455	0.133646482	0.450134102	0.040164112	0.652968091	0.925988231	0.07548632	0.528076404	0.685495294	0.814176878	0.260163969	0.557134173	0.880041755
D18759	siderophore transport	0.048456884	0.72598445	0.082443163	0.442561356	0.222695192	0.54373971	0.677284167	0.095554788	0.406529255	0.844609925	0.246913946	0.448922141	0.404063871	0.802695
D10906	KilA-N	0.309271894	0.257772222	0.050749482	0.471605801	0.892847093	0.316517027	0.633204847	0.078087123	0.383116589	0.191239668	0.065298194	0.529504223	0.489323874	0.682270847
D83	"1,4-alpha-glucan branching enzyme"	0.116297132	0.116346908	0.027088678	0.82819955	0.250000779	0.490005682	0.957207936	0.000907444	0.154983488	0.265131529	0.200481531	0.680691691	0.268610026	0.958386788
