	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Plasma cells	-2.493563327	-2.523516777	-2.142624599	-2.568501367	-2.226134187	-2.211323912	-2.404169107	-1.493539307	-2.716102336	-3.180330201	-3.260316825	-2.816325681	-1.703496992	-2.527669408	-2.499346621	-2.759873138	-3.002930732	-2.813118732	-2.541335051	-2.358852612	-2.700859065	-2.197110819	-2.257697064	-2.432460654	-1.948552824	-2.327008226	-3.022747997	-1.140004524	-2.609629503	-2.583603621	-2.869044192	-2.847937546	-2.404226715	-2.73199128	-2.418267634	-2.75930469	-2.641345905	-2.672570723	-2.160813774	0	-2.101920932	-2.295445891	0	-2.615603297	-0.950221036	-1.897041114	-2.280564669	-2.351372719	-2.209872269	-2.489902556	-2.537010822	0	-2.53147126	-2.496299763	-1.455708336	-2.49652142	-2.7929936	-2.517932274	-2.016965889	-2.633778323
B cells naive	1.205826729	1.35816436	-0.13332997	0.841998322	1.245754241	0.193113794	0.817305215	1.311660274	1.182532806	2.204896183	2.131796499	2.484705551	0.18203335	0.740075973	1.268945859	1.774753143	0.368814702	0.696614838	2.668316444	1.276685967	0.692711124	0.905609569	1.618677885	3.671625367	2.216923375	1.940379138	2.93801528	0.351789803	0.796773589	3.487991257	3.06718688	3.902998502	2.131544005	0.983539603	2.878090695	2.156521498	0.276539978	1.219634961	2.261834706	0	0.44614626	1.365694595	0	0.980713013	-0.546498147	-0.528669613	1.245849243	0.784330689	1.716702313	1.0489092	1.476057808	0	1.920239691	2.153842773	0.500380174	1.603226369	1.848501386	0.535782483	1.144157181	1.685652838
Macrophages M2	-1.556372894	-1.427056614	-0.428886479	-2.303798686	-1.482566633	-0.734684545	-3.27870795	0.562388292	-1.206552623	-2.559688374	-1.48716233	-2.662635906	-2.029408965	-1.635570369	-1.626986665	-2.28943857	-2.278792083	-1.207365511	-1.59295278	-0.928506647	-0.073329652	-1.682264231	-1.151738804	-1.614210665	-0.872117655	-2.153182964	-1.929270385	-0.90698037	-1.781094145	-1.471784537	-1.759035691	-2.850925603	-0.774655379	-2.038255449	-2.183526685	-2.486112139	-2.498023788	-2.477992931	-0.615859414	0	-0.48575614	-0.190776178	0	-1.300904508	0.352195992	-0.556835567	-1.388956339	-1.244591976	-1.573654862	-1.259714794	-1.652135095	0	-1.66740887	-1.437762811	-1.010624957	-2.143529865	-2.271185985	-0.343925764	-1.602485335	-3.237512555
T cells gamma delta	-0.465286009	-0.399763602	-0.063674911	-0.75675334	-0.431245512	-0.141618976	-0.731354076	0.503895616	-0.231745191	-0.795606813	-0.484587193	-0.72645498	-0.31501314	-0.527641016	-0.510371002	-0.802107851	-0.802531878	-0.314455844	-0.519895693	-0.164507951	0.189166356	-0.446827847	-0.316554395	-0.621022762	-0.345938139	-0.450942914	-0.604551156	0.197113344	-0.541588694	-0.637127917	-0.687780195	-0.945580503	-0.17940662	-0.452360092	-0.793473282	-0.759102889	-0.510063819	-0.724306371	-0.024065696	0	0.025874148	0.014994733	0	-0.50151415	0.476586718	0.541676681	-0.587805327	-0.011486802	-0.646263487	-0.271726576	-0.523897336	0	-0.529881383	-0.522925729	0.337268927	-0.501276044	-0.781626484	0.064007149	-0.106195462	-0.835376459
Mast cells activated	-0.896225894	-0.794474506	-0.729079357	-1.16903445	-1.077399447	-0.757041059	-1.227733976	-0.592196645	-0.432720725	-0.701356833	-0.29070838	-0.909734907	-1.336519596	-0.94330842	-0.945312879	-1.069231792	-0.869266286	-0.45722674	-0.924498256	-0.655443693	0.035732767	-1.111861092	-0.921353705	-1.141697144	-1.226876208	-0.988290194	-0.618663206	-1.204982593	-0.88659203	-1.043780024	-0.858883864	-1.152733323	-0.644060124	-0.660713456	-1.345506494	-1.006248628	-0.787392254	-1.03403091	-0.655690749	0	-0.64676206	-0.514426519	0	-0.853027596	-1.065555847	-0.159261118	-1.235039653	-0.453186399	-1.359049468	-0.667721236	-0.930213492	0	-0.941740281	-0.972586831	-0.761967995	-0.912416178	-1.016787494	-0.261399096	-0.832937628	-1.171878277
T cells CD4 naive	1.443395516	1.295157863	1.342537026	1.73355659	1.567165697	1.246618078	0.439928482	0.504254785	0.690121921	1.155889152	1.101844032	0.951072783	0.66956286	1.600324167	1.551612929	1.828610821	1.681127509	1.000877758	1.610179822	0.993501433	0.28025421	1.394150154	1.459903519	2.116076723	2.172827175	0.700973366	1.224568613	0.200759083	1.415812167	2.275520351	1.933379563	1.678429942	1.233276428	0.585631528	2.159958864	1.372411517	0.302918643	1.284247509	0.899925603	0	0.886016236	1.193533681	0	1.863884456	0.721247352	-1.420113776	2.367960521	-0.116742593	2.437760557	0.9557225	1.554277304	0	1.564682141	1.860299241	-0.789754086	0.828596349	1.736810924	0.617380716	0.068329996	0.812124399
Macrophages M1	0.318340861	0.459341222	-0.217983587	0.275476889	-0.191890141	-0.032030967	0.921996415	-0.730679078	1.160309333	1.642197646	1.759338385	1.205935105	-0.396081508	0.271286949	0.258089068	0.513993901	0.999065109	1.106805476	0.282770123	0.378635971	1.36220085	-0.113316624	-0.084587679	-0.228384321	-1.064454445	0.575689543	1.318581053	-1.024615331	0.53092107	-0.101219118	0.593166292	0.776265129	0.282831038	1.291244306	-0.255124432	0.826353899	1.35693301	0.748258568	0.112772784	0	0.024749729	0.112535902	0	0.219900558	-1.727006467	1.246419788	-0.645265786	1.123491759	-0.796619506	0.626202965	0.31694186	0	0.301439346	0.037828894	0.143126731	0.759114981	0.627095361	0.858231528	0.484209559	1.034680259
Macrophages M0	-0.13157368	-0.397962946	-0.229512512	0.444488957	0.495639029	-0.235829374	0.536734153	-0.120058972	-1.423602091	-1.146216952	-2.117504852	-0.424903579	1.366026225	-0.034967546	-0.014571026	0.084320846	-0.566809365	-1.406842419	-0.087079521	-0.610150756	-2.49136572	0.572168292	0.114104843	0.541264566	1.123451875	0.106678856	-1.19299164	1.467492928	-0.24887669	0.226479718	-0.451413148	0.176096571	-0.640822337	-0.949891627	1.005658753	-0.112776916	-0.635889822	0.006672017	-0.463938463	0	-0.437055748	-0.842682592	0	-0.269191261	1.381781301	-1.640729311	0.901669423	-1.19142658	1.238875808	-0.692840057	-0.077593798	0	-0.046819811	0.087178279	0.114945242	-0.178508795	-0.06912261	-1.649704331	-0.067501247	0.278344977
Mogibacterium diversum	1.92318337	1.805579849	0.613309344	2.718494446	1.722526048	0.955978842	3.630046667	-0.701329934	1.671451352	3.264593277	2.212459759	3.197493526	2.031834911	2.020227327	1.997750805	2.793407245	2.897707879	1.718664817	1.982029579	1.221223992	0.512666065	1.911782054	1.400835248	1.952387498	0.971830692	2.449727029	2.549510662	0.625576083	2.206357901	1.879114573	2.305089851	3.403656985	1.085973254	2.523976422	2.524772887	2.992099764	2.948598145	2.943582196	0.809590594	0	0.650936319	0.442029423	0	1.721738527	-0.741772856	0.62439425	1.654080778	1.537732173	1.8082547	1.619503792	2.040880553	0	2.053499201	1.803852352	0.877979022	2.520064015	2.790269155	0.702109539	1.744055027	3.696093411
Gemella morbillorum	3.032017154	3.206499294	3.478431186	2.42970887	2.508571456	3.248693491	0.407675662	2.768858756	3.725794771	3.418307333	4.871066103	2.331102105	0.259202413	3.077360786	3.000593765	2.94893057	3.50543833	4.073184624	3.164018723	3.289050068	4.891251379	2.13860017	2.941169964	3.051190665	2.769395665	1.649784293	3.806230887	0.047312189	3.039453349	3.647678391	3.883941284	2.442214841	3.667983745	2.738251519	2.355131469	2.551276213	1.869128157	2.31761121	3.142030519	0	3.148546547	4.082381424	0	3.784453509	1.265747631	1.743208479	3.037804045	2.500493138	2.669425166	3.202793436	3.063789469	0	3.035507194	3.327444763	0.34549062	2.122099137	3.019136018	4.24101892	1.320980681	1.151003685
Malaciobacter halophilus	0.366038858	0.330217107	1.073426913	0.120442093	0.657677741	0.843664061	-0.787033866	1.600598662	-0.002833707	-0.722573421	-0.341489916	-0.589246775	0.392002014	0.379438398	0.381747037	0.027317608	-0.220592441	0.06946676	0.392668541	0.529625437	0.309349096	0.511392946	0.727598627	0.702998228	1.416776118	-0.116446199	-0.297191068	1.08491388	0.167808789	0.725912156	0.225288194	-0.353424992	0.675065224	-0.425782057	0.486398724	-0.271833551	-0.690361751	-0.24451168	0.771113695	0	0.865227606	0.992286103	0	0.582549775	2.019861214	-0.093690534	1.033179142	-0.12334676	1.038895734	0.269020774	0.343722062	0	0.346212254	0.61139299	0.337251661	-0.18010482	-0.032750107	0.487551914	0.059713875	-0.767248304
Veillonella parvula	-0.04581089	-0.135184056	-0.226815828	0.205051848	0.084708855	-0.200610625	0.179543197	-0.447711655	-0.447131705	-0.152345828	-0.492517824	-0.023752161	0.209305699	0.004678896	0.000971912	0.144522681	-0.00469473	-0.402249906	-0.010340202	-0.282875472	-0.861603557	0.103172728	-0.048534446	0.183569784	0.208567723	-0.019131674	-0.235661589	0.019012511	-0.042931857	0.123942877	-0.017433695	0.21615022	-0.277478933	-0.257925191	0.356246602	0.070737385	-0.172847753	0.081716744	-0.307887964	0	-0.32116955	-0.399363668	0	-0.050616019	-0.094333954	-0.85605416	0.259083001	-0.503596372	0.359150208	-0.26053262	-0.007843918	0	0.001527156	0.037005867	-0.366117754	-0.059624599	0.099601566	-0.614945662	-0.210084158	0.172463584
Faecalibacterium prausnitzii	8.431674344	7.992835746	5.900092156	10.31130009	8.235415955	6.365985102	9.86256532	2.156537784	6.82438149	10.45024904	8.508486495	9.958954629	7.295204157	8.856146148	8.735820596	10.62064448	10.60433409	7.411926614	8.8069636	6.457097221	4.118062105	8.293745329	7.499526978	9.539860272	7.823844316	8.170963173	9.269216895	3.983612959	8.905866976	9.681921882	9.935100846	11.4793226	6.602606579	8.174076391	10.62251659	10.25247082	8.468235789	10.0148602	5.552871817	0	5.240347272	5.382079361	0	8.754892416	2.353783305	1.520916131	9.386714971	5.262957007	9.761427906	7.121551966	8.821736214	0	8.860104262	8.879693022	2.908590617	8.519941127	10.47448776	4.962392262	5.876993808	10.59921369
Francisella marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
