	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Plasma cells	-0.417127817	-0.321366395	-0.581662071	-0.216062308	-0.445234324	-0.64299207	-0.230317333	-0.498674377	-0.258689444	-0.428957197	-0.295202648	-0.352157814	-0.219156428	-0.377517457	0.117695847	-0.180948369	-0.306666149	-0.201091058	-0.304993733	-0.326789109	-0.609814894	-0.278648236	-0.0671122	-0.409299333	-0.595045432	-0.287550181	-0.176190492	-0.37520473	-0.228745728	0	-0.082537452	-0.09572465	-0.433600142	0	-0.180346387	-0.175515591	-0.549053915	-0.617105139	-0.28758782	-0.321296926	-0.383342352	0.013783974	-0.311662466	-0.486054951	-0.25718022	-0.245843536	-0.225704	-0.57516116	-0.547111214	-0.334227543	-0.201978998	-0.305693124	-0.490620155	-0.553215124	-0.629682502	-0.512177666	-0.413503004	-0.358352993	-0.309444805	-0.35149547
B cells naive	0.035754741	0.091859232	0.080847976	1.073233284	1.248062151	1.943223299	1.789523264	2.001850277	0.812793151	2.487010349	1.984397151	-0.949962401	1.513787204	-0.456556458	0.201006191	-0.12611804	1.815513887	0.662137754	0.586621511	-0.394627844	0.498910449	1.131816523	-0.833735013	2.057098347	0.590713792	2.017376074	0.891953104	0.110150557	-0.415481087	0	-0.064873373	-0.195583391	2.355699767	0	-0.31667237	0.756246189	0.485146446	1.90847223	0.646544605	1.458533694	1.365637327	0.050404732	-0.165870929	1.202497042	0.255570081	1.700571741	-0.184364206	0.628495843	-0.53619194	1.065064835	0.82365723	-0.014486499	1.615738047	0.509285019	0.684671135	0.500812368	0.557774678	0.138896016	0.435092013	0.44774547
Macrophages M2	-0.749976917	-0.676520984	0.634761671	-0.932868501	-0.505389423	-0.794925818	-1.843190434	-0.577354939	-0.305257572	-0.273675965	-0.448019776	0.334356929	-0.509522568	-0.561349456	-0.384565989	-0.938191008	-0.678830896	-0.864471713	-0.542427846	0.036259234	-0.250204263	-0.731978131	-0.326994317	-0.248202285	-0.049274219	-0.403727335	-0.744547853	-0.598384932	-0.689480794	0	-1.027893824	0.98626872	-0.523815504	0	-0.497040797	-0.765210716	-1.084231285	-0.561348507	-0.547142682	-0.42437687	-0.997795291	0.785049202	0.017797332	-0.939983784	-0.799882385	-0.440599855	-0.169119735	-0.715836577	-0.740699341	-0.38091687	-0.252617797	-0.785472911	-0.446353103	-0.821125242	-0.07169262	-0.624628671	-0.098267841	0.382661025	-0.779626117	-1.016897418
T cells gamma delta	-0.733038702	-0.458172991	-1.392665649	-0.104587529	-1.004705031	-1.422201669	-0.196627716	-1.100831528	-0.413175226	-0.918077338	-0.532390057	-0.689951588	-0.237500955	-0.690851845	0.766602206	-0.049592048	-0.424170358	-0.159041423	-0.487599223	-0.591671536	-1.359162624	-0.296283224	0.229641029	-0.952210525	-1.341900516	-0.680180427	0.013794693	-0.668992324	-0.281207754	0	0.34629383	0.04469055	-0.952041986	0	-0.131019106	0.100003784	-1.076817974	-1.481394325	-0.485745378	-0.624100902	-0.670598956	0.1950522	-0.526223931	-1.014592921	-0.306485633	-0.351814336	-0.187382623	-1.255389206	-1.139074544	-0.583996277	-0.291050074	-0.471826538	-1.059607347	-1.167307706	-1.515474246	-1.100969176	-0.807401419	-0.694605382	-0.453852587	-0.642851259
Mast cells activated	-0.63382868	-0.564762256	-0.039346722	-0.601109314	-1.348144799	-0.870275626	-1.878645364	-1.127173027	-0.858827763	-0.889212018	-1.09041085	-0.173996841	-0.771662187	-0.797409297	-0.480984266	-0.845292667	-0.615972173	-1.029469438	-0.813899817	-0.378947777	-0.43098258	-0.431729668	-0.423649234	-1.330417239	-0.339380038	-1.919623821	-0.375894963	-0.761700282	-1.049481924	0	-0.371989812	0.508895341	-1.273390911	0	-0.783624673	0.036943413	-0.809403622	-1.303587199	-1.07023651	-1.146234435	-1.096000393	-0.577573314	-0.288197784	-1.271942438	-0.87914869	-0.88684291	-0.031381485	-0.931925902	-0.775273977	-0.696030519	-1.017817629	-0.990932647	-0.887837349	-0.922024305	-0.743319094	-0.974596378	-0.34830863	-0.054315958	-0.836507764	-1.448175575
T cells CD4 naive	-1.054462738	-0.996419871	-1.860992417	-0.731321399	-1.960335654	-1.376601125	-1.105070696	-1.722715677	-1.568219541	-1.732657057	-1.677647107	-1.569111094	-1.276661665	-1.353221768	-0.906714893	-0.931924532	-1.032962514	-1.183334017	-1.340172029	-1.473639576	-1.440505762	-0.795215272	-1.021877659	-2.154723749	-1.528213968	-2.486170921	-0.667165126	-1.284899295	-1.378185551	0	-0.347192468	-1.362729011	-1.866678882	0	-1.274526984	-0.26305147	-0.997879113	-1.976344777	-1.56392987	-1.767553822	-1.239228212	-2.124062671	-1.362755982	-1.520459353	-1.13712185	-1.463456128	-0.899452684	-1.463023642	-1.276615256	-1.395364908	-1.728513204	-1.284970806	-1.613386236	-1.344366894	-1.90631482	-1.545913525	-1.377667272	-1.505379085	-1.148702484	-1.530093757
Macrophages M1	1.515921446	1.315030772	1.690504404	1.198830511	0.364625214	1.780785928	0.117135679	0.87404995	0.438965892	0.799350451	0.310234467	1.155344274	0.625682718	1.031442874	0.094501313	0.763872044	1.204724717	0.490824597	0.808633735	1.031992173	1.898686934	1.441591168	0.599306467	0.095022754	1.833962906	-0.937252488	1.273084829	1.105875516	0.394167741	0	1.267089071	0.972878736	0.456528484	0	0.50187005	1.881822447	1.861128796	0.906973983	0.399518004	0.277547276	0.960813761	-0.707930868	1.138773468	0.921634379	0.798031022	0.472698219	1.439036671	1.458994613	1.634047652	0.923849775	0.025180043	0.748614856	1.094589979	1.501238147	1.358020658	1.166271433	1.40106951	1.304122943	0.975310007	0.389438098
Macrophages M0	0.374364485	0.455936556	0.12105925	0.603949145	-0.248566175	0.077597579	0.063793106	-0.098118849	0.137681461	-0.008314994	0.008424289	0.299057651	0.308570448	0.207756474	0.68372888	0.456654309	0.430318569	0.283229734	0.235909929	0.292613841	0.187278823	0.600550848	0.579589891	-0.317509982	0.179628049	-0.590434664	0.712294539	0.2496142	0.179524746	0	0.892152722	0.683384557	-0.180620151	0	0.320486606	1.012821359	0.300325803	-0.306914828	0.068157887	-0.057764852	0.171187643	0.069804133	0.374174872	-0.04403993	0.326286064	0.181563215	0.688270681	0.046233154	0.185452115	0.234060262	0.04104628	0.209635167	0.022751699	0.110607058	-0.119283912	0.020136523	0.312332967	0.359807307	0.313875003	-0.048915609
Mogibacterium diversum	2.455485159	2.336170476	0.869924443	2.560609209	2.930539673	2.707166435	4.421215686	2.780341717	2.328403783	2.33247365	2.648447048	1.218854402	2.400380954	2.46517954	2.037706687	2.790558305	2.383868009	2.904791459	2.465107733	1.63086199	1.894413394	2.254041443	1.9433341	2.720667738	1.659155951	3.380277247	2.21158469	2.459581118	2.792997758	0	2.420537581	0.098307139	2.874540744	0	2.403145501	1.846249492	2.868374119	2.931793681	2.705023945	2.682736511	3.066551989	1.250836784	1.560728575	3.186202999	2.718259384	2.455003789	1.463436215	2.705342678	2.580110648	2.235115714	2.435344936	2.811038794	2.461556324	2.775091328	2.048774162	2.676117103	1.703201037	1.071493302	2.663877693	3.406289469
Gemella morbillorum	4.772118157	4.312787171	3.371858954	4.368701132	3.224632872	5.454627002	4.407844313	3.957674069	2.765935717	3.369986316	2.866849475	2.844201582	3.182730063	3.932118163	1.93751194	3.847203333	4.17181499	3.478919625	3.554595996	3.065913666	4.814324793	4.461413595	2.689073558	2.53421182	4.455147655	1.427189824	4.141948509	4.05909767	3.182521648	0	4.373207746	1.400884812	3.331989195	0	2.97424466	4.836775752	5.788509918	4.147546697	3.085921965	2.838534687	4.440196529	-0.339760533	3.185117533	4.472352052	3.813730806	2.962710898	3.63555051	4.897302223	5.081849027	3.509910845	2.158136521	3.812204603	4.014607393	5.050875355	4.013380669	4.362151723	3.776750713	2.951921078	4.058573037	3.791806311
