	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Plasma cells	-1.895033313	-1.292000395	-1.528915226	-2.247827442	-2.366384053	-2.072115797	-1.056171807	-2.424009637	-2.268036833	-1.602649169	-1.411512771	-1.550344274	-2.197471273	-2.742759887	-2.012170596	-2.394591848	-3.335224264	-2.656238008	-1.816396251	-2.549105092	-2.431476751	-1.384225991	-2.708809512	-1.479144611	-2.779632746	-2.415559676	-2.166422436	-1.649292598	-1.761066968	-2.844944205	-2.603930697	-1.599856454	-1.025332531	-1.05764154	-1.168054909	-1.667485747	-2.567690114	-2.644017445	-1.66034587	-1.265724106	-2.692904389	-3.129754948	-2.228820586	-2.33645412	-2.804340954	-2.530251371	-2.068407315	-2.835984738	-1.705778298	-2.693386585	-2.298888416	-1.998884707	-3.040087059	-3.326194273	-2.564954029	-2.377044038	-1.617799793	-1.639200871	-2.590643424	-2.218781592
B cells naive	0.297012471	1.091985691	0.787706257	0.120300123	1.151117999	0.372521252	1.881496596	2.485262921	1.018108681	-0.286398421	-0.397591748	1.397652776	0.295949854	0.248481936	0.213641469	0.444638929	0.779177957	0.712875458	-0.230986206	0.770637881	2.129988494	0.864578318	-0.065377613	0.753953024	0.871853731	1.419165713	1.516345097	0.393039225	0.503124934	0.794198069	0.497478165	0.443637278	0.368025786	1.091191973	1.145419536	2.757652689	-0.242297659	1.731164871	0.452341158	0.553006276	1.437834528	1.235459133	1.195627354	0.200894773	0.671707517	1.049110386	0.970380261	0.577203017	0.846747978	2.488006726	0.876350078	0.851526197	0.175211626	0.41043551	0.743779868	0.91461369	1.154224244	-0.272238438	1.506744197	0.403139199
Macrophages M2	-0.606374324	-0.496405886	-0.526655644	-1.147824313	-1.322365773	-0.555894598	-0.885992983	-1.341399303	-1.776233612	-0.891308737	-0.718641179	-0.842062239	-1.326236781	-1.425251527	-1.348256599	-1.193959868	-1.656381631	-1.23216439	-0.905187272	-1.67480427	-1.354933327	-1.020939869	-1.039159733	-0.476948309	-1.740104911	-1.713683556	-1.308179981	-0.863119446	-0.705730988	-1.065753333	-1.399993523	-1.254650977	-1.260219276	-1.079228688	-0.917315154	-1.064287135	-1.530081831	-1.336871642	-0.944769043	-0.92518503	-1.312337274	-1.379672777	-1.310391384	-1.237575124	-1.267803506	-1.284282483	-1.332058686	-1.400345295	-1.332077232	-1.472839203	-0.485993106	-1.124785611	-1.674196578	-1.421679144	-0.919764101	-0.920219363	-0.728544163	-1.153885113	-1.267720004	-1.249386439
T cells gamma delta	-0.065441251	-0.595133301	-1.344504442	0.50524759	0.383318703	1.010140991	-3.633561114	0.234519346	-0.97618744	-1.218609324	-2.178337407	-1.347739747	-0.44166173	2.017486271	-0.979768191	0.742553817	0.64632654	0.077171757	-0.224471366	0.08448649	0.99536725	-2.053649685	1.639728162	-1.124892089	2.029136378	0.523560516	0.160367063	0.772934797	-0.804486179	2.692065189	1.446507461	-0.867037799	-2.656128922	-2.531949599	-1.499709156	-0.648264692	0.371325693	0.784976359	-1.479951714	-0.581904434	1.162128715	2.595365465	-0.492440553	1.793791886	1.945950301	0.954995517	-0.965836923	1.476860168	-2.650363031	0.605538106	1.43340271	-0.193031844	1.005947732	3.102237228	2.390246909	0.891518136	-0.847017871	-0.619074131	1.764365735	-1.101170708
Mast cells activated	-1.156716061	-1.30158386	-1.21475799	-1.27120012	-1.298855373	-1.104586633	-1.459832394	-1.283647113	-1.479890735	-1.340044349	-1.309870666	-1.334836433	-1.335713873	-1.255767405	-1.392983567	-1.246675378	-1.114626928	-1.157048548	-1.299445077	-1.371797478	-1.306129309	-1.444491505	-1.101634201	-1.217092129	-1.370818812	-1.443843619	-1.354683234	-1.364511746	-1.222812953	-1.093944244	-1.277579816	-1.496776364	-1.64598038	-1.565494517	-1.489704705	-1.403459235	-1.314330326	-1.221884688	-1.335653169	-1.483573903	-1.205211473	-1.12244498	-1.317692371	-1.310856202	-1.16981992	-1.243132022	-1.368088987	-1.200525914	-1.446517478	-1.255687789	-1.011204542	-1.327752217	-1.23014127	-1.086232794	-1.121375332	-1.146115238	-1.279228964	-1.449130262	-1.237132265	-1.2805741
T cells CD4 naive	0.927670792	0.998873437	1.076874922	-0.009025649	-0.283161842	0.979126479	0.478853231	-0.288261744	-1.02511699	0.420434122	0.763072065	0.506569484	-0.268614188	-0.502316221	-0.316597138	-0.071042462	-0.634703264	-0.007544062	0.371845918	-0.848957621	-0.376266618	0.191640966	0.226404651	1.134426862	-1.068391781	-0.996603201	-0.296223574	0.314503332	0.770479771	0.127056782	-0.447435935	-0.275075403	-0.29876594	0.031088299	0.270675398	0.074255811	-0.603609187	-0.263325422	0.361991093	0.20577329	-0.236664225	-0.355845159	-0.226040939	-0.258106942	-0.190216128	-0.214943234	-0.271711483	-0.383127593	-0.23255987	-0.482137939	1.136676342	0.020735616	-0.78417487	-0.419144629	0.338502537	0.411782923	0.69077717	-0.100707682	-0.236571717	-0.06516099
Macrophages M1	0.843626119	1.604345784	0.679188896	0.994016869	0.836713409	1.136692133	0.47233719	0.643904711	0.566607955	0.940258504	0.54935522	0.917516671	0.646330617	1.229423503	0.689125662	0.89593067	-0.621656833	-0.017250457	1.165847309	0.597545681	1.12957462	0.955050901	0.708060922	0.874562218	1.446100264	1.179996805	1.078593613	2.100860412	0.724755771	1.136913849	1.116351084	1.497552426	1.496545045	1.3498023	1.647673608	1.333179562	0.614731789	0.555551917	0.705828692	2.049595541	0.67839183	0.790083667	0.537339634	1.725495597	0.919884306	0.843652282	0.571840528	0.674677576	0.211575943	0.4642732	0.894822987	1.020284345	0.212023308	0.762347599	1.369018036	0.78101025	1.002951408	1.487979027	1.228373613	0.111649515
Macrophages M0	1.065215168	0.95291018	0.967061473	0.503053454	0.308576283	1.25487281	0.187952324	0.297995367	-0.406353785	0.51214427	0.622456772	0.551618183	0.197078164	0.397160259	0.069045624	0.509732459	0.248611986	0.52694427	0.625553932	-0.108694443	0.320353584	0.212060096	0.883831755	1.025387419	-0.010816255	-0.190961301	0.23907565	0.666610313	0.843280544	0.9529557	0.349012604	0.040485595	-0.278237709	-0.016496932	0.29482548	0.33318953	0.107062361	0.416601472	0.449787349	0.367525575	0.487161901	0.636995925	0.228001356	0.480623264	0.628949174	0.451533159	0.113291931	0.440006707	-0.110655782	0.24426052	1.457607788	0.402938318	0.128055066	0.681813186	1.025539063	0.877933471	0.754995947	0.203333955	0.537230904	0.275923653
Mogibacterium diversum	2.532408296	2.141874894	2.954831288	1.574617803	1.475262855	2.215633183	2.938441106	1.625686049	1.249249682	2.216077256	2.907965212	2.321041579	1.739098649	0.78588923	1.748322791	1.556798109	2.156159177	2.337175692	1.875481805	1.218589573	1.106868245	2.138751796	1.801089283	2.835167345	0.168381651	0.630328793	1.32961217	1.03654801	2.59269943	1.269509684	0.992230853	1.207067516	1.448549822	1.803209004	1.644240113	1.575779837	1.367140733	1.627411875	2.367903989	1.179567166	1.509626927	1.125879194	1.856650781	0.676411772	1.267046958	1.443467152	1.86413548	1.346100614	2.390532888	1.536368628	2.450819082	1.682341248	1.404565851	1.019439928	1.326950002	2.011797328	2.340780158	1.3212888	1.041805527	2.372130617
Gemella morbillorum	0.20257814	0.315536899	0.501309391	0.327017643	0.442080539	-0.102817304	1.291980967	0.484619119	1.028242411	0.660654559	0.818963324	0.669115174	0.660270662	0.067293438	0.81791646	0.282827036	0.489974786	0.450131841	0.407371277	0.69235813	0.303107582	0.951110966	-0.043261633	0.423735666	0.230062503	0.613228937	0.503125553	0.148979873	0.447738137	-0.29922695	0.204488877	0.767841584	1.252887495	1.122814851	0.773079759	0.606249129	0.543087956	0.331273844	0.749727498	0.543647512	0.221566117	-0.126894	0.661851695	0.049911287	-0.003583287	0.269064572	0.801656462	0.181362402	1.243467333	0.444760258	-0.26063807	0.504195118	0.430767026	-0.242922597	-0.283544584	0.100497765	0.479926347	0.650173605	0.055493795	0.780970613
