	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Plasma cells	1.161715113	1.394431149	1.617412419	1.556416735	1.628390669	1.400031371	1.606559471	0.624635343	0.663486442	0.803725782	-0.146106938	0.975553808	1.194310168	0.488729165	0.349307007	-0.13228547	0.007889831	0.468874142	0.523745934	0.838831092	0.223985171	-0.212275849	0.766212032	0.105999968	0.633041942	1.553593415	0.600113016	0.367080283	1.101719266	1.566712265	0.681764407	1.023635518	1.394218906	-0.491318578	-0.513877292	1.050063391	0.833695808	-0.673137939	0.765424198	0.757558052	1.508989802	0.820043371	0.418735309	1.453162918	0.416050465	0.4210525	1.194096135	-0.277836938	0.615439076	1.272052389	0.593222447	0.528307723	0.150158746	-0.024570222	1.459417992	0.897014468	0.464449385	1.376015996	1.403906369	0.949936052
B cells naive	3.39554767	2.874771685	3.407257784	1.981150409	2.984165023	2.754578025	2.89683594	1.563036409	1.816566222	3.661393365	1.19353608	1.063884775	2.440549935	2.935900927	1.725673445	0.400829863	1.172123299	2.937395075	1.188157747	1.847466725	0.675047701	1.278661352	2.891366175	2.007325502	1.81661186	3.972530624	3.187814111	2.130172131	3.382043478	3.187127103	2.11262387	3.405384308	4.135232415	-0.952097566	0.598683268	2.7110361	4.470604288	0.882813945	2.881203231	2.05703035	4.025264736	2.519579217	1.732347832	3.18517379	3.170318047	0.444167075	2.706298186	0.473400548	1.530072806	2.25800046	0.343415186	1.20850006	2.356020854	1.316146985	1.033772842	2.535030084	2.354425125	2.610225711	3.401508988	3.274458632
Macrophages M2	-1.3193336	-1.379182085	-1.417525327	-1.409814994	-1.270252383	-1.397324827	-1.421776397	-1.274934202	-1.385129504	-1.294809493	-1.193232762	-1.329397562	-1.332323501	-1.218784527	-1.280589932	-1.22258955	-1.238699783	-1.252386517	-1.310034007	-1.27945331	-1.221551503	-1.219580205	-1.336270349	-1.166228409	-1.266087994	-1.343994615	-1.31384676	-1.235636776	-1.308009318	-1.396925861	-1.276615605	-1.405655372	-1.284610889	-1.352218342	-1.138185697	-1.422484651	-1.311514638	-1.099100369	-1.249850073	-1.277908849	-1.40980676	-1.31766739	-1.238297518	-1.367627599	-1.25305391	-1.357607673	-1.32251076	-1.249400485	-1.240525087	-1.423358664	-1.384941864	-1.352567268	-1.192722154	-1.172935071	-1.5409036	-1.322178596	-1.2380246	-1.354651943	-1.345196805	-1.32803226
T cells gamma delta	0.557527959	0.330141993	0.483756683	0.464440786	0.195981871	1.174393274	0.466616949	0.208854706	0.851222247	0.415001084	0.586321428	0.775858036	0.196718563	0.858800047	0.360607071	1.015398091	0.807887822	0.835173794	0.591238627	0.645450982	0.312829011	0.354186464	0.463813007	0.927526171	0.289882358	0.650658061	0.2534435	1.213963063	0.67503019	0.323426343	0.481452577	0.30477161	0.168015563	1.348643507	1.081161604	0.507999715	0.480583917	0.338719354	0.998649103	0.35858307	0.733154529	0.537400396	0.400069062	0.804039956	0.301662109	0.540365872	0.031990692	0.65862177	0.12591097	0.152913406	0.920657142	0.976898328	0.587894882	0.482881556	1.089494285	0.104124107	0.4735563	0.408755765	0.761161247	0.686777482
Mast cells activated	-0.494083677	-0.56281452	-0.608389178	-0.581811507	-1.10227146	-0.341350018	-0.589932014	-0.240621519	0.177214042	-0.2936311	0.249079402	-0.261013426	-0.557045211	-0.156648885	0.03823632	0.411450945	0.296685742	-0.047628393	0.024744149	-0.318188815	-0.035823692	0.33309724	-0.131293758	0.028270768	-0.256895543	-0.733713915	-0.10007751	0.06827042	-0.452223859	-0.658062652	-0.228350878	-0.180301538	-0.870879056	1.158226349	0.501454556	-0.111301384	-0.257918706	0.369357521	-0.270616777	-0.31353266	-0.488964298	-0.214819826	-0.134351071	-0.548525735	-0.11122589	0.239038362	-0.619404428	0.53793886	-0.349426556	-0.367912254	0.251639414	0.223191151	-0.002435	0.066790994	0.008428621	-0.355577882	-0.159149982	-0.601827457	-0.581042879	-0.264167863
T cells CD4 naive	2.002767106	1.964826352	2.44933337	2.347264837	2.09135372	3.142449318	2.410900809	0.855818991	1.776303438	1.362954179	0.435343411	2.07124804	1.538621407	1.601879829	0.722461176	1.043279666	0.92668552	1.537691819	1.254807812	1.729454169	0.51077223	0.02484018	1.37561477	1.229979386	0.98084304	2.616490997	0.880372605	1.940489841	2.093575371	2.167028838	1.306132728	1.46214469	1.758102813	1.033062174	0.675400359	1.774170959	1.488646317	-0.548102613	2.135393415	1.22949138	2.662768524	1.548572277	0.872204093	2.699598748	0.729742389	1.046345627	1.311276197	0.360314921	0.735693624	1.556789347	1.784624832	1.788596103	0.807654042	0.447074449	3.069618562	1.041069727	1.031759811	2.055874115	2.583005632	1.916649382
Macrophages M1	-1.195166769	-1.22845405	-1.106268073	-1.124095688	-1.454056026	-0.790995757	-1.108094623	-1.411323015	-0.944015206	-1.288948459	-1.319469377	-1.06793373	-1.353478489	-1.16981973	-1.321372373	-1.068779222	-1.151827937	-1.13349413	-1.172202168	-1.198247394	-1.423619012	-1.39380657	-1.205333179	-1.198657524	-1.384588957	-1.126684682	-1.334864848	-0.968851771	-1.152002515	-1.211923172	-1.277837221	-1.193054467	-1.44123616	-0.712663616	-1.144440091	-1.070629589	-1.234690096	-1.557286636	-1.065876518	-1.338161889	-0.992549133	-1.19698383	-1.363642738	-1.015280855	-1.391509249	-1.126753721	-1.447800351	-1.200980928	-1.49993599	-1.248941089	-0.907651435	-0.924276937	-1.328585565	-1.402105503	-0.631321378	-1.404342438	-1.329784972	-1.223941102	-1.066438902	-1.113631001
Macrophages M0	-0.341067526	-0.718616371	-0.57215057	-0.581601419	-0.952960557	0.428797554	-0.593068439	-0.669478614	0.185000417	-0.437889982	0.057536122	0.004834057	-0.842796799	0.257978774	-0.390101177	0.635780325	0.314209453	0.227774629	-0.124962555	-0.131706877	-0.416250121	-0.243849989	-0.365478774	0.458325889	-0.56039967	-0.320540225	-0.605910494	0.77266225	-0.163888368	-0.775217641	-0.313244342	-0.657316286	-0.930257624	1.172595234	0.834943566	-0.389014207	-0.358048836	-0.130870337	0.372104862	-0.500958605	-0.202669912	-0.277678227	-0.350626554	-0.087167104	-0.485407299	-0.171708222	-1.066287575	0.185541469	-0.776735028	-0.932016238	0.298237916	0.395319333	-0.018862263	-0.113727744	0.283250282	-0.889084662	-0.262546381	-0.604203802	-0.13033743	-0.109540251
Mogibacterium diversum	2.312706403	2.418437735	2.418820041	2.403760476	2.847011271	2.061919498	2.409369144	2.201941092	1.748399215	2.19439734	1.747447052	2.090660223	2.442770228	1.988447349	1.959468432	1.530261362	1.663396658	1.913842229	1.918546428	2.160558247	2.023694336	1.738593009	2.064225292	1.833107217	2.195166499	2.471082878	2.087717431	1.740890032	2.254279527	2.491623134	2.130574013	2.139576525	2.6807171	0.90314208	1.444569254	2.042884495	2.153117895	1.710294624	2.042989525	2.222173653	2.272344038	2.109236857	2.07754871	2.299346375	2.082579255	1.772514671	2.526246269	1.518091243	2.300609987	2.315419109	1.677775261	1.684458545	1.934198885	1.906121013	1.826941514	2.313019983	2.079023321	2.428790797	2.332339682	2.11214076
Gemella morbillorum	3.493552516	3.142972265	3.138353389	3.107655576	4.872056484	3.15324637	3.060154233	2.925738984	1.828429159	3.081751052	2.566107561	3.070584915	3.299662788	3.526644467	2.379257638	2.34492782	2.361120813	3.074806539	2.408133467	3.388750867	2.845049388	2.061090919	2.517633491	3.460281513	3.071038787	3.957253681	2.423651882	3.183222328	3.548958859	3.250694196	3.085774746	2.118844049	4.2534754	0.177039659	2.670568279	2.014914817	2.954881435	2.652854998	3.706012673	3.180354464	3.095347652	2.862981687	3.034116742	3.518685798	2.828680373	1.62116098	3.37631766	1.652341804	3.304788457	2.327644707	1.711920818	2.000699	3.133792037	3.014753579	1.492505541	2.839797031	3.144636617	3.426099317	3.688093088	3.022844125
