	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Plasma cells	2.215964433	1.92216239	1.94093498	1.543244891	1.414307111	1.501464738	1.265546746	1.64260645	1.743130202	1.061591522	1.380237769	1.313348905	1.176000507	1.099031486	0.500379226	1.293603705	0.862501103	1.032088732	0.782691802	0.676500438	0.011108237	0.314617669	0.311505572	0.425895138	-0.334841152	-0.196855582	2.013418268	1.854224076	1.62759357	2.601609936	2.372404132	2.522071833	0.289361599	1.29608637	0.925546392	1.568555778	1.368352333	0.914108474	1.075798434	1.359550768	1.484949393	3.184121249	2.537299002	2.87348705	2.666922341	2.679603232	2.508015065	1.692406218	1.77336626	1.996485474	1.680592398	1.861722174	2.049865284	2.217864431	1.96124758	1.913007823	2.457123427	2.215365222	1.980408814	2.107574729
B cells naive	2.046143141	2.187604131	3.057352758	-0.142685197	2.962906376	2.593666417	0.677203009	2.382711797	1.799006904	1.243823936	0.834072483	2.370050843	1.128153508	1.554505511	0.937245734	2.382381016	0.431327965	1.050709616	2.002986736	0.639371201	1.671241509	0.875886616	-0.041061793	0.388824797	-0.158948479	0.537244459	3.214641115	3.454508977	3.112188352	3.744166497	3.434490724	2.365970858	-1.269644015	1.065420829	0.978233492	1.351220811	1.656161618	1.785674519	0.57701773	1.336191429	2.376188208	4.702119828	4.060773388	3.519018326	5.629288568	2.274292551	3.816775718	2.077650798	1.936525432	2.679170747	1.582543496	2.427924521	1.098905533	2.411355376	2.095492638	1.537414508	3.608692707	2.057720631	1.766241855	2.005262305
Macrophages M2	-0.043571157	0.029932538	0.004642282	0.175409003	0.1762984	0.096954333	0.160219615	0.083496708	0.186716573	0.304164843	0.236709579	0.249709972	0.304114857	0.271809142	0.378167182	0.274756997	0.405455899	0.334306718	0.716351489	0.427518144	0.567134535	0.468279565	0.505087228	0.46589813	0.472382636	0.529151526	-0.143286669	-0.071984539	-0.0316549	-0.356703733	-0.215654526	-0.238184181	0.14572003	-0.01873475	0.112903657	-0.049956786	0.050423921	0.227402913	0.146624972	0.115343427	0.07174244	-0.35210865	-0.256611178	-0.308320247	-0.215242751	-0.219101563	-0.163562313	0.087401878	0.009429992	-0.074778944	0.035946269	-0.027227764	0.038038672	-0.049810517	-0.001458923	0.008226344	-0.077400746	-0.070112585	-0.021747142	-0.040583119
T cells gamma delta	-0.181717182	-0.100419023	-0.128208931	0.069123358	0.065902623	-0.014158275	0.047786347	-0.041930986	0.104737279	0.21811847	0.146756405	0.157864755	0.228699759	0.197755068	0.283365043	0.157473173	0.323242124	0.235393586	0.716510609	0.357874744	0.518914003	0.408916999	0.452298949	0.404754614	0.406583558	0.491092021	-0.304921345	-0.213130225	-0.175536893	-0.54477196	-0.38345186	-0.405905572	0.040669929	-0.152840217	-0.019788703	-0.149309801	-0.028140338	0.163967401	0.057698902	0.017853574	-0.031306349	-0.512948211	-0.400904282	-0.459012456	-0.346911926	-0.364179032	-0.276043629	0.00128928	-0.088115029	-0.207942978	-0.06944176	-0.146604721	-0.075466071	-0.173650125	-0.121313568	-0.103901916	-0.194651502	-0.181869332	-0.133032021	-0.155383834
Mast cells activated	0.600162546	0.615347184	0.628307328	0.492681425	0.57352851	0.523011888	0.627685692	0.651702535	0.158863229	0.432550997	0.367855511	0.412862403	0.277642642	0.265352664	0.711467335	0.7319959	0.484490643	0.607101421	-0.328690996	0.391778488	0.36856534	0.37893511	0.319066223	0.371334438	0.619485792	0.281933003	0.88269678	0.712356277	0.820446583	0.949665432	0.832331069	0.783701355	0.776805993	0.793334106	0.930940346	0.297509866	0.147515992	0.164257578	0.38915041	0.405340195	0.419429714	0.48273969	0.492394377	0.460396751	0.329203691	0.484245382	0.16539704	0.17380666	0.252825952	0.580832739	0.381749273	0.472976166	0.387257497	0.426607214	0.466044872	0.390886118	0.275412307	0.274090839	0.349894219	0.351070338
T cells CD4 naive	0.238663624	0.238173387	0.26513509	0.015650849	0.132832723	0.085743234	0.217179979	0.274714167	-0.470531833	-0.11040354	-0.183453358	-0.122405776	-0.334432057	-0.34089209	0.270857856	0.329370696	-0.067808705	0.131364309	-1.342357593	-0.207474068	-0.282678886	-0.237030718	-0.335528361	-0.247966661	0.112709024	-0.3935454	0.680356104	0.412292107	0.556236698	0.843671182	0.629328817	0.565667493	0.443524932	0.515087444	0.672269763	-0.191013435	-0.439117853	-0.470595991	-0.120805867	-0.089013336	-0.055073195	0.165238464	0.1518725	0.120601813	-0.097895545	0.126669267	-0.350085644	-0.415695102	-0.276498551	0.222671049	-0.098859978	0.052362176	-0.094147853	-0.009406797	0.033136458	-0.078083304	-0.219767189	-0.222477323	-0.127673898	-0.120592364
Macrophages M1	1.351849608	1.210656852	1.055553615	0.979463361	0.896162161	0.112603259	0.42402288	0.988411751	0.404394681	0.487909758	0.572915713	0.679858322	0.23321933	-0.436201398	0.531938743	2.22143522	1.127755724	1.44630278	0.871697824	0.342307244	-0.510137836	-0.509684493	-0.370559191	-0.18629026	-1.700522402	-2.010632804	0.745832143	0.268780698	0.381317397	0.711683124	0.978457236	1.038905422	-2.482845086	-0.740929389	0.002690072	-2.217270023	-2.431024963	-1.982574452	-1.376886503	-0.671820039	-0.655151911	0.820357804	-0.322020866	0.132463061	-0.097170133	0.53842777	-0.769937565	-0.796951764	-1.044131907	0.174939778	-0.535004168	-0.219437843	0.781175003	0.565642091	0.375945869	-0.000578183	0.459796906	-0.305136974	-0.267876466	-0.030623319
Macrophages M0	1.098963282	0.846915247	0.828339647	0.617360848	0.449594296	0.434387653	0.229232257	0.578201919	0.921056218	0.226302668	0.524248731	0.457427135	0.385463062	0.236709422	-0.388038752	0.443013917	0.135449441	0.221641891	0.622233541	-0.054364496	-0.663358558	-0.443294715	-0.381615671	-0.306147455	-1.280206224	-0.980408389	0.653358913	0.585475062	0.354837464	1.04048047	0.993105344	1.149408346	-1.042418138	-0.040949073	-0.306497804	0.299530042	0.225563033	-0.059791506	-0.009906545	0.29598869	0.382046608	1.828694615	1.167033686	1.509739274	1.414758727	1.408188544	1.313592765	0.693036028	0.659966797	0.772795785	0.573755787	0.690683139	1.042797638	1.107890397	0.859094819	0.820978933	1.379828867	1.085909814	0.861026196	0.990764203
Mogibacterium diversum	4.793179249	3.836715547	3.743031085	3.149401052	2.416008445	2.391979895	1.505307361	2.785536021	4.704540756	1.768796854	2.960298127	2.657302417	2.557887063	1.994569029	-0.879800869	2.235849224	1.392759091	1.555685104	4.303512058	0.784156555	-1.468247295	-0.672148436	-0.355312445	-0.14078558	-4.147621109	-2.589188843	2.730109942	2.693500111	1.699052975	4.061804903	4.063075636	4.709036747	-3.528413213	0.223451239	-0.909879812	2.094805204	2.020332218	0.967627319	0.868101569	2.007037228	2.305657392	7.619690437	5.112997554	6.441883365	6.263692857	6.053953054	6.085233968	3.785503249	3.541886715	3.561457042	3.069838431	3.38950737	4.853926454	5.02904186	4.048376744	3.993873165	6.236106696	5.117482752	4.185434555	4.673362648
Gemella morbillorum	2.833328972	2.243049941	2.317860291	1.677177035	1.331664406	1.839746869	1.108201517	1.683152492	2.708722479	0.902880487	1.62641383	1.393282439	1.423192949	1.499737216	-0.643200864	0.436897189	0.205508258	0.302047221	1.144608575	0.192378951	-0.894622283	-0.269045791	-0.24662375	-0.133064958	-1.540952748	-0.723132533	2.253917425	2.29195721	1.641765741	3.418797281	2.995055425	3.35108423	-0.164284278	1.352529535	0.152057156	3.040975522	2.879389718	1.753018216	1.608915944	1.950581476	2.191072859	5.19498805	4.202586723	4.798814016	4.605299237	4.225699459	4.701200787	2.983575041	3.13703762	2.787958762	2.610157555	2.771389996	2.941668963	3.317419766	2.791129964	2.909625842	4.046022838	3.79408539	3.192030303	3.379041496
