A	T	
-0.602059991	-0.77815125	
-1.204119983	0.62838893	
-0.301029996	-0.22184875	
-0.84509804	1.843544212	
-0.903089987	1.954242509	
-0.477121255	-0.56427143	
0.301029996	0.560667306	
-0.096910013	-0.698970004	
-0.477121255	-0.698970004	
-0.301029996	-0.079993771	
-0.602059991	0.477121255	
-0.301029996	-0.477121255	
-0.477121255	0	
-0.698970004	1.638489257	
-0.176091259	0.477121255	
-0.477121255	-0.698970004	
-0.176091259	-0.301029996	
-1.342422681	0.135255005	
1.301029996	3.475840172	
-0.477121255	-0.62838893	
0.204119983	0	
0	-1.176091259	
0	-0.397940009	
0	-0.301029996	
-0.477121255	-0.602059991	
-0.698970004	-0.602059991	
-0.477121255	0.22184875	
-0.602059991	-0.77815125	
-0.497324641	0.124938737	
-0.477121255	0	
-0.176091259	-0.477121255	
-0.698970004	-0.477121255	
-0.77815125	0	
0	1.550228353	
-0.477121255	-0.477121255	
-0.301029996	-0.301029996	
-0.477121255	-0.255272505	
-0.477121255	0.531478917	
-0.477121255	0.166331422	
-0.301029996	-0.924578903	
-0.301029996	1.532460374	
-0.602059991	0.67669361	
-0.301029996	-0.794195615	
-0.301029996	-0.602059991	
0.301029996	-0.646263654	
-0.477121255	0	
-0.397940009	0	
0	-0.602059991	
-0.477121255	-0.367976785	
-0.477121255	-0.22184875	
-0.301029996	-0.22184875	
-0.301029996	-0.176091259	
-0.477121255	-0.77815125	
-0.602059991	-0.079181246	
-0.602059991	-0.301029996	
-0.477121255	0.449092531	
-0.698970004	-0.301029996	
-0.477121255	-0.477121255	
-0.698970004	0	
-0.698970004	-0.77815125	
0	0.740362689	
-0.330993219	0	
	p_value	0.001436588
