PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	p_value	log2FC	Early_mean	Advance_mean	T2	T5	T6	T7	T8	T10	T11	T12	T14	T16	T21	T22	T26	T27	T28	T29	T32	T34	T35	T43	T47	T51	T55	T58	T60	T63	T64	T65	T69	T72	T73	T74	T75	T3	T4	T9	T13	T15	T23	T30	T33	T36	T37	T38	T39	T42	T44	T45	T46	T48	T50	T52	T53	T57	T59	T62	T66	T67	T68	T70	T71	T76
								Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Early_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage	Advanced_stage
35887.61;20459.73;42892.81;40610.28	A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	TMEM120A	Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Transmembrane protein 120A	0.039003037	2.752262512	18.26454065	21.01680316	19.87220405	20.64637512	20.82120701	20.32576755	19.51797473	0.580133218	20.1317598	20.74807069	0.583917178	0.59088701	23.49735789	23.00103875	22.94216224	22.47107073	21.54566682	19.66018418	20.68354295	18.78827475	20.34696003	22.32447806	21.10596029	23.40944364	19.16398911	19.61398838	24.7622158	20.05148179	18.43979678	17.45992322	0.585716054	20.00098169	20.65975576	18.75153762	19.64601863	19.87329503	21.59771149	21.72222562	17.12419595	23.89606396	21.16612384	23.10615651	21.47714051	20.59212326	20.87658982	20.07800825	22.45001357	22.31589031	19.21152385	20.6475389	20.15724685	20.13097206	24.88874125	21.60265039	21.66535999	20.2648403	23.39306321	20.10674503	19.57676815	20.58450392	19.46552692	21.9340783	19.4642168	20.11797769
76698.69;76710.74	A0A024R5I4;O94956	SLCO2B1	Solute carrier organic anion transporter family member;Solute carrier organic anion transporter family member 2B1	0.042583352	3.561110225	15.15814658	18.71925681	18.97660031	20.66262568	18.89556289	1.285184887	16.67280654	0.577407489	18.07964998	18.68799252	0.579174791	18.10648163	19.82479204	20.03888032	20.81225223	20.50865449	21.89368851	20.71103548	22.69754645	20.51900665	16.66617946	21.11781968	18.67326497	21.27315261	18.24169881	0.592422872	19.38534977	0.58937811	23.24644038	20.12139028	0.582918824	21.16788407	0.586120722	0.584210892	17.86126282	19.6983647	20.35602379	21.42693013	20.662078	17.61606048	20.84472607	14.32005585	15.99440213	16.23451969	20.06246749	18.29743311	19.68262314	21.17555077	19.63405236	18.37848392	20.05897635	21.06024338	19.26700666	20.03492067	22.24406153	18.60546415	20.17155692	23.16191532	20.22901005	16.30819597	19.77497421	0.578016168	19.94845234	17.03188205
46339.12;41496.61;NaN;41496.61	A0A024R644;A0A0A0MRU5;A0A1B0GWI2;O75503	CLN5	Ceroid-lipofuscinosis neuronal protein 5;Ceroid-lipofuscinosis neuronal protein 5;Ceroid-lipofuscinosis neuronal protein 5 (Fragment);Ceroid-lipofuscinosis neuronal protein 5	0.037787151	3.233053839	14.7120133	17.94506714	18.56474226	17.18657069	21.3500137	17.98793013	18.426826	0.589389327	17.21927696	0.578049003	20.29165046	18.92557083	18.15786854	17.5861755	18.66467481	0.578476961	15.56531828	18.58593605	16.42117894	18.8164174	18.81741358	19.10023066	17.82294274	18.96401135	18.61488224	18.42353285	19.21858511	19.35405321	19.74872497	18.37812853	0.590648497	0.587523077	19.20699584	0.581107861	0.591592524	18.37901909	18.39807954	18.62052469	19.10905094	18.18892684	0.582691457	17.94510524	18.78039308	17.77070905	18.41718628	18.29278009	18.36947661	18.93350364	19.03986067	18.80916599	19.12864133	17.88393662	18.64755943	19.90100423	18.99774139	19.18281683	17.6052636	15.50679388	18.20922295	18.27288617	19.34400123	21.47887526	17.41946081	19.19227009
87229.88	A0A024RAC6	ELOA	Elongin-A	0.009963567	3.865640046	14.99432774	18.85996778	18.6139323	18.10864058	0.592935587	18.07516199	19.24081142	0.579248634	0.591732201	17.17829298	21.22712895	15.40813522	17.26998842	17.30569203	20.19244348	18.73116788	17.76293561	20.57668466	22.14230965	21.27766072	18.04238012	18.23626023	18.12829615	18.06405049	18.18327115	19.30549207	17.75021874	0.591056016	19.99421884	18.80941724	0.58879823	21.41083354	19.66771188	0.58815766	0.577750607	17.61485719	16.79614499	18.05439582	19.14281802	18.41936565	20.6513466	18.7873836	19.65302534	20.53409208	17.88252029	19.45792977	20.26303504	20.42613177	18.43845609	18.25282739	20.20850512	17.8018159	19.98965661	17.87847662	18.45033533	18.59341369	17.57386142	19.00421566	16.78569501	19.47526018	18.04010373	17.94641622	22.6203844	18.19659612
127681.05;129477.17	A0A067XG54;Q8NB49	ATP11C	Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG	0.000668813	6.909333684	9.604231231	16.51356491	17.18444166	0.593325652	0.588577091	21.26361164	17.25258676	0.576442934	16.13509786	0.590998941	0.591822124	0.593413597	16.93022028	0.587898782	19.41767099	0.580268713	0.587479431	17.38375188	18.32678838	17.55802067	18.30975999	17.6553653	0.585592781	0.578788222	18.6838648	0.591062097	0.593971645	0.579402106	18.30596584	17.18591408	17.96987612	19.59758238	18.39977637	0.580476787	0.57981471	19.35767871	18.21205994	18.50194661	17.27622893	18.55422816	16.73625327	17.61690528	17.69328765	17.37109091	19.36851139	18.07220017	18.22924379	18.04390823	18.83938825	17.93283758	16.68792623	18.37342662	19.05304108	17.4788955	19.71852493	18.57792284	22.43227682	0.586708527	17.46807634	18.84653992	19.2654239	17.44632737	0.575598037	0.576925531
13214.99;13184.96	A0A075B6S6;P06310	IGKV2D-30;IGKV2-30	Immunoglobulin kappa variable 2D-30;Immunoglobulin kappa variable 2-30	0.009075611	-1.152663255	23.88799675	22.73533349	21.39736781	21.83673219	22.78832534	21.94193711	21.6025975	27.44138183	25.01633959	23.25900646	24.32981173	24.02723826	24.47983927	24.60550625	23.73516202	22.64417458	24.82733199	23.39752332	24.70616183	21.46348259	22.66070582	22.98895949	22.42370671	26.34468088	22.54126291	25.17843102	26.17425096	26.03181647	22.79397275	22.04874179	28.01058565	24.80855059	24.20431748	25.79424027	22.79975018	20.53223974	23.19365454	20.87112494	24.91772503	20.4382105	23.71327176	22.59717736	22.07170212	23.22718229	20.71442183	20.94296429	22.48653161	23.14621051	24.75380144	23.44692944	23.25944373	24.76526581	23.87142485	22.09875289	22.84562366	22.37988122	22.52556442	23.19747019	23.54262773	23.84701193	23.66424338	25.37077802	17.81929415	23.0841419
129598.67;142507.21	A0A075B6T1;Q9C0C7	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1	0.03097243	4.784759138	5.441420955	10.22618009	0.587141695	19.7126755	0.584729602	19.13322015	16.78720961	0.580918708	0.581260189	0.577641562	0.575359083	17.49706193	18.49416465	0.594496618	0.592716446	0.589367356	0.577933027	20.16890513	0.593930709	0.590302184	1.052502132	0.593649532	19.16956723	0.579973062	17.5280836	0.583184466	0.591058622	0.580771642	16.58249163	0.579080714	0.583578827	0.580754424	0.585191629	0.580805754	0.577164123	18.70946796	19.57121982	18.77142771	0.576354075	18.48434659	0.579323472	0.58217035	19.36592685	18.58566127	18.41432523	19.5061664	0.584417616	0.578030778	0.590370832	18.73069961	19.41965227	0.57644333	18.00898557	0.583124488	19.63322208	17.49764344	0.588426751	0.583401523	18.11170099	0.579923761	15.99196992	0.580262736	0.586284934	10.18827236
12874.56	A0A075B7B8	IGHV3OR16-12	Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment)	0.016584806	5.772403738	6.491579192	12.26398293	0.58120389	0.590131145	0.581315639	0.590498216	19.17528517	0.576050759	0.577087264	0.587254848	20.66273378	0.593326406	20.49535625	0.586504742	0.589590772	0.588399468	18.99022552	19.56465098	0.575647828	18.59750236	0.575474663	0.582505876	0.593603051	20.55544971	0.586435385	21.7411886	0.58442775	0.58943773	19.89088906	0.594401751	0.582132433	0.579962784	0.581888136	21.09728278	0.584268605	19.25485807	0.582647741	19.40146757	19.18315906	19.72230193	0.587420884	0.579383289	18.96806329	0.591542483	18.79534649	18.34759718	18.99124797	20.12802627	19.34262528	0.590542275	0.588080368	19.39951746	20.4953244	0.589506589	19.21675563	19.47549485	0.591451329	0.575810101	20.19421129	19.90152707	18.71901806	0.580848614	0.592026882	19.66970256
13844.07;18983.63;11544.31;23753.07	A0A087WTC6;D6R9E3;D6RCT6;Q9BWT6	MND1	Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog (Fragment);Meiotic nuclear division protein 1 homolog	0.016486702	4.688652074	2.353427902	7.042079976	0.579615062	0.588803594	0.58918418	0.592554077	0.57901298	0.587307329	0.593255911	0.592031135	0.59252679	0.582435569	0.589646004	0.577373726	0.591914584	0.585801897	0.593127325	0.592052053	0.579686715	0.590794023	0.576387896	0.586882232	20.78651323	0.585035929	0.593104499	0.580525516	0.578705674	0.586495461	18.61052453	20.67870565	0.589592196	0.583872215	0.581954925	0.577371349	0.590326508	0.580634186	18.22180289	20.21392386	0.587475505	0.587766973	0.577236139	20.33389783	0.588292864	0.58253201	0.593384875	20.74312262	0.585500754	19.63042367	0.593265424	16.68348127	0.577036243	0.593919282	0.593909503	0.592961031	18.85118286	18.04293847	0.591014142	0.587406808	0.580157324	20.05235926	20.28544907	0.587499594	0.588534752	0.593210092
13585.7;7992.54;13188.44	A0A087WTT2;Q5JWB9;Q96A57	TMEM230	Transmembrane protein 230;Transmembrane protein 230 (Fragment);Transmembrane protein 230	0.012920591	4.366695566	15.30927953	19.6759751	20.74106081	19.59203518	20.52755838	20.35282554	20.5660825	0.59322195	20.07679097	20.89231861	0.583713887	18.57242835	20.213694	19.96172929	20.00580407	20.23360227	19.29164821	20.35379013	0.593668875	20.94735397	20.20104014	19.9907023	20.42371364	18.08320678	20.54308942	0.582367094	0.576696112	0.590112026	19.99537339	20.1771701	0.590677365	19.72711746	19.95855599	19.07863246	0.58844322	19.56326634	19.67381111	20.28808667	0.590068553	19.83179644	21.06134663	19.79102772	20.13435064	19.0297602	20.99558163	19.5787981	19.8956008	20.17810085	20.5596043	20.39555636	20.19104505	20.69017279	20.66394968	20.36932803	21.36032294	20.10060219	20.15476404	20.9746586	20.24782425	19.58855887	21.42930419	20.71249446	22.2180408	20.33545551
43432.36;42548.68	A0A087WU02;Q96RQ1	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	0.041383009	3.971897954	12.68502103	16.65691899	14.15370401	18.23766731	19.71133834	19.88842304	19.67271753	0.58528114	0.58932677	19.45324438	0.584853652	0.593328726	19.1348634	18.63644042	20.77747837	0.590694936	0.576947333	17.99937178	0.592910974	19.36851379	18.94461699	18.30415382	18.94521359	17.69099097	19.47913734	18.07407807	0.585210716	0.587229432	17.79167711	17.97609698	0.575627391	18.99272004	17.84512343	21.08086436	0.585847886	18.81898778	19.10578241	19.63908519	0.591738943	17.65617257	19.47331384	19.6377344	20.15141951	16.26940266	19.34539523	18.90813329	19.12004688	18.36937543	14.07927122	18.07830964	17.54622212	0.586997128	18.71182764	19.89248121	18.42820795	17.3511649	20.3488682	18.68409282	18.07760869	18.69807659	19.17040265	0.592701588	17.31370305	18.40412704
30769.97;30751.93;30769.97	A0A087WUF6;A0A0A0MQV6;P09038	FGF2	Fibroblast growth factor;Fibroblast growth factor;Fibroblast growth factor 2	0.000613916	5.312153285	11.69797057	17.01012385	0.581336821	15.16057361	0.577470865	20.15005295	14.2321022	0.591464598	17.41283909	15.08820837	0.591306363	0.594208799	15.82146707	15.89503141	15.51214897	16.24981468	15.83899979	0.594095008	16.75638407	12.66303456	14.53142977	15.27268203	15.08091054	0.583926673	19.4249897	0.581188623	16.36229849	19.20546634	20.40788765	20.38274657	0.581548053	14.22473361	19.73385765	0.591517052	14.75730668	15.4699226	19.3280606	15.11912335	16.25760595	17.38090174	15.26387077	16.64426306	19.12848527	15.08356097	14.93540122	15.16396962	15.50235959	20.04585663	16.35824742	16.9897194	16.08063409	15.73761489	19.91541825	15.05039273	15.93414832	19.34089786	15.63538291	14.18118229	19.64752858	19.10413353	19.17105338	17.05547707	21.83540473	15.93297487
27105.2;31287.86	A0A087WUJ1;Q9H400	LIME1	Lck-interacting transmembrane adapter 1 (Fragment);Lck-interacting transmembrane adapter 1	0.02507581	4.514329709	9.874770609	14.38910032	0.578829511	17.92500029	0.594165539	0.582329321	0.584263031	0.582039484	0.587329012	17.73238969	17.86992824	0.585140136	18.54375968	18.47797252	18.15944978	19.14217018	18.17129975	16.00890917	0.587537141	18.22235965	17.42819313	18.28523315	17.45551699	0.578945652	16.8557385	0.575688938	0.580560513	0.58422944	16.32835294	16.11482211	0.580767674	16.88274407	17.51550651	0.5908828	0.575375562	0.57717421	18.49993382	0.581516612	0.580062759	19.07198831	15.73233907	17.28391807	17.66176636	18.8948297	15.59725558	15.07590508	16.99477449	17.60292796	17.31483283	18.41565745	18.02131449	0.582976218	17.61161145	14.60550461	18.06598273	18.28524924	0.586227855	19.03219122	16.30072694	17.56240082	17.27864824	15.75380445	17.19046312	16.52192555
