		Bacteroides ovatus	Candida dubliniensis	Aspergillus puulaauensis	Methylorubrum populi	Clostridioides difficile	Ruthenibacterium lactatiformans	Dysosmobacter welbionis	[Clostridium] scindens
D2576	Belongs to the pyrroline-5-carboxylate reductase family	-0.090295261	0.136082413	0.356831891	0.018962981	0.31942147	0.260809866	0.26845639	0.181907246
D18379	rRNA processing	-0.098269462	-0.041879312	0.548184192	0.101602589	0.479777017	0.086849268	0.272613014	0.174979186
D3704	"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor, and NADPH and FADH(2) as the reductant"	0.039533417	0.113359459	0.512684696	0.1525658	0.390273247	0.226443223	0.308122769	0.173233833
D14471	PFAM NADPH-dependent FMN reductase	-0.097079102	0.11846574	0.509899123	0.158312157	0.419696743	0.126874114	0.320164349	0.233947721
D17170	PSP1 C-terminal conserved region	-0.058699384	0.115114838	0.564617251	0.299911296	0.380290211	0.151306956	0.29055566	0.233141604
D15706	phosphoribosylglycinamide formyltransferase	-0.113869795	-0.064582843	0.460077458	0.316364564	0.315224678	0.338241083	0.262488556	0.250640741
D15842	Plays a role in maintenance of chromatin structure during RNA polymerase II transcription elongation thereby repressing transcription initiation from cryptic promoters. Mediates the reassembly of nucleosomes onto the promoters of at least a selected set of genes during repression	-0.210674502	0.021062944	0.343589864	0.153412364	0.264854601	0.25649361	0.199926101	0.137789911
D16219	prolyl-tRNA synthetase	-0.119068103	-0.022595297	0.320340886	0.22066014	0.256337495	0.27540392	0.171887644	0.181438413
D594	"ABC-type nitrate sulfonate bicarbonate transport system, permease component"	-0.153017341	-0.026944637	0.417922826	0.287377637	0.304367113	0.187096255	0.156241745	0.147098002
D17480	"Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as inosine triphosphate (ITP), deoxyinosine triphosphate (dITP) or xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions"	-0.18237532	-0.070881387	0.466654005	0.230011379	0.263188033	0.313766686	0.182282036	0.139965978
D11103	"lipid kinase, YegS Rv2252 BmrU family"	-0.070726039	-0.025973659	0.225911388	0.303767997	0.507576921	0.16829711	0.271627172	0.350360696
D10751	Iron-sulfur cluster-binding domain	-0.245895725	0.013912611	0.189494949	0.116161616	0.452661667	0.140680957	0.213743369	0.229929459
D8200	exo-alpha-sialidase activity	-0.264666622	-0.081076655	0.386936153	0.232743105	0.4462559	0.142336385	0.242444088	0.247392094
D21472	tRNA (Uracil-5-)-methyltransferase	-0.294801548	-0.048856687	0.318684673	0.163633648	0.37986803	0.194545626	0.167172265	0.149525838
D7299	Domain of unknown function (DUF3440)	-0.230426951	-0.206477666	0.415521155	0.365230303	0.255461786	-0.054803095	0.06088771	0.18081946
D19062	Sodium/hydrogen exchanger family	-0.213293715	-0.237032334	0.299286422	0.300355734	0.244702294	0.022654003	0.047405787	0.062819361
D19876	"Thiolase, N-terminal domain"	-0.164091844	-0.133507389	0.220860865	0.260176263	0.252680099	0.103573823	0.075785415	0.168920897
D236	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	-0.231849166	-0.066699322	0.385720716	0.329540293	0.318257056	0.036141056	0.089547415	0.086488014
D4119	Chromate	-0.206322332	-0.08387068	0.333433079	0.358860045	0.346961862	0.069204062	0.103888137	0.181672829
D16298	protein histidine kinase activity	0.01876236	-0.159581053	0.141393692	0.322626861	0.306120134	-0.005663897	0.091711703	0.16706691
D16832	Protein of unknown function (DUF3853)	-0.066472362	-0.160751216	0.367208675	0.402954365	0.296410597	-0.009439828	0.081160799	0.165992525
D17990	Rhs element Vgr protein	-0.066472362	-0.160751216	0.367208675	0.402954365	0.296410597	-0.009439828	0.081160799	0.165992525
D4124	Chromate transporter	-0.098480344	-0.107950014	0.469587133	0.441679944	0.466952401	0.135988894	0.233869051	0.334724269
D5391	COG1226 Kef-type K transport systems	-0.101289762	-0.182804893	0.488728769	0.544467402	0.41310588	0.103335317	0.216512321	0.341544919
D9451	Glycosyltransferase	-0.268297559	-0.203631355	0.482435319	0.306766371	0.353414341	0.162265722	0.187107087	0.219123478
D8977	GH3 auxin-responsive promoter	-0.165619287	-0.26769683	0.528841019	0.384431337	0.306239743	0.114398551	0.11451306	0.140649932
D10416	Indole-3-glycerol phosphate synthase	-0.136612519	-0.288887899	0.513241811	0.402819682	0.30435664	0.171362439	0.17354041	0.239339301
D12130	Multicopper oxidase	-0.385030436	-0.155192939	0.20458997	0.016460554	-0.177873329	-0.018609946	-0.242941325	-0.397656849
D22243	"WD domain, G-beta repeat"	-0.361711502	-0.16192138	0.132776018	0.050040085	-0.178682457	-0.135663813	-0.240777037	-0.332119347
D9582	gtp-binding protein	-0.375918353	-0.18076238	0.315326855	0.015515166	-0.007532415	0.014005584	-0.11451306	-0.211795356
D5269	COG0798 Arsenite efflux pump ACR3 and related permeases	-0.335846248	-0.16192138	0.350611673	-0.157033686	-0.066618214	0.001887966	-0.132833174	-0.296261739
D15759	phosphotyrosine protein phosphatase	-0.378902986	-0.139205876	0.266158066	-0.064127952	-0.066547432	-0.041279422	-0.168635095	-0.298227602
D4107	chorismate binding enzyme	-0.487965184	-0.160211354	0.432224368	0.093425049	-0.00358079	-0.053264245	-0.116732338	-0.279040452
D9772	Helicase	-0.470552725	-0.100737836	0.453341956	0.152375653	0.021342106	0.027026184	-0.079175539	-0.168857393
D6713	Diaminopropionate ammonia-lyase	-0.35556683	0.021957012	0.430231738	0.036489372	0.087564323	-0.081679624	-0.039666379	-0.105253033
D21114	"Transcriptional regulator, effector binding domain protein"	-0.35541271	-0.032179497	0.506846916	-0.017118976	0.042074662	-0.093589151	-0.055189343	-0.175393396
D9435	glycosyl transferase group 1	-0.41374534	0.006165249	0.281625364	-0.10708186	0.064777044	-0.164194792	-0.094881556	-0.172061518
D2175	Belongs to the anaerobic coproporphyrinogen-III oxidase family	-0.411942887	-0.062934925	0.461151597	-0.131016958	-0.005178535	-0.062142423	-0.116165826	-0.260202375
D365	6-phosphogluconate dehydrogenase	-0.335578215	-0.035104906	0.387635755	-0.02436162	0.039647277	0.004854769	-0.116059942	-0.283637712
D17962	RF-1 domain	-0.299125629	-0.036860152	0.3206094	-0.017118976	0.042344371	-0.096555954	-0.109026007	-0.214608458
D19855	thioesterase	-0.26511144	-0.132052994	0.702894284	0.303221651	0.222456552	0.126222832	0.149058217	0.138182972
D12088	mRNA binding	-0.249271358	-0.034227284	0.501420973	0.334149249	0.296410597	0.013755178	0.15474659	0.145847801
D13070	"Oxaloacetate decarboxylase, gamma chain"	-0.228625456	-0.031415572	0.504585387	0.211616162	0.266052516	0.126199094	0.13322645	0.131035068
D18068	Ribosomal L27 protein	-0.279827201	-0.069039649	0.547062729	0.308470784	0.254875354	0.135124394	0.133644782	0.065537502
D11677	Metallo-dependent phosphatase	-0.211936545	-0.198889681	0.536640623	0.244220207	0.139349676	0.240801889	0.07909665	0.02789557
D11678	Metallo-hydrolase oxidoreductase	-0.204918779	-0.190974944	0.518534399	0.232152855	0.120989414	0.226207835	0.052652397	0.002109749
D14456	PFAM NAD-dependent epimerase dehydratase	-0.371856922	-0.113750101	0.585630728	0.247912669	0.210916582	0.084366633	0.063468905	-0.020226667
D11709	Methionine biosynthesis protein MetW	-0.385212261	-0.141277285	0.543988267	0.101073884	0.176801485	0.079224969	0.052529552	-0.05259868
D13594	Peptidylprolyl isomerase	-0.34457233	-0.074168745	0.523826988	0.153140435	0.187133433	0.119577087	0.050999631	-0.050868392
D15529	Phosphoadenosine phosphosulfate reductase family	-0.243580696	-0.097138248	0.508070259	0.010037846	0.146620819	0.061376157	0.051504747	-0.050935722
D7423	Domain of unknown function (DUF4270)	-0.244148774	-0.101215968	0.603962686	0.165511191	0.091565264	0.019013552	0.002509451	-0.071754009
D9349	"Glycosyl hydrolase family 20, catalytic domain protein"	-0.14550169	-0.168251989	0.532183707	0.11435252	0.080031908	-0.00235388	0.00802772	-0.088609457
D15601	Phosphoglycolate phosphatase	-0.067025089	-0.049591725	0.296728525	0.013636364	0.156404123	0.110475928	0.070141028	-0.039557756
D15807	PKD domain	0.032700114	0.016089749	0.437745935	0.082961193	0.216037205	0.250020585	0.086300983	-0.076012758
D1443	Anticodon-binding domain of tRNA	-0.204368933	0.035004986	0.208130279	0.081228739	0.226161197	0.211150498	0.138019795	0.117596849
D6282	Cyclic nucleotide-monophosphate binding domain	-0.330189381	-0.069617557	0.294920484	-0.013955054	0.242195129	0.09928496	0.086713069	-0.084792996
D7831	DUF218 domain	-0.245895725	-0.004712336	0.35377287	-0.023737374	0.221365623	0.134888212	0.104588988	-0.013597979
